ENTRY            10047   19990907                             00001004700000001 
SUBENT        10047001   19990907                             00001004700100001 
BIB                 11         22                                 1004700100002 
INSTITUTE  (1USABNW)                                              1004700100003 
REFERENCE  (J,PR/C,3,576,197102)                                  1004700100004 
AUTHOR     (D.G.FOSTER JR,D.W.GLASGOW)                            1004700100005 
TITLE      Neutron Total Cross Sections, 2.5 - 15 MeV.            1004700100006 
            I. Experimental.                                      1004700100007 
INC-SOURCE (D-LI) Deuterons on thick Li target.                   1004700100008 
METHOD     (TOF) Time-of-flight.                                  1004700100009 
DETECTOR   (SCIN)  NE-213 liquid scintillator                     1004700100010 
MISC-COL   (MISC1) D(I,I+1)                                       1004700100011 
           (MISC2) D(I,I+2)                                       1004700100012 
ERR-ANALYS (ERR-T) Standard deviation                             1004700100013 
COVARIANCE D(i,j) are formed from the elements of the covariance  1004700100014 
            matrix of the cross sections, where                   1004700100015 
                   D(i,j) = +- sqrt(/V(i,j)/)                     1004700100016 
            where the sign of the covariance V(i,j) is retained   1004700100017 
            by D(i,j).                                            1004700100018 
HISTORY    (19730815C)                                            1004700100019 
           (19810403A) CONVERTED TO REACTION FORMALISM            1004700100020 
           (19821019A) FIELD HEADING CHANGED.                     1004700100021 
           (19841205A) DATA HEADING CORRECTION.                   1004700100022 
           (19870505A) BIB UPDATE.                                1004700100023 
           (19990907A) Converted to new date formalism.           1004700100024 
ENDBIB              22          0                                 1004700100025 
NOCOMMON             0          0                                 1004700100026 
ENDSUBENT           25          0                                 1004700199999 
SUBENT        10047002   19990907                             00001004700200001 
BIB                  3          3                                 1004700200002 
REACTION   (1-H-1(N,TOT),,SIG)                                    1004700200003 
SAMPLE     C-H(2) sample.                                         1004700200004 
STATUS     Data rec'd on tape, Foster, May 1967.                  1004700200005 
ENDBIB               3          0                                 1004700200006 
NOCOMMON             0          0                                 1004700200007 
DATA                 6        238                                 1004700200008 
EN         EN-RSL-FW  DATA       ERR-T      MISC1      MISC2      1004700200009 
MEV        MEV        B          B          B          B          1004700200010 
  2.302       .049     2.6284      .1572      .0571     -.0048    1004700200011 
  2.314       .050     2.4724      .1240      .0483     -.0072    1004700200012 
  2.326       .050     2.4317      .1580      .0778     -.0047    1004700200013 
  2.337       .052     2.4632      .1473      .0588     -.0041    1004700200014 
  2.349       .050     2.5662      .1399      .0720     -.0038    1004700200015 
  2.361       .049     2.5200      .1174      .0423      .0027    1004700200016 
  2.374       .050     2.3851      .0863      .0441     -.0047    1004700200017 
  2.386       .050     2.3231      .0938      .0458      .0042    1004700200018 
  2.398       .051     2.2992      .1095      .0551     -.0070    1004700200019 
  2.410       .051     2.5206      .1438      .0499     -.0049    1004700200020 
  2.423       .054     2.5944      .1255      .0404     -.0053    1004700200021 
  2.435       .055     2.3375      .0995      .0405     -.0069    1004700200022 
  2.447       .053     2.5241      .1061      .0393     -.0054    1004700200023 
  2.461       .054     2.3421      .0884      .0351     -.0068    1004700200024 
  2.474       .054     2.4865      .1214      .0411     -.0041    1004700200025 
  2.487       .057     2.3324      .0923      .0328     -.0080    1004700200026 
  2.500       .056     2.4081      .0940      .0326     -.0069    1004700200027 
  2.514       .055     2.5400      .1108      .0395     -.0056    1004700200028 
  2.528       .054     2.4655      .1074      .0418     -.0039    1004700200029 
  2.540       .055     2.5646      .1269      .0532     -.0046    1004700200030 
  2.553       .057     2.5032      .1069      .0362     -.0051    1004700200031 
  2.567       .058     2.6089      .1236      .0545     -.0054    1004700200032 
  2.580       .057     2.5414      .1236      .0354     -.0056    1004700200033 
  2.595       .058     2.3018      .0867      .0324     -.0063    1004700200034 
  2.609       .057     2.4685      .0992      .0410     -.0048    1004700200035 
  2.624       .057     2.5190      .1038      .0354     -.0053    1004700200036 
  2.638       .059     2.4533      .1084      .0301     -.0057    1004700200037 
  2.652       .062     2.3777      .0916      .0351     -.0068    1004700200038 
  2.667       .058     2.5311      .1139      .0340     -.0066    1004700200039 
  2.682       .059     2.4518      .1004      .0255     -.0065    1004700200040 
  2.697       .059     2.4784      .1089      .0255     -.0065    1004700200041 
  2.712       .060     2.3823      .0984      .0235     -.0063    1004700200042 
  2.728       .061     2.3980      .0925      .0261     -.0062    1004700200043 
  2.742       .062     2.3007      .0813      .0177     -.0067    1004700200044 
  2.758       .065     2.1538      .0686      .0200     -.0073    1004700200045 
  2.773       .062     2.2494      .0771      .0192     -.0066    1004700200046 
  2.788       .062     2.2096      .0790      .0182     -.0071    1004700200047 
  2.804       .065     2.0918      .0662      .0219     -.0083    1004700200048 
  2.819       .064     2.1969      .0826      .0303     -.0061    1004700200049 
  2.835       .064     2.4280      .1037      .0301     -.0063    1004700200050 
  2.852       .065     2.2017      .0956      .0270     -.0057    1004700200051 
  2.868       .065     2.3183      .1092      .0369     -.0078    1004700200052 
  2.884       .066     2.0900      .0873      .0270     -.0062    1004700200053 
  2.900       .067     2.2746      .1043      .0436     -.0066    1004700200054 
  2.916       .067     2.2689      .0889      .0237     -.0047    1004700200055 
  2.933       .069     2.0590      .0661      .0277     -.0063    1004700200056 
  2.950       .067     2.1806      .0659      .0202     -.0061    1004700200057 
  2.968       .066     2.3119      .0670      .0181     -.0053    1004700200058 
  2.986       .066     2.3625      .0681      .0113     -.0048    1004700200059 
  3.004       .067     2.2423      .0607      .0161     -.0054    1004700200060 
  3.021       .068     2.2878      .0591      .0108     -.0053    1004700200061 
  3.039       .071     2.2202      .0602      .0143     -.0054    1004700200062 
  3.058       .072     2.2376      .0592      .0177     -.0055    1004700200063 
  3.075       .072     2.1814      .0575      .0146     -.0058    1004700200064 
  3.093       .071     2.1695      .0571      .0173     -.0050    1004700200065 
  3.111       .072     2.1926      .0562      .0199     -.0048    1004700200066 
  3.130       .072     2.2994      .0621      .0244     -.0037    1004700200067 
  3.148       .072     2.3035      .0658      .0252     -.0039    1004700200068 
  3.166       .075     2.1616      .0557      .0225     -.0029    1004700200069 
  3.185       .074     2.1627      .0574      .0280     -.0035    1004700200070 
  3.203       .074     2.1080      .0546      .0247     -.0016    1004700200071 
  3.222       .074     2.1496      .0604      .0305     -.0015    1004700200072 
  3.240       .077     2.1343      .0594      .0258     -.0047    1004700200073 
  3.259       .077     2.1551      .0570      .0270     -.0030    1004700200074 
  3.277       .077     2.1858      .0609      .0293     -.0041    1004700200075 
  3.296       .079     2.1558      .0622      .0229     -.0048    1004700200076 
  3.316       .080     2.0365      .0577      .0255     -.0053    1004700200077 
  3.336       .079     2.1155      .0599      .0250     -.0044    1004700200078 
  3.357       .079     2.1813      .0634      .0279     -.0037    1004700200079 
  3.378       .081     2.1218      .0619      .0240     -.0047    1004700200080 
  3.399       .082     1.9980      .0516      .0211     -.0040    1004700200081 
  3.420       .081     1.9985      .0534      .0264     -.0042    1004700200082 
  3.441       .083     2.0359      .0564      .0211     -.0053    1004700200083 
  3.464       .083     1.9166      .0499      .0220     -.0051    1004700200084 
  3.486       .084     2.0533      .0581      .0281     -.0034    1004700200085 
  3.509       .085     2.0800      .0600      .0273     -.0033    1004700200086 
  3.532       .081     2.0341      .0549      .0247      .0033    1004700200087 
  3.554       .085     1.9638      .0525      .0297     -.0034    1004700200088 
  3.576       .085     2.0602      .0561      .0240     -.0022    1004700200089 
  3.597       .089     1.9854      .0525      .0274     -.0048    1004700200090 
  3.620       .086     2.1769      .0631      .0236     -.0019    1004700200091 
  3.643       .088     1.9992      .0498      .0210     -.0037    1004700200092 
  3.667       .089     1.9915      .0483      .0232     -.0023    1004700200093 
  3.691       .088     2.0128      .0487      .0219     -.0013    1004700200094 
  3.716       .088     1.9809      .0451      .0221     -.0012    1004700200095 
  3.739       .089     1.9354      .0456      .0197     -.0037    1004700200096 
  3.763       .090     2.0053      .0470      .0199     -.0038    1004700200097 
  3.788       .091     1.9740      .0457      .0157     -.0037    1004700200098 
  3.812       .092     1.9285      .0380      .0171     -.0043    1004700200099 
  3.837       .094     1.9693      .0433      .0158     -.0042    1004700200100 
  3.862       .094     1.9864      .0423      .0144     -.0044    1004700200101 
  3.887       .094     1.9087      .0408      .0149     -.0048    1004700200102 
  3.911       .095     1.9299      .0417      .0138     -.0048    1004700200103 
  3.936       .097     1.9758      .0431      .0124     -.0049    1004700200104 
  3.962       .098     2.0069      .0445      .0106     -.0047    1004700200105 
  3.989       .099     1.8614      .0350      .0123     -.0048    1004700200106 
  4.016       .098     1.9474      .0433      .0118     -.0046    1004700200107 
  4.043       .101     1.8497      .0353      .0138     -.0045    1004700200108 
  4.070       .101     1.9298      .0392      .0116     -.0043    1004700200109 
  4.098       .101     1.8653      .0352      .0118     -.0047    1004700200110 
  4.127       .103     1.8260      .0355      .0132     -.0048    1004700200111 
  4.155       .104     1.8546      .0387      .0123     -.0050    1004700200112 
  4.184       .107     1.7835      .0377      .0126     -.0052    1004700200113 
  4.212       .107     1.8160      .0399      .0105     -.0054    1004700200114 
  4.242       .107     1.8156      .0366      .0108     -.0053    1004700200115 
  4.273       .109     1.8133      .0349      .0141     -.0045    1004700200116 
  4.302       .109     1.8719      .0381      .0137     -.0040    1004700200117 
  4.332       .108     1.8489      .0366      .0137     -.0036    1004700200118 
  4.361       .111     1.7665      .0330      .0123     -.0045    1004700200119 
  4.392       .109     1.7969      .0342      .0126     -.0041    1004700200120 
  4.422       .112     1.7905      .0335      .0121     -.0042    1004700200121 
  4.453       .112     1.7779      .0326      .0118     -.0038    1004700200122 
  4.485       .111     1.7829      .0316      .0114     -.0033    1004700200123 
  4.518       .114     1.7032      .0273      .0121     -.0031    1004700200124 
  4.550       .117     1.6875      .0264      .0123     -.0038    1004700200125 
  4.582       .118     1.7163      .0284      .0108     -.0042    1004700200126 
  4.615       .120     1.7021      .0291      .0104     -.0045    1004700200127 
  4.648       .121     1.6864      .0292      .0109     -.0043    1004700200128 
  4.683       .123     1.7370      .0290      .0110     -.0038    1004700200129 
  4.717       .124     1.7137      .0285      .0111     -.0037    1004700200130 
  4.753       .124     1.7164      .0277      .0118     -.0034    1004700200131 
  4.790       .125     1.6941      .0270      .0119     -.0028    1004700200132 
  4.826       .126     1.6536      .0259      .0131     -.0027    1004700200133 
  4.862       .128     1.6621      .0256      .0119     -.0028    1004700200134 
  4.899       .127     1.6703      .0246      .0123     -.0022    1004700200135 
  4.935       .131     1.5736      .0237      .0120     -.0031    1004700200136 
  4.973       .132     1.6097      .0241      .0126     -.0029    1004700200137 
  5.012       .132     1.6576      .0252      .0125     -.0027    1004700200138 
  5.051       .133     1.6314      .0258      .0129     -.0027    1004700200139 
  5.090       .136     1.6170      .0263      .0131     -.0029    1004700200140 
  5.130       .138     1.6152      .0258      .0133     -.0029    1004700200141 
  5.170       .138     1.5968      .0266      .0141     -.0025    1004700200142 
  5.210       .139     1.6124      .0262      .0130     -.0026    1004700200143 
  5.249       .141     1.5137      .0250      .0126     -.0035    1004700200144 
  5.291       .143     1.5395      .0255      .0131     -.0034    1004700200145 
  5.333       .144     1.5636      .0269      .0136     -.0031    1004700200146 
  5.375       .146     1.5430      .0274      .0137     -.0028    1004700200147 
  5.417       .147     1.5287      .0265      .0136     -.0028    1004700200148 
  5.459       .147     1.5359      .0264      .0132     -.0030    1004700200149 
  5.502       .149     1.4880      .0254      .0131     -.0027    1004700200150 
  5.544       .152     1.5272      .0262      .0134     -.0033    1004700200151 
  5.588       .153     1.5051      .0262      .0126     -.0030    1004700200152 
  5.632       .156     1.4798      .0252      .0132     -.0031    1004700200153 
  5.676       .156     1.4835      .0255      .0131     -.0030    1004700200154 
  5.721       .158     1.4475      .0255      .0130     -.0033    1004700200155 
  5.769       .158     1.4486      .0257      .0132     -.0029    1004700200156 
  5.815       .161     1.4573      .0249      .0128     -.0035    1004700200157 
  5.862       .163     1.4670      .0260      .0125     -.0040    1004700200158 
  5.912       .165     1.4297      .0268      .0127     -.0038    1004700200159 
  5.964       .168     1.4438      .0285      .0134     -.0041    1004700200160 
  6.014       .169     1.3935      .0268      .0126     -.0044    1004700200161 
  6.063       .169     1.4052      .0279      .0123     -.0049    1004700200162 
  6.114       .175     1.3893      .0290      .0116     -.0057    1004700200163 
  6.167       .175     1.3668      .0295      .0114     -.0062    1004700200164 
  6.222       .178     1.4128      .0336      .0123     -.0061    1004700200165 
  6.277       .177     1.4522      .0338      .0120     -.0060    1004700200166 
  6.332       .180     1.3820      .0342      .0117     -.0060    1004700200167 
  6.389       .183     1.3295      .0317      .0117     -.0056    1004700200168 
  6.444       .185     1.3479      .0305      .0113     -.0051    1004700200169 
  6.499       .187     1.3610      .0292      .0111     -.0048    1004700200170 
  6.554       .188     1.2983      .0287      .0112     -.0047    1004700200171 
  6.608       .192     1.2917      .0277      .0115     -.0048    1004700200172 
  6.665       .193     1.3032      .0270      .0116     -.0044    1004700200173 
  6.724       .195     1.2590      .0266      .0124     -.0044    1004700200174 
  6.781       .199     1.2912      .0272      .0123     -.0044    1004700200175 
  6.842       .202     1.2718      .0267      .0120     -.0043    1004700200176 
  6.903       .203     1.2899      .0268      .0124     -.0043    1004700200177 
  6.961       .205     1.2842      .0264      .0119     -.0043    1004700200178 
  7.024       .207     1.2841      .0256      .0121     -.0041    1004700200179 
  7.086       .209     1.2688      .0261      .0126     -.0040    1004700200180 
  7.150       .215     1.2897      .0267      .0128     -.0046    1004700200181 
  7.214       .217     1.2420      .0279      .0127     -.0048    1004700200182 
  7.282       .219     1.1928      .0285      .0137     -.0050    1004700200183 
  7.348       .220     1.1722      .0299      .0152     -.0057    1004700200184 
  7.416       .220     1.1957      .0319      .0155     -.0049    1004700200185 
  7.488       .223     1.2464      .0327      .0153     -.0056    1004700200186 
  7.559       .227     1.1611      .0336      .0152     -.0062    1004700200187 
  7.629       .234     1.1454      .0359      .0163     -.0067    1004700200188 
  7.700       .235     1.1831      .0365      .0162     -.0054    1004700200189 
  7.771       .239     1.1866      .0390      .0182     -.0056    1004700200190 
  7.841       .243     1.1663      .0377      .0177     -.0054    1004700200191 
  7.914       .247     1.1277      .0355      .0176     -.0055    1004700200192 
  7.991       .245     1.1628      .0357      .0165     -.0051    1004700200193 
  8.068       .251     1.1509      .0332      .0150     -.0057    1004700200194 
  8.147       .252     1.1175      .0332      .0141     -.0056    1004700200195 
  8.228       .256     1.0975      .0324      .0139     -.0052    1004700200196 
  8.309       .256     1.0680      .0314      .0140     -.0041    1004700200197 
  8.387       .262     1.0820      .0293      .0140     -.0037    1004700200198 
  8.465       .267     1.0700      .0278      .0143     -.0041    1004700200199 
  8.545       .271     1.0800      .0277      .0139     -.0046    1004700200200 
  8.633       .276     1.0409      .0276      .0132     -.0050    1004700200201 
