ENTRY            10183   20010214                             00001018300000001 
SUBENT        10183001   20010214                             00001018300100001 
BIB                 13         37                                 1018300100002 
INSTITUTE  (1USABET)                                              1018300100003 
REFERENCE  (J,PR/C,4,1818,197111)                                 1018300100004 
AUTHOR     (S.S.GLICKSTEIN,G.TESSLER,M.GOLDSMITH)                 1018300100005 
TITLE      Neutron Inelastic Scattering from Zr90                 1018300100006 
FACILITY   (VDG) 3 MeV Van de Graaff.                             1018300100007 
INC-SOURCE (D-D) D(d,n) source. Gaseous flow target. Energy spread1018300100008 
            due to deuteron energy loss in gas 385 keV at 3.3 MeV 1018300100009 
            neutron energy, decreasing to 110 keV at 5.6 MeV      1018300100010 
            average neutron energy.                               1018300100011 
DETECTOR   (GELI,NAICR) 45cm3 Ge(Li) detector inserted into NaI   1018300100012 
            (Tl) annulus, operating in anti-coincidence.          1018300100013 
           (LONGC) Flux monitored by long counter which was       1018300100014 
            calibrated against a proton recoil telescope for      1018300100015 
            absolute flux.                                        1018300100016 
ANALYSIS   Total gamma ray production cross sections calculated   1018300100017 
            from differential measurement using angular distri-   1018300100018 
            butions calculated using Mathur (TNC Report ORO-2791- 1018300100019 
            21,1966) coefficients. Lowest-order gamma transitions 1018300100020 
            assumed since higher-order admixtures unknown.        1018300100021 
MONITOR    Ge(Li) photopeak efficiency determined with            1018300100022 
            standard gamma sources.                               1018300100023 
CORRECTION Corrected for flux attenuation through sample and for  1018300100024 
            multiple scattering.                                  1018300100025 
ERR-ANALYS Estimated uncertainties                  +-percent     1018300100026 
           -----------------------                  ---------     1018300100027 
             neutron flux                           -  6          1018300100028 
             peak analysis (including statistics)   -  7-30       1018300100029 
             ge(li) detector efficiency             -  4          1018300100030 
             multiple scattering correction         -  2          1018300100031 
             beam-attenuation correction            -  2          1018300100032 
STATUS     (APRVD) Approved by author.                            1018300100033 
            Data taken from Table III in reference.               1018300100034 
HISTORY    (19711115C) Data tabulated in article.                 1018300100035 
           (19750525A) Corrected ISO-QUANTS                       1018300100036 
           (19820916A) Converted to REACTION formalism            1018300100037 
           (19820929A) Corrected REFERENCE type.                  1018300100038 
           (20010214A) Converted to new date formats, lower case. 1018300100039 
ENDBIB              37          0                                 1018300100040 
NOCOMMON             0          0                                 1018300100041 
ENDSUBENT           40          0                                 1018300199999 
SUBENT        10183002   20010214                             00001018300200001 
BIB                  2          2                                 1018300200002 
REACTION   (40-ZR-90(N,INL)40-ZR-90,PAR,SIG,G)                    1018300200003 
HISTORY    (19820901A) SUBENTRIES 2-9 COMBINED                    1018300200004 
ENDBIB               2          0                                 1018300200005 
NOCOMMON             0          0                                 1018300200006 
DATA                 5         98                                 1018300200007 
E          E-ERR      EN         DATA       DATA-ERR              1018300200008 
MEV        KEV        MEV        MB         MB                    1018300200009 
 0.420      2.         3.30       131.       16.                  1018300200010 
 0.420      2.         3.67       122.       26.                  1018300200011 
 0.420      2.         3.99       127.       16.                  1018300200012 
 0.420      2.         4.28       138.       23.                  1018300200013 
 0.420      2.         4.53       147.       15.                  1018300200014 
 0.420      2.         4.78       193.       24.                  1018300200015 
 0.420      2.         5.01       198.       25.                  1018300200016 
 0.420      2.         5.22       190.       19.                  1018300200017 
 0.420      2.         5.32       185.       19.                  1018300200018 
 0.420      2.         5.45       175.       29.                  1018300200019 
 0.420      2.         5.53       172.       29.                  1018300200020 
 0.420      2.         5.67       192.       24.                  1018300200021 
 0.420      2.         5.76       179.       30.                  1018300200022 
 0.420      2.         5.97       187.       19.                  1018300200023 
 0.562      2.         3.30       246.       34.                  1018300200024 
 0.562      2.         3.67       222.       40.                  1018300200025 
 0.562      2.         3.99       240.       30.                  1018300200026 
 0.562      2.         4.28       229.       25.                  1018300200027 
 0.562      2.         4.53       226.       42.                  1018300200028 
 0.562      2.         4.78       264.       56.                  1018300200029 
 0.562      2.         5.01       273.       34.                  1018300200030 
 0.562      2.         5.22       283.       28.                  1018300200031 
 0.562      2.         5.32       243.       30.                  1018300200032 
 0.562      2.         5.45       296.       37.                  1018300200033 
 0.562      2.         5.53       280.       28.                  1018300200034 
 0.562      2.         5.67       312.       39.                  1018300200035 
 0.562      2.         5.76       287.       29.                  1018300200036 
 0.562      2.         5.97       316.       32.                  1018300200037 
 0.891      2.         3.30       124.       22.                  1018300200038 
 0.891      2.         3.67       171.       32.                  1018300200039 
 0.891      2.         3.99       159.       25.                  1018300200040 
 0.891      2.         4.28       162.       36.                  1018300200041 
 0.891      2.         4.53       141.       25.                  1018300200042 
 0.891      2.         4.78       148.       26.                  1018300200043 
 0.891      2.         5.01       137.       24.                  1018300200044 
 0.891      2.         5.22       145.       25.                  1018300200045 
 0.891      2.         5.32       127.       13.                  1018300200046 
 0.891      2.         5.45       141.       30.                  1018300200047 
 0.891      2.         5.53       124.       21.                  1018300200048 
 0.891      2.         5.67       158.       24.                  1018300200049 
 0.891      2.         5.76       149.       15.                  1018300200050 
 0.891      2.         5.97       160.       20.                  1018300200051 
 1.122      2.         3.67        62.       25.                  1018300200052 
 1.122      2.         3.99        85.       35.                  1018300200053 
 1.122      2.         4.28        64.       25.                  1018300200054 
 1.122      2.         4.59        66.       27.                  1018300200055 
 1.122      2.         4.84        47.       19.                  1018300200056 
 1.122      2.         5.07        49.       20.                  1018300200057 
 1.122      2.         5.32        40.       16.                  1018300200058 
 1.122      2.         5.53        54.       23.                  1018300200059 
 1.122      2.         5.76        44.       18.                  1018300200060 
 2.186      2.         2.85       693.      140.                  1018300200061 
 2.186      2.         3.30       837.      170.                  1018300200062 
 2.186      2.         3.67       855.      160.                  1018300200063 
 2.186      2.         3.99       870.       87.                  1018300200064 
 2.186      2.         4.28       841.       84.                  1018300200065 
 2.186      2.         4.53       839.       84.                  1018300200066 
 2.186      2.         4.78       870.       78.                  1018300200067 
 2.186      2.         5.01       858.       87.                  1018300200068 
 2.186      2.         5.22       850.       99.                  1018300200069 
 2.186      2.         5.32       725.      102.                  1018300200070 
 2.186      2.         5.45       824.       83.                  1018300200071 
 2.186      2.         5.53       780.       97.                  1018300200072 
 2.186      2.         5.67       853.       86.                  1018300200073 
 2.186      2.         5.76       770.       72.                  1018300200074 
 2.186      2.         5.97       823.      102.                  1018300200075 
 2.319      2.         2.85       148.       52.                  1018300200076 
 2.319      2.         3.30       123.       21.                  1018300200077 
 2.319      2.         3.67       120.       27.                  1018300200078 
 2.319      2.         3.99       173.       19.                  1018300200079 
 2.319      2.         4.28       189.       26.                  1018300200080 
 2.319      2.         4.53       216.       38.                  1018300200081 
 2.319      2.         4.78       273.       27.                  1018300200082 
 2.319      2.         5.01       273.       34.                  1018300200083 
 2.319      2.         5.22       275.       28.                  1018300200084 
 2.319      2.         5.32       259.       36.                  1018300200085 
 2.319      2.         5.45       279.       39.                  1018300200086 
 2.319      2.         5.53       264.       42.                  1018300200087 
 2.319      2.         5.67       308.       36.                  1018300200088 
 2.319      2.         5.76       245.       51.                  1018300200089 
 2.319      2.         5.97       319.       32.                  1018300200090 
 3.308      6.         3.67       136.       34.                  1018300200091 
 3.308      6.         3.99       186.       47.                  1018300200092 
 3.308      6.         4.28       159.       40.                  1018300200093 
