ENTRY            10248   20011130                             00001024800000001 
SUBENT        10248001   20011130                             00001024800100001 
BIB                 14         35                                 1024800100002 
INSTITUTE  (1USAYAL)                                              1024800100003 
REFERENCE  (J,NP/A,213,147,1973)                                  1024800100004 
           (J,PRL,28,114,197201)                                  1024800100005 
AUTHOR     (R.J.Holt,F.W.K.Firk,R.Nath,H.L.Schultz)               1024800100006 
TITLE      The absolute polarization of neutrons from n-12C       1024800100007 
            scattering                                            1024800100008 
FACILITY   (LINAC) 50-MeV electron linac. Pulse rate 300 per      1024800100009 
            second and width 20 nanoseconds.                      1024800100010 
INC-SOURCE (PHOTO) Photoneutrons from 5-cm cube of natural lead   1024800100011 
            and uranium.                                          1024800100012 
SAMPLE     Two identical graphite slides, 15cm long x 7.5cm wide  1024800100013 
            x 1.5cm thick.                                        1024800100014 
METHOD     (MAGFR) Double scattering from identical scatterers    1024800100015 
            with solenoid to reduce systemic errors.              1024800100016 
           (TOF) Time-of-flight measured, with 6 nsec channels.   1024800100017 
DETECTOR   (SCIN) Two plastic scintillators, 12.5-cm dia. x 15-cm 1024800100018 
            thick.                                                1024800100019 
           Scatters 27-m apart, with 1.2-M long solenoid 1/4 of   1024800100020 
            way. Counters at 50 deg. and .4 m from center of      1024800100021 
            second scatterer.                                     1024800100022 
MONITOR    No information                                         1024800100023 
CORRECTION No corrections for finite geometry (correction less    1024800100024 
            than 2percent from known ang.distribution data).      1024800100025 
            Inelastic scattering negligible. Multiple scattering  1024800100026 
            depolarization less than 3% by varying sample         1024800100027 
            thickness.                                            1024800100028 
COMMENT    Sign of polarization chosen to agree with elastic      1024800100029 
            phase-shifts. Values in vicinity of 2.08, 2.96 and    1024800100030 
            4.3-MeV resonances omitted.                           1024800100031 
STATUS     No reply To author proof.                              1024800100032 
HISTORY    (19720814C)                                            1024800100033 
           (19770106A) BIB update.                                1024800100034 
           (19790618A) BIB corrections                            1024800100035 
           (19821018A) Converted to REACTION formalism            1024800100036 
           (20011130A) Converted to new date formats, lower case. 1024800100037 
ENDBIB              35          0                                 1024800100038 
NOCOMMON             0          0                                 1024800100039 
ENDSUBENT           38          0                                 1024800199999 
SUBENT        10248002   20011130                             00001024800200001 
BIB                  4          4                                 1024800200002 
REACTION   (6-C-12(N,EL)6-C-12,,POL/DA)                           1024800200003 
ERR-ANALYS (DATA-ERR) Data error given is primarily statistical.  1024800200004 
STATUS     Tabulated data received from R. Holt 15 January 1976.  1024800200005 
HISTORY    (19780106A) Data from Nucl. Phys. article added        1024800200006 
ENDBIB               4          0                                 1024800200007 
NOCOMMON             0          0                                 1024800200008 
DATA                 5        247                                 1024800200009 
ANG        ANG-RSL    EN         DATA       DATA-ERR              1024800200010 
ADEG       ADEG       MEV        NO-DIM     NO-DIM                1024800200011 
 20.        5.         2.20       -0.36      0.11                 1024800200012 
 20.        5.         2.25       -0.36      0.10                 1024800200013 
 20.        5.         2.30       -0.37      0.09                 1024800200014 
 20.        5.         2.35       -0.40      0.08                 1024800200015 
 20.        5.         2.40       -0.43      0.06                 1024800200016 
 20.        5.         2.45       -0.46      0.05                 1024800200017 
 20.        5.         2.50       -0.48      0.05                 1024800200018 
 20.        5.         2.55       -0.49      0.05                 1024800200019 
 20.        5.         2.60       -0.50      0.05                 1024800200020 
 20.        5.         2.65       -0.52      0.05                 1024800200021 
 20.        5.         3.10       -0.51      0.06                 1024800200022 
 20.        5.         3.15       -0.47      0.07                 1024800200023 
 20.        5.         3.20       -0.44      0.07                 1024800200024 
 20.        5.         3.25       -0.40      0.07                 1024800200025 
 20.        5.         3.30       -0.37      0.08                 1024800200026 
 20.        5.         3.35       -0.34      0.11                 1024800200027 
 20.        5.         3.40       -0.32      0.14                 1024800200028 
 20.        5.         4.15       -0.07      0.07                 1024800200029 
 20.        5.         4.20       -0.06      0.06                 1024800200030 
 20.        5.         4.40       -0.06      0.07                 1024800200031 
 20.        5.         4.45       -0.06      0.07                 1024800200032 
 20.        5.         4.50       -0.04      0.07                 1024800200033 
 20.        5.         4.55       -0.03      0.07                 1024800200034 
 20.        5.         4.60       -0.02      0.08                 1024800200035 
 20.        5.         4.65       -0.01      0.08                 1024800200036 
 20.        5.         4.70        0.00      0.09                 1024800200037 
 20.        5.         4.75        0.01      0.09                 1024800200038 
 20.        5.         4.80        0.02      0.09                 1024800200039 
 20.        5.         4.85        0.04      0.09                 1024800200040 
 20.        5.         4.90        0.06      0.10                 1024800200041 
 30.        9.         2.20       -0.44      0.05                 1024800200042 
 30.        9.         2.25       -0.44      0.05                 1024800200043 
 30.        9.         2.30       -0.46      0.05                 1024800200044 
 30.        9.         2.35       -0.49      0.05                 1024800200045 
 30.        9.         2.40       -0.52      0.05                 1024800200046 
 30.        9.         2.45       -0.56      0.05                 1024800200047 
 30.        9.         2.50       -0.59      0.05                 1024800200048 
 30.        9.         2.55       -0.61      0.04                 1024800200049 
 30.        9.         2.60       -0.64      0.04                 1024800200050 
 30.        9.         2.65       -0.65      0.04                 1024800200051 
 30.        9.         2.70       -0.65      0.04                 1024800200052 
 30.        9.         2.75       -0.63      0.04                 1024800200053 
 30.        9.         2.80       -0.59      0.05                 1024800200054 
 30.        9.         3.20       -0.62      0.06                 1024800200055 
 30.        9.         3.25       -0.54      0.07                 1024800200056 
 30.        9.         3.30       -0.47      0.07                 1024800200057 
 30.        9.         3.35       -0.41      0.06                 1024800200058 
 30.        9.         3.40       -0.37      0.06                 1024800200059 
 30.        9.         3.45       -0.32      0.06                 1024800200060 
 30.        9.         3.50       -0.28      0.06                 1024800200061 
 30.        9.         3.55       -0.24      0.05                 1024800200062 
 30.        9.         3.60       -0.21      0.05                 1024800200063 
 30.        9.         3.65       -0.18      0.07                 1024800200064 
 30.        9.         3.70       -0.15      0.07                 1024800200065 
 30.        9.         3.75       -0.12      0.07                 1024800200066 
 30.        9.         3.80       -0.10      0.06                 1024800200067 
 30.        9.         3.85       -0.07      0.06                 1024800200068 
 30.        9.         3.90       -0.05      0.06                 1024800200069 
 30.        9.         3.95       -0.03      0.05                 1024800200070 
 30.        9.         4.00       -0.01      0.05                 1024800200071 
 30.        9.         4.05        0.00      0.05                 1024800200072 
 30.        9.         4.10        0.02      0.05                 1024800200073 
 30.        9.         4.15        0.03      0.05                 1024800200074 
 30.        9.         4.20        0.04      0.06                 1024800200075 
 30.        9.         4.40        0.05      0.04                 1024800200076 
 30.        9.         4.45        0.06      0.04                 1024800200077 
 30.        9.         4.50        0.07      0.04                 1024800200078 
 30.        9.         4.55        0.08      0.04                 1024800200079 
 30.        9.         4.60        0.09      0.04                 1024800200080 
 30.        9.         4.65        0.09      0.05                 1024800200081 
 30.        9.         4.70        0.10      0.05                 1024800200082 
 30.        9.         4.75        0.11      0.05                 1024800200083 
 30.        9.         4.80        0.11      0.05                 1024800200084 
 30.        9.         4.85        0.12      0.05                 1024800200085 
 30.        9.         4.90        0.13      0.05                 1024800200086 
 50.       10.         2.20       -0.44      0.09                 1024800200087 
 50.       10.         2.25       -0.44      0.07                 1024800200088 
 50.       10.         2.30       -0.47      0.06                 1024800200089 
 50.       10.         2.35       -0.56      0.06                 1024800200090 
 50.       10.         2.40       -0.56      0.05                 1024800200091 
 50.       10.         2.45       -0.60      0.05                 1024800200092 
 50.       10.         2.50       -0.64      0.05                 1024800200093 
 50.       10.         2.55       -0.67      0.04                 1024800200094 
 50.       10.         2.60       -0.71      0.04                 1024800200095 
 50.       10.         2.65       -0.74      0.04                 1024800200096 
 50.       10.         2.70       -0.76      0.04                 1024800200097 
 50.       10.         2.75       -0.75      0.04                 1024800200098 
 50.       10.         2.80       -0.71      0.04                 1024800200099 
 50.       10.         3.10       -0.79      0.06                 1024800200100 
 50.       10.         3.15       -0.74      0.05                 1024800200101 
 50.       10.         3.20       -0.69      0.05                 1024800200102 
 50.       10.         3.25       -0.62      0.04                 1024800200103 
 50.       10.         3.30       -0.54      0.03                 1024800200104 
 50.       10.         3.35       -0.47      0.03                 1024800200105 
 50.       10.         3.40       -0.41      0.04                 1024800200106 
 50.       10.         3.45       -0.36      0.05                 1024800200107 
 50.       10.         3.50       -0.30      0.05                 1024800200108 
 50.       10.         3.55       -0.24      0.05                 1024800200109 
 50.       10.         3.60       -0.19      0.07                 1024800200110 
 50.       10.         3.65       -0.13      0.08                 1024800200111 
 50.       10.         3.70       -0.08      0.10                 1024800200112 
 50.       10.         3.90        0.10      0.12                 1024800200113 
 50.       10.         3.95        0.14      0.12                 1024800200114 
 50.       10.         4.15        0.28      0.08                 1024800200115 
 50.       10.         4.20        0.30      0.08                 1024800200116 
 50.       10.         4.40        0.36      0.08                 1024800200117 
 50.       10.         4.45        0.38      0.08                 1024800200118 
 50.       10.         4.50        0.39      0.06                 1024800200119 
 50.       10.         4.55        0.40      0.06                 1024800200120 
 50.       10.         4.60        0.41      0.07                 1024800200121 
 50.       10.         4.65        0.42      0.07                 1024800200122 
 50.       10.         4.70        0.43      0.07                 1024800200123 
 50.       10.         4.75        0.44      0.07                 1024800200124 
 50.       10.         4.80        0.45      0.08                 1024800200125 
 50.       10.         4.85        0.46      0.09                 1024800200126 
 50.       10.         4.90        0.47      0.10                 1024800200127 
 65.       14.         2.20       -0.35      0.05                 1024800200128 
 65.       14.         2.25       -0.39      0.05                 1024800200129 
 65.       14.         2.30       -0.42      0.05                 1024800200130 
 65.       14.         2.35       -0.46      0.05                 1024800200131 
 65.       14.         2.40       -0.48      0.05                 1024800200132 
 65.       14.         2.45       -0.51      0.05                 1024800200133 
 65.       14.         2.50       -0.54      0.05                 1024800200134 
 65.       14.         2.55       -0.56      0.05                 1024800200135 
 65.       14.         2.60       -0.60      0.05                 1024800200136 
 65.       14.         2.65       -0.63      0.06                 1024800200137 
 65.       14.         2.70       -0.65      0.06                 1024800200138 
 65.       14.         2.75       -0.65      0.06                 1024800200139 
 65.       14.         3.20       -0.79      0.08                 1024800200140 
 65.       14.         3.25       -0.71      0.07                 1024800200141 
 65.       14.         3.30       -0.61      0.09                 1024800200142 
 65.       14.         3.35       -0.50      0.09                 1024800200143 
 65.       14.         3.40       -0.39      0.09                 1024800200144 
 65.       14.         3.45       -0.29      0.10                 1024800200145 
 65.       14.         3.50       -0.15      0.10                 1024800200146 
 65.       14.         3.55       -0.05      0.10                 1024800200147 
 65.       14.         3.60        0.05      0.10                 1024800200148 
 65.       14.         3.65        0.11      0.10                 1024800200149 
 65.       14.         3.70        0.16      0.09                 1024800200150 
 65.       14.         3.75        0.21      0.08                 1024800200151 
 65.       14.         3.80        0.25      0.08                 1024800200152 
 65.       14.         3.85        0.28      0.07                 1024800200153 
 65.       14.         3.90        0.31      0.07                 1024800200154 
 65.       14.         3.95        0.34      0.07                 1024800200155 
 65.       14.         4.00        0.37      0.07                 1024800200156 
 65.       14.         4.05        0.39      0.07                 1024800200157 
 65.       14.         4.10        0.41      0.07                 1024800200158 
 65.       14.         4.15        0.42      0.07                 1024800200159 
 65.       14.         4.20        0.43      0.07                 1024800200160 
 85.        7.         2.20        0.12      0.09                 1024800200161 
 85.        7.         2.25        0.12      0.08                 1024800200162 
 85.        7.         2.30        0.13      0.07                 1024800200163 
 85.        7.         2.35        0.13      0.07                 1024800200164 
 85.        7.         2.40        0.12      0.07                 1024800200165 
 85.        7.         2.45        0.11      0.08                 1024800200166 
 85.        7.         2.50        0.09      0.07                 1024800200167 
 85.        7.         2.55        0.08      0.06                 1024800200168 
 85.        7.         2.60        0.07      0.05                 1024800200169 
 85.        7.         2.65        0.06      0.03                 1024800200170 
 85.        7.         4.15        0.28      0.07                 1024800200171 
 85.        7.         4.20        0.30      0.07                 1024800200172 
 85.        7.         4.40        0.45      0.07                 1024800200173 
 85.        7.         4.45        0.47      0.07                 1024800200174 
 85.        7.         4.50        0.48      0.07                 1024800200175 
 85.        7.         4.55        0.49      0.07                 1024800200176 
 85.        7.         4.60        0.50      0.07                 1024800200177 
 85.        7.         4.65        0.51      0.07                 1024800200178 
 85.        7.         4.70        0.52      0.07                 1024800200179 
 85.        7.         4.75        0.52      0.08                 1024800200180 
 85.        7.         4.80        0.53      0.08                 1024800200181 
 85.        7.         4.85        0.53      0.09                 1024800200182 
 85.        7.         4.90        0.53      0.09                 1024800200183 
115.        8.         2.20        0.65      0.15                 1024800200184 
115.        8.         2.25        0.64      0.14                 1024800200185 
115.        8.         2.30        0.64      0.12                 1024800200186 
115.        8.         2.35        0.64      0.11                 1024800200187 
115.        8.         2.40        0.63      0.11                 1024800200188 
115.        8.         2.45        0.63      0.09                 1024800200189 
115.        8.         2.50        0.62      0.07                 1024800200190 
115.        8.         2.55        0.60      0.07                 1024800200191 
115.        8.         2.60        0.58      0.07                 1024800200192 
115.        8.         2.65        0.55      0.07                 1024800200193 
115.        8.         3.20        0.47      0.09                 1024800200194 
115.        8.         3.25        0.40      0.10                 1024800200195 
115.        8.         3.30        0.32      0.10                 1024800200196 
115.        8.         3.35        0.24      0.12                 1024800200197 
115.        8.         4.15       -0.41      0.10                 1024800200198 
115.        8.         4.20       -0.39      0.10                 1024800200199 
115.        8.         4.40       -0.02      0.14                 1024800200200 
115.        8.         4.45       -0.03      0.15                 1024800200201 
115.        8.         4.50       -0.06      0.16                 1024800200202 
115.        8.         4.55       -0.12      0.18                 1024800200203 
115.        8.         4.60       -0.21      0.21                 1024800200204 
115.        8.         4.65       -0.26      0.21                 1024800200205 
115.        8.         4.70       -0.27      0.20                 1024800200206 
130.        7.         2.20        0.52      0.12                 1024800200207 
130.        7.         2.25        0.54      0.11                 1024800200208 
130.        7.         2.30        0.56      0.09                 1024800200209 
130.        7.         2.35        0.57      0.08                 1024800200210 
130.        7.         2.40        0.57      0.07                 1024800200211 
130.        7.         2.45        0.57      0.07                 1024800200212 
130.        7.         2.50        0.57      0.06                 1024800200213 
130.        7.         2.55        0.58      0.06                 1024800200214 
130.        7.         2.60        0.57      0.05                 1024800200215 
130.        7.         2.65        0.56      0.05                 1024800200216 
130.        7.         3.10        0.48      0.04                 1024800200217 
130.        7.         3.15        0.45      0.05                 1024800200218 
130.        7.         3.20        0.41      0.05                 1024800200219 
130.        7.         3.25        0.35      0.05                 1024800200220 
130.        7.         3.30        0.28      0.05                 1024800200221 
130.        7.         3.35        0.22      0.08                 1024800200222 
130.        7.         3.40        0.16      0.09                 1024800200223 
130.        7.         4.40       -0.39      0.10                 1024800200224 
130.        7.         4.45       -0.39      0.10                 1024800200225 
130.        7.         4.50       -0.38      0.10                 1024800200226 
130.        7.         4.55       -0.36      0.10                 1024800200227 
130.        7.         4.60       -0.35      0.11                 1024800200228 
130.        7.         4.65       -0.36      0.11                 1024800200229 
130.        7.         4.70       -0.38      0.12                 1024800200230 
130.        7.         4.75       -0.39      0.12                 1024800200231 
130.        7.         4.80       -0.41      0.12                 1024800200232 
130.        7.         4.85       -0.42      0.13                 1024800200233 
130.        7.         4.90       -0.43      0.13                 1024800200234 
150.        6.         2.25        0.40      0.20                 1024800200235 
150.        6.         2.30        0.41      0.19                 1024800200236 
150.        6.         2.35        0.41      0.15                 1024800200237 
150.        6.         2.40        0.41      0.12                 1024800200238 
150.        6.         2.45        0.41      0.10                 1024800200239 
150.        6.         2.50        0.40      0.08                 1024800200240 
150.        6.         2.55        0.40      0.08                 1024800200241 
150.        6.         2.60        0.40      0.07                 1024800200242 
150.        6.         2.65        0.40      0.06                 1024800200243 
150.        6.         3.15        0.43      0.05                 1024800200244 
150.        6.         3.20        0.38      0.06                 1024800200245 
150.        6.         3.25        0.30      0.08                 1024800200246 
150.        6.         3.30        0.24      0.10                 1024800200247 
150.        6.         3.35        0.20      0.11                 1024800200248 
150.        6.         3.40        0.17      0.11                 1024800200249 
150.        6.         4.15       -0.44      0.09                 1024800200250 
150.        6.         4.20       -0.50      0.08                 1024800200251 
150.        6.         4.40       -0.32      0.19                 1024800200252 
150.        6.         4.45       -0.37      0.20                 1024800200253 
150.        6.         4.50       -0.41      0.20                 1024800200254 
150.        6.         4.55       -0.43      0.19                 1024800200255 
150.        6.         4.60       -0.44      0.18                 1024800200256 
150.        6.         4.65       -0.43      0.19                 1024800200257 
150.        6.         4.70       -0.40      0.20                 1024800200258 
ENDDATA            249          0                                 1024800200259 
ENDSUBENT          258          0                                 1024800299999 
SUBENT        10248003   20011130                             00001024800300001 
BIB                  5          7                                 1024800300002 
REACTION  1(6-C-12(N,0),,EN)                                      1024800300003 
          2(6-C-12(N,EL),,WID/RED,,RMT)                           1024800300004 
          3(6-C-12(N,TOT),,WID)                                   1024800300005 
ANALYSIS   Scattering radius taken as 4.61 fm.                    1024800300006 
ERR-ANALYS No information on uncertainties given.                 1024800300007 
STATUS     Data taken from Table 3 in main reference.             1024800300008 
HISTORY    (19790618C)                                            1024800300009 
ENDBIB               7          0                                 1024800300010 
NOCOMMON             0          0                                 1024800300011 
DATA                 5          2                                 1024800300012 
DATA      1DATA      2DATA      3MOMENTUM L SPIN J                1024800300013 
MEV        MEV        MEV        NO-DIM     NO-DIM                1024800300014 
-1.27       0.5        0.0        1.         1.5                  1024800300015 
 3.5        0.93       1.1        2.         1.5                  1024800300016 
ENDDATA              4          0                                 1024800300017 
ENDSUBENT           16          0                                 1024800399999 
ENDENTRY             3          0                                 1024899999999 
