ENTRY            10275   20011204                             00001027500000001 
SUBENT        10275001   20011204                             00001027500100001 
BIB                 14         24                                 1027500100002 
INSTITUTE  (1USAPTN)                                              1027500100003 
REFERENCE  (J,PR/D,10,2735,197411)                                1027500100004 
AUTHOR     (P.F.Shepard,T.J.Devlin,R.E.Mischke,J.Solomon)         1027500100005 
TITLE      Neutron-proton charge exchange scattering between      1027500100006 
            600 MeV/c and 2000 MeV/c.                             1027500100007 
FACILITY   (SYNCH) Princeton-Pennsylvania accelerator             1027500100008 
INC-SOURCE (EVAP) Protons on platinum target                      1027500100009 
SAMPLE     Liquid hydrogen                                        1027500100010 
METHOD     (TOF) Time of flight over 108-foot path length         1027500100011 
DETECTOR   (MAGSP) Wire chamber spectrometer                      1027500100012 
MONITOR    Flux monitored by three detectors.                     1027500100013 
CORRECTION Data corrected for:                                    1027500100014 
            . ionization losses,                                  1027500100015 
            . geometry,                                           1027500100016 
            . chamber efficiencies,                               1027500100017 
            . background.                                         1027500100018 
ERR-ANALYS (DATA-ERR) Errors given include detector uncertainties 1027500100019 
            and systematic errors.                                1027500100020 
STATUS     (APRVD) Approved by author.                            1027500100021 
           Data received from T. Devlin, August 1974.             1027500100022 
HISTORY    (19740924C)                                            1027500100023 
           (19751202A) SAN 2 updated                              1027500100024 
           (19830110A) Converted to REACTION formalism            1027500100025 
           (20011204A) Converted to new date formats, lower case. 1027500100026 
ENDBIB              24          0                                 1027500100027 
NOCOMMON             0          0                                 1027500100028 
ENDSUBENT           27          0                                 1027500199999 
SUBENT        10275002   20011204                             00001027500200001 
BIB                  2          2                                 1027500200002 
REACTION   (1-H-1(N,EL)1-H-1,,DA)                                 1027500200003 
HISTORY    (19751202A) Reaction corrected                         1027500200004 
ENDBIB               2          0                                 1027500200005 
NOCOMMON             0          0                                 1027500200006 
DATA                 4        373                                 1027500200007 
EN         COS-CM     DATA-CM    DATA-ERR                         1027500200008 
MEV        NO-DIM     B/SR       B/SR                             1027500200009 
       182.    -0.9997      8.675      0.464                      1027500200010 
       182.    -0.9984      8.756      0.325                      1027500200011 
       182.    -0.9957      8.296      0.241                      1027500200012 
       182.    -0.9917      8.094      0.413                      1027500200013 
       182.    -0.9864      7.749      0.279                      1027500200014 
       182.    -0.9798      6.890      0.267                      1027500200015 
       182.    -0.9676      5.952      0.179                      1027500200016 
       182.    -0.9466      5.737      0.187                      1027500200017 
       182.    -0.7215      3.417      0.114                      1027500200018 
       182.    -0.6703      3.094      0.108                      1027500200019 
       182.    -0.6147      2.843      0.103                      1027500200020 
       182.    -0.5573      2.556      0.061                      1027500200021 
       182.    -0.4964      2.351      0.059                      1027500200022 
       182.    -0.4328      2.144      0.057                      1027500200023 
       196.    -0.9997     10.619      0.605                      1027500200024 
       196.    -0.9983      9.996      0.347                      1027500200025 
       196.    -0.9957      9.252      0.265                      1027500200026 
       196.    -0.9916      8.467      0.433                      1027500200027 
       196.    -0.9862      7.423      0.284                      1027500200028 
       196.    -0.9797      7.261      0.288                      1027500200029 
       196.    -0.9674      6.180      0.192                      1027500200030 
       196.    -0.9459      6.187      0.199                      1027500200031 
       196.    -0.7676      3.578      0.122                      1027500200032 
       196.    -0.7203      3.483      0.122                      1027500200033 
       196.    -0.6688      3.215      0.116                      1027500200034 
       196.    -0.6134      2.903      0.111                      1027500200035 
       196.    -0.5545      2.541      0.064                      1027500200036 
       196.    -0.4933      2.317      0.061                      1027500200037 
       196.    -0.4300      2.275      0.062                      1027500200038 
       196.    -0.3641      1.904      0.073                      1027500200039 
       210.    -0.9997     10.960      0.654                      1027500200040 
       210.    -0.9983      9.655      0.343                      1027500200041 
       210.    -0.9956      9.678      0.279                      1027500200042 
       210.    -0.9916      8.948      0.455                      1027500200043 
       210.    -0.9862      8.439      0.314                      1027500200044 
       210.    -0.9794      7.466      0.302                      1027500200045 
       210.    -0.9668      6.611      0.203                      1027500200046 
       210.    -0.9457      6.132      0.202                      1027500200047 
       210.    -0.7669      3.799      0.130                      1027500200048 
       210.    -0.7179      3.549      0.125                      1027500200049 
       210.    -0.6668      3.290      0.121                      1027500200050 
       210.    -0.6098      2.949      0.114                      1027500200051 
       210.    -0.5521      2.486      0.065                      1027500200052 
       210.    -0.4910      2.266      0.062                      1027500200053 
       210.    -0.4271      2.181      0.062                      1027500200054 
       210.    -0.3612      1.800      0.071                      1027500200055 
       224.    -0.9997     10.906      0.652                      1027500200056 
       224.    -0.9983      9.795      0.351                      1027500200057 
       224.    -0.9956      9.264      0.274                      1027500200058 
       224.    -0.9916      8.471      0.439                      1027500200059 
       224.    -0.9861      8.514      0.321                      1027500200060 
       224.    -0.9795      7.271      0.301                      1027500200061 
       224.    -0.9668      6.710      0.209                      1027500200062 
       224.    -0.9456      5.563      0.195                      1027500200063 
       224.    -0.7653      3.531      0.128                      1027500200064 
       224.    -0.7172      3.414      0.126                      1027500200065 
       224.    -0.6636      3.297      0.124                      1027500200066 
       224.    -0.6088      2.631      0.109                      1027500200067 
       224.    -0.5499      2.255      0.063                      1027500200068 
       224.    -0.4883      2.112      0.062                      1027500200069 
       224.    -0.4252      2.005      0.060                      1027500200070 
       224.    -0.3592      1.686      0.070                      1027500200071 
       239.    -0.9997      9.614      0.587                      1027500200072 
       239.    -0.9983      9.987      0.364                      1027500200073 
       239.    -0.9956      9.185      0.277                      1027500200074 
       239.    -0.9914      8.305      0.433                      1027500200075 
       239.    -0.9860      8.065      0.318                      1027500200076 
       239.    -0.9791      6.785      0.298                      1027500200077 
       239.    -0.9664      6.549      0.210                      1027500200078 
       239.    -0.9449      5.458      0.196                      1027500200079 
       239.    -0.9187      5.122      0.199                      1027500200080 
       239.    -0.8090      3.720      0.134                      1027500200081 
       239.    -0.7631      3.202      0.124                      1027500200082 
       239.    -0.7147      3.265      0.126                      1027500200083 
       239.    -0.6619      2.709      0.113                      1027500200084 
       239.    -0.6063      2.576      0.110                      1027500200085 
       239.    -0.5477      2.298      0.063                      1027500200086 
       239.    -0.4852      2.080      0.061                      1027500200087 
       239.    -0.4219      1.958      0.060                      1027500200088 
       239.    -0.3564      1.722      0.072                      1027500200089 
       257.    -0.9997     11.718      0.543                      1027500200090 
       257.    -0.9983      9.854      0.334                      1027500200091 
       257.    -0.9956      9.335      0.253                      1027500200092 
       257.    -0.9913      8.023      0.396                      1027500200093 
       257.    -0.9859      7.043      0.262                      1027500200094 
       257.    -0.9790      6.595      0.260                      1027500200095 
       257.    -0.9663      5.738      0.173                      1027500200096 
       257.    -0.9442      5.224      0.169                      1027500200097 
       257.    -0.9174      4.783      0.167                      1027500200098 
       257.    -0.8079      3.508      0.115                      1027500200099 
       257.    -0.7623      3.200      0.110                      1027500200100 
       257.    -0.7134      2.960      0.106                      1027500200101 
       257.    -0.6598      2.398      0.094                      1027500200102 
       257.    -0.6035      2.358      0.093                      1027500200103 
       257.    -0.5449      2.168      0.057                      1027500200104 
       257.    -0.4833      1.978      0.055                      1027500200105 
       257.    -0.4177      1.787      0.049                      1027500200106 
       257.    -0.3527      1.567      0.061                      1027500200107 
       257.    -0.2842      1.433      0.060                      1027500200108 
       284.    -0.9997     10.240      0.453                      1027500200109 
       284.    -0.9982      8.853      0.276                      1027500200110 
       284.    -0.9955      8.429      0.224                      1027500200111 
       284.    -0.9913      8.195      0.380                      1027500200112 
       284.    -0.9856      6.562      0.228                      1027500200113 
       284.    -0.9789      5.843      0.217                      1027500200114 
       284.    -0.9658      5.369      0.149                      1027500200115 
       284.    -0.9435      4.680      0.141                      1027500200116 
       284.    -0.9165      4.286      0.141                      1027500200117 
       284.    -0.8045      3.127      0.103                      1027500200118 
       284.    -0.7597      2.777      0.094                      1027500200119 
       284.    -0.7104      2.566      0.089                      1027500200120 
       284.    -0.6568      2.178      0.081                      1027500200121 
       284.    -0.6003      2.036      0.079                      1027500200122 
       284.    -0.5400      1.761      0.042                      1027500200123 
       284.    -0.4781      1.540      0.040                      1027500200124 
       284.    -0.4136      1.450      0.040                      1027500200125 
       284.    -0.3466      1.384      0.039                      1027500200126 
       284.    -0.2787      1.279      0.046                      1027500200127 
       313.    -0.9997     10.181      0.524                      1027500200128 
       313.    -0.9982      9.976      0.344                      1027500200129 
       313.    -0.9954      9.264      0.298                      1027500200130 
       313.    -0.9912      8.180      0.415                      1027500200131 
       313.    -0.9856      6.209      0.278                      1027500200132 
       313.    -0.9786      5.451      0.263                      1027500200133 
       313.    -0.9654      5.458      0.176                      1027500200134 
       313.    -0.9428      5.198      0.176                      1027500200135 
       313.    -0.9149      4.497      0.166                      1027500200136 
       313.    -0.8021      3.337      0.118                      1027500200137 
       313.    -0.7567      2.645      0.104                      1027500200138 
       313.    -0.7071      2.507      0.102                      1027500200139 
       313.    -0.6533      2.186      0.095                      1027500200140 
       313.    -0.5960      2.082      0.094                      1027500200141 
       313.    -0.5349      1.880      0.050                      1027500200142 
       313.    -0.4718      1.701      0.052                      1027500200143 
       313.    -0.4071      1.512      0.049                      1027500200144 
       313.    -0.3402      1.324      0.058                      1027500200145 
       313.    -0.2726      1.288      0.058                      1027500200146 
       344.    -0.9996     10.794      0.525                      1027500200147 
       344.    -0.9982      9.853      0.340                      1027500200148 
       344.    -0.9953      8.989      0.291                      1027500200149 
       344.    -0.9910      8.392      0.420                      1027500200150 
       344.    -0.9854      6.786      0.279                      1027500200151 
       344.    -0.9783      5.773      0.249                      1027500200152 
       344.    -0.9648      4.962      0.171                      1027500200153 
       344.    -0.9422      4.651      0.161                      1027500200154 
       344.    -0.9149      4.047      0.150                      1027500200155 
       344.    -0.8435      3.230      0.117                      1027500200156 
       344.    -0.8008      3.043      0.110                      1027500200157 
       344.    -0.7534      2.732      0.103                      1027500200158 
       344.    -0.7039      2.382      0.095                      1027500200159 
       344.    -0.6482      2.022      0.088                      1027500200160 
       344.    -0.5921      1.858      0.084                      1027500200161 
       344.    -0.5305      1.814      0.050                      1027500200162 
       344.    -0.4668      1.458      0.057                      1027500200163 
       344.    -0.4019      1.306      0.055                      1027500200164 
       344.    -0.3359      1.195      0.052                      1027500200165 
       344.    -0.2653      1.147      0.052                      1027500200166 
       344.    -0.1960      1.166      0.056                      1027500200167 
       378.    -0.9997     10.764      0.555                      1027500200168 
       378.    -0.9982     10.453      0.382                      1027500200169 
       378.    -0.9953      9.013      0.310                      1027500200170 
       378.    -0.9910      7.639      0.410                      1027500200171 
       378.    -0.9851      7.067      0.322                      1027500200172 
       378.    -0.9779      5.606      0.268                      1027500200173 
       378.    -0.9643      5.308      0.201                      1027500200174 
       378.    -0.9415      3.938      0.163                      1027500200175 
       378.    -0.8411      3.274      0.125                      1027500200176 
       378.    -0.7975      2.965      0.121                      1027500200177 
       378.    -0.7508      2.678      0.113                      1027500200178 
       378.    -0.6985      2.506      0.109                      1027500200179 
       378.    -0.6449      2.168      0.101                      1027500200180 
       378.    -0.5847      1.852      0.093                      1027500200181 
       378.    -0.5247      1.661      0.054                      1027500200182 
       378.    -0.4604      1.351      0.058                      1027500200183 
       378.    -0.3948      1.188      0.054                      1027500200184 
       378.    -0.3274      1.181      0.055                      1027500200185 
       378.    -0.2603      1.104      0.054                      1027500200186 
       378.    -0.1866      1.116      0.058                      1027500200187 
       378.     0.1607      1.359      0.069                      1027500200188 
       378.     0.2289      1.490      0.073                      1027500200189 
       378.     0.2956      1.610      0.078                      1027500200190 
       378.     0.3598      1.695      0.081                      1027500200191 
       378.     0.4212      1.741      0.084                      1027500200192 
       414.    -0.9996     11.035      0.600                      1027500200193 
       414.    -0.9981     10.177      0.396                      1027500200194 
       414.    -0.9953      9.136      0.331                      1027500200195 
       414.    -0.9908      7.839      0.417                      1027500200196 
       414.    -0.9850      6.507      0.314                      1027500200197 
       414.    -0.9775      5.805      0.301                      1027500200198 
       414.    -0.9639      5.015      0.210                      1027500200199 
       414.    -0.9415      4.182      0.184                      1027500200200 
       414.    -0.8772      3.526      0.141                      1027500200201 
       414.    -0.8390      3.308      0.129                      1027500200202 
       414.    -0.7955      2.777      0.114                      1027500200203 
       414.    -0.7468      2.467      0.112                      1027500200204 
       414.    -0.6949      2.038      0.103                      1027500200205 
       414.    -0.6398      1.886      0.094                      1027500200206 
       414.    -0.5806      1.551      0.089                      1027500200207 
       414.    -0.5185      1.395      0.051                      1027500200208 
       414.    -0.4550      1.262      0.059                      1027500200209 
       414.    -0.3891      1.034      0.053                      1027500200210 
       414.    -0.3196      0.928      0.050                      1027500200211 
       414.    -0.2500      0.972      0.053                      1027500200212 
       414.    -0.1803      0.965      0.055                      1027500200213 
       414.     0.1005      1.157      0.066                      1027500200214 
       414.     0.1694      1.355      0.073                      1027500200215 
       414.     0.2360      1.399      0.075                      1027500200216 
       414.     0.3002      1.661      0.084                      1027500200217 
       414.     0.3668      1.737      0.088                      1027500200218 
       414.     0.4271      1.706      0.090                      1027500200219 
       414.     0.4869      2.042      0.100                      1027500200220 
       466.    -0.9996     10.203      0.467                      1027500200221 
       466.    -0.9981      9.711      0.342                      1027500200222 
       466.    -0.9951      8.433      0.320                      1027500200223 
       466.    -0.9906      7.274      0.379                      1027500200224 
       466.    -0.9846      6.085      0.278                      1027500200225 
       466.    -0.9771      5.644      0.264                      1027500200226 
       466.    -0.9631      4.511      0.186                      1027500200227 
       466.    -0.9389      3.896      0.168                      1027500200228 
       466.    -0.9103      3.424      0.139                      1027500200229 
       466.    -0.8746      3.277      0.115                      1027500200230 
       466.    -0.8348      2.995      0.103                      1027500200231 
       466.    -0.7912      2.677      0.102                      1027500200232 
       466.    -0.7428      2.185      0.090                      1027500200233 
       466.    -0.6893      1.838      0.082                      1027500200234 
       466.    -0.6329      1.672      0.079                      1027500200235 
       466.    -0.5738      1.297      0.067                      1027500200236 
       466.    -0.5113      1.177      0.036                      1027500200237 
       466.    -0.4458      1.092      0.043                      1027500200238 
       466.    -0.3795      0.865      0.039                      1027500200239 
       466.    -0.3083      0.843      0.039                      1027500200240 
       466.    -0.2403      0.775      0.038                      1027500200241 
       466.    -0.1700      0.854      0.041                      1027500200242 
       466.     0.1103      1.153      0.051                      1027500200243 
       466.     0.1798      1.203      0.053                      1027500200244 
       466.     0.2458      1.393      0.060                      1027500200245 
       466.     0.3120      1.513      0.064                      1027500200246 
       466.     0.3756      1.641      0.068                      1027500200247 
       466.     0.4361      1.766      0.073                      1027500200248 
       466.     0.4951      2.051      0.082                      1027500200249 
       466.     0.5512      2.203      0.089                      1027500200250 
       542.    -0.9996      9.971      0.518                      1027500200251 
       542.    -0.9980      8.048      0.372                      1027500200252 
       542.    -0.9950      7.323      0.407                      1027500200253 
       542.    -0.9903      6.282      0.396                      1027500200254 
       542.    -0.9841      5.328      0.316                      1027500200255 
       542.    -0.9763      4.294      0.272                      1027500200256 
       542.    -0.9623      3.689      0.206                      1027500200257 
       542.    -0.9374      2.825      0.175                      1027500200258 
       542.    -0.9070      2.651      0.166                      1027500200259 
       542.    -0.8722      2.351      0.088                      1027500200260 
       542.    -0.8320      2.196      0.098                      1027500200261 
       542.    -0.7846      1.900      0.093                      1027500200262 
       542.    -0.7355      1.353      0.077                      1027500200263 
       542.    -0.6829      1.349      0.078                      1027500200264 
       542.    -0.6222      1.105      0.070                      1027500200265 
       542.    -0.5627      1.031      0.067                      1027500200266 
       542.    -0.4995      0.964      0.036                      1027500200267 
       542.    -0.4319      0.822      0.034                      1027500200268 
       542.    -0.3658      0.684      0.037                      1027500200269 
       542.    -0.2970      0.616      0.036                      1027500200270 
       542.    -0.2274      0.572      0.035                      1027500200271 
       542.    -0.1549      0.584      0.037                      1027500200272 
       542.    -0.0848      0.617      0.040                      1027500200273 
       542.     0.1264      0.870      0.049                      1027500200274 
       542.     0.1945      1.001      0.054                      1027500200275 
       542.     0.2632      1.077      0.057                      1027500200276 
       542.     0.3257      1.272      0.065                      1027500200277 
       542.     0.3896      1.447      0.072                      1027500200278 
       542.     0.4489      1.611      0.078                      1027500200279 
       542.     0.5055      1.871      0.088                      1027500200280 
       542.     0.5643      2.095      0.105                      1027500200281 
       542.     0.6149      2.302      0.124                      1027500200282 
       542.     0.6637      2.579      0.150                      1027500200283 
       649.    -0.9996      7.636      0.383                      1027500200284 
       649.    -0.9980      6.740      0.324                      1027500200285 
       649.    -0.9947      5.174      0.296                      1027500200286 
       649.    -0.9898      4.563      0.280                      1027500200287 
       649.    -0.9834      4.282      0.251                      1027500200288 
       649.    -0.9752      3.369      0.203                      1027500200289 
       649.    -0.9601      2.741      0.151                      1027500200290 
       649.    -0.9348      2.430      0.139                      1027500200291 
       649.    -0.9031      1.959      0.079                      1027500200292 
