ENTRY            10285   20081204                             13501028500000001 
SUBENT        10285001   20081204                             13501028500100001 
BIB                 14         26                                 1028500100002 
INSTITUTE  (1USAORL)                                              1028500100003 
REFERENCE  (R,ORNL-4810,197310)                                   1028500100004 
AUTHOR     (W.E.Kinney,F.G.Perey)                                 1028500100005 
TITLE       Ti neutron elastic- and inelastic- scattering         1028500100006 
            cross sections from 4.07 to 8.56 MeV                  1028500100007 
FACILITY   (VDG,1USAORL) ORNL Van de Graaff.                      1028500100008 
INC-SOURCE (D-D) D(d,n) reaction using gas cells of length        1028500100009 
            1 and 2 cm.                                           1028500100010 
INC-SPECT  Neutron energy resolution (total energy spread)        1028500100011 
            between 60 and 70 keV.                                1028500100012 
SAMPLE     Solid right circular cylinder 1.530 cm diameter,       1028500100013 
            2.621 cm high placed 10 to 30 cm from gas cell.       1028500100014 
METHOD     (TOF) 2.5 ns resolution (FWHM). Flight paths 4-6 m.    1028500100015 
DETECTOR   (SCIN) 12.5 cm diameter NE 213 liquid scintillator     1028500100016 
            viewed by XP-1040 photomultipliers.                   1028500100017 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1028500100018 
CORRECTION  Corrected for multiple scattering and other finite    1028500100019 
            sample size effects.                                  1028500100020 
STATUS     (APRVD) Approved by author                             1028500100021 
           Data received on magnetic tape, W.Kinney, July 1978.   1028500100022 
HISTORY    (19720712R)                                            1028500100023 
           (19830117A) Converted to REACTION formalism            1028500100024 
           (19840416A) BIB, DATA updates.                         1028500100025 
           (20011227A) Updated to new date formats, lower case.   1028500100026 
                       Subentry 10285029 deleted; derived from    1028500100027 
                         10285015,which was previously deleted.   1028500100028 
ENDBIB              26          0                                 1028500100029 
NOCOMMON             0          0                                 1028500100030 
ENDSUBENT           29          0                                 1028500199999 
SUBENT        10285002   20071108                             Y0011028500200001 
BIB                  3          9                                 1028500200002 
REACTION   (22-TI-0(N,EL)22-TI-0,,DA)                             1028500200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1028500200004 
            . geometric parameters,                               1028500200005 
            . finite size corrections,                            1028500200006 
            . statistics,                                         1028500200007 
            . residual background effects due to peak stripping   1028500200008 
              procedures.                                         1028500200009 
HISTORY    (19860313A) Reaction product added.                    1028500200010 
           (20071108A) ERR-ANALYS correction                      1028500200011 
ENDBIB               9          0                                 1028500200012 
NOCOMMON             0          0                                 1028500200013 
DATA                 6        105                                 1028500200014 
EN         EN-RSL-FW  ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1028500200015 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1028500200016 
 4.07       0.08        71.13         42.03    11.8        9.6    1028500200017 
 4.07       0.08        78.67         35.46    11.9        9.5    1028500200018 
 4.07       0.08        86.20         40.70    12.0        8.6    1028500200019 
 4.34       0.07        10.21       1837.69     5.2        6.0    1028500200020 
 4.34       0.07        17.87       1589.22     6.3        6.9    1028500200021 
 4.34       0.07        17.87       1564.69     5.3        8.5    1028500200022 
 4.34       0.07        25.51       1116.75     5.9        7.7    1028500200023 
 4.34       0.07        25.51       1373.51     5.5        9.6    1028500200024 
 4.34       0.07        25.51       1102.65     4.5        5.2    1028500200025 
 4.34       0.07        33.15        789.86     4.8        8.1    1028500200026 
 4.34       0.07        33.15        925.18     6.1        7.2    1028500200027 
 4.34       0.07        40.77        463.78     6.0        6.7    1028500200028 
 4.34       0.07        48.39        263.40     5.9        5.9    1028500200029 
 4.34       0.07        55.99        121.25     8.8        7.5    1028500200030 
 4.34       0.07        63.57         51.84    11.5       11.9    1028500200031 
 4.34       0.07        71.13         17.35    32.1       21.0    1028500200032 
 4.34       0.07        78.67         14.86    26.1       22.6    1028500200033 
 4.34       0.07        86.20         26.80    17.7       14.3    1028500200034 
 4.34       0.07        96.20         51.34    10.9        8.7    1028500200035 
 4.34       0.07       103.67         55.68    11.0       14.5    1028500200036 
 4.34       0.07       111.13         51.95    10.4       10.2    1028500200037 
 4.34       0.07       122.53         36.81    13.0       12.1    1028500200038 
 4.34       0.07       129.94         33.73    20.8       11.6    1028500200039 
 4.34       0.07       137.33         31.87    14.1       12.0    1028500200040 
 4.65       0.07        71.13         30.77    14.7       10.0    1028500200041 
 4.65       0.07        78.67         29.30    14.1        9.1    1028500200042 
 4.65       0.07        86.20         37.02    11.2        6.7    1028500200043 
 4.92       0.06        15.32       1660.58     5.3        6.3    1028500200044 
 4.92       0.06        22.97       1240.45     6.5        9.3    1028500200045 
 4.92       0.06        25.51       1011.31     4.4        4.8    1028500200046 
 4.92       0.06        30.61        803.62     5.4        7.4    1028500200047 
 4.92       0.06        33.15        718.29     5.6        8.7    1028500200048 
 4.92       0.06        40.78        423.09     5.0        5.0    1028500200049 
 4.92       0.06        48.39        218.44     5.4        4.7    1028500200050 
 4.92       0.06        55.99         94.83    10.0        8.7    1028500200051 
 4.92       0.06        63.57         32.75     8.9       10.4    1028500200052 
 4.92       0.06        71.13         19.89    14.5       16.8    1028500200053 
 4.92       0.06        78.67         20.63    29.0       24.0    1028500200054 
 4.92       0.06        86.20         37.06    11.2       15.2    1028500200055 
 4.92       0.06        96.20         40.19    13.0       12.1    1028500200056 
 4.92       0.06       103.67         42.38    14.6       11.3    1028500200057 
 4.92       0.06       111.13         44.64     8.7        6.9    1028500200058 
 4.92       0.06       122.53         38.85    12.6        9.1    1028500200059 
 4.92       0.06       129.94         31.24    14.7       16.8    1028500200060 
 4.92       0.06       137.33         24.66    18.8       11.7    1028500200061 
 6.44       0.07        15.32       1866.04     4.0        6.2    1028500200062 
 6.44       0.07        22.96       1252.84     4.6        5.7    1028500200063 
 6.44       0.07        28.05        997.49     4.1        5.5    1028500200064 
 6.44       0.07        35.69        582.56     4.8        6.5    1028500200065 
 6.44       0.07        43.31        289.57     5.8        5.4    1028500200066 
 6.44       0.07        48.39        190.85     6.0        5.8    1028500200067 
 6.44       0.07        55.99         69.11     7.9        7.9    1028500200068 
 6.44       0.07        63.57         17.45    18.7       12.5    1028500200069 
 6.44       0.07        71.13          3.49    55.7       36.9    1028500200070 
 6.44       0.07        78.67          3.69    41.5       32.1    1028500200071 
 6.44       0.07        86.20          9.59    18.4       19.3    1028500200072 
 6.44       0.07        93.70         19.34    11.5       10.0    1028500200073 
 6.44       0.07       101.18         24.63    12.5        9.9    1028500200074 
 6.44       0.07       108.65         27.41     9.7        7.3    1028500200075 
 6.44       0.07       120.55         25.70    11.7        9.2    1028500200076 
 6.44       0.07       127.96         19.12    14.5       11.6    1028500200077 
 6.44       0.07       135.36         16.34    14.4       11.5    1028500200078 
 7.03       0.06        71.13          8.16    11.9        8.8    1028500200079 
 7.03       0.06        78.67          7.40    11.7       14.0    1028500200080 
 7.03       0.06        86.20         10.53    10.2       14.7    1028500200081 
 7.54       0.06        15.32       1785.59     5.2        6.0    1028500200082 
 7.54       0.06        22.96       1221.89     4.7        6.1    1028500200083 
 7.54       0.06        28.06        860.07     6.3        5.0    1028500200084 
 7.54       0.06        35.69        467.44     5.4        4.6    1028500200085 
 7.54       0.06        43.31        198.50     7.0        6.4    1028500200086 
 7.54       0.06        48.39        101.20     9.7        7.5    1028500200087 
 7.54       0.06        55.98         27.04    11.8       10.5    1028500200088 
 7.54       0.06        63.57          8.77    17.3       22.2    1028500200089 
 7.54       0.06        71.13          2.90    47.4       41.0    1028500200090 
 7.54       0.06        78.67          4.12    23.4       24.8    1028500200091 
 7.54       0.06        86.20          6.96    19.4       20.5    1028500200092 
 7.54       0.06        93.70         12.10    16.5       14.8    1028500200093 
 7.54       0.06       101.18         19.41    10.4       14.8    1028500200094 
 7.54       0.06       108.64         22.46    11.3       15.0    1028500200095 
 7.54       0.06       120.54         20.13     8.4       12.9    1028500200096 
 7.54       0.06       127.96         14.76    13.3       15.2    1028500200097 
 7.54       0.06       135.36         11.69     9.7       12.8    1028500200098 
 8.04       0.05        71.13          7.82    14.9       14.8    1028500200099 
 8.04       0.05        78.67          6.83    14.3       20.5    1028500200100 
 8.04       0.05        86.20          7.87    12.1       16.4    1028500200101 
 8.56       0.05        15.31       1688.05     5.2        4.3    1028500200102 
 8.56       0.05        22.96       1177.64     5.0        5.1    1028500200103 
 8.56       0.05        28.06        664.63     5.8        4.2    1028500200104 
 8.56       0.05        35.69        319.38     6.0        7.1    1028500200105 
