ENTRY            10380   20021206                             00001038000000001 
SUBENT        10380001   20021206                             00001038000100001 
BIB                 12         20                                 1038000100002 
INSTITUTE  (1USAOHO)                                              1038000100003 
REFERENCE  (J,NP/A,217,563,197312)                                1038000100004 
AUTHOR     (S.L.Hausladen,C.E.Nelson,R.O.Lane)                    1038000100005 
TITLE      Structure study of 11B from the scattering of neutrons 1038000100006 
            from 10B                                              1038000100007 
FACILITY   (VDGT) Tandem Van-de-Graaff                            1038000100008 
SAMPLE     Enriched 10B (92.28%) and normal B powders.            1038000100009 
DETECTOR   (SCIN) NE218 liquid scintillators coupled to           1038000100010 
            photomultiplier. Pulse shape discrimination.          1038000100011 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1038000100012 
CORRECTION Corrected for:                                         1038000100013 
           . flux attenuation,                                    1038000100014 
           . multiple scattering,                                 1038000100015 
           . 16O contaminent in enriched boron sample.            1038000100016 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties.  1038000100017 
STATUS     (APRVD) Approved by author                             1038000100018 
            Tabulated data taken from COO-1717-8 (1973).          1038000100019 
HISTORY    (19740530C)                                            1038000100020 
           (19830425A) Converted to REACTION formalism            1038000100021 
           (20021206A) Converted to new date formats, lower case. 1038000100022 
ENDBIB              20          0                                 1038000100023 
NOCOMMON             0          0                                 1038000100024 
ENDSUBENT           23          0                                 1038000199999 
SUBENT        10380002   20021206                             00001038000200001 
BIB                  1          1                                 1038000200002 
REACTION   (5-B-10(N,EL)5-B-10,,DA)                               1038000200003 
ENDBIB               1          0                                 1038000200004 
NOCOMMON             0          0                                 1038000200005 
DATA                 4        315                                 1038000200006 
EN         ANG-CM     DATA-CM    DATA-ERR                         1038000200007 
MEV        ADEG       B/SR       B/SR                             1038000200008 
1.555       22.0      0.193      0.012                            1038000200009 
1.555       45.9      0.153      0.009                            1038000200010 
1.555       71.3      0.121      0.007                            1038000200011 
1.555       95.8      0.101      0.006                            1038000200012 
1.555      119.3      0.093      0.005                            1038000200013 
1.555      141.9      0.093      0.005                            1038000200014 
1.555      162.0      0.110      0.005                            1038000200015 
1.601       22.0      0.196      0.012                            1038000200016 
1.601       45.9      0.173      0.010                            1038000200017 
1.601       71.3      0.126      0.007                            1038000200018 
1.601       95.8      0.112      0.006                            1038000200019 
1.601      119.3      0.094      0.005                            1038000200020 
1.601      141.9      0.103      0.005                            1038000200021 
1.601      162.0      0.125      0.006                            1038000200022 
1.640       22.0      0.216      0.012                            1038000200023 
1.640       45.9      0.175      0.010                            1038000200024 
1.640       71.3      0.129      0.007                            1038000200025 
1.640       95.8      0.105      0.006                            1038000200026 
1.640      119.3      0.104      0.005                            1038000200027 
1.640      141.9      0.100      0.005                            1038000200028 
1.640      162.0      0.104      0.005                            1038000200029 
1.721       22.0      0.255      0.015                            1038000200030 
1.721       45.9      0.186      0.010                            1038000200031 
1.721       71.3      0.138      0.008                            1038000200032 
1.721       95.8      0.097      0.006                            1038000200033 
1.721      119.3      0.083      0.004                            1038000200034 
1.721      141.9      0.089      0.005                            1038000200035 
1.721      162.0      0.101      0.005                            1038000200036 
1.760       22.0      0.253      0.015                            1038000200037 
1.760       45.9      0.185      0.011                            1038000200038 
1.760       71.3      0.123      0.007                            1038000200039 
1.760       95.8      0.093      0.006                            1038000200040 
1.760      119.3      0.072      0.004                            1038000200041 
1.760      141.9      0.090      0.005                            1038000200042 
1.760      162.0      0.120      0.006                            1038000200043 
1.800       22.0      0.279      0.016                            1038000200044 
1.800       45.9      0.212      0.012                            1038000200045 
1.800       71.3      0.134      0.008                            1038000200046 
1.800       95.8      0.092      0.006                            1038000200047 
1.800      119.3      0.065      0.004                            1038000200048 
1.800      141.9      0.094      0.005                            1038000200049 
1.800      162.0      0.135      0.007                            1038000200050 
1.851       22.0      0.270      0.015                            1038000200051 
1.851       45.9      0.189      0.011                            1038000200052 
1.851       71.3      0.112      0.007                            1038000200053 
1.851       95.8      0.071      0.005                            1038000200054 
1.851      119.3      0.060      0.003                            1038000200055 
1.851      141.9      0.086      0.005                            1038000200056 
1.851      162.0      0.128      0.007                            1038000200057 
1.892       22.0      0.283      0.016                            1038000200058 
1.892       45.9      0.199      0.012                            1038000200059 
1.892       71.3      0.118      0.007                            1038000200060 
1.892       95.8      0.069      0.004                            1038000200061 
1.892      119.3      0.069      0.004                            1038000200062 
1.892      141.9      0.099      0.005                            1038000200063 
1.892      162.0      0.149      0.008                            1038000200064 
1.967       22.0      0.272      0.015                            1038000200065 
1.967       45.9      0.185      0.010                            1038000200066 
1.967       71.3      0.104      0.006                            1038000200067 
1.967       95.8      0.075      0.005                            1038000200068 
1.967      119.3      0.069      0.004                            1038000200069 
1.967      141.9      0.090      0.005                            1038000200070 
1.967      162.0      0.130      0.007                            1038000200071 
2.023       22.0      0.252      0.015                            1038000200072 
2.023       45.9      0.182      0.011                            1038000200073 
2.023       71.3      0.104      0.007                            1038000200074 
2.023       95.8      0.064      0.005                            1038000200075 
2.023      119.3      0.066      0.004                            1038000200076 
2.023      141.9      0.097      0.005                            1038000200077 
2.023      162.0      0.132      0.007                            1038000200078 
2.081       22.0      0.276      0.016                            1038000200079 
2.081       45.9      0.173      0.010                            1038000200080 
2.081       71.3      0.111      0.007                            1038000200081 
2.081       95.8      0.070      0.005                            1038000200082 
2.081      119.3      0.063      0.004                            1038000200083 
2.081      141.9      0.086      0.005                            1038000200084 
2.081      162.0      0.128      0.007                            1038000200085 
2.204       22.0      0.265      0.015                            1038000200086 
2.204       45.9      0.193      0.011                            1038000200087 
2.204       71.3      0.125      0.007                            1038000200088 
2.204       95.8      0.081      0.005                            1038000200089 
2.204      119.3      0.067      0.004                            1038000200090 
2.204      141.9      0.104      0.005                            1038000200091 
2.204      162.0      0.144      0.007                            1038000200092 
2.301       22.0      0.248      0.014                            1038000200093 
2.301       45.9      0.178      0.010                            1038000200094 
2.301       71.3      0.112      0.006                            1038000200095 
2.301       95.8      0.070      0.005                            1038000200096 
2.301      119.3      0.078      0.004                            1038000200097 
2.301      141.9      0.117      0.006                            1038000200098 
2.301      162.0      0.167      0.009                            1038000200099 
2.390       22.0      0.255      0.015                            1038000200100 
2.390       45.9      0.184      0.010                            1038000200101 
2.390       71.3      0.112      0.007                            1038000200102 
2.390       95.8      0.058      0.004                            1038000200103 
2.390      119.3      0.074      0.004                            1038000200104 
2.390      141.9      0.137      0.007                            1038000200105 
2.390      162.0      0.206      0.011                            1038000200106 
2.450       22.0      0.284      0.016                            1038000200107 
2.450       45.9      0.178      0.010                            1038000200108 
2.450       71.3      0.100      0.006                            1038000200109 
2.450       95.8      0.058      0.004                            1038000200110 
2.450      119.3      0.080      0.005                            1038000200111 
2.450      141.9      0.158      0.008                            1038000200112 
2.450      162.0      0.214      0.011                            1038000200113 
2.510       22.0      0.306      0.018                            1038000200114 
2.510       45.9      0.183      0.010                            1038000200115 
2.510       71.3      0.094      0.006                            1038000200116 
2.510      95.8       0.053      0.004                            1038000200117 
2.510      119.3      0.085      0.005                            1038000200118 
2.510      141.9      0.169      0.008                            1038000200119 
2.510      162.0      0.248      0.012                            1038000200120 
2.583       22.0      0.370      0.022                            1038000200121 
2.583       45.9      0.200      0.011                            1038000200122 
2.583       71.3      0.095      0.006                            1038000200123 
2.583       95.8      0.053      0.004                            1038000200124 
2.583      119.3      0.096      0.005                            1038000200125 
2.583      141.9      0.205      0.010                            1038000200126 
2.583      162.0      0.279      0.013                            1038000200127 
2.595       22.0      0.371      0.021                            1038000200128 
2.595       45.9      0.205      0.011                            1038000200129 
2.595       71.3      0.094      0.006                            1038000200130 
2.595       95.8      0.057      0.004                            1038000200131 
2.595      119.3      0.102      0.006                            1038000200132 
2.595      141.9      0.195      0.009                            1038000200133 
2.595      162.0      0.277      0.013                            1038000200134 
2.638       22.0      0.424      0.024                            1038000200135 
2.638       45.9      0.220      0.012                            1038000200136 
2.638       71.3      0.089      0.006                            1038000200137 
2.638       95.8      0.055      0.004                            1038000200138 
2.638      119.3      0.109      0.006                            1038000200139 
2.638      141.9      0.210      0.010                            1038000200140 
2.638      162.0      0.299      0.014                            1038000200141 
2.670       22.0      0.443      0.026                            1038000200142 
2.670       45.9      0.227      0.012                            1038000200143 
2.670       71.3      0.083      0.005                            1038000200144 
2.670       95.8      0.047      0.003                            1038000200145 
2.670      119.3      0.108      0.006                            1038000200146 
2.670      141.9      0.214      0.011                            1038000200147 
2.670      162.0      0.303      0.016                            1038000200148 
2.701       22.0      0.452      0.026                            1038000200149 
2.701       45.9      0.225      0.013                            1038000200150 
2.701       71.3      0.080      0.005                            1038000200151 
2.701       95.8      0.051      0.003                            1038000200152 
2.701      119.3      0.114      0.006                            1038000200153 
2.701      141.9      0.219      0.011                            1038000200154 
2.701      162.0      0.307      0.015                            1038000200155 
2.759       22.0      0.460      0.026                            1038000200156 
2.759       45.9      0.225      0.012                            1038000200157 
2.759       71.3      0.071      0.004                            1038000200158 
2.759       95.8      0.042      0.003                            1038000200159 
2.759      119.3      0.109      0.006                            1038000200160 
2.759      141.9      0.209      0.010                            1038000200161 
2.759      162.0      0.287      0.014                            1038000200162 
2.801       22.0      0.464      0.027                            1038000200163 
2.801       45.9      0.223      0.013                            1038000200164 
2.801       71.3      0.065      0.004                            1038000200165 
2.801       95.8      0.043      0.003                            1038000200166 
2.801      119.3      0.115      0.006                            1038000200167 
2.801      141.9      0.211      0.010                            1038000200168 
2.801      162.0      0.279      0.014                            1038000200169 
2.850       22.0      0.452      0.026                            1038000200170 
2.850       45.9      0.217      0.012                            1038000200171 
2.850       71.3      0.063      0.004                            1038000200172 
2.850       95.8      0.042      0.003                            1038000200173 
2.850      119.3      0.115      0.007                            1038000200174 
2.850      141.9      0.210      0.010                            1038000200175 
2.850      162.0      0.277      0.014                            1038000200176 
2.900       22.0      0.464      0.024                            1038000200177 
2.900       45.9      0.217      0.011                            1038000200178 
2.900       71.3      0.060      0.004                            1038000200179 
2.900       95.8      0.044      0.003                            1038000200180 
2.900      119.3      0.113      0.006                            1038000200181 
2.900      141.9      0.213      0.010                            1038000200182 
2.900      162.0      0.275      0.013                            1038000200183 
2.952       22.0      0.437      0.022                            1038000200184 
2.952       45.9      0.221      0.011                            1038000200185 
2.952       71.3      0.058      0.004                            1038000200186 
2.952       95.8      0.039      0.002                            1038000200187 
2.952      119.3      0.106      0.006                            1038000200188 
2.952      141.9      0.188      0.009                            1038000200189 
2.952      162.0      0.235      0.011                            1038000200190 
3.002       22.0      0.408      0.021                            1038000200191 
3.002       45.9      0.195      0.010                            1038000200192 
3.002       71.3      0.054      0.003                            1038000200193 
3.002       95.8      0.038      0.003                            1038000200194 
3.002      119.3      0.103      0.005                            1038000200195 
3.002      141.9      0.170      0.008                            1038000200196 
3.002      162.0      0.214      0.010                            1038000200197 
3.056       22.0      0.380      0.019                            1038000200198 
3.056       45.9      0.198      0.010                            1038000200199 
3.056       71.3      0.050      0.003                            1038000200200 
3.056       95.8      0.040      0.003                            1038000200201 
3.056      119.3      0.096      0.005                            1038000200202 
3.056      141.9      0.163      0.008                            1038000200203 
3.056      162.0      0.197      0.010                            1038000200204 
3.102       22.0      0.372      0.019                            1038000200205 
3.102       45.9      0.182      0.009                            1038000200206 
3.102       71.3      0.055      0.003                            1038000200207 
3.102       95.8      0.037      0.002                            1038000200208 
3.102      119.3      0.093      0.005                            1038000200209 
3.102      141.9      0.148      0.007                            1038000200210 
3.102      162.0      0.167      0.008                            1038000200211 
3.153       22.0      0.372      0.019                            1038000200212 
3.153       45.9      0.178      0.009                            1038000200213 
3.153       71.3      0.053      0.003                            1038000200214 
3.153       95.8      0.038      0.002                            1038000200215 
3.153      119.3      0.089      0.005                            1038000200216 
3.153      141.9      0.144      0.007                            1038000200217 
3.153      162.0      0.177      0.009                            1038000200218 
3.204       22.0      0.341      0.018                            1038000200219 
3.204       45.9      0.172      0.009                            1038000200220 
3.204       71.3      0.049      0.003                            1038000200221 
3.204       95.8      0.032      0.002                            1038000200222 
3.204      119.3      0.086      0.005                            1038000200223 
3.204      141.9      0.136      0.007                            1038000200224 
3.204      162.0      0.164      0.008                            1038000200225 
3.303       22.0      0.327      0.017                            1038000200226 
3.303       45.9      0.169      0.009                            1038000200227 
3.303       71.3      0.054      0.003                            1038000200228 
3.303       95.8      0.031      0.002                            1038000200229 
3.303      119.3      0.086      0.005                            1038000200230 
3.303      141.9      0.123      0.006                            1038000200231 
3.303      162.0      0.135      0.007                            1038000200232 
3.456       22.0      0.313      0.017                            1038000200233 
3.456       45.9      0.160      0.008                            1038000200234 
3.456       71.3      0.055      0.004                            1038000200235 
3.456       95.8      0.034      0.002                            1038000200236 
3.456      119.3      0.066      0.004                            1038000200237 
3.456      141.9      0.100      0.005                            1038000200238 
3.456      162.0      0.100      0.006                            1038000200239 
3.500       22.0      0.308      0.017                            1038000200240 
3.500       45.9      0.164      0.009                            1038000200241 
3.500       71.3      0.062      0.004                            1038000200242 
3.500       95.8      0.035      0.003                            1038000200243 
3.500      119.3      0.068      0.004                            1038000200244 
3.500      141.9      0.099      0.005                            1038000200245 
3.500      162.0      0.105      0.007                            1038000200246 
3.560       22.0      0.286      0.016                            1038000200247 
3.560       45.9      0.158      0.009                            1038000200248 
3.560       71.3      0.055      0.004                            1038000200249 
3.560       95.8      0.031      0.002                            1038000200250 
3.560      119.3      0.058      0.003                            1038000200251 
3.560      141.9      0.093      0.005                            1038000200252 
3.560      162.0      0.107      0.007                            1038000200253 
3.687       22.0      0.276      0.016                            1038000200254 
3.687       45.9      0.151      0.008                            1038000200255 
3.687       71.3      0.059      0.004                            1038000200256 
3.687       95.8      0.033      0.003                            1038000200257 
3.687      119.3      0.057      0.003                            1038000200258 
3.687      141.9      0.097      0.005                            1038000200259 
3.687      162.0      0.111      0.008                            1038000200260 
3.817       22.0      0.269      0.015                            1038000200261 
3.817       45.9      0.133      0.007                            1038000200262 
3.817       71.3      0.049      0.003                            1038000200263 
3.817       95.8      0.028      0.002                            1038000200264 
3.817      119.3      0.049      0.003                            1038000200265 
3.817      141.9      0.072      0.004                            1038000200266 
3.817      162.0      0.086      0.006                            1038000200267 
3.888       22.0      0.285      0.015                            1038000200268 
3.888       45.9      0.142      0.008                            1038000200269 
3.888       71.3      0.052      0.003                            1038000200270 
3.888       95.8      0.030      0.002                            1038000200271 
3.888      119.3      0.049      0.003                            1038000200272 
3.888      141.9      0.075      0.004                            1038000200273 
3.888      162.0      0.098      0.006                            1038000200274 
3.988       22.0      0.300      0.016                            1038000200275 
3.988       45.9      0.143      0.008                            1038000200276 
3.988       71.3      0.050      0.003                            1038000200277 
3.988       95.8      0.029      0.002                            1038000200278 
3.988      119.3      0.048      0.003                            1038000200279 
3.988      141.9      0.081      0.004                            1038000200280 
3.988      162.0      0.091      0.006                            1038000200281 
4.089       22.0      0.336      0.018                            1038000200282 
4.089       45.9      0.164      0.009                            1038000200283 
4.089       71.3      0.057      0.004                            1038000200284 
4.089       95.8      0.039      0.003                            1038000200285 
4.089      119.3      0.050      0.003                            1038000200286 
4.089      141.9      0.079      0.004                            1038000200287 
