ENTRY            10397   20030102                             13401039700000001 
SUBENT        10397001   20030102                             13401039700100001 
BIB                 12         25                                 1039700100002 
INSTITUTE  (1USAORL)                                              1039700100003 
REFERENCE  (J,PR/C,10,958,197408)                                 1039700100004 
           (R,ORNL-TM-4389,197312)                                1039700100005 
           (J,NSE,62,515,197703) REVIEW                           1039700100006 
AUTHOR     (J.K.Dickens,T.A.Love,G.L.Morgan)                      1039700100007 
TITLE      28Si(n,n'gamma) photon production cross sections for   1039700100008 
            E(gamma) = 1.78 MeV, 5.0 <= E(n) <= 9.5 MeV           1039700100009 
FACILITY   (LINAC,1USAORL) Oak Ridge Electron Linear Accelerator  1039700100010 
INC-SPECT  White neutron spectrum.                                1039700100011 
SAMPLE     Sample thickness 0.0762 atoms/barn. Oriented at 90     1039700100012 
            degrees with respect to beam for data at 125 degrees  1039700100013 
            and at 60 degrees for data at 90 degrees.             1039700100014 
METHOD     (TOF) Time of flight.                                  1039700100015 
DETECTOR   (NAICR) Sodium-iodide crystal spectrometer             1039700100016 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG)                                1039700100017 
STATUS     (APRVD) Approved by author                             1039700100018 
           Data received on magnetic tape, Morgan, November 1975. 1039700100019 
HISTORY    (19740624C)                                            1039700100020 
           (19780727A) REFERENCE updated. BIB correction          1039700100021 
           (19830526A) Converted to REACTION formalism            1039700100022 
           (19840416A) BIB correction, Data sorted.               1039700100023 
           (20030102A) Converted to new date formats, lower case. 1039700100024 
           (20060930A) DR Addition of energies in subentry 2      1039700100025 
                          from the ORNL-TM report                 1039700100026 
                          Addition of subentries 4, 5 and 6       1039700100027 
ENDBIB              25          0                                 1039700100028 
NOCOMMON             0          0                                 1039700100029 
ENDSUBENT           28          0                                 1039700199999 
SUBENT        10397002   20030102                             13401039700200001 
BIB                  3          5                                 1039700200002 
REACTION   (14-SI-0(N,X)0-G-0,,DA/DE)                             1039700200003 
ERR-ANALYS (ERR-S) Statistical uncertainty                        1039700200004 
           (ERR-SYS) 10 % systematic uncertainty                  1039700200005 
STATUS     (TABLE) Data taken from Tables page 78 to 127          1039700200006 
            of the report                                         1039700200007 
ENDBIB               5          0                                 1039700200008 
COMMON               2          3                                 1039700200009 
ANG        ERR-SYS                                                1039700200010 
ADEG       PER-CENT                                               1039700200011 
90.        10.                                                    1039700200012 
ENDCOMMON            3          0                                 1039700200013 
DATA                 5       3125                                 1039700200014 
EN-MIN     EN-MAX     E          DATA       ERR-S                 1039700200015 
MEV        MEV        MEV        B/SR/MEV   PER-CENT              1039700200016 
 1.00       1.24        6.900E-01  -7.16E-05    1.1E-04           1039700200017 
 1.00       1.24        7.100E-01  -1.84E-04    1.1E-04           1039700200018 
 1.00       1.24        7.300E-01  -3.17E-04    8.9E-05           1039700200019 
 1.00       1.24        7.500E-01  -4.62E-04    9.0E-05           1039700200020 
 1.00       1.24        7.700E-01  -5.09E-04    8.1E-05           1039700200021 
 1.00       1.24        7.900E-01  -4.40E-04    6.9E-05           1039700200022 
 1.00       1.24        8.100E-01  -3.42E-04    9.0E-05           1039700200023 
 1.00       1.24        8.300E-01  -2.81E-04    9.0E-05           1039700200024 
 1.00       1.24        8.500E-01  -2.64E-04    6.3E-05           1039700200025 
 1.00       1.24        8.700E-01  -2.22E-04    7.4E-05           1039700200026 
 1.00       1.24        8.900E-01  -1.65E-04    7.4E-05           1039700200027 
 1.00       1.24        9.100E-01  -1.08E-04    6.4E-05           1039700200028 
 1.00       1.24        9.300E-01  -6.90E-05    6.1E-05           1039700200029 
 1.00       1.24        9.500E-01  -4.93E-05    6.7E-05           1039700200030 
 1.00       1.24        9.700E-01  -4.49E-05    6.3E-05           1039700200031 
 1.00       1.24        1.000E+00  -3.18E-05    6.0E-05           1039700200032 
 1.00       1.24        1.040E+00   7.13E-06    5.8E-05           1039700200033 
 1.00       1.24        1.080E+00   1.80E-05    4.9E-05           1039700200034 
 1.00       1.24        1.120E+00  -2.60E-05    3.5E-05           1039700200035 
 1.00       1.24        1.160E+00  -4.98E-05    4.1E-05           1039700200036 
 1.00       1.24        1.200E+00   6.52E-06    3.9E-05           1039700200037 
 1.00       1.24        1.240E+00   1.04E-04    5.0E-05           1039700200038 
 1.00       1.24        1.280E+00   9.95E-05    4.9E-05           1039700200039 
 1.00       1.24        1.320E+00  -7.63E-06    4.4E-05           1039700200040 
 1.00       1.24        1.360E+00  -4.94E-05    4.4E-05           1039700200041 
 1.00       1.24        1.400E+00  -5.45E-05    4.2E-05           1039700200042 
 1.00       1.24        1.440E+00  -3.30E-05    4.8E-05           1039700200043 
 1.00       1.24        1.480E+00  -5.66E-07    4.7E-05           1039700200044 
 1.00       1.24        1.520E+00   2.89E-05    5.1E-05           1039700200045 
 1.00       1.24        1.560E+00   3.52E-05    5.2E-05           1039700200046 
 1.00       1.24        1.600E+00   2.05E-05    5.0E-05           1039700200047 
 1.00       1.24        1.640E+00   1.16E-05    5.0E-05           1039700200048 
 1.00       1.24        1.680E+00   3.02E-05    4.8E-05           1039700200049 
 1.00       1.24        1.720E+00   5.09E-05    4.9E-05           1039700200050 
 1.00       1.24        1.760E+00   4.29E-05    4.6E-05           1039700200051 
 1.00       1.24        1.800E+00   2.29E-05    4.5E-05           1039700200052 
 1.00       1.24        1.850E+00   8.70E-06    4.6E-05           1039700200053 
 1.00       1.24        1.910E+00   2.16E-05    4.5E-05           1039700200054 
 1.00       1.24        1.970E+00   4.50E-05    4.9E-05           1039700200055 
 1.00       1.24        2.030E+00   4.04E-05    4.4E-05           1039700200056 
 1.00       1.24        2.090E+00   2.10E-05    4.3E-05           1039700200057 
 1.00       1.24        2.150E+00   6.66E-06    4.3E-05           1039700200058 
 1.00       1.24        2.210E+00  -6.09E-06    4.2E-05           1039700200059 
 1.00       1.24        2.270E+00  -6.27E-06    3.9E-05           1039700200060 
 1.00       1.24        2.330E+00   2.03E-06    3.5E-05           1039700200061 
 1.00       1.24        2.390E+00   9.95E-06    3.5E-05           1039700200062 
 1.00       1.24        2.450E+00  -2.65E-07    3.3E-05           1039700200063 
 1.00       1.24        2.510E+00  -1.74E-05    3.3E-05           1039700200064 
 1.00       1.24        2.570E+00  -1.76E-05    3.0E-05           1039700200065 
 1.00       1.24        2.630E+00   6.19E-06    3.2E-05           1039700200066 
 1.00       1.24        2.690E+00   3.59E-05    2.9E-05           1039700200067 
 1.00       1.24        2.750E+00   4.54E-05    3.2E-05           1039700200068 
 1.00       1.24        2.810E+00   3.02E-05    2.7E-05           1039700200069 
 1.00       1.24        2.870E+00   2.35E-05    2.8E-05           1039700200070 
 1.00       1.24        2.930E+00   2.61E-05    3.1E-05           1039700200071 
 1.00       1.24        2.990E+00   2.48E-05    2.9E-05           1039700200072 
 1.00       1.24        3.050E+00   1.69E-05    3.1E-05           1039700200073 
 1.00       1.24        3.110E+00   1.04E-05    3.2E-05           1039700200074 
 1.00       1.24        3.180E+00  -2.12E-06    3.1E-05           1039700200075 
 1.00       1.24        3.2600+00  -1.63E-05    2.8E-05           1039700200076 
 1.00       1.24        3.340E+00  -2.36E-05    2.8E-05           1039700200077 
