ENTRY            10459   20030626                             00001045900000001 
SUBENT        10459001   20030626                             00001045900100001 
BIB                 12         24                                 1045900100002 
INSTITUTE  (1CANALA)                                              1045900100003 
REFERENCE  (J,PR/C,10,1864,197411)                                1045900100004 
           (R,ALBERTA-67,197405) TABULATED DATA                   1045900100005 
AUTHOR     (S.A.Elbakr,I.J.Van Heerden,D.R.Gill,N.Ahmed,          1045900100006 
           W.J.McDonald,G.C.Neilson,W.K.Dawson)                   1045900100007 
TITLE      Level structure of 160Gd from the (n,n'gamma) reaction 1045900100008 
FACILITY   (VDG,1CANALA)                                          1045900100009 
INC-SOURCE (P-LI7) Protons on lithium                             1045900100010 
METHOD     (TOF) Time-of-flight                                   1045900100011 
DETECTOR   (GELI,SCIN) Germanium-lithium detectors for gammas     1045900100012 
                       NE213 scintillators for neutron flux       1045900100013 
MONITOR     Absolute neutron flux determined from the measured    1045900100014 
            differential cross sections of the 7Li(p,n) and       1045900100015 
            3H(p,n) reactions                                     1045900100016 
ERR-ANALYS (ERR-S) Errors given are statistical errors only.      1045900100017 
            Other errors estimated to be a maximum of 15% due to  1045900100018 
            peak uncertainties, detector efficiency, neutron      1045900100019 
            source cross sections, size of sample, attenuation of 1045900100020 
            gammas and neutrons and integration over geometry.    1045900100021 
STATUS     (APRVD) Approved by author 1975/4/28                   1045900100022 
HISTORY    (19750108C)                                            1045900100023 
           (19830609A) Converted to REACTION formalism            1045900100024 
           (19840423A) BIB correction.                            1045900100025 
           (20030626A) Converted to new date formats, lower case. 1045900100026 
ENDBIB              24          0                                 1045900100027 
NOCOMMON             0          0                                 1045900100028 
ENDSUBENT           27          0                                 1045900199999 
SUBENT        10459002   20030626                             00001045900200001 
BIB                  3          3                                 1045900200002 
REACTION   (64-GD-160(N,INL)64-GD-160,PAR,SIG)                    1045900200003 
SAMPLE     95.95% enriched gadolinium-oxide disk, weight 3.460 g. 1045900200004 
HISTORY    (19840423A) Data sorted.                               1045900200005 
ENDBIB               3          0                                 1045900200006 
NOCOMMON             0          0                                 1045900200007 
DATA                 4         80                                 1045900200008 
E-LVL      EN         DATA       ERR-S                            1045900200009 
KEV        KEV        MB         MB                               1045900200010 
 989.      1059.      150.       13.                              1045900200011 
 989.      1203.      292.       20.                              1045900200012 
 989.      1361.      396.       27.                              1045900200013 
 989.      1519.      449.       30.                              1045900200014 
 989.      1694.      392.       27.                              1045900200015 
 989.      1873.      336.       26.                              1045900200016 
 989.      2036.      300.       19.                              1045900200017 
1058.      1221.      154.       14.                              1045900200018 
1058.      1378.      208.       18.                              1045900200019 
1058.      1528.      257.       21.                              1045900200020 
1058.      1698.      249.       20.                              1045900200021 
1058.      1875.      244.       21.                              1045900200022 
1058.      2043.      192.       16.                              1045900200023 
1058.      2061.      252.       21.                              1045900200024 
1071.      1224.       30.        4.                              1045900200025 
1071.      1381.       69.        6.                              1045900200026 
1071.      1530.       80.        7.                              1045900200027 
1071.      1699.       95.        9.                              1045900200028 
1071.      1876.       89.        9.                              1045900200029 
1071.      2045.      124.       12.                              1045900200030 
1071.      2062.      124.       12.                              1045900200031 
1149.      1396.       44.        6.                              1045900200032 
1149.      1546.       73.        8.                              1045900200033 
1149.      1706.      117.        9.                              1045900200034 
1149.      1878.      126.       11.                              1045900200035 
1149.      2055.      108.       13.                              1045900200036 
1149.      2065.      158.       12.                              1045900200037 
1225.      1275.      121.       15.                              1045900200038 
1225.      1414.      213.       15.                              1045900200039 
1225.      1566.      267.       18.                              1045900200040 
1225.      1716.      218.       16.                              1045900200041 
1225.      1883.      226.       17.                              1045900200042 
1225.      2067.      234.       16.                              1045900200043 
1225.      2067.      212.       17.                              1045900200044 
1290.      1433.       86.       10.                              1045900200045 
1290.      1582.      148.       12.                              1045900200046 
1290.      1727.      173.       13.                              1045900200047 
1290.      1888.      202.       15.                              1045900200048 
1290.      2069.      185.       14.                              1045900200049 
1290.      2077.      192.       17.                              1045900200050 
1351.      1452.       87.       14.                              1045900200051 
1351.      1595.      172.       14.                              1045900200052 
1351.      1741.      158.       14.                              1045900200053 
1351.      1894.      149.       13.                              1045900200054 
1351.      2072.      164.       12.                              1045900200055 
1351.      2087.      191.       17.                              1045900200056 
1378.      1461.       90.       13.                              1045900200057 
1378.      1602.      139.       20.                              1045900200058 
1378.      1748.      171.       20.                              1045900200059 
1378.      1898.      170.       16.                              1045900200060 
1378.      2074.      134.       19.                              1045900200061 
1378.      2091.      160.       18.                              1045900200062 
1381.      1462.       51.       12.                              1045900200063 
1381.      1603.       62.       15.                              1045900200064 
1381.      1749.       56.       13.                              1045900200065 
1381.      1898.       52.        7.                              1045900200066 
1381.      2074.       72.       14.                              1045900200067 
1436.      1618.      133.       16.                              1045900200068 
1436.      1765.      134.       13.                              1045900200069 
1436.      1907.      132.       13.                              1045900200070 
1436.      2078.      137.       11.                              1045900200071 
1436.      2101.      127.       21.                              1045900200072 
1464.      1626.       32.        5.                              1045900200073 
1464.      1774.       32.        4.                              1045900200074 
1464.      1913.       33.        5.                              1045900200075 
1464.      2081.       34.        4.                              1045900200076 
1464.      2106.       32.       10.                              1045900200077 
1569.      1799.       59.       12.                              1045900200078 
1569.      1939.       69.       13.                              1045900200079 
1569.      2093.       80.        8.                              1045900200080 
1569.      2125.       60.       16.                              1045900200081 
1587.      1804.       72.        7.                              1045900200082 
1587.      1945.       79.        8.                              1045900200083 
1587.      2096.       88.        8.                              1045900200084 
1587.      2129.       92.       16.                              1045900200085 
1599.      1671.       27.       12.                              1045900200086 
1599.      1808.       32.        7.                              1045900200087 
1599.      1948.       28.        6.                              1045900200088 
1599.      2098.       25.        3.                              1045900200089 
1599.      2131.       22.        9.                              1045900200090 
ENDDATA             82          0                                 1045900200091 
ENDSUBENT           90          0                                 1045900299999 
ENDENTRY             2          0                                 1045999999999 
