ENTRY            10480   20031103                             00001048000000001 
SUBENT        10480001   20031103                             00001048000100001 
BIB                 13         25                                 1048000100002 
INSTITUTE  (1USALTI)                                              1048000100003 
REFERENCE  (J,BAP,17,555(HE4),197204)                             1048000100004 
AUTHOR     (A.Mittler,J.A.Correia,L.E.Beghian,J.J.Egan,G.Kegel,   1048000100005 
           P.Harihar,R.V.Le Claire,W.Schier)                      1048000100006 
TITLE      Neutron Inelastic Scattering Cross Sections for 51V    1048000100007 
            via (n,n'gamma) Reactions.                            1048000100008 
FACILITY   (VDG) 5.5 MeV Van de Graaff                            1048000100009 
INC-SPECT  Incident neutron spectrum resolution:                  1048000100010 
             120 keV for En= 1.0 MeV                              1048000100011 
              28 keV for En= 4.5 MeV                              1048000100012 
METHOD     (TOF) Time-of-flight                                   1048000100013 
DETECTOR   (GELI) Germanium-lithium detector                      1048000100014 
            Proton recoil telescope used to monitor neutron flux. 1048000100015 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1048000100016 
CORRECTION Data given have been corrected for neutron attenuation,1048000100017 
            gamma-ray attenuation, and neutron multiple scattering1048000100018 
            in sample                                             1048000100019 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties.  1048000100020 
STATUS     (APRVD) Approved by author                             1048000100021 
            Data received in private comm., Mittler, 1975/3.      1048000100022 
HISTORY    (19750324C)                                            1048000100023 
           (19760302U) References corrected                       1048000100024 
           (19771221U) BIB update                                 1048000100025 
           (19830614A) Converted to REACTION formalism            1048000100026 
           (20031103A) Convered to new date formats, lower case.  1048000100027 
ENDBIB              25          0                                 1048000100028 
NOCOMMON             0          0                                 1048000100029 
ENDSUBENT           28          0                                 1048000199999 
SUBENT        10480002   19830614                             00001048000200001 
BIB                  1          1                                 1048000200002 
REACTION   (23-V-51(N,INL)23-V-51,PAR,DA,G)                       1048000200003 
ENDBIB               1          0                                 1048000200004 
COMMON               1          3                                 1048000200005 
ANG                                                               1048000200006 
ADEG                                                              1048000200007 
90.                                                               1048000200008 
ENDCOMMON            3          0                                 1048000200009 
DATA                 4        110                                 1048000200010 
E          EN         DATA       DATA-ERR                         1048000200011 
KEV        MEV        MB/SR      MB/SR                            1048000200012 
 321.      1.10       32.6       2.5                              1048000200013 
 321.      1.30       38.4       4.4                              1048000200014 
 321.      1.50       34.6       3.6                              1048000200015 
 321.      1.70       41.9       3.8                              1048000200016 
 321.      1.90       39.4       2.5                              1048000200017 
 321.      2.10       42.6       3.9                              1048000200018 
 321.      2.30       42.5       3.9                              1048000200019 
 321.      2.50       37.6       3.4                              1048000200020 
 321.      2.70       42.5       3.9                              1048000200021 
 321.      2.90       39.2       3.6                              1048000200022 
 321.      3.10       37.0       3.4                              1048000200023 
 321.      3.30       37.0       3.3                              1048000200024 
 321.      3.50       37.7       3.5                              1048000200025 
 321.      3.90       38.0       3.4                              1048000200026 
 321.      4.10       34.0       3.1                              1048000200027 
 607.      1.30        0.68      0.12                             1048000200028 
 607.      1.50        1.43      0.18                             1048000200029 
 607.      1.70        1.58      0.24                             1048000200030 
 607.      1.90        1.74      0.24                             1048000200031 
 607.      2.10        2.00      0.23                             1048000200032 
 607.      2.30        2.00      0.24                             1048000200033 
 607.      2.50        1.86      0.22                             1048000200034 
 607.      2.70        2.31      0.28                             1048000200035 
 607.      2.90        2.60      0.30                             1048000200036 
 607.      3.10        2.47      0.36                             1048000200037 
 607.      3.30        1.90      0.28                             1048000200038 
 607.      3.50        2.10      0.30                             1048000200039 
 607.      3.70        3.22      0.43                             1048000200040 
 607.      3.90        2.13      0.37                             1048000200041 
 607.      4.10        2.12      0.26                             1048000200042 
 927.      1.10        0.93      0.26                             1048000200043 
 927.      1.30        1.98      0.23                             1048000200044 
 927.      1.50        6.96      0.66                             1048000200045 
 927.      1.70        9.63      0.94                             1048000200046 
 927.      1.90       10.72      1.0                              1048000200047 
 927.      2.10       11.7       1.1                              1048000200048 
 927.      2.30       11.3       1.0                              1048000200049 
 927.      2.50       11.4       1.1                              1048000200050 
 927.      2.70       11.8       1.1                              1048000200051 
 927.      2.90       14.8       3.9                              1048000200052 
 927.      3.10       11.6       1.1                              1048000200053 
