ENTRY            10502   20040427                             00001050200000001 
SUBENT        10502001   20040427                             00001050200100001 
BIB                 11         22                                 1050200100002 
INSTITUTE  (1USAORL)                                              1050200100003 
REFERENCE  (R,ORNL-TM-4538,197404)                                1050200100004 
           (J,NSE,62,515,197703) Review.                          1050200100005 
AUTHOR     (J.K.Dickens,T.A.Love,G.L.Morgan)                      1050200100006 
TITLE      Gamma-ray production due to neutron interactions with  1050200100007 
            fluorine and lithium for incident neutron energies    1050200100008 
            between 0.55 and 20 MeV: Tabulated differential cross 1050200100009 
            sections.                                             1050200100010 
FACILITY   (LINAC,1USAORL) Oak Ridge Electron Linear Accelerator  1050200100011 
SAMPLE     Disc of lithium-fluoride, 0.114 molecules/barn thick,  1050200100012 
            oriented at 45 deg. with respect to incident beam     1050200100013 
METHOD     (TOF,PHD) Time-of-flight,pulse-height discrimination   1050200100014 
DETECTOR   (SCIN) NE-110 scintillator for flux monitor            1050200100015 
           (NAICR) Sodium-iodide spectrometer for gammas.         1050200100016 
CORRECTION An average correction was made for multiple scattering 1050200100017 
            and attenuation of beam. (See reference text for      1050200100018 
             details)                                             1050200100019 
STATUS     (APRVD) Approved by author 1975/7/31                   1050200100020 
HISTORY    (19750501C)                                            1050200100021 
           (19760302A) SAN 2 ISO-QUANT corrected                  1050200100022 
           (19780808U) Reference added.                           1050200100023 
           (20040427A) Updated to new date formats, lower case.   1050200100024 
ENDBIB              22          0                                 1050200100025 
NOCOMMON             0          0                                 1050200100026 
ENDSUBENT           25          0                                 1050200199999 
SUBENT        10502002   20040427                             00001050200200001 
BIB                  3          8                                 1050200200002 
REACTION   (9-F-19(N,X)0-G-0,,DA/DE)                              1050200200003 
ERR-ANALYS (DATA-ERR1) Relative error between bins, see ref text  1050200200004 
           (DATA-ERR2) Data errors given include the following:   1050200200005 
           . flux monitor efficiency,                             1050200200006 
           . gamma-detector efficiency,                           1050200200007 
           . statistical errors in multiple scattering correction.1050200200008 
HISTORY    (19810522A) Converted to REACTION formalism.           1050200200009 
           (19840426A) BIB, DATA corrections.                     1050200200010 
ENDBIB               8          0                                 1050200200011 
COMMON               2          3                                 1050200200012 
ANG        DATA-ERR2                                              1050200200013 
ADEG       PER-CENT                                               1050200200014 
125.       18.                                                    1050200200015 
ENDCOMMON            3          0                                 1050200200016 
DATA                 5       2108                                 1050200200017 
EN-MIN     EN-MAX     E          DATA       DATA-ERR1             1050200200018 
MEV        MEV        MEV        B/SR/MEV   B/SR/MEV              1050200200019 
 1.26       1.50        9.100E-01   4.87E-05   1.23E-04           1050200200020 
 1.26       1.50        9.300E-01   4.51E-05   1.21E-04           1050200200021 
 1.26       1.50        9.500E-01   7.40E-05   1.21E-04           1050200200022 
 1.26       1.50        9.700E-01   1.23E-04   1.17E-04           1050200200023 
 1.26       1.50        1.000E+00   1.09E-04   1.16E-04           1050200200024 
 1.26       1.50        1.040E+00   3.08E-05   1.06E-04           1050200200025 
 1.26       1.50        1.080E+00   1.18E-04   1.05E-04           1050200200026 
 1.26       1.50        1.120E+00   5.24E-04   1.05E-04           1050200200027 
 1.26       1.50        1.160E+00   1.48E-03   1.15E-04           1050200200028 
 1.26       1.50        1.200E+00   2.43E-03   1.10E-04           1050200200029 
 1.26       1.50        1.240E+00   2.22E-03   9.67E-05           1050200200030 
 1.26       1.50        1.280E+00   1.10E-03   7.62E-05           1050200200031 
 1.26       1.50        1.320E+00   3.09E-04   6.71E-05           1050200200032 
 1.26       1.50        1.360E+00   9.19E-05   5.94E-05           1050200200033 
 1.26       1.50        1.400E+00   5.38E-05   4.86E-05           1050200200034 
 1.26       1.50        1.440E+00   2.36E-05   4.43E-05           1050200200035 
 1.26       1.50        1.480E+00  -1.06E-05   4.33E-05           1050200200036 
 1.26       1.50        1.520E+00  -3.66E-05   3.97E-05           1050200200037 
 1.26       1.50        1.560E+00  -2.99E-05   3.71E-05           1050200200038 
 1.26       1.50        1.600E+00  -7.53E-06   4.12E-05           1050200200039 
 1.26       1.50        1.660E+00  -1.43E-06   4.13E-05           1050200200040 
 1.26       1.50        1.680E+00  -8.70E-06   3.66E-05           1050200200041 
 1.26       1.50        1.720E+00   5.77E-06   4.38E-05           1050200200042 
 1.26       1.50        1.760E+00   2.30E-05   4.19E-05           1050200200043 
 1.26       1.50        1.800E+00   3.21E-05   3.81E-05           1050200200044 
 1.26       1.50        1.850E+00   2.47E-05   3.67E-05           1050200200045 
 1.26       1.50        1.910E+00   1.35E-05   3.48E-05           1050200200046 
 1.26       1.50        1.970E+00   8.43E-06   3.37E-05           1050200200047 
 1.26       1.50        2.090E+00  -5.55E-06   2.11E-05           1050200200048 
 1.26       1.50        2.240E+00   1.63E-05   2.52E-05           1050200200049 
 1.26       1.50        2.390E+00   1.70E-05   1.56E-05           1050200200050 
