ENTRY            10562   20040602                             00001056200000001 
SUBENT        10562001   20040602                             00001056200100001 
BIB                 10         19                                 1056200100002 
INSTITUTE  (1USALRL)                                              1056200100003 
REFERENCE  (J,NSE,66,205,197805)                                  1056200100004 
           (R,UCID-16981,197512) Preliminary data                 1056200100005 
AUTHOR     (G.W.Carlson,J.W.Behrens)                              1056200100006 
TITLE      Measurement of the Fission Cross Sections of           1056200100007 
            Uranium-233 and Plutonium-239 Relative to Uranium-235 1056200100008 
            from 1 keV to 30 keV.                                 1056200100009 
FACILITY   (LINAC,1USALRL) Livermore Electron Linear Accelerator  1056200100010 
METHOD     (TOF) Time-of-flight. 17-m and 34.3-m flight paths.    1056200100011 
DETECTOR   (FISCH) Ionization fission chambers                    1056200100012 
ERR-ANALYS (ERR-S) Statistical error                              1056200100013 
           (DATA-ERR) Total error                                 1056200100014 
STATUS     (APRVD) Approved by J.W.Behrens 1978/3/6.              1056200100015 
HISTORY    (19760112C)                                            1056200100016 
           (19771209A) BIB update. Converted to REACTION          1056200100017 
                       formalism.                                 1056200100018 
           (19780913U) Reference update                           1056200100019 
           (19830914A) MONITOR, COMMON updated in all subentries. 1056200100020 
           (20040602A) Converted to new date formats, lower case. 1056200100021 
ENDBIB              19          0                                 1056200100022 
NOCOMMON             0          0                                 1056200100023 
ENDSUBENT           22          0                                 1056200199999 
SUBENT        10562002   20040602                             00001056200200001 
BIB                  3          5                                 1056200200002 
REACTION   ((94-PU-239(N,F),,SIG)/(92-U-235(N,F),,SIG))           1056200200003 
MONITOR    ((94-PU-239(N,F),,SIG,,AV)/(92-U-235(N,F),,SIG,,AV))   1056200200004 
            Determined from fission ratios of 238U/235U and       1056200200005 
            238U/239Pu and from measurements in thermal range.    1056200200006 
HISTORY    (19771209A) Preliminary data replaced.                 1056200200007 
ENDBIB               5          0                                 1056200200008 
COMMON               3          3                                 1056200200009 
EN-NRM-MIN EN-NRM-MAX MONIT                                       1056200200010 
MEV        MEV        NO-DIM                                      1056200200011 
 1.75       4.0        1.513                                      1056200200012 
ENDCOMMON            3          0                                 1056200200013 
DATA                 4        107                                 1056200200014 
EN         DATA       ERR-S      DATA-ERR                         1056200200015 
MEV        NO-DIM     PER-CENT   PER-CENT                         1056200200016 
  0.00085   0.697       1.8        2.1                            1056200200017 
  0.00125   0.713       1.4        1.8                            1056200200018 
  0.00175   0.521       1.9        2.2                            1056200200019 
  0.0025    0.650       1.4        1.8                            1056200200020 
  0.0035    0.633       1.5        1.9                            1056200200021 
  0.005     0.606       1.2        1.6                            1056200200022 
  0.007     0.665       1.4        1.8                            1056200200023 
  0.009     0.647       1.5        1.9                            1056200200024 
  0.0125    0.690       1.1        1.6                            1056200200025 
  0.0175    0.730       1.2        1.6                            1056200200026 
  0.0225    0.754       1.2        1.6                            1056200200027 
  0.0275    0.744       1.2        1.6                            1056200200028 
  0.035     0.818       1.0        1.5                            1056200200029 
  0.045     0.834       1.0        1.5                            1056200200030 
  0.055     0.841       1.0        1.5                            1056200200031 
  0.065     0.903       1.0        1.5                            1056200200032 
  0.075     0.916       1.1        1.6                            1056200200033 
  0.085     0.947       1.1        1.6                            1056200200034 
  0.095     0.972       1.1        1.6                            1056200200035 
  0.1032    0.976       1.1        1.6                            1056200200036 
  0.1101    1.024       1.1        1.6                            1056200200037 
  0.1180    0.988       1.0        1.5                            1056200200038 
  0.1269    1.000       1.0        1.5                            1056200200039 
  0.1367    1.032       0.9        1.4                            1056200200040 
  0.1478    1.073       0.9        1.4                            1056200200041 
  0.1603    1.059       0.8        1.4                            1056200200042 
  0.1744    1.060       0.8        1.4                            1056200200043 
  0.1905    1.070       0.7        1.3                            1056200200044 
  0.2089    1.126       0.7        1.3                            1056200200045 
  0.2301    1.168       0.6        1.3                            1056200200046 
  0.2547    1.186       0.6        1.3                            1056200200047 
  0.2835    1.247       0.5        1.2                            1056200200048 
  0.3174    1.239       0.5        1.2                            1056200200049 
  0.3579    1.266       0.4        1.2                            1056200200050 
  0.4066    1.302       0.4        1.2                            1056200200051 
  0.4660    1.367       0.4        1.2                            1056200200052 
  0.5395    1.395       0.3        1.2                            1056200200053 
  0.6318    1.435       0.3        1.2                            1056200200054 
  0.6985    1.459       0.5        1.2                            1056200200055 
