ENTRY            10609   20040726                             00001060900000001 
SUBENT        10609001   20040726                             00001060900100001 
BIB                 13         25                                 1060900100002 
INSTITUTE  (1USAORL)                                              1060900100003 
REFERENCE  (P,NCSAC-42,190,197811)                                1060900100004 
AUTHOR     (F.G.Perey,W.E.Kinney)                                 1060900100005 
TITLE      Elastic and Inelastic Scattering Cross Sections in the 1060900100006 
            Energy Range 5.2 - 8.7 MeV.                           1060900100007 
FACILITY   (VDG,1USAORL)                                          1060900100008 
SAMPLE     Natural carbon sample                                  1060900100009 
METHOD     (TOF) Time-of-flight                                   1060900100010 
DETECTOR   (SCIN) NE-213 scintillator                             1060900100011 
MONITOR    Measurements were made relative to hydrogen            1060900100012 
            scattering. Below 7.33% the sum of the integrated     1060900100013 
            elastic and inelastic cross sections had an average   1060900100014 
            systematic difference of 4% compared to ENDF/B-IV     1060900100015 
            total cross sections. All data was thus renormalized  1060900100016 
            by 1.04.                                              1060900100017 
CORRECTION Corrected for multiple scattering                      1060900100018 
ERR-ANALYS (DATA-ERR) Data errors given include statistical error 1060900100019 
            and error in multiple scattering correction.          1060900100020 
STATUS     (PRELM) Preliminary data                               1060900100021 
           (APRVD) Approved by F.G.Perey, 1980/10/2.              1060900100022 
           Data taken from private comm., Perey, 1976/5/18.       1060900100023 
HISTORY    (19800820C)                                            1060900100024 
           (19831109U) BIB update.                                1060900100025 
           (19860129A) BIB update.                                1060900100026 
           (20040726A) Converted to new date formats, lower case. 1060900100027 
ENDBIB              25          0                                 1060900100028 
NOCOMMON             0          0                                 1060900100029 
ENDSUBENT           28          0                                 1060900199999 
SUBENT        10609002   20040726                             00001060900200001 
BIB                  2          2                                 1060900200002 
REACTION   (6-C-0(N,EL)6-C-0,,DA)                                 1060900200003 
ERR-ANALYS Systematic error of about 7% not included.             1060900200004 
ENDBIB               2          0                                 1060900200005 
NOCOMMON             0          0                                 1060900200006 
DATA                 5        670                                 1060900200007 
EN         EN-ERR     ANG        DATA       DATA-ERR              1060900200008 
MEV        MEV        ADEG       MB/SR      PER-CENT              1060900200009 
      5.22      0.10      13.5     225.7       6.0                1060900200010 
      5.22      0.10      21.6     196.6       6.0                1060900200011 
      5.22      0.10      29.7     171.6       6.0                1060900200012 
      5.22      0.10      37.7     134.2       6.0                1060900200013 
      5.22      0.10      45.7     105.0       6.0                1060900200014 
      5.22      0.10      51.0      99.8       6.0                1060900200015 
      5.22      0.10      58.9      80.1       6.0                1060900200016 
      5.22      0.10      66.7      67.6       6.0                1060900200017 
      5.22      0.10      74.5      60.3       6.0                1060900200018 
      5.22      0.10      82.2      63.4       6.0                1060900200019 
      5.22      0.10      89.8      70.7       6.0                1060900200020 
      5.22      0.10      97.3      69.7       6.0                1060900200021 
      5.22      0.10     104.7      68.6       6.0                1060900200022 
      5.22      0.10     112.1      66.6       6.0                1060900200023 
      5.22      0.10     126.1      56.2       6.0                1060900200024 
      5.22      0.10     133.2      47.8       8.0                1060900200025 
      5.22      0.10     140.3      42.6       9.0                1060900200026 
      5.32      0.10      13.5     332.8       6.0                1060900200027 
      5.32      0.10      21.6     332.8       6.0                1060900200028 
      5.32      0.10      29.7     262.1       6.0                1060900200029 
      5.32      0.10      37.7     213.2       6.0                1060900200030 
      5.32      0.10      45.7     168.5       6.0                1060900200031 
      5.32      0.10      51.0     143.5       6.0                1060900200032 
      5.32      0.10      58.9     108.2       6.0                1060900200033 
      5.32      0.10      66.7      70.7       6.0                1060900200034 
      5.32      0.10      74.5      72.8       6.0                1060900200035 
      5.32      0.10      82.2      67.6       6.0                1060900200036 
      5.32      0.10      89.8      64.5       6.0                1060900200037 
      5.32      0.10      97.3      69.7       6.0                1060900200038 
      5.32      0.10     104.7      78.0       6.0                1060900200039 
      5.32      0.10     112.1      67.6       6.0                1060900200040 
      5.32      0.10     126.1      62.4       6.0                1060900200041 
      5.32      0.10     133.2      54.1       6.0                1060900200042 
      5.32      0.10     140.3      44.7      12.0                1060900200043 
      5.42      0.09      13.5     292.2       6.0                1060900200044 
      5.42      0.09      21.6     288.1       6.0                1060900200045 
      5.42      0.09      29.7     229.8       6.0                1060900200046 
