ENTRY            10619   20040726                             00001061900000001 
SUBENT        10619001   20040726                             00001061900100001 
BIB                 13         20                                 1061900100002 
INSTITUTE  (1USAORE)                                              1061900100003 
REFERENCE  (J,PR/C,13,2149,197606)                                1061900100004 
AUTHOR     (R.M.Sealock,J.C.Overley)                              1061900100005 
TITLE      10B(n,alpha)7Li,7Li* differential cross section        1061900100006 
            measurements between 0.2 and 1.25 MeV.                1061900100007 
FACILITY   (VDG,1USAORE) University of Oregon 5 mV Van de Graaff  1061900100008 
INC-SOURCE (P-LI7) Protons on lithium-7 producing a white neutron 1061900100009 
            source.                                               1061900100010 
SAMPLE     Thin films of isotopically enriched boron on           1061900100011 
            tantalum backings.                                    1061900100012 
METHOD     (TOF) Time-of-flight                                   1061900100013 
DETECTOR   (SOLST) Silicon surface barrier detector               1061900100014 
MONITOR    Absolute measurement.                                  1061900100015 
ERR-ANALYS (ERR-S)  Statistical errors only.                      1061900100016 
STATUS     (APRVD) Approved by author 1976/11/22.                 1061900100017 
            Tabulated data received from R.M.Sealock, 1975/12/16. 1061900100018 
HISTORY    (19760716C)                                            1061900100019 
           (19831012A) Converted to REACTION formalism            1061900100020 
           (19840917A) BIB corrections.                           1061900100021 
           (20040726A) Converted to new date formats, lower case. 1061900100022 
ENDBIB              20          0                                 1061900100023 
NOCOMMON             0          0                                 1061900100024 
ENDSUBENT           23          0                                 1061900199999 
SUBENT        10619002   20040726                             00001061900200001 
BIB                  3          3                                 1061900200002 
REACTION   (5-B-10(N,A)3-LI-7,PAR,DA)                             1061900200003 
ERR-ANALYS (ERR-SYS) Systematic uncertainty.                      1061900200004 
HISTORY    (20040726A) Error heading updated.                     1061900200005 
ENDBIB               3          0                                 1061900200006 
COMMON               2          3                                 1061900200007 
E-LVL      ERR-SYS                                                1061900200008 
MEV        PER-CENT                                               1061900200009 
 0.         12.                                                   1061900200010 
ENDCOMMON            3          0                                 1061900200011 
DATA                 4        168                                 1061900200012 
EN         ANG        DATA       ERR-S                            1061900200013 
KEV        ADEG       MB/SR      MB/SR                            1061900200014 
 200.        0.        15.08      2.96                            1061900200015 
 200.       30.        16.21      5.71                            1061900200016 
 200.       55.        12.08      7.67                            1061900200017 
 200.       60.        13.82      6.49                            1061900200018 
 200.       90.         5.30      4.73                            1061900200019 
 200.      120.         6.97      1.49                            1061900200020 
 200.      125.         3.61     10.82                            1061900200021 
 200.      150.         7.29      1.92                            1061900200022 
 250.        0.        15.09      3.24                            1061900200023 
 250.       30.        14.51      5.48                            1061900200024 
 250.       55.        13.49      7.54                            1061900200025 
 250.       60.        13.14      6.44                            1061900200026 
 250.       90.         9.16      4.34                            1061900200027 
 250.      120.         9.66      1.49                            1061900200028 
 250.      125.         4.54     12.15                            1061900200029 
 250.      150.        10.47      1.93                            1061900200030 
 300.        0.        15.41      2.74                            1061900200031 
 300.       30.        13.75      4.63                            1061900200032 
 300.       55.        15.23      9.00                            1061900200033 
 300.       60.        13.46      4.99                            1061900200034 
 300.       90.        13.88      4.84                            1061900200035 
 300.      120.        13.19      1.48                            1061900200036 
 300.      125.         8.74     14.12                            1061900200037 
 300.      150.        11.02      1.69                            1061900200038 
 350.        0.        15.95      2.71                            1061900200039 
 350.       30.        13.28      4.42                            1061900200040 
 350.       55.        17.59      8.60                            1061900200041 
 350.       60.        14.99      6.04                            1061900200042 
 350.       90.        15.95      6.10                            1061900200043 
 350.      120.        15.80      1.24                            1061900200044 
 350.      125.        13.99     11.61                            1061900200045 
 350.      150.        16.10      1.46                            1061900200046 
 400.        0.        14.15      2.26                            1061900200047 
 400.       30.        13.81      3.14                            1061900200048 
 400.       55.        18.62      6.98                            1061900200049 
 400.       60.        15.80      4.36                            1061900200050 
 400.       90.        17.16      3.23                            1061900200051 
 400.      120.        14.65      0.99                            1061900200052 
 400.      125.        17.74      6.30                            1061900200053 
 400.      150.        16.10      1.45                            1061900200054 
 450.        0.        12.20      1.57                            1061900200055 
 450.       30.        17.66      3.05                            1061900200056 
 450.       55.        16.92      4.02                            1061900200057 
 450.       60.        14.66      3.05                            1061900200058 
 450.       90.        17.54      2.53                            1061900200059 
 450.      120.        13.43      0.97                            1061900200060 
 450.      125.        16.71      3.87                            1061900200061 
 450.      150.        12.90      0.96                            1061900200062 
 500.        0.        12.73      1.28                            1061900200063 
 500.       30.        12.45      1.93                            1061900200064 
 500.       55.        21.46      3.07                            1061900200065 
 500.       60.        12.24      2.65                            1061900200066 
 500.       90.        15.14      1.69                            1061900200067 
 500.      120.        14.89      1.49                            1061900200068 
 500.      125.        13.16      3.75                            1061900200069 
 500.      150.        14.37      1.25                            1061900200070 
 550.        0.        13.05      1.20                            1061900200071 
 550.       30.        15.05      1.87                            1061900200072 
 550.       55.        10.23      2.21                            1061900200073 
 550.       60.        10.23      1.85                            1061900200074 
 550.       90.        10.70      1.28                            1061900200075 
 550.      120.        13.39      1.26                            1061900200076 
 550.      125.        12.07      2.04                            1061900200077 
 550.      150.        13.93      1.09                            1061900200078 
 600.        0.        11.55      1.06                            1061900200079 
 600.       30.        13.34      1.69                            1061900200080 
 600.       55.         7.08      1.76                            1061900200081 
 600.       60.        11.52      1.75                            1061900200082 
 600.       90.         7.85      1.13                            1061900200083 
 600.      120.        13.05      1.52                            1061900200084 
 600.      125.        12.38      1.97                            1061900200085 
 600.      150.        13.74      1.31                            1061900200086 
 650.        0.        11.99      1.21                            1061900200087 
 650.       30.        12.56      1.91                            1061900200088 
 650.       55.         8.29      1.92                            1061900200089 
 650.       60.         9.56      2.00                            1061900200090 
 650.       90.         7.59      1.09                            1061900200091 
 650.      120.        11.94      1.37                            1061900200092 
 650.      125.        12.46      1.96                            1061900200093 
 650.      150.        12.51      1.27                            1061900200094 
 700.        0.        11.85      1.14                            1061900200095 
 700.       30.        11.10      1.65                            1061900200096 
 700.       55.         8.82      2.13                            1061900200097 
 700.       60.        10.24      2.03                            1061900200098 
 700.       90.         9.60      1.18                            1061900200099 
 700.      120.        14.32      2.19                            1061900200100 
 700.      125.        12.18      1.89                            1061900200101 
 700.      150.        10.36      1.51                            1061900200102 
 750.        0.        11.44      1.13                            1061900200103 
 750.       30.         9.21      1.71                            1061900200104 
 750.       55.         8.85      2.39                            1061900200105 
 750.       60.        11.40      2.16                            1061900200106 
 750.       90.         6.04      1.15                            1061900200107 
 750.      120.        11.51      1.78                            1061900200108 
 750.      125.        10.95      1.95                            1061900200109 
 750.      150.         9.75      1.53                            1061900200110 
 800.        0.        10.49      1.31                            1061900200111 
 800.       30.        10.46      2.01                            1061900200112 
 800.       55.         3.21      1.60                            1061900200113 
 800.       60.        12.63      2.72                            1061900200114 
 800.       90.         5.66      1.16                            1061900200115 
 800.      120.         8.60      1.81                            1061900200116 
 800.      125.        10.75      1.93                            1061900200117 
 800.      150.         9.60      1.33                            1061900200118 
 850.        0.         9.58      1.28                            1061900200119 
 850.       30.         9.55      2.18                            1061900200120 
 850.       55.         4.76      2.50                            1061900200121 
 850.       60.        12.17      2.80                            1061900200122 
 850.       90.         6.43      1.26                            1061900200123 
 850.      120.         9.62      1.77                            1061900200124 
 850.      125.         9.17      2.00                            1061900200125 
 850.      150.         8.67      1.29                            1061900200126 
 900.        0.        12.04      1.41                            1061900200127 
 900.       30.        15.42      2.19                            1061900200128 
 900.       55.         5.36      2.00                            1061900200129 
 900.       60.        11.36      2.46                            1061900200130 
 900.       90.        10.00      1.53                            1061900200131 
 900.      120.        10.73      1.97                            1061900200132 
 900.      125.         7.96      2.02                            1061900200133 
 900.      150.         8.61      1.44                            1061900200134 
