ENTRY            10647   20240229                             15111064700000001 
SUBENT        10647001   20240229                             15111064700100001 
BIB                 12         26                                 1064700100002 
TITLE      Measurement of the neutron-induced fission cross       1064700100003 
            section of neptunium-237 relative to uranium-235 from 1064700100004 
            20 keV to 30 MeV                                      1064700100005 
AUTHOR     (J.W.Behrens, J.C.Browne, J.C.Walden)                  1064700100006 
INSTITUTE  (1USALRL)                                              1064700100007 
REFERENCE  (J,NSE,80,393,1982)                                    1064700100008 
FACILITY   (LINAC,1USALRL) 100-MeV electron linear accelerator    1064700100009 
INC-SOURCE (PHOTO) Photoneutrons from water-cooled tantalum target1064700100010 
INC-SPECT  Typical energy resolutions of ~3% at 1 MeV and 6% at   1064700100011 
            20 MeV                                                1064700100012 
DETECTOR   (FISCH) Low mass, parallel plate ionization fission    1064700100013 
            chambers.                                             1064700100014 
METHOD     (TOF) 15.7 m flight path length.                       1064700100015 
           Photofission induced by gamma flash used as main       1064700100016 
            timing reference.                                     1064700100017 
CORRECTION Data corrected for                                     1064700100018 
            . time independent background                         1064700100019 
            . flux perturbation                                   1064700100020 
            . multiple scattering                                 1064700100021 
            . sample impurities                                   1064700100022 
            . deadtime between detectors.                         1064700100023 
STATUS     (APRVD) Approved by author 1977/6/20                   1064700100024 
HISTORY    (19770307C)                                            1064700100025 
           (19820929A) Updated reference, Authors,BIB correction. 1064700100026 
           (20080815A) Converted to new date formats, lower case. 1064700100027 
           (20240229A) VT. Major revision in 002. 003 created.    1064700100028 
ENDBIB              26          0                                 1064700100029 
NOCOMMON             0          0                                 1064700100030 
ENDSUBENT           29          0                                 1064700199999 
SUBENT        10647002   20240227                             15111064700200001 
BIB                  6         14                                 1064700200002 
REACTION   ((93-NP-237(N,F),,SIG)/(92-U-235(N,F),,SIG))           1064700200003 
MONITOR    ((93-NP-237(N,F),,SIG,,AV)/(92-U-235(N,F),,SIG,,AV))   1064700200004 
SAMPLE      . 237Np sample (60 mg, 0.19 mg/cm2, >99.86% enrichment1064700200005 
            . 235U sample (150 mg, 0.19 mg/cm2, 99.91% enrichment)1064700200006 
ERR-ANALYS (ERR-T) One standard deviation RMS sum of              1064700200007 
           (ERR-S) Statistical uncertainty                        1064700200008 
           (ERR-SYS) Systematic uncertainty                       1064700200009 
           (MONIT-ERR) Normalization uncertainty                  1064700200010 
STATUS     (TABLE,,J.W.Behrens+,J,NSE,80,393,1982) Table IV       1064700200011 
           (DEP,10647003) Ratio determined by the                 1064700200012 
            threshold cross-section method                        1064700200013 
HISTORY    (19820929A) Removed STATUS, added errors.              1064700200014 
           (20080815A) Added new STATUS entry, monitor.           1064700200015 
           (20240229A) VT. ERR-SYS added. Numerical data checked. 1064700200016 
ENDBIB              14          0                                 1064700200017 
COMMON               4          3                                 1064700200018 
EN-NRM-MIN EN-NRM-MAX MONIT      MONIT-ERR                        1064700200019 
MEV        MEV        NO-DIM     PER-CENT                         1064700200020 
 1.75       4.00       1.294      1.6                             1064700200021 
ENDCOMMON            3          0                                 1064700200022 
DATA                 5        129                                 1064700200023 
EN         DATA       ERR-S      ERR-T      ERR-SYS               1064700200024 
MEV        NO-DIM     PER-CENT   PER-CENT   PER-CENT              1064700200025 
  0.02215    0.0066    18.2       18.3       1.1                  1064700200026 
  0.02955    0.0045    23.7       23.8       1.1                  1064700200027 
  0.04139    0.0076    11.7       11.9       1.1                  1064700200028 
  0.05565    0.0080    11.1       11.3       1.1                  1064700200029 
  0.06969    0.0092     9.1        9.3       1.1                  1064700200030 
  0.08980    0.0113     6.9        7.2       1.1                  1064700200031 
  0.1112     0.0120     7.4        7.6       0.7                  1064700200032 
  0.1300     0.0148     5.5        5.8       0.7                  1064700200033 
  0.1540     0.0187     4.6        4.9       0.7                  1064700200034 
  0.1767     0.0226     4.9        5.2       0.7                  1064700200035 
  0.1948     0.0226     4.6        4.9       0.7                  1064700200036 
  0.2157     0.0250     4.1        4.5       0.7                  1064700200037 
  0.2402     0.0294     3.4        3.8       0.7                  1064700200038 
  0.2691     0.0389     2.7        3.2       0.7                  1064700200039 
  0.2944     0.0489     3.1        3.6       0.7                  1064700200040 
  0.3132     0.0606     2.6        3.1       0.6                  1064700200041 
  0.3340     0.0706     2.2        2.8       0.6                  1064700200042 
  0.3569     0.0919     2.1        2.7       0.6                  1064700200043 
  0.3822     0.1181     1.6        2.3       0.6                  1064700200044 
  0.4030     0.1510     2.0        2.6       0.6                  1064700200045 
  0.4178     0.1802     1.9        2.6       0.6                  1064700200046 
  0.4334     0.2223     1.7        2.4       0.6                  1064700200047 
  0.4500     0.2531     1.5        2.3       0.6                  1064700200048 
  0.4675     0.3070     1.2        2.1       0.6                  1064700200049 
  0.4861     0.3692     1.1        2.0       0.6                  1064700200050 
  0.5058     0.4121     1.0        2.0       0.5                  1064700200051 
  0.5267     0.4704     1.0        2.0       0.5                  1064700200052 
  0.5489     0.5188     0.9        1.9       0.5                  1064700200053 
  0.5726     0.5983     0.8        1.9       0.5                  1064700200054 
  0.5913     0.6508     1.1        2.0       0.5                  1064700200055 
  0.6044     0.7006     1.0        2.0       0.5                  1064700200056 
  0.6178     0.7422     1.0        2.0       0.5                  1064700200057 
  0.6318     0.7637     1.0        2.0       0.5                  1064700200058 
  0.6462     0.8030     1.0        2.0       0.5                  1064700200059 
  0.6611     0.8536     0.9        1.9       0.5                  1064700200060 
  0.6765     0.8829     0.9        1.9       0.5                  1064700200061 
  0.6925     0.9194     0.9        1.9       0.5                  1064700200062 
  0.7090     0.9616     0.8        1.9       0.5                  1064700200063 
  0.7261     0.9577     0.9        1.9       0.5                  1064700200064 
  0.7439     1.017      0.8        1.9       0.5                  1064700200065 
  0.7623     1.053      0.8        1.9       0.5                  1064700200066 
  0.7815     1.078      0.8        1.9       0.5                  1064700200067 
  0.8013     1.092      0.8        1.9       0.5                  1064700200068 
  0.8219     1.118      0.8        1.9       0.5                  1064700200069 
  0.8434     1.129      0.7        1.8       0.5                  1064700200070 
  0.8656     1.153      0.7        1.8       0.5                  1064700200071 
  0.8888     1.153      0.7        1.8       0.5                  1064700200072 
  0.9129     1.152      0.7        1.8       0.5                  1064700200073 
  0.9380     1.169      0.7        1.8       0.5                  1064700200074 
