ENTRY            10648   20080817                             13501064800000001 
SUBENT        10648001   20080817                             13501064800100001 
BIB                 13         32                                 1064800100002 
INSTITUTE  (1USALRL)                                              1064800100003 
REFERENCE  (J,NSE,66,433,197806)                                  1064800100004 
           (R,UCID-17341,197612) Preliminary data                 1064800100005 
AUTHOR     (J.W.Behrens,R.S.Newbury,J.W.Magana)                   1064800100006 
TITLE      Measurement of the Neutron-Induced Fission Cross       1064800100007 
            Sections of 240Pu, 242Pu, and 244Pu Relative to 235U  1064800100008 
            from 0.1 to 30 MeV.                                   1064800100009 
FACILITY   (LINAC,1USALRL) 100-MeV linear accelerator.            1064800100010 
INC-SOURCE (PHOTO) Photoneutrons from water-cooled tantalum target1064800100011 
INC-SPECT   Typical energy resolutoons at ~3% at 1 MeV and 6% at  1064800100012 
             20 MeV.                                              1064800100013 
METHOD     (TOF) Time of flight with 15.7-meter flight path.      1064800100014 
            Photofission induced by gamma flash used as main      1064800100015 
            timing reference. Threshold cross section method used 1064800100016 
            which analyzes spectra from three fission chambers-   1064800100017 
            Pu sample, 235U target, and a mixture of both.        1064800100018 
DETECTOR   (IOCH) Low mass, parallel plate ionization fission     1064800100019 
            chamber with foils perpendicular to beam.             1064800100020 
CORRECTION Corrections made for time-independent backgrounds,     1064800100021 
            sample impurities, and timing errors of am fission    1064800100022 
            chamber relative to the 235U fission chamber          1064800100023 
ERR-ANALYS (ERR-S) Statistical uncertainty                        1064800100024 
           (ERR-T) Total uncertainty; one standard deviation RMS  1064800100025 
            sum of statistical errors, systematic error, and      1064800100026 
            threshold-method cross section error.                 1064800100027 
STATUS     (APRVD) Preliminary data approved by author            1064800100028 
           (COREL,10597001)  240Pu and 242Pu data.                1064800100029 
HISTORY    (19770307C)                                            1064800100030 
           (19780305A) Preliminary data replaced. BIB update.     1064800100031 
           (19781128A) REFERENCE updated                          1064800100032 
           (20080817A) Converted to new formats. BIB updates.     1064800100033 
                       Monitor coding added.                      1064800100034 
ENDBIB              32          0                                 1064800100035 
NOCOMMON             0          0                                 1064800100036 
ENDSUBENT           35          0                                 1064800199999 
SUBENT        10648002   20080817                             13501064800200001 
BIB                  2          4                                 1064800200002 
REACTION   ((94-PU-244(N,F),,SIG)/(92-U-235(N,F),,SIG))           1064800200003 
MONITOR    ((94-PU-244(N,F),,SIG,,AV)/(92-U-235(N,F),,SIG,,AV))   1064800200004 
            Normalized to average value derived from fission      1064800200005 
            ratios of 244Pu/239Pu and 239Pu/235U.                 1064800200006 
ENDBIB               4          0                                 1064800200007 
COMMON               4          3                                 1064800200008 
EN-NRM-MIN EN-NRM-MAX MONIT      MONIT-ERR                        1064800200009 
MEV        MEV        NO-DIM     NO-DIM                           1064800200010 
 1.75       4.0        0.979      0.020                           1064800200011 
ENDCOMMON            3          0                                 1064800200012 
DATA                 4        132                                 1064800200013 
EN         DATA       ERR-S      ERR-T                            1064800200014 
MEV        NO-DIM     PER-CENT   PER-CENT                         1064800200015 
  0.1015     0.0029    26.8       26.9                            1064800200016 
  0.1648     0.0036    11.3       11.5                            1064800200017 
  0.2100     0.0100     8.8        9.1                            1064800200018 
  0.2335     0.0079    13.2       13.4                            1064800200019 
  0.2538     0.0142     7.5        7.8                            1064800200020 
  0.2689     0.0111     9.0        9.3                            1064800200021 
  0.2853     0.0153     6.8        7.1                            1064800200022 
  0.3033     0.0188     5.2        5.6                            1064800200023 
  0.3179     0.0229     6.2        6.6                            1064800200024 
  0.3282     0.0270     5.0        5.4                            1064800200025 
  0.3391     0.0250     5.2        5.6                            1064800200026 
  0.3505     0.0261     5.7        6.1                            1064800200027 
  0.3625     0.0323     4.7        5.2                            1064800200028 
  0.3751     0.0378     3.9        4.4                            1064800200029 
  0.3884     0.0438     3.4        4.0                            1064800200030 
  0.4024     0.0474     3.2        3.8                            1064800200031 
  0.4172     0.0551     3.0        3.7                            1064800200032 
  0.4328     0.0566     2.8        3.5                            1064800200033 
  0.4451     0.0686     3.4        4.0                            1064800200034 
  0.4535     0.0712     3.2        3.8                            1064800200035 
  0.4623     0.0877     2.7        3.4                            1064800200036 
  0.4713     0.0844     2.7        3.4                            1064800200037 
  0.4805     0.0869     2.6        3.4                            1064800200038 
  0.4900     0.0930     2.4        3.2                            1064800200039 
  0.4998     0.1042     2.2        3.1                            1064800200040 
  0.5099     0.1013     2.3        3.1                            1064800200041 
  0.5204     0.1174     2.3        3.1                            1064800200042 
  0.5311     0.1230     2.3        3.1                            1064800200043 
  0.5422     0.1559     1.9        2.8                            1064800200044 
  0.5536     0.1592     1.8        2.8                            1064800200045 
  0.5654     0.1578     1.8        2.8                            1064800200046 
  0.5775     0.1674     1.8        2.8                            1064800200047 
  0.5901     0.1908     1.6        2.6                            1064800200048 
  0.6031     0.2341     1.5        2.6                            1064800200049 
  0.6165     0.2429     1.5        2.6                            1064800200050 
  0.6304     0.2689     1.4        2.5                            1064800200051 
  0.6447     0.3163     1.3        2.5                            1064800200052 
  0.6596     0.3404     1.2        2.4                            1064800200053 
  0.6749     0.3742     1.1        2.4                            1064800200054 
  0.6908     0.3923     1.1        2.4                            1064800200055 
  0.7073     0.4567     1.0        2.3                            1064800200056 
  0.7243     0.4777     1.0        2.3                            1064800200057 
  0.7420     0.5594     0.9        2.3                            1064800200058 
  0.7604     0.5675     0.9        2.3                            1064800200059 
  0.7794     0.6453     0.8        2.2                            1064800200060 
  0.7992     0.7045     0.8        2.2                            1064800200061 
  0.8197     0.7187     0.8        2.2                            1064800200062 
  0.8410     0.8135     0.7        2.2                            1064800200063 
  0.8631     0.8378     0.6        2.2                            1064800200064 
  0.8862     0.9001     0.6        2.2                            1064800200065 
  0.9102     0.9568     0.6        2.2                            1064800200066 
  0.9352     1.004      0.6        2.2                            1064800200067 
  0.9612     1.021      0.6        2.2                            1064800200068 
  0.9883     1.063      0.6        2.2                            1064800200069 
  1.017      1.092      0.6        2.1                            1064800200070 
  1.046      1.082      0.6        2.1                            1064800200071 
  1.077      1.094      0.6        2.1                            1064800200072 
  1.109      1.112      0.6        2.1                            1064800200073 
  1.143      1.129      0.6        2.1                            1064800200074 
  1.178      1.128      0.6        2.1                            1064800200075 
  1.215      1.130      0.6        2.1                            1064800200076 
  1.254      1.127      0.6        2.1                            1064800200077 
  1.294      1.106      0.6        2.1                            1064800200078 
  1.337      1.107      0.6        2.1                            1064800200079 
  1.381      1.115      0.6        2.1                            1064800200080 
  1.428      1.089      0.6        2.1                            1064800200081 
  1.477      1.076      0.6        2.1                            1064800200082 
  1.529      1.063      0.6        2.1                            1064800200083 
  1.584      1.046      0.6        2.1                            1064800200084 
  1.642      1.023      0.6        2.1                            1064800200085 
  1.703      1.025      0.6        2.1                            1064800200086 
  1.767      1.031      0.6        2.1                            1064800200087 
  1.836      1.012      0.6        2.1                            1064800200088 
  1.908      1.011      0.7        2.2                            1064800200089 
  1.984      0.9958     0.7        2.2                            1064800200090 
  2.066      0.9709     0.7        2.2                            1064800200091 
  2.152      0.9564     0.7        2.2                            1064800200092 
  2.244      0.9744     0.8        2.2                            1064800200093 
  2.342      0.9671     0.8        2.2                            1064800200094 
  2.446      0.9528     0.8        2.2                            1064800200095 
  2.558      0.9656     0.8        2.2                            1064800200096 
  2.677      0.9615     0.9        2.2                            1064800200097 
  2.805      0.9605     0.9        2.2                            1064800200098 
  2.943      0.9935     0.9        2.2                            1064800200099 
  3.091      0.9937     0.9        2.2                            1064800200100 
  3.250      0.9934     1.0        2.3                            1064800200101 
  3.422      0.9897     1.0        2.3                            1064800200102 
  3.608      0.9938     1.0        2.3                            1064800200103 
  3.809      0.9602     1.0        2.3                            1064800200104 
  4.028      0.9459     1.0        2.3                            1064800200105 
  4.267      0.9406     1.0        2.3                            1064800200106 
  4.527      0.9222     1.0        2.3                            1064800200107 
  4.813      0.9346     1.0        2.3                            1064800200108 
  5.044      0.9710     1.3        2.5                            1064800200109 
  5.208      0.9831     1.3        2.5                            1064800200110 
  5.381      1.009      1.3        2.5                            1064800200111 
