ENTRY            10684   20101022                             13681068400000001 
SUBENT        10684001   20101022                             13681068400100001 
BIB                 12         29                                 1068400100002 
INSTITUTE  (1USALAS)                                              1068400100003 
REFERENCE  (J,NSE,65,49,197801)                                   1068400100004 
           (R,LA-5983-MS,197507)                                  1068400100005 
AUTHOR     (D.M.Drake,E.D.Arthur,M.G.Silbert)                     1068400100006 
TITLE      Cross Sections for Gamma-Ray Production by 14-MeV      1068400100007 
           Neutrons.                                              1068400100008 
FACILITY   (VDG,1USALAS)                                          1068400100009 
INC-SOURCE (D-T) Tritons on deuterium.                            1068400100010 
DETECTOR   (NAICR) Shielded NaI(Tl) crystal and photomultiplier   1068400100011 
            system                                                1068400100012 
MONITOR    Flux calculated from the geometry, triton beam current,1068400100013 
            deuterium gas pressure, and D(t,n) cross section.     1068400100014 
CORRECTION Data corrected for background, response functions,     1068400100015 
            flux measurements, and multiple scattering.           1068400100016 
ERR-ANALYS (ERR-T) Following errors added in quadrature to the    1068400100017 
            statistical uncertainty to produce the total errors   1068400100018 
            given:                                                1068400100019 
           (ERR-1) flux uncertainty (7%),                         1068400100020 
           (ERR-2) errors in unfolding program (5%),              1068400100021 
           (ERR-3,,5.) multiple scattering corrections (<5%),     1068400100022 
           (ERR-4) measurement of sample position (3%),           1068400100023 
           (ERR-5,3.,12.) gamma-ray detector efficiency (3-12%).  1068400100024 
STATUS     (APRVD) Approved by D.M.Drake, 1978/2/2.               1068400100025 
HISTORY    (19770819C)                                            1068400100026 
           (19831229A) Error headings corrected.                  1068400100027 
           (20080926A) Formats updated; BIB updates.              1068400100028 
           (20081219A) BIB update.                                1068400100029 
           (20090709A) On. Coded info. (ERR-1 to ERR-4) added     1068400100030 
           (20101022A) VM: Updated error coding.                  1068400100031 
ENDBIB              29          0                                 1068400100032 
COMMON               5          3                                 1068400100033 
EN         EN-RSL     ERR-1      ERR-2      ERR-4                 1068400100034 
MEV        MEV        PER-CENT   PER-CENT   PER-CENT              1068400100035 
 14.2       0.5        7.         5.         3.                   1068400100036 
ENDCOMMON            3          0                                 1068400100037 
ENDSUBENT           36          0                                 1068400199999 
SUBENT        10684002   20080926                             13501068400200001 
BIB                  2          2                                 1068400200002 
REACTION   (12-MG-0(N,X)0-G-0,PAR,DA)                             1068400200003 
STATUS     (TABLE) Data taken from Table II in reference.         1068400200004 
ENDBIB               2          0                                 1068400200005 
NOCOMMON             0          0                                 1068400200006 
DATA                 5        141                                 1068400200007 
ANG        E-MIN      E-MAX      DATA       ERR-T                 1068400200008 
ADEG       MEV        MEV        MB/SR      MB/SR                 1068400200009 
  90.       0.2        0.3         9.1        3.3                 1068400200010 
  90.       0.3        0.4        10.0        3.6                 1068400200011 
  90.       0.4        0.5         4.3        0.9                 1068400200012 
  90.       0.5        0.6         2.2        0.23                1068400200013 
  90.       0.6        0.7         1.03       0.12                1068400200014 
  90.       0.7        0.8         1.6        0.2                 1068400200015 
  90.       0.8        0.9         2.8        0.3                 1068400200016 
  90.       0.9        1.0         2.9        0.3                 1068400200017 
  90.       1.0        1.1         2.3        0.3                 1068400200018 
  90.       1.1        1.2         3.2        0.3                 1068400200019 
  90.       1.2        1.3         4.3        0.4                 1068400200020 
  90.       1.3        1.4        13.3        1.3                 1068400200021 
  90.       1.4        1.5        10.9        1.1                 1068400200022 
  90.       1.5        1.6         3.0        0.3                 1068400200023 
  90.       1.6        1.7         2.3        0.2                 1068400200024 
  90.       1.7        1.8         3.0        0.3                 1068400200025 
  90.       1.8        1.9         3.9        0.4                 1068400200026 
  90.       1.9        2.0         2.2        0.2                 1068400200027 
  90.       2.0        2.1         1.24       0.14                1068400200028 
  90.       2.1        2.2         0.94       0.11                1068400200029 
  90.       2.2        2.3         1.11       0.13                1068400200030 
  90.       2.3        2.4         1.00       0.12                1068400200031 
  90.       2.4        2.5         1.4        0.2                 1068400200032 
  90.       2.5        2.6         1.22       0.14                1068400200033 
  90.       2.6        2.7         1.5        0.2                 1068400200034 
  90.       2.7        2.8         1.6        0.2                 1068400200035 
  90.       2.8        2.9         1.7        0.2                 1068400200036 
  90.       2.9        3.0         1.11       0.12                1068400200037 
  90.       3.0        3.1         0.95       0.11                1068400200038 
  90.       3.1        3.2         0.89       0.11                1068400200039 
  90.       3.2        3.3         0.77       0.10                1068400200040 
  90.       3.3        3.4         0.70       0.09                1068400200041 
  90.       3.4        3.5         0.68       0.09                1068400200042 
  90.       3.5        3.6         0.83       0.10                1068400200043 
  90.       3.6        3.7         0.78       0.10                1068400200044 
  90.       3.7        3.8         1.15       0.14                1068400200045 
  90.       3.8        3.9         1.06       0.13                1068400200046 
  90.       3.9        4.0         0.90       0.11                1068400200047 
