ENTRY            10771   20101029                             13681077100000001 
SUBENT        10771001   20101029                             13681077100100001 
BIB                 11         18                                 1077100100002 
INSTITUTE  (1USAAUB)                                              1077100100003 
REFERENCE  (J,BAP,15,1328(BG2),197011)                            1077100100004 
           (J,DA/B,31,4921,1971) Thesis J.R.Cooper.               1077100100005 
AUTHOR     (J.R.Cooper,J.D.Moore,W.L.Alford)                      1077100100006 
TITLE      Neutron differential elastic scattering cross sections 1077100100007 
            for deuterium at selected neutron energies            1077100100008 
INC-SOURCE (D-D)                                                  1077100100009 
SAMPLE     Deuterated benzene scintillator.                       1077100100010 
DETECTOR   (SCIN) Liquid scintillator.                            1077100100011 
METHOD     (TOF) Scattered neutrons selected by flight times.     1077100100012 
            Neutron gamma discrimination provided by electronic   1077100100013 
            pulse shape selection.                                1077100100014 
ERR-ANALYS No information.                                        1077100100015 
STATUS     (TABLE) Tabulated data received, W. Alford, 1978/8.    1077100100016 
HISTORY    (19781024C)                                            1077100100017 
           (19931227A) BIB correction                             1077100100018 
           (20101029A) VM:Updated to new date formats,lower case. 1077100100019 
                       BIB updates.                               1077100100020 
ENDBIB              18          0                                 1077100100021 
NOCOMMON             0          0                                 1077100100022 
ENDSUBENT           21          0                                 1077100199999 
SUBENT        10771002   20101029                             13681077100200001 
BIB                  3          5                                 1077100200002 
REACTION  1(1-H-2(N,EL)1-H-2,,DA,,REL)                            1077100200003 
          2(1-H-2(N,EL)1-H-2,,DA)                                 1077100200004 
MONITOR   2(1-H-1(N,EL)1-H-1,,SIG)                                1077100200005 
CORRECTION Corrected for relative detector efficiency and         1077100200006 
            multiple interaction losses in scatterer.             1077100200007 
ENDBIB               5          0                                 1077100200008 
NOCOMMON             0          0                                 1077100200009 
DATA                 4         42                                 1077100200010 
EN         COS-CM     DATA-CM   1DATA-CM   2                      1077100200011 
MEV        NO-DIM     ARB-UNITS  MB/SR                            1077100200012 
 4.65       0.714      1.27       156.                            1077100200013 
 4.65       0.518      1.70       144.                            1077100200014 
 4.65       0.301      1.04       128.                            1077100200015 
 4.65       0.075      0.780       95.9                           1077100200016 
 4.65      -0.139      0.686       84.4                           1077100200017 
 4.65      -0.334      0.800       98.4                           1077100200018 
 4.65      -0.500      0.869      107.                            1077100200019 
 5.16       0.714      1.38       143.                            1077100200020 
 5.16       0.518      1.18       130.                            1077100200021 
 5.16       0.301      1.09       113.                            1077100200022 
 5.16       0.075      0.912       94.4                           1077100200023 
 5.16      -0.139      0.736       76.2                           1077100200024 
 5.16      -0.334      0.747       77.3                           1077100200025 
 5.16      -0.500      0.933       96.6                           1077100200026 
 5.57       0.714      1.59       148.                            1077100200027 
 5.57       0.518      1.34       125.                            1077100200028 
 5.57       0.301      1.10       103.                            1077100200029 
 5.57       0.075      0.904       84.6                           1077100200030 
 5.57      -0.139      0.672       62.9                           1077100200031 
 5.57      -0.334      0.627       58.7                           1077100200032 
 5.57      -0.500      0.684       64.0                           1077100200033 
 5.66       0.714      1.70       155.                            1077100200034 
 5.66       0.518      1.46       133.                            1077100200035 
 5.66       0.301      1.24       113.                            1077100200036 
 5.66       0.075      1.03        94.2                           1077100200037 
 5.66      -0.139      0.806       73.7                           1077100200038 
 5.66      -0.334      0.778       71.2                           1077100200039 
 5.66      -0.500      0.910       83.3                           1077100200040 
 5.91       0.714      1.69       146.                            1077100200041 
 5.91       0.518      1.54       133.                            1077100200042 
 5.91       0.301      1.20       104.                            1077100200043 
 5.91       0.075      1.00        86.4                           1077100200044 
 5.91      -0.139      0.822       70.9                           1077100200045 
 5.91      -0.334      0.755       65.2                           1077100200046 
 5.91      -0.500      0.902       77.8                           1077100200047 
 6.16       0.714      1.81       148.                            1077100200048 
 6.16       0.518      1.50       123.                            1077100200049 
 6.16       0.301      1.25       102.                            1077100200050 
 6.16       0.075      1.04        85.2                           1077100200051 
 6.16      -0.139      0.901       73.5                           1077100200052 
 6.16      -0.334      0.815       66.5                           1077100200053 
 6.16      -0.500      0.906       73.9                           1077100200054 
ENDDATA             44          0                                 1077100200055 
ENDSUBENT           54          0                                 1077100299999 
ENDENTRY             2          0                                 1077199999999 
