ENTRY            10853   19810827                             00001085300000001 
SUBENT        10853001   19810827                             00001085300100001 
BIB                 12         29                                 1085300100002 
INSTITUTE  (1USAOHO,1USALRL,1USALAS)                              1085300100003 
REFERENCE  (J,PR/C,23,1883,8105)                                  1085300100004 
AUTHOR     (R.O.LANE,H.D.KNOX,P.HOFFMANN-PINTHER,R.M.WHITE,       1085300100005 
           G.F.AUCHAMPAUGH)                                       1085300100006 
TITLE      STATES IN C-14 FROM TOTAL AND DIFFERENTIAL ELASTIC     1085300100007 
            CROSS SECTIONS FOR C-13 + NEUTRON. MEASUREMENT,       1085300100008 
            R-MATRIX ANALYSIS AND MODEL CALCULATIONS.             1085300100009 
FACILITY   (VDGT,1USAOHO) OHIO UNIVERSITY TANDEM VAN DE GRAAFF    1085300100010 
INC-SOURCE (P-T) PROTONS ON TRITIUM GAS                           1085300100011 
SAMPLE     40.75-GRAMS POWDERED C-13 PRESSED INTO THIN ALUMINUM   1085300100012 
            CANS. ENRICHED TO 98-PERCENT C-13.                    1085300100013 
MONITOR    (6-C-12(N,EL)6-C-12,,DA) USED TO CHECK EXPERIMENTAL    1085300100014 
            METHODS.                                              1085300100015 
METHOD     (TOF) TIME OF FLIGHT, FLIGHT PATH OF 3.6-METERS.       1085300100016 
ERR-ANALYS ERRORS CONTRIBUTED BY-                                 1085300100017 
            -COUNTING STATISTICS                                  1085300100018 
            -UNCERTAINTY IN NEUTRON SOURCE REACTION SHAPE AT      1085300100019 
             ZERO DEGREES                                         1085300100020 
            -RELATIVE EFFICIENCY UNCERTAINTIES INCLUDING CHARGE   1085300100021 
             INTEGRATION                                          1085300100022 
            -DISTANCES OF EXPERIMENTAL ARRANGEMENT                1085300100023 
            -UNCERTAINTY OF SAMPLE PURITY                         1085300100024 
STATUS     (APRVD) H.D.KNOX, 87/1/28.                             1085300100025 
           ANGULAR DISTRIBUTIONS RECEIVED IN PRIVATE COMM.,       1085300100026 
            R.O.LANE, 81/3.                                       1085300100027 
HISTORY    (810507C)                                              1085300100028 
           (810824A) REFERENCE UPDATE. BIB ADDITIONS AND          1085300100029 
            CORRECTIONS.                                          1085300100030 
           (870107C) BIB UPDATE                                   1085300100031 
ENDBIB              29          0                                 1085300100032 
NOCOMMON             0          0                                 1085300100033 
ENDSUBENT           32          0                                 1085300199999 
SUBENT        10853002   19810508                             00001085300200001 
BIB                  1          1                                 1085300200002 
REACTION   (6-C-13(N,EL)6-C-13,,DA)                               1085300200003 
ENDBIB               1          0                                 1085300200004 
NOCOMMON             0          0                                 1085300200005 
DATA                 4        332                                 1085300200006 
EN         ANG-CM     DATA       DATA-ERR                         1085300200007 
MEV        ADEG       MB/SR      MB/SR                            1085300200008 
 1.26       21.5      229.9       11.3                            1085300200009 
 1.26       40.2      207.1       10.0                            1085300200010 
 1.26       58.6      187.7        9.3                            1085300200011 
 1.26       76.7      171.7        8.8                            1085300200012 
 1.26       94.4      167.1        8.7                            1085300200013 
 1.26      111.7      160.2        8.6                            1085300200014 
 1.26      128.6      169.3        9.3                            1085300200015 
 1.26      145.2      167.8        9.5                            1085300200016 
 1.26      161.5      167.6        9.6                            1085300200017 
 1.57       21.5      182.4        9.1                            1085300200018 
 1.57       40.2      170.9        8.5                            1085300200019 
 1.57       58.6      150.7        7.6                            1085300200020 
 1.57       76.7      121.2        6.3                            1085300200021 
 1.57       94.4      128.6        6.5                            1085300200022 
 1.57      111.7      128.9        6.8                            1085300200023 
 1.57      128.6      132.7        7.3                            1085300200024 
 1.57      145.2      157.9        8.7                            1085300200025 
 1.57      161.5      167.4        9.6                            1085300200026 
 2.00       21.5      166.4        9.2                            1085300200027 
 2.00       40.2      144.4        7.2                            1085300200028 
 2.00       58.6      128.0        6.5                            1085300200029 
 2.00       76.7      116.0        5.9                            1085300200030 
 2.00       94.4      120.4        6.0                            1085300200031 
 2.00      111.7      122.2        6.3                            1085300200032 
 2.00      128.6      134.4        7.1                            1085300200033 
 2.00      145.2      139.1        7.7                            1085300200034 
 2.00      161.5      134.2        7.6                            1085300200035 
 2.30       21.5      149.0        7.6                            1085300200036 
 2.30       40.2      136.1        6.9                            1085300200037 
 2.30       58.6      118.4        6.0                            1085300200038 
 2.30       76.7       97.2        5.2                            1085300200039 
 2.30       94.4       98.5        5.1                            1085300200040 
 2.30      111.7      106.4        5.6                            1085300200041 
 2.30      128.6      126.1        6.7                            1085300200042 
 2.30      145.2      148.0        7.6                            1085300200043 
 2.30      161.5      137.4        8.1                            1085300200044 
 2.60       21.5      164.9        8.6                            1085300200045 
 2.60       40.2      140.0        7.1                            1085300200046 
 2.60       58.6      108.3        5.6                            1085300200047 
 2.60       76.7       79.5        4.2                            1085300200048 
 2.60       94.4       76.2        4.0                            1085300200049 
 2.60      111.7       94.3        5.0                            1085300200050 
 2.60      128.6      125.2        6.6                            1085300200051 
 2.60      145.2      148.2        7.9                            1085300200052 
 2.60      161.5      155.1        8.5                            1085300200053 
 2.80       21.5      168.3       12.0                            1085300200054 
 2.80       40.2      145.1       10.1                            1085300200055 
 2.80       58.6      103.7        7.7                            1085300200056 
 2.80       76.7       74.0        5.3                            1085300200057 
