ENTRY            10859   19870527                             00001085900000001 
SUBENT        10859001   19870527                             00001085900100001 
BIB                 13         37                                 1085900100002 
INSTITUTE  (1USATNL)                                              1085900100003 
REFERENCE  (J,NSE,82,393,8212)                                    1085900100004 
AUTHOR     (S.G.GLENDINNING,S.EL-KADI,C.E.NELSON,F.O.PURSER,      1085900100005 
            C.R.GOULD,L.W.SEAGONDOLLAR)                           1085900100006 
TITLE       NEUTRON ELASTIC SCATTERING CROSS SECTIONS FOR O-16    1085900100007 
             BETWEEN 9 AND 15 MEV.                                1085900100008 
FACILITY   (VDGT) FAST NEUTRON TANDEM VAN DE GRAAFF               1085900100009 
INC-SOURCE (D-D) PULSED DEUTERON BEAM ON 2-ATM OF DEUTERIUM GAS.  1085900100010 
SAMPLE     BEO SAMPLE OF 19.1849-GMS, 1.905-CM DIAMETER, 2.54-CM  1085900100011 
            HIGH WITH ALUMINUM ENDCAPS.                           1085900100012 
           BE METAL SAMPLE OF 6.9059-GMS, 0.667-CM DIAMETER,      1085900100013 
            2.54-CM HIGH WITH ALUMINUM ENDCAPS.                   1085900100014 
DETECTOR   (SCIN) 8.89-CM DIAMETER BY 5.04-CM THICK SCINTILLATOR  1085900100015 
            WITH PHOTOMULTIPLIER USED AS MAIN NEUTRON DETECTOR    1085900100016 
           BEAM MONITOR SCINTILLATOR(2-M FLIGHT PATH) 2.54-CM     1085900100017 
            DIAMETER BY 3.80-CM THICK.                            1085900100018 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG) POLYETHYLENE SCATTERER USED TO 1085900100019 
            OBTAIN ABSOLUTE CROSS SECTIONS.                       1085900100020 
           NEUTRON SOURCE REACTION USED TO NORMALIZE EXPERIMENTAL 1085900100021 
            YIELDS                                                1085900100022 
METHOD     (TOF) TIME-OF-FLIGHT WITH 3.90-METER FLIGHT PATH. BE   1085900100023 
            METAL SAMPLE HAS SAME NUMBER OF BE NUCLEI AS BEO      1085900100024 
            SAMPLE. OXYGEN YIELD OBTAIN FROM DIFFERENCE BETWEEN   1085900100025 
            BOTH SAMPLES. CONSTANT FRACTION DISCRIMINATORS USED   1085900100026 
            TO MINIMIZE TIMING WALK. BOTH DETECTORS USED WIDE     1085900100027 
            RANGE NEUTRON-GAMMA PULSE SHAPE DISCRIMINATORS.       1085900100028 
CORRECTION MONTE CARLO SIMULATION USED TO CORRECT FOR ANISOTROPY  1085900100029 
            OF SOURCE REACTION, FINITE ANGULAR RESOLUTION, FINITE 1085900100030 
            DETECTOR SIZE, PRESENCE OF MULTIPLE ELEMENTS IN       1085900100031 
            SAMPLE, ATTENUATION IN SAMPLE, AND MULTIPLE SCATTER-  1085900100032 
            ING                                                   1085900100033 
STATUS     (APRVD) APPROVED BY F.O.PURSER, 79/9/25                1085900100034 
            DATA TAKEN FROM PRIVATE COMM., PURSER, 79/6.          1085900100035 
HISTORY    (790709C)                                              1085900100036 
           (821203A) REFERENCE,STATUS UPDATED.                    1085900100037 
           (830928A) BIB CORRECTION, DATA HEADINGS CORRECTED.     1085900100038 
           (870527A) ERR-ANALYS MOVED. SAN 004 ADDED.             1085900100039 
ENDBIB              37          0                                 1085900100040 
NOCOMMON             0          0                                 1085900100041 
ENDSUBENT           40          0                                 1085900199999 
SUBENT        10859002   19870527                             00001085900200001 
BIB                  3         21                                 1085900200002 
REACTION   (8-O-16(N,EL)8-O-16,,DA)                               1085900200003 
ERR-ANALYS (DATA-ERR1) ERRORS INCLUDE-                            1085900200004 
            -DETECTOR EFFICIENCY ERRORS, 2.5-3.5 PERCENT          1085900200005 
             -UNCERTAINTY IN SOURCE REACTION CROSS SECTIONED USED 1085900200006 
              FOR CALIBRATION, 1.2-2.2 PERCENT                    1085900200007 
             -ANGULAR UNCERTAINTY DURING EFFICIENCY MEASUREMENTS, 1085900200008 
              1-2 PERCENT                                         1085900200009 
            -CORRECTION ERROR OF MONTE CARLO SIMULATION, LESS THAN1085900200010 
             2.5 PERCENT                                          1085900200011 
            -NORMALIZATION ERRORS, 2.5-11.7 PERCENT               1085900200012 
             -UNCERTAINTY IN N-PROTON MONITOR YIELD DUE TO COUNT- 1085900200013 
              ING STATISTICS AND REPRODUCIBILITY OF MEASUREMENTS, 1085900200014 
              2-11 PERCENT                                        1085900200015 
             -UNCERTAINTY IN FINITE SIZE CORRECTION FOR POLYETHYL-1085900200016 
              ENE SAMPLE INCLUDING FLUX ATTENUATION AND SOURCE    1085900200017 
              ANISOTROPY, LESS THAN 2 PERCENT                     1085900200018 
             -UNCERTAINTY IN NEUTRON-PROTON DIFFERENTIAL CROSS    1085900200019 
              SECTION INCLUDING 0.5-DEGREE ERROR IN SCATTERING    1085900200020 
              ANGLE, 1-1.2 PERCENT                                1085900200021 
           (DATA-ERR2) NORMALIZATION UNCERTAINTY.                 1085900200022 
HISTORY    (830928A) DATA CORRECTED.                              1085900200023 
ENDBIB              21          0                                 1085900200024 
NOCOMMON             0          0                                 1085900200025 
DATA                 6        267                                 1085900200026 
EN         EN-ERR     ANG        DATA       DATA-ERR1  DATA-ERR2  1085900200027 
MEV        PER-CENT   ADEG       MB/SR      MB/SR      PER-CENT   1085900200028 
  9.2110     4.1100     26.33     163.71      5.20       4.11     1085900200029 
  9.2110     4.1100     31.40     122.23      7.02       4.11     1085900200030 
  9.2110     4.1100     36.46      90.85      3.53       4.11     1085900200031 
  9.2110     4.1100     41.53      70.35      3.85       4.11     1085900200032 
  9.2110     4.1100     46.61      38.90      2.21       4.11     1085900200033 
  9.2110     4.1100     51.82      26.43      1.70       4.11     1085900200034 
  9.2110     4.1100     57.36      13.10      0.99       4.11     1085900200035 
  9.2110     4.1100     63.17      12.60      1.17       4.11     1085900200036 
  9.2110     4.1100     68.67      16.56      0.79       4.11     1085900200037 
  9.2110     4.1100     73.79      23.16      1.10       4.11     1085900200038 
  9.2110     4.1100     78.75      33.55      1.17       4.11     1085900200039 
  9.2110     4.1100     83.68      40.50      1.69       4.11     1085900200040 
  9.2110     4.1100     88.59      53.13      1.56       4.11     1085900200041 
  9.2110     4.1100     93.50      55.22      1.87       4.11     1085900200042 
  9.2110     4.1100     98.37      60.80      1.76       4.11     1085900200043 
  9.2110     4.1100    103.21      56.66      1.84       4.11     1085900200044 
  9.2110     4.1100    108.03      59.80      1.78       4.11     1085900200045 
  9.2110     4.1100    112.85      49.51      2.13       4.11     1085900200046 
  9.2110     4.1100    117.65      45.10      1.49       4.11     1085900200047 
  9.2110     4.1100    122.43      31.76      1.99       4.11     1085900200048 
  9.2110     4.1100    127.22      26.54      1.16       4.11     1085900200049 
  9.2110     4.1100    132.06      18.36      1.19       4.11     1085900200050 
  9.2110     4.1100    136.99      15.83      1.01       4.11     1085900200051 
  9.2110     4.1100    141.97      13.71      0.73       4.11     1085900200052 
  9.7080     2.8000     26.35     176.58      5.37       2.8      1085900200053 
  9.7080     2.8000     31.42     138.98      4.35       2.8      1085900200054 
  9.7080     2.8000     36.50     102.31      3.82       2.8      1085900200055 
  9.7080     2.8000     41.60      70.17      3.37       2.8      1085900200056 
  9.7080     2.8000     46.74      46.08      2.27       2.8      1085900200057 
  9.7080     2.8000     52.03      31.42      2.24       2.8      1085900200058 
  9.7080     2.8000     57.54      20.00      1.93       2.8      1085900200059 
  9.7080     2.8000     63.12      20.74      1.02       2.8      1085900200060 
  9.7080     2.8000     68.49      24.39      1.02       2.8      1085900200061 
  9.7080     2.8000     73.64      30.62      1.20       2.8      1085900200062 
  9.7080     2.8000     78.68      36.56      1.28       2.8      1085900200063 
  9.7080     2.8000     83.67      46.98      1.46       2.8      1085900200064 
  9.7080     2.8000     88.63      53.51      1.61       2.8      1085900200065 
  9.7080     2.8000     93.56      65.53      1.96       2.8      1085900200066 
  9.7080     2.8000     98.45      68.16      2.07       2.8      1085900200067 
  9.7080     2.8000    103.32      72.11      2.13       2.8      1085900200068 
  9.7080     2.8000    108.14      71.10      2.13       2.8      1085900200069 
  9.7080     2.8000    112.94      68.65      2.13       2.8      1085900200070 
  9.7080     2.8000    117.69      57.78      2.05       2.8      1085900200071 
  9.7080     2.8000    122.40      46.09      1.73       2.8      1085900200072 
  9.7080     2.8000    127.04      33.10      1.38       2.8      1085900200073 
  9.7080     2.8000    131.67      21.50      0.78       2.8      1085900200074 
  9.7080     2.8000    136.47      12.42      0.64       2.8      1085900200075 
  9.7080     2.8000    141.88       6.88      0.49       2.8      1085900200076 
  9.7080     2.8000    147.42       9.55      0.47       2.8      1085900200077 
  9.7080     2.8000    152.26      18.75      0.67       2.8      1085900200078 
  9.7080     2.8000    156.79      29.36      0.95       2.8      1085900200079 
  9.7080     2.8000    160.37      40.43      1.08       2.8      1085900200080 
 10.2070     4.3700     31.09     171.53      5.31       4.37     1085900200081 
 10.2070     4.3700     36.11     101.27      4.64       4.37     1085900200082 
 10.2070     4.3700     41.15      60.42      3.30       4.37     1085900200083 
 10.2070     4.3700     46.42      28.43      2.11       4.37     1085900200084 
 10.2070     4.3700     52.25      16.15      1.51       4.37     1085900200085 
 10.2070     4.3700     58.20      16.03      1.47       4.37     1085900200086 
 10.2070     4.3700     63.54      25.52      1.20       4.37     1085900200087 
 10.2070     4.3700     68.56      34.51      1.27       4.37     1085900200088 
 10.2070     4.3700     73.52      42.60      1.42       4.37     1085900200089 
 10.2070     4.3700     78.48      49.41      3.88       4.37     1085900200090 
 10.2070     4.3700     83.45      52.86      1.65       4.37     1085900200091 
 10.2070     4.3700     88.42      57.59      1.79       4.37     1085900200092 
 10.2070     4.3700     93.37      59.07      2.17       4.37     1085900200093 
 10.2070     4.3700     98.30      60.22      2.01       4.37     1085900200094 
 10.2070     4.3700    103.20      58.54      1.89       4.37     1085900200095 
 10.2070     4.3700    108.08      57.31      1.83       4.37     1085900200096 
 10.2070     4.3700    112.91      51.80      1.96       4.37     1085900200097 
 10.2070     4.3700    117.72      45.95      1.79       4.37     1085900200098 
 10.2070     4.3700    122.52      41.71      1.58       4.37     1085900200099 
 10.2070     4.3700    127.32      34.46      1.32       4.37     1085900200100 
 10.2070     4.3700    132.18      29.56      1.10       4.37     1085900200101 
