ENTRY            10918   20200930                             147410918  0    1 
SUBENT        10918001   20200930                             147410918  1    1 
BIB                 13         48                                 10918  1    2 
TITLE      Light fragment independent yields for thermal-neutron  10918  1    3 
           fission of U-233                                       10918  1    4 
AUTHOR     (B.W.Wehring,S.Lee,G.Swift,R.Strittmatter)             10918  1    5 
INSTITUTE  (1USAUI)                                               10918  1    6 
REFERENCE  (J,ANS,35,551,1980) Independent yields for thermal     10918  1    7 
           fission of U-233 in graph form.                        10918  1    8 
           (T,Lee,1983) Title: Yield, kinetic energy, pairing     10918  1    9 
           effect, and shell effect of light fission products for 10918  1   10 
           thermal-neutron fission of uranium 233.                10918  1   11 
           (R,UILU-ENG-80-5312,1980) Data are almost the same as  10918  1   12 
           in the 2-nd ref., excluding information about mean of  10918  1   13 
           nuclear charge distribution.                           10918  1   14 
FACILITY   (REAC,1USAUI)                                          10918  1   15 
           (SPECM,1USAUI) The fission-fragment recoil mass        10918  1   16 
           spectrometer HIAWATHA located at the TRIGA reactor.    10918  1   17 
SAMPLE     (92-U-233,ENR=0.9954)                                  10918  1   18 
           (92-U-234,ENR=0.00184)                                 10918  1   19 
           (92-U-235,ENR=0.00062)                                 10918  1   20 
           (92-U-236,ENR=0.00013)                                 10918  1   21 
           (92-U-238,ENR=0.00203)                                 10918  1   22 
           The uranium was in the form of solid compound of U02.  10918  1   23 
           The foil was prepared with the vacuum evaporation      10918  1   24 
           technique in which uranium dioxide was evaporated      10918  1   25 
           onto a 5 mil nickel backing. The circular target foil  10918  1   26 
           was 2 cm in radius, or about 12.5 cm2 in area. The     10918  1   27 
           total amount of uranium was 5.325 mg. The thickness    10918  1   28 
           of the UO2 foil was 484 +- 25 micro-g/cm2.             10918  1   29 
DETECTOR   (IOCH) Ionization chamber to determine fission fragment10918  1   30 
            energy loss                                           10918  1   31 
           Fission fragment mass spectrometer                     10918  1   32 
METHOD     (TOF) Fission fragment time of flight measurements.    10918  1   33 
            Identification of fragments made using energy-loss    10918  1   34 
            method.                                               10918  1   35 
INC-SPECT  Thermal reactor spectrum.                              10918  1   36 
MONITOR    The 6.12 MeV alpha-particles from 252-Cf source was    10918  1   37 
             used for calibration.                                10918  1   38 
CORRECTION Following corrections were made:                       10918  1   39 
            .Ionization chamber energy was corrected for energy   10918  1   40 
             loss in the windows and the chamber dead layer.      10918  1   41 
            .Energy losses in carbon and source foils.            10918  1   42 
            .Ionic-charge-state dependence.                       10918  1   43 
ERR-ANALYS (DATA-ERR) The indicated error includes the statistical10918  1   44 
           error and the estimated systematic error.              10918  1   45 
HISTORY    (19801229C)                                            10918  1   46 
           (19840803A) BIB and DATA updated.                      10918  1   47 
           (20200930A) OG. Converted to lower case and 4-digit    10918  1   48 
           year. REACTION, FACILITY, ERR-ANALYS, SAMPLE, STATUS   10918  1   49 
           updated. Sub005 added.                                 10918  1   50 
ENDBIB              48          0                                 10918  1   51 
COMMON               1          3                                 10918  1   52 
EN-DUMMY                                                          10918  1   53 
EV                                                                10918  1   54 
 0.0253                                                           10918  1   55 
ENDCOMMON            3          0                                 10918  1   56 
ENDSUBENT           55          0                                 10918  199999 
SUBENT        10918002   20200930                             147410918  2    1 
BIB                  3          4                                 10918  2    2 
REACTION   (92-U-233(N,F)ELEM/MASS,IND,FY,,FRC/SPA)               10918  2    3 
STATUS     (TABLE) Data from Appendix A (p.117-120) in            10918  2    4 
           Thesis,S.Lee,1983                                      10918  2    5 
HISTORY    (20200930A) OG. REACTION updated. STATUS added.        10918  2    6 
ENDBIB               4          0                                 10918  2    7 
NOCOMMON             0          0                                 10918  2    8 
DATA                 4        100                                 10918  2    9 
ELEMENT    MASS       DATA       DATA-ERR                         10918  2   10 
NO-DIM     NO-DIM     NO-DIM     NO-DIM                           10918  2   11 
 31.         81.        8.31      2.59                            10918  2   12 
 31.         82.        4.59      1.06                            10918  2   13 
 32.         81.       29.62      4.00                            10918  2   14 
 32.         82.       14.35      1.32                            10918  2   15 
 32.         83.        4.75       .65                            10918  2   16 
 32.         84.        1.27       .46                            10918  2   17 
 33.         81.       54.47      4.32                            10918  2   18 
 33.         82.       52.95      1.71                            10918  2   19 
 33.         83.       34.92      1.21                            10918  2   20 
 33.         84.       10.34       .85                            10918  2   21 
 33.         85.        4.90       .50                            10918  2   22 
 33.         86.        1.77       .32                            10918  2   23 
 34.         81.        7.60      2.60                            10918  2   24 
 34.         82.       28.11      1.48                            10918  2   25 
 34.         83.       58.93      1.27                            10918  2   26 
 34.         84.       75.50      1.05                            10918  2   27 
 34.         85.       52.05       .98                            10918  2   28 
 34.         86.       28.78       .75                            10918  2   29 
 34.         87.        9.17       .59                            10918  2   30 
 34.         88.        2.28       .27                            10918  2   31 
 35.         83.        1.40       .61                            10918  2   32 
 35.         84.       12.89       .72                            10918  2   33 
 35.         85.       37.68       .89                            10918  2   34 
 35.         86.       49.29       .79                            10918  2   35 
 35.         87.       43.60       .72                            10918  2   36 
 35.         88.       21.49       .61                            10918  2   37 
 35.         89.        9.37       .54                            10918  2   38 
 35.         90.        2.47       .28                            10918  2   39 
 35.         91.        1.01       .18                            10918  2   40 
 36.         85.        5.36       .96                            10918  2   41 
 36.         86.       20.16       .62                            10918  2   42 
 36.         87.       45.45       .71                            10918  2   43 
 36.         88.       70.44       .68                            10918  2   44 
 36.         89.       73.78       .67                            10918  2   45 
 36.         90.       58.07       .60                            10918  2   46 
 36.         91.       29.62       .58                            10918  2   47 
 36.         92.       11.16       .56                            10918  2   48 
 36.         93.        2.50       .27                            10918  2   49 
 37.         87.        1.78       .34                            10918  2   50 
 37.         88.        5.79       .40                            10918  2   51 
 37.         89.       15.30       .51                            10918  2   52 
 37.         90.       34.78       .56                            10918  2   53 
 37.         91.       51.69       .62                            10918  2   54 
 37.         92.       44.98       .63                            10918  2   55 
 37.         93.       25.60       .56                            10918  2   56 
 37.         94.        8.84       .52                            10918  2   57 
 37.         95.        3.55       .36                            10918  2   58 
 37.         96.         .70       .17                            10918  2   59 
 38.         89.        1.56       .22                            10918  2   60 
 38.         90.        4.67       .36                            10918  2   61 
 38.         91.       17.69       .50                            10918  2   62 
 38.         92.       41.69       .61                            10918  2   63 
 38.         93.       64.55       .63                            10918  2   64 
 38.         94.       70.88       .69                            10918  2   65 
 38.         95.       50.46       .63                            10918  2   66 
 38.         96.       31.43       .60                            10918  2   67 
 38.         97.       11.52       .56                            10918  2   68 
 38.         98.        4.59       .39                            10918  2   69 
 38.         99.        1.34       .22                            10918  2   70 
 39.         92.        2.16       .27                            10918  2   71 
 39.         93.        7.35       .45                            10918  2   72 
 39.         94.       18.97       .57                            10918  2   73 
 39.         95.       40.90       .62                            10918  2   74 
 39.         96.       49.19       .65                            10918  2   75 
 39.         97.       46.52       .70                            10918  2   76 
 39.         98.       25.13       .64                            10918  2   77 
 39.         99.       13.44       .65                            10918  2   78 
 39.        100.        3.66       .41                            10918  2   79 
 39.        101.        2.39       .36                            10918  2   80 
 40.         94.        1.31       .25                            10918  2   81 
 40.         95.        5.09       .41                            10918  2   82 
 40.         96.       18.68       .56                            10918  2   83 
 40.         97.       39.90       .69                            10918  2   84 
 40.         98.       65.84       .73                            10918  2   85 
 40.         99.       71.09       .79                            10918  2   86 
 40.        100.       71.54       .82                            10918  2   87 
