ENTRY            11015   19820106                             00001101500000001 
SUBENT        11015001   19820106                             00001101500100001 
BIB                  5          6                                 1101500100002 
INSTITUTE  (1USAMTR)                                              1101500100003 
REFERENCE  (W,FLUHARTY,5901)                                      1101500100004 
AUTHOR     (R.G.FLUHARTY)                                         1101500100005 
STATUS     (SCSRS)                                                1101500100006 
HISTORY    (760628T) TRANSLATED FROM SCISRS                       1101500100007 
           (820106A) CONVERTED TO REACTION FORMALISM              1101500100008 
ENDBIB               6          0                                 1101500100009 
NOCOMMON             0          0                                 1101500100010 
ENDSUBENT            9          0                                 1101500199999 
SUBENT        11015002   19820106                             00001101500200001 
BIB                  2          2                                 1101500200002 
REACTION   (1-H-D2O(N,TOT),,SIG)                                  1101500200003 
METHOD     (TOF)      TIME-OF-FLIGHT                              1101500200004 
ENDBIB               2          0                                 1101500200005 
NOCOMMON             0          0                                 1101500200006 
DATA                 3         96                                 1101500200007 
EN         EN-ERR     DATA                                        1101500200008 
MEV        MEV        B                                           1101500200009 
 5.55   -06            1.04   +01                                 1101500200010 
 5.8    -06            1.06   +01                                 1101500200011 
 6.1    -06            1.06   +01                                 1101500200012 
 6.3    -06            1.04   +01                                 1101500200013 
 6.7    -06            1.02   +01                                 1101500200014 
 7.1    -06            1.04   +01                                 1101500200015 
 7.4    -06            1.02   +01                                 1101500200016 
 7.8    -06 4.     -07 1.03   +01                                 1101500200017 
 8.2    -06            1.05   +01                                 1101500200018 
 8.7    -06            1.03   +01                                 1101500200019 
 9.2    -06            1.05   +01                                 1101500200020 
 9.7    -06            1.05   +01                                 1101500200021 
 1.04   -05            1.06   +01                                 1101500200022 
 1.10   -05            1.05   +01                                 1101500200023 
 1.16   -05            1.07   +01                                 1101500200024 
 1.22   -05            1.06   +01                                 1101500200025 
 1.30   -05            1.05   +01                                 1101500200026 
 1.38   -05            1.06   +01                                 1101500200027 
 1.46   -05            1.05   +01                                 1101500200028 
 1.55   -05 1.0    -06 1.06   +01                                 1101500200029 
 1.65   -05            1.07   +01                                 1101500200030 
 1.75   -05            1.04   +01                                 1101500200031 
 1.88   -05            1.04   +01                                 1101500200032 
 2.01   -05            1.05   +01                                 1101500200033 
 2.10   -05            1.04   +01                                 1101500200034 
 2.23   -05            1.06   +01                                 1101500200035 
 2.35   -05            1.05   +01                                 1101500200036 
 2.50   -05 1.5    -06 1.05   +01                                 1101500200037 
 2.65   -05            1.04   +01                                 1101500200038 
 2.83   -05            1.05   +01                                 1101500200039 
 3.03   -05            1.04   +01                                 1101500200040 
 3.20   -05            1.05   +01                                 1101500200041 
 3.35   -05            1.03   +01                                 1101500200042 
 3.55   -05            1.01   +01                                 1101500200043 
 3.75   -05            1.04   +01                                 1101500200044 
 3.95   -05            1.03   +01                                 1101500200045 
 4.15   -05            1.04   +01                                 1101500200046 
