ENTRY            11052   19860326                             00001105200000001 
SUBENT        11052001   19860326                             00001105200100001 
BIB                  8         11                                 1105200100002 
INSTITUTE  (1USAWIS)                                              1105200100003 
REFERENCE  (J,PR,86,155,52)                                       1105200100004 
AUTHOR     (R.K.ADAIR)                                            1105200100005 
TITLE      ANGULAR DISTRIBUTION OF NEUTRONS SCATTERED BY HELIUM.  1105200100006 
INC-SOURCE (P-LI7)                                                1105200100007 
           (P-T)                                                  1105200100008 
DETECTOR   (PROPC)                                                1105200100009 
STATUS     (SCSRS)                                                1105200100010 
HISTORY    (760628T) TRANSLATED FROM SCISRS                       1105200100011 
           (820106A) CONVERTED TO REACTION FORMALISM              1105200100012 
           (860326A) BIB UPDATE.                                  1105200100013 
ENDBIB              11          0                                 1105200100014 
NOCOMMON             0          0                                 1105200100015 
ENDSUBENT           14          0                                 1105200199999 
SUBENT        11052002   19860326                             00001105200200001 
BIB                  3          3                                 1105200200002 
REACTION   (2-HE-0(N,EL)2-HE-0,,DA)                               1105200200003 
DETECTOR              RECOIL COUNTER                              1105200200004 
HISTORY    (860326A) REACTION PRODUCT ADDED,DATA HEADING CORRECTED1105200200005 
ENDBIB               3          0                                 1105200200006 
NOCOMMON             0          0                                 1105200200007 
DATA                 3        181                                 1105200200008 
EN         COS-CM     DATA-CM                                     1105200200009 
MEV        NO-DIM     MB/SR                                       1105200200010 
 4.00   -01 0.25000    6.1    +01                                 1105200200011 
 4.00   -01 0.18000    6.2    +01                                 1105200200012 
 4.00   -01 0.08000    6.5    +01                                 1105200200013 
 4.00   -01 0.01000    7.7    +01                                 1105200200014 
 4.00   -01-0.1000     8.5    +01                                 1105200200015 
 4.00   -01-0.2100     9.0    +01                                 1105200200016 
 4.00   -01-0.2700     1.18   +02                                 1105200200017 
 4.00   -01-0.3400     1.12   +02                                 1105200200018 
 4.00   -01-0.4400     1.42   +02                                 1105200200019 
 4.00   -01-0.5300     1.42   +02                                 1105200200020 
 4.00   -01-0.6000     1.54   +02                                 1105200200021 
 4.00   -01-0.7000     1.68   +02                                 1105200200022 
 4.00   -01-0.7800     1.77   +02                                 1105200200023 
 6.00   -01 0.64000    5.5    +01                                 1105200200024 
 6.00   -01 0.54000    5.1    +01                                 1105200200025 
 6.00   -01 0.47000    5.3    +01                                 1105200200026 
 6.00   -01 0.39000    5.6    +01                                 1105200200027 
 6.00   -01 0.28000    6.3    +01                                 1105200200028 
 6.00   -01 0.20000    7.2    +01                                 1105200200029 
 6.00   -01 0.10000    9.0    +01                                 1105200200030 
 6.00   -01 0.02000    1.03   +02                                 1105200200031 
 6.00   -01-0.0700     1.18   +02                                 1105200200032 
 6.00   -01-0.1500     1.38   +02                                 1105200200033 
 6.00   -01-0.2400     1.55   +02                                 1105200200034 
 6.00   -01-0.3300     1.67   +02                                 1105200200035 
 6.00   -01-0.4300     1.96   +02                                 1105200200036 
 6.00   -01-0.5200     2.05   +02                                 1105200200037 
 6.00   -01-0.5800     2.27   +02                                 1105200200038 
 6.00   -01-0.6300     2.40   +02                                 1105200200039 
 6.00   -01-0.6800     2.64   +02                                 1105200200040 
 6.00   -01-0.7300     2.57   +02                                 1105200200041 
 6.     -01-0.7800     2.71   +02                                 1105200200042 
 7.50   -01 0.63000    1.50   +02                                 1105200200043 
 7.50   -01 0.53000    1.32   +02                                 1105200200044 
 7.50   -01 0.44000    1.15   +02                                 1105200200045 
 7.50   -01 0.34000    1.36   +02                                 1105200200046 
 7.50   -01 0.25000    1.17   +02                                 1105200200047 
 7.50   -01 0.18000    1.15   +02                                 1105200200048 
 7.50   -01 0.08000    1.50   +02                                 1105200200049 
 7.50   -01-0.0200     1.60   +02                                 1105200200050 
 7.50   -01-0.1100     1.73   +02                                 1105200200051 
 7.50   -01-0.2000     2.30   +02                                 1105200200052 
 7.50   -01-0.3100     2.35   +02                                 1105200200053 
 7.50   -01-0.4200     2.77   +02                                 1105200200054 
 7.50   -01-0.4900     3.23   +02                                 1105200200055 
 7.50   -01-0.5800     3.72   +02                                 1105200200056 
 7.50   -01-0.6600     4.25   +02                                 1105200200057 
 7.50   -01-0.7000     4.38   +02                                 1105200200058 
 7.50   -01-0.7600     4.50   +02                                 1105200200059 
 8.65   -01 0.71000    3.05   +02                                 1105200200060 
 8.65   -01 0.62000    2.62   +02                                 1105200200061 
 8.65   -01 0.50000    2.57   +02                                 1105200200062 
 8.65   -01 0.43000    2.15   +02                                 1105200200063 
 8.65   -01 0.33000    2.30   +02                                 1105200200064 
 8.65   -01 0.25000    2.00   +02                                 1105200200065 
 8.65   -01 0.15000    1.87   +02                                 1105200200066 
 8.65   -01 0.03000    1.80   +02                                 1105200200067 
 8.65   -01-0.0200     2.30   +02                                 1105200200068 
 8.65   -01-0.1000     2.42   +02                                 1105200200069 
 8.65   -01-0.2000     2.70   +02                                 1105200200070 
 8.65   -01-0.2800     3.10   +02                                 1105200200071 
 8.65   -01-0.3700     3.68   +02                                 1105200200072 
 8.65   -01-0.4600     4.10   +02                                 1105200200073 
 8.65   -01-0.5400     4.76   +02                                 1105200200074 
 8.65   -01-0.6200     4.82   +02                                 1105200200075 
 8.65   -01-0.6700     5.22   +02                                 1105200200076 
 8.65   -01-0.7200     5.44   +02                                 1105200200077 
 8.65   -01-0.7500     5.80   +02                                 1105200200078 
 8.65   -01-0.7900     6.38   +02                                 1105200200079 
 1.00   +00 0.49000    3.80   +02                                 1105200200080 
 1.00   +00 0.38000    3.23   +02                                 1105200200081 
 1.00   +00 0.30000    2.80   +02                                 1105200200082 
 1.00   +00 0.22000    2.72   +02                                 1105200200083 
 1.00   +00 0.13000    2.78   +02                                 1105200200084 
