ENTRY            11061   19820106                             00001106100000001 
SUBENT        11061001   19820106                             00001106100100001 
BIB                  6          7                                 1106100100002 
INSTITUTE  (1USAWIS)                                              1106100100003 
REFERENCE  (J,PR,89,1165,5303)                                    1106100100004 
AUTHOR     (R.K.ADAIR,A.OKAZAKI,M.WALT)                           1106100100005 
TITLE      SCATTERING OF NEUTRONS BY DEUTERONS.                   1106100100006 
STATUS     (SCSRS)                                                1106100100007 
HISTORY    (760628T) TRANSLATED FROM SCISRS                       1106100100008 
           (820106A) CONVERTED TO REACTION FORMALISM              1106100100009 
ENDBIB               7          0                                 1106100100010 
NOCOMMON             0          0                                 1106100100011 
ENDSUBENT           10          0                                 1106100199999 
SUBENT        11061002   19820106                             00001106100200001 
BIB                  2          2                                 1106100200002 
REACTION   (1-H-2(N,TOT),,SIG)                                    1106100200003 
DETECTOR   IONIZATION CHAMBER                                     1106100200004 
ENDBIB               2          0                                 1106100200005 
COMMON               1          3                                 1106100200006 
EN-RSL                                                            1106100200007 
MEV                                                               1106100200008 
 0.025                                                            1106100200009 
ENDCOMMON            3          0                                 1106100200010 
DATA                 3          9                                 1106100200011 
EN         DATA       DATA-ERR                                    1106100200012 
MEV        B          B                                           1106100200013 
 2.62   -01 3.22   +00 1.2    -01                                 1106100200014 
 5.93   -01 2.98   +00 1.0    -01                                 1106100200015 
 8.72   -01 2.90   +00 8.     -02                                 1106100200016 
 1.178  +00 2.71   +00 1.0    -01                                 1106100200017 
 1.505  +00 2.59   +00 9.     -02                                 1106100200018 
 1.772  +00 2.62   +00 5.     -02                                 1106100200019 
 2.185  +00 2.42   +00 4.     -02                                 1106100200020 
 2.598  +00 2.28   +00 4.     -02                                 1106100200021 
 2.962  +00 2.11   +00 3.     -02                                 1106100200022 
ENDDATA             11          0                                 1106100200023 
ENDSUBENT           22          0                                 1106100299999 
SUBENT        11061003   19820106                             00001106100300001 
BIB                  4          4                                 1106100300002 
REACTION   (1-H-2(N,EL)1-H-2,,DA)                                 1106100300003 
DETECTOR              RECOIL COUNTER                              1106100300004 
MONITOR    (1-H-2(N,TOT),,SIG)                                    1106100300005 
CORRECTION CORRECTED FOR END AND WALL EFFECTS.                    1106100300006 
ENDBIB               4          0                                 1106100300007 
NOCOMMON             0          0                                 1106100300008 
DATA                 4         88                                 1106100300009 
EN         COS-CM     DATA       DATA-ERR                         1106100300010 
MEV        NO-DIM     MB/SR      MB/SR                            1106100300011 
 2.20   -01 0.41000    2.40   +02 3.6    +01                      1106100300012 
 2.20   -01 0.31000    2.54   +02 3.8    +01                      1106100300013 
 2.20   -01 0.20000    2.34   +02 3.5    +01                      1106100300014 
 2.20   -01 0.07000    2.61   +02 3.9    +01                      1106100300015 
 2.20   -01-0.0600     2.35   +02 3.5    +01                      1106100300016 
 2.20   -01-0.1900     2.41   +02 3.6    +01                      1106100300017 
 2.20   -01-0.3200     2.49   +02 3.7    +01                      1106100300018 
 2.20   -01-0.4400     2.65   +02 4.0    +01                      1106100300019 
 2.20   -01-0.5700     2.65   +02 4.0    +01                      1106100300020 
 2.20   -01-0.7000     2.47   +02 3.7    +01                      1106100300021 
 2.20   -01-0.8100     2.52   +02 3.8    +01                      1106100300022 
 5.00   -01 0.36000    1.95   +02 2.9    +01                      1106100300023 
 5.00   -01 0.24000    2.00   +02 3.0    +01                      1106100300024 
 5.00   -01 0.11000    2.18   +02 3.3    +01                      1106100300025 
 5.00   -01-0.0100     2.22   +02 3.3    +01                      1106100300026 
 5.00   -01-0.1200     2.37   +02 3.6    +01                      1106100300027 
 5.00   -01-0.2500     2.42   +02 3.6    +01                      1106100300028 
 5.00   -01-0.3700     2.53   +02 3.8    +01                      1106100300029 
 5.00   -01-0.4900     2.76   +02 4.1    +01                      1106100300030 
 5.00   -01-0.6000     2.85   +02 4.3    +01                      1106100300031 
 5.00   -01-0.7000     3.00   +02 4.5    +01                      1106100300032 
 5.00   -01-0.8000     3.12   +02 4.7    +01                      1106100300033 
 7.50   -01 0.36000    1.60   +02 2.4    +01                      1106100300034 
 7.50   -01 0.23000    1.69   +02 2.5    +01                      1106100300035 
 7.50   -01 0.13000    1.90   +02 2.8    +01                      1106100300036 
 7.50   -01 0.02000    2.12   +02 3.2    +01                      1106100300037 
 7.50   -01-0.0500     2.22   +02 3.3    +01                      1106100300038 
 7.50   -01-0.1400     2.20   +02 3.3    +01                      1106100300039 
 7.50   -01-0.2000     2.40   +02 3.6    +01                      1106100300040 
 7.50   -01-0.3100     2.35   +02 3.5    +01                      1106100300041 
 7.50   -01-0.3800     2.63   +02 3.9    +01                      1106100300042 
 7.50   -01-0.4700     2.80   +02 4.2    +01                      1106100300043 
 7.50   -01-0.5500     2.86   +02 4.3    +01                      1106100300044 
 7.50   -01-0.6000     3.13   +02 4.7    +01                      1106100300045 
 7.50   -01-0.7100     3.24   +02 4.9    +01                      1106100300046 
 7.50   -01-0.8000     3.29   +02 4.9    +01                      1106100300047 
 1.00   +00 0.75000    2.93   +02 4.4    +01                      1106100300048 
 1.00   +00 0.65000    2.80   +02 4.2    +01                      1106100300049 
 1.00   +00 0.57000    2.48   +02 3.7    +01                      1106100300050 
 1.00   +00 0.47000    2.23   +02 3.3    +01                      1106100300051 
 1.00   +00 0.37000    2.27   +02 3.4    +01                      1106100300052 
 1.00   +00 0.34000    1.58   +02 2.4    +01                      1106100300053 
 1.00   +00 0.28000    1.82   +02 2.7    +01                      1106100300054 
 1.00   +00 0.24000    1.74   +02 2.6    +01                      1106100300055 
 1.00   +00 0.13000    1.75   +02 2.6    +01                      1106100300056 
 1.00   +00 0.05000    1.86   +02 2.8    +01                      1106100300057 
 1.00   +00-0.0100     1.80   +02 2.7    +01                      1106100300058 
 1.00   +00-0.1100     1.78   +02 2.7    +01                      1106100300059 
 1.00   +00-0.2000     1.81   +02 2.7    +01                      1106100300060 
 1.5    +00 0.35000    1.50   +02 2.2    +01                      1106100300061 
 1.5    +00 0.23000    1.45   +02 2.2    +01                      1106100300062 
 1.5    +00 0.13000    1.49   +02 2.2    +01                      1106100300063 
 1.5    +00 0.06000    1.38   +02 2.1    +01                      1106100300064 
 1.5    +00-0.0400     1.27   +02 1.9    +01                      1106100300065 
 1.5    +00-0.1600     1.46   +02 2.2    +01                      1106100300066 
 1.5    +00-0.2300     1.63   +02 2.4    +01                      1106100300067 
 1.5    +00-0.3300     1.68   +02 2.5    +01                      1106100300068 
