ENTRY            11188   19800814                             00001118800000001 
SUBENT        11188001   19800814                             00001118800100001 
BIB                  7          9                                 1118800100002 
INSTITUTE  (1USALAS)                                              1118800100003 
REFERENCE  (J,AP,12,485,61)                                       1118800100004 
AUTHOR     (D.A.LIND,R.B.DAY)                                     1118800100005 
TITLE      STUDIES OF GAMMA RAYS FROM NEUTRON INELASTIC           1118800100006 
           SCATTERING.                                            1118800100007 
DETECTOR   (NAICR) NAI SCINTILLATION SPECTROMETER. RING GEOMETRY. 1118800100008 
STATUS     (SCSRS)                                                1118800100009 
HISTORY    (760924T) TRANSLATED FROM SCISRS                       1118800100010 
           (800814A) CONVERTED TO REACTION FORMALISM              1118800100011 
ENDBIB               9          0                                 1118800100012 
COMMON               1          3                                 1118800100013 
ANG                                                               1118800100014 
ADEG                                                              1118800100015 
 94.                                                              1118800100016 
ENDCOMMON            3          0                                 1118800100017 
ENDSUBENT           16          0                                 1118800199999 
SUBENT        11188002   19800814                             00001118800200001 
BIB                  1          1                                 1118800200002 
REACTION   (5-B-11(N,INL)5-B-11,PAR,DA,G,4PI)                     1118800200003 
ENDBIB               1          0                                 1118800200004 
COMMON               1          3                                 1118800200005 
E                                                                 1118800200006 
MEV                                                               1118800200007 
    2.14                                                          1118800200008 
ENDCOMMON            3          0                                 1118800200009 
DATA                 2         15                                 1118800200010 
EN         DATA                                                   1118800200011 
MEV        B                                                      1118800200012 
 2.43   +00 0.     +00                                            1118800200013 
 2.48   +00 1.2    -03                                            1118800200014 
 2.53   +00 1.25   -02                                            1118800200015 
 2.58   +00 3.55   -02                                            1118800200016 
 2.63   +00 1.43   -02                                            1118800200017 
 2.68   +00 1.25   -02                                            1118800200018 
 2.73   +00 1.32   -02                                            1118800200019 
 2.78   +00 1.60   -02                                            1118800200020 
 2.83   +00 1.50   -02                                            1118800200021 
 2.89   +00 1.90   -02                                            1118800200022 
 2.94   +00 1.85   -02                                            1118800200023 
 2.99   +00 1.73   -02                                            1118800200024 
 3.05   +00 1.57   -02                                            1118800200025 
 3.10   +00 1.40   -02                                            1118800200026 
 3.15   +00 1.75   -02                                            1118800200027 
ENDDATA             17          0                                 1118800200028 
ENDSUBENT           27          0                                 1118800299999 
SUBENT        11188003   19800814                             00001118800300001 
BIB                  1          1                                 1118800300002 
REACTION   (11-NA-23(N,INL)11-NA-23,PAR,DA,G,4PI)                 1118800300003 
ENDBIB               1          0                                 1118800300004 
NOCOMMON             0          0                                 1118800300005 
DATA                 3         89                                 1118800300006 
E          EN         DATA                                        1118800300007 
MEV        MEV        B                                           1118800300008 
     .439   4.4    -01 0.     +00                                 1118800300009 
     .439   5.0    -01 1.10   -01                                 1118800300010 
     .439   6.1    -01 1.8    -01                                 1118800300011 
     .439   7.2    -01 4.3    -01                                 1118800300012 
     .439   8.4    -01 3.5    -01                                 1118800300013 
     .439   9.5    -01 3.7    -01                                 1118800300014 
     .439   1.05   +00 6.3    -01                                 1118800300015 
     .439   1.17   +00 6.2    -01                                 1118800300016 
     .439   1.28   +00 4.9    -01                                 1118800300017 
     .439   1.38   +00 4.1    -01                                 1118800300018 
     .439   1.48   +00 4.0    -01                                 1118800300019 
     .439   1.58   +00 5.5    -01                                 1118800300020 
     .439   1.69   +00 5.8    -01                                 1118800300021 
     .439   1.79   +00 6.7    -01                                 1118800300022 
     .439   1.90   +00 5.5    -01                                 1118800300023 
     .439   2.00   +00 6.0    -01                                 1118800300024 
     .439   2.11   +00 6.7    -01                                 1118800300025 
     .439   2.21   +00 8.1    -01                                 1118800300026 
     .439   2.31   +00 6.8    -01                                 1118800300027 
     .439   2.41   +00 5.8    -01                                 1118800300028 
     .439   2.51   +00 6.5    -01                                 1118800300029 
     .439   2.62   +00 4.6    -01                                 1118800300030 
     .439   2.72   +00 6.3    -01                                 1118800300031 
     .439   2.82   +00 7.2    -01                                 1118800300032 
     .439   2.92   +00 5.5    -01                                 1118800300033 
     .439   3.02   +00 4.2    -01                                 1118800300034 
     .439   3.08   +00 4.1    -01                                 1118800300035 
     .439   3.12   +00 5.8    -01                                 1118800300036 
     .439   3.18   +00 4.4    -01                                 1118800300037 
     .439   3.23   +00 3.7    -01                                 1118800300038 
     .439   3.28   +00 4.3    -01                                 1118800300039 
     .439   3.32   +00 4.1    -01                                 1118800300040 
    1.61    1.80   +00 0.     +00                                 1118800300041 
    1.61    1.90   +00 0.     +00                                 1118800300042 
    1.61    2.00   +00 1.9    -02                                 1118800300043 
    1.61    2.10   +00 2.4    -02                                 1118800300044 
    1.61    2.20   +00 4.2    -02                                 1118800300045 
    1.61    2.31   +00 5.4    -02                                 1118800300046 
    1.61    2.41   +00 1.8    -02                                 1118800300047 
    1.61    2.52   +00 5.5    -02                                 1118800300048 
    1.61    2.62   +00 5.2    -02                                 1118800300049 
    1.61    2.72   +00 1.22   -01                                 1118800300050 
    1.61    2.82   +00 9.9    -02                                 1118800300051 
    1.61    2.93   +00 1.25   -01                                 1118800300052 
    1.61    3.02   +00 6.8    -02                                 1118800300053 
    1.61    3.07   +00 9.0    -02                                 1118800300054 
    1.61    3.13   +00 9.2    -02                                 1118800300055 
    1.61    3.18   +00 8.0    -02                                 1118800300056 
    1.61    3.23   +00 9.2    -02                                 1118800300057 
    1.61    3.28   +00 6.5    -02                                 1118800300058 
    1.61    3.33   +00 7.6    -02                                 1118800300059 
    2.05    1.90   +00 0.     +00                                 1118800300060 
    2.05    2.00   +00 0.     +00                                 1118800300061 
    2.05    2.11   +00 1.0    -03                                 1118800300062 
    2.05    2.21   +00 3.5    -03                                 1118800300063 
    2.05    2.30   +00 5.0    -03                                 1118800300064 
    2.05    2.41   +00 1.9    -03                                 1118800300065 
    2.05    2.52   +00 4.5    -03                                 1118800300066 
