ENTRY            11292   19810428                             00001129200000001 
SUBENT        11292001   19810428                             00001129200100001 
BIB                  6          7                                 1129200100002 
INSTITUTE  (1USAORL)                                              1129200100003 
REFERENCE  (P,ORNL-1365,1,5301)                                   1129200100004 
AUTHOR     (C.H.JOHNSON,H.B.WILLARD,J.K.BAIR,J.D.KINGTON)         1129200100005 
TITLE      TOTAL NEUTRON CROSS SECTIONS OF N14, GE, SE, CD AND HG.1129200100006 
STATUS     (SCSRS)                                                1129200100007 
HISTORY    (761001T) TRANSLATED FROM SCISRS                       1129200100008 
           (810428A) CONVERTED TO REACTION FORMALISM              1129200100009 
ENDBIB               7          0                                 1129200100010 
COMMON               2          3                                 1129200100011 
EN-ERR     EN-RSL                                                 1129200100012 
KEV        KEV                                                    1129200100013 
 50.        35.                                                   1129200100014 
ENDCOMMON            3          0                                 1129200100015 
ENDSUBENT           14          0                                 1129200199999 
SUBENT        11292002   19810428                             00001129200200001 
BIB                  1          1                                 1129200200002 
REACTION   (7-N-14(N,TOT),,SIG)                                   1129200200003 
ENDBIB               1          0                                 1129200200004 
NOCOMMON             0          0                                 1129200200005 
DATA                 3        196                                 1129200200006 
EN         DATA       DATA-ERR                                    1129200200007 
MEV        B          PER-CENT                                    1129200200008 
 1.635  +00 2.05   +00    2.0                                     1129200200009 
 1.655  +00 2.05   +00    2.0                                     1129200200010 
 1.665  +00 1.96   +00    3.0                                     1129200200011 
 1.685  +00 1.92   +00    3.0                                     1129200200012 
 1.685  +00 2.06   +00    2.0                                     1129200200013 
 1.705  +00 1.82   +00    3.0                                     1129200200014 
 1.705  +00 1.93   +00    3.0                                     1129200200015 
 1.725  +00 1.94   +00    3.0                                     1129200200016 
 1.730  +00 1.87   +00    3.0                                     1129200200017 
 1.745  +00 2.18   +00    2.0                                     1129200200018 
 1.745  +00 2.01   +00    2.0                                     1129200200019 
 1.770  +00 2.46   +00    2.0                                     1129200200020 
 1.770  +00 2.41   +00    2.0                                     1129200200021 
 1.785  +00 2.68   +00    2.0                                     1129200200022 
 1.785  +00 2.72   +00    2.0                                     1129200200023 
 1.805  +00 2.48   +00    2.0                                     1129200200024 
 1.823  +00 2.17   +00    2.0                                     1129200200025 
 1.825  +00 2.46   +00    2.0                                     1129200200026 
 1.840  +00 1.89   +00    4.0                                     1129200200027 
 1.842  +00 1.96   +00    3.0                                     1129200200028 
 1.860  +00 1.88   +00    4.0                                     1129200200029 
 1.860  +00 1.86   +00    4.0                                     1129200200030 
 1.880  +00 1.73   +00    3.0                                     1129200200031 
 1.905  +00 1.67   +00    3.0                                     1129200200032 
 1.920  +00 1.73   +00    3.0                                     1129200200033 
 1.940  +00 1.71   +00    3.0                                     1129200200034 
