ENTRY            11299   19810428                             00001129900000001 
SUBENT        11299001   19810428                             00001129900100001 
BIB                  6          7                                 1129900100002 
INSTITUTE  (1USAMIT)                                              1129900100003 
REFERENCE  (J,PR,86,483,52)                                       1129900100004 
AUTHOR     (J.J.HINCHEY,P.H.STELSON,W.M.PRESTON)                  1129900100005 
TITLE      THE TOTAL NEUTRON CROSS SECTION OF NITROGEN.           1129900100006 
STATUS     (SCSRS)                                                1129900100007 
HISTORY    (760714T) TRANSLATED FROM SCISRS                       1129900100008 
           (810428A) CONVERTED TO REACTION FORMALISM              1129900100009 
ENDBIB               7          0                                 1129900100010 
NOCOMMON             0          0                                 1129900100011 
ENDSUBENT           10          0                                 1129900199999 
SUBENT        11299002   19810428                             00001129900200001 
BIB                  2          2                                 1129900200002 
REACTION   (7-N-14(N,TOT),,SIG)                                   1129900200003 
SAMPLE     LIQUID NITROGEN SAMPLE.                                1129900200004 
ENDBIB               2          0                                 1129900200005 
COMMON               1          3                                 1129900200006 
EN-RSL                                                            1129900200007 
MEV                                                               1129900200008 
 0.011                                                            1129900200009 
ENDCOMMON            3          0                                 1129900200010 
DATA                 3        178                                 1129900200011 
EN         DATA       DATA-ERR                                    1129900200012 
MEV        B          PER-CENT                                    1129900200013 
 1.70   -01 3.97   +00    2.0                                     1129900200014 
 1.90   -01 3.88   +00    2.0                                     1129900200015 
 2.20   -01 3.80   +00    2.0                                     1129900200016 
 2.50   -01 3.37   +00    2.0                                     1129900200017 
 2.80   -01 3.52   +00    2.0                                     1129900200018 
 3.00   -01 3.12   +00    2.0                                     1129900200019 
 3.20   -01 3.27   +00    2.0                                     1129900200020 
 3.40   -01 3.10   +00    2.0                                     1129900200021 
 3.60   -01 3.09   +00    2.0                                     1129900200022 
 3.80   -01 2.82   +00    2.0                                     1129900200023 
 4.10   -01 2.82   +00    2.0                                     1129900200024 
 4.20   -01 3.05   +00    2.0                                     1129900200025 
 4.25   -01 3.15   +00    2.0                                     1129900200026 
 4.30   -01 3.46   +00    2.0                                     1129900200027 
 4.31   -01 4.52   +00    2.0                                     1129900200028 
 4.32   -01 5.20   +00    1.0                                     1129900200029 
 4.36   -01 5.37   +00    1.0                                     1129900200030 
 4.42   -01 4.83   +00    1.0                                     1129900200031 
 4.48   -01 4.10   +00    2.0                                     1129900200032 
 4.50   -01 3.76   +00    2.0                                     1129900200033 
 4.58   -01 3.27   +00    2.0                                     1129900200034 
 4.62   -01 3.08   +00    2.0                                     1129900200035 
