ENTRY            11547   19830412                             00001154700000001 
SUBENT        11547001   19830412                             00001154700100001 
BIB                  5          6                                 1154700100002 
INSTITUTE  (1USAANL)                                              1154700100003 
REFERENCE  (W,COX,6511)                                           1154700100004 
AUTHOR     (S.A.COX)                                              1154700100005 
STATUS     (SCSRS)                                                1154700100006 
HISTORY    (760715T) TRANSLATED FROM SCISRS                       1154700100007 
           (830412A) CONVERTED TO REACTION FORMALISM              1154700100008 
ENDBIB               6          0                                 1154700100009 
NOCOMMON             0          0                                 1154700100010 
ENDSUBENT            9          0                                 1154700199999 
SUBENT        11547002   19830412                             00001154700200001 
BIB                  3          3                                 1154700200002 
REACTION   (14-SI-0(N,TOT),,SIG)                                  1154700200003 
METHOD     (TOF)      TIME-OF-FLIGHT                              1154700200004 
ERR-ANALYS (ERR-S) STATISTICAL ERROR                              1154700200005 
ENDBIB               3          0                                 1154700200006 
NOCOMMON             0          0                                 1154700200007 
DATA                 3        439                                 1154700200008 
EN         DATA       ERR-S                                       1154700200009 
MEV        B          B                                           1154700200010 
 5.083  -01 2.510  +00 3.38   -01                                 1154700200011 
 5.094  -01 2.528  +00 1.89   -01                                 1154700200012 
 5.115  -01 2.630  +00 1.22   -01                                 1154700200013 
 5.133  -01 2.832  +00 1.08   -01                                 1154700200014 
 5.152  -01 2.750  +00 1.17   -01                                 1154700200015 
 5.174  -01 2.621  +00 1.02   -01                                 1154700200016 
 5.195  -01 2.947  +00 1.06   -01                                 1154700200017 
 5.216  -01 2.681  +00 8.4    -02                                 1154700200018 
 5.236  -01 2.606  +00 9.9    -02                                 1154700200019 
 5.256  -01 2.619  +00 7.9    -02                                 1154700200020 
 5.277  -01 2.634  +00 9.5    -02                                 1154700200021 
 5.293  -01 2.502  +00 9.5    -02                                 1154700200022 
 5.310  -01 2.555  +00 1.64   -01                                 1154700200023 
 5.316  -01 2.512  +00 1.64   -01                                 1154700200024 
 5.321  -01 2.728  +00 1.62   -01                                 1154700200025 
 5.327  -01 2.664  +00 1.62   -01                                 1154700200026 
 5.332  -01 2.965  +00 1.61   -01                                 1154700200027 
 5.338  -01 2.893  +00 1.62   -01                                 1154700200028 
 5.343  -01 3.294  +00 1.60   -01                                 1154700200029 
 5.349  -01 3.727  +00 1.62   -01                                 1154700200030 
 5.355  -01 4.466  +00 1.65   -01                                 1154700200031 
 5.360  -01 5.830  +00 1.71   -01                                 1154700200032 
 5.366  -01 6.132  +00 1.75   -01                                 1154700200033 
 5.372  -01 5.116  +00 1.68   -01                                 1154700200034 
 5.377  -01 4.170  +00 1.60   -01                                 1154700200035 
 5.383  -01 3.233  +00 1.57   -01                                 1154700200036 
 5.389  -01 2.869  +00 1.53   -01                                 1154700200037 
 5.394  -01 2.769  +00 1.52   -01                                 1154700200038 
 5.400  -01 2.750  +00 1.52   -01                                 1154700200039 
 5.406  -01 2.625  +00 1.51   -01                                 1154700200040 
 5.411  -01 2.920  +00 1.53   -01                                 1154700200041 
 5.417  -01 2.633  +00 1.51   -01                                 1154700200042 
 5.423  -01 2.847  +00 1.51   -01                                 1154700200043 
 5.428  -01 2.835  +00 1.50   -01                                 1154700200044 
 5.434  -01 2.710  +00 1.49   -01                                 1154700200045 
 5.440  -01 2.595  +00 1.50   -01                                 1154700200046 
 5.446  -01 2.940  +00 1.50   -01                                 1154700200047 
 5.455  -01 2.582  +00 6.8    -02                                 1154700200048 
 5.477  -01 2.579  +00 7.6    -02                                 1154700200049 
 5.496  -01 2.759  +00 6.7    -02                                 1154700200050 
 5.503  -01 3.068  +00 1.20   -01                                 1154700200051 
 5.517  -01 2.950  +00 9.4    -02                                 1154700200052 
 5.528  -01 2.862  +00 1.19   -01                                 1154700200053 
 5.535  -01 3.120  +00 1.46   -01                                 1154700200054 
 5.548  -01 3.438  +00 8.4    -02                                 1154700200055 
 5.561  -01 3.618  +00 1.47   -01                                 1154700200056 
 5.568  -01 3.623  +00 1.19   -01                                 1154700200057 
 5.576  -01 3.739  +00 1.20   -01                                 1154700200058 
 5.583  -01 3.904  +00 1.48   -01                                 1154700200059 
 5.596  -01 4.246  +00 8.6    -02                                 1154700200060 
 5.609  -01 4.653  +00 1.51   -01                                 1154700200061 
 5.616  -01 5.151  +00 1.26   -01                                 1154700200062 
 5.627  -01 5.551  +00 1.01   -01                                 1154700200063 
 5.642  -01 6.838  +00 1.33   -01                                 1154700200064 
 5.646  -01 7.166  +00 1.35   -01                                 1154700200065 
 5.657  -01 8.311  +00 1.70   -01                                 1154700200066 
 5.668  -01 9.233  +00 1.02   -01                                 1154700200067 
 5.680  -01 1.038  +01 1.8    -01                                 1154700200068 
 5.691  -01 1.053  +01 1.5    -01                                 1154700200069 
 5.695  -01 1.019  +01 1.4    -01                                 1154700200070 
 5.708  -01 9.797  +00 1.26   -01                                 1154700200071 
 5.722  -01 8.417  +00 1.39   -01                                 1154700200072 
 5.726  -01 8.661  +00 1.39   -01                                 1154700200073 
 5.739  -01 7.106  +00 1.15   -01                                 1154700200074 
