ENTRY            11558   19830412                             00001155800000001 
SUBENT        11558001   19830412                             00001155800100001 
BIB                  6          7                                 1155800100002 
INSTITUTE  (1USAWIS)                                              1155800100003 
REFERENCE  (J,PR,79,593,5008)                                     1155800100004 
AUTHOR     (R.E.PETERSON,H.H.BARSCHALL,C.K.BOCKELMAN)             1155800100005 
TITLE      INVESTIGATION OF NUCLEAR ENERGY LEVELS IN SULFUR.      1155800100006 
STATUS     (SCSRS)                                                1155800100007 
HISTORY    (760715T) TRANSLATED FROM SCISRS                       1155800100008 
           (830412A) CONVERTED TO REACTION FORMALISM              1155800100009 
ENDBIB               7          0                                 1155800100010 
NOCOMMON             0          0                                 1155800100011 
ENDSUBENT           10          0                                 1155800199999 
SUBENT        11558002   19830412                             00001155800200001 
BIB                  3          3                                 1155800200002 
REACTION   (16-S-0(N,TOT),,SIG)                                   1155800200003 
ERR-ANALYS  DATA-ERR GIVEN IS STATISTICAL ERROR ONLY              1155800200004 
HISTORY    (820628A) INCORRECT POINT AT 1.42 MEV DELETED.         1155800200005 
ENDBIB               3          0                                 1155800200006 
NOCOMMON             0          0                                 1155800200007 
DATA                 4        320                                 1155800200008 
EN         EN-RSL     DATA       DATA-ERR                         1155800200009 
MEV        MEV        B          B                                1155800200010 
 1.42   -01 4.     -03 5.0    +00 5.     -01                      1155800200011 
 1.49   -01 4.     -03 4.2    +00 5.     -01                      1155800200012 
 1.57   -01 4.     -03 2.9    +00 4.     -01                      1155800200013 
 1.65   -01 4.     -03 3.0    +00 4.     -01                      1155800200014 
 1.70   -01 4.     -03 3.3    +00 4.     -01                      1155800200015 
 1.73   -01 4.     -03 2.9    +00 5.     -01                      1155800200016 
 1.75   -01 4.     -03 2.8    +00 5.     -01                      1155800200017 
 1.78   -01 4.     -03 2.7    +00 5.     -01                      1155800200018 
 1.82   -01 4.     -03 2.8    +00 5.     -01                      1155800200019 
 1.87   -01 4.     -03 2.8    +00 5.     -01                      1155800200020 
 1.90   -01 4.     -03 2.6    +00 5.     -01                      1155800200021 
 1.95   -01 3.     -03 3.1    +00 5.     -01                      1155800200022 
 1.98   -01 4.     -03 3.6    +00 5.     -01                      1155800200023 
 1.99   -01 3.     -03 6.8    +00 6.     -01                      1155800200024 
 2.000  -01 2.5    -03 8.6    +00 6.     -01                      1155800200025 
 2.010  -01 2.5    -03 9.9    +00 6.     -01                      1155800200026 
 2.03   -01 3.     -03 7.5    +00 6.     -01                      1155800200027 
 2.030  -01 2.5    -03 8.0    +00 6.     -01                      1155800200028 
 2.03   -01 3.     -03 7.5    +00 6.     -01                      1155800200029 
 2.06   -01 3.     -03 4.5    +00 5.     -01                      1155800200030 
 2.10   -01 4.     -03 3.6    +00 5.     -01                      1155800200031 
 2.12   -01 4.     -03 2.9    +00 5.     -01                      1155800200032 
 2.17   -01 4.     -03 2.4    +00 5.     -01                      1155800200033 
 2.21   -01 4.     -03 2.6    +00 5.     -01                      1155800200034 
 2.24   -01 4.     -03 2.2    +00 4.     -01                      1155800200035 
 2.28   -01 4.     -03 2.3    +00 4.     -01                      1155800200036 
 2.34   -01 4.     -03 2.3    +00 4.     -01                      1155800200037 
 2.40   -01 4.     -03 2.0    +00 4.     -01                      1155800200038 
 2.48   -01 4.     -03 2.1    +00 4.     -01                      1155800200039 
 2.54   -01 4.     -03 2.1    +00 4.     -01                      1155800200040 
 2.61   -01 4.     -03 2.0    +00 4.     -01                      1155800200041 
 2.66   -01 3.     -03 2.0    +00 4.     -01                      1155800200042 
 2.66   -01 4.     -03 2.3    +00 7.     -01                      1155800200043 
 2.69   -01 3.     -03 3.6    +00 4.     -01                      1155800200044 
 2.72   -01 3.     -03 4.5    +00 4.     -01                      1155800200045 
 2.76   -01 3.     -03 4.6    +00 4.     -01                      1155800200046 
 2.78   -01 4.     -03 2.7    +00 7.     -01                      1155800200047 
 2.78   -01 3.     -03 3.1    +00 4.     -01                      1155800200048 
 2.79   -01 3.     -03 2.2    +00 7.     -01                      1155800200049 
 2.80   -01 3.     -03 2.4    +00 7.     -01                      1155800200050 
 2.82   -01 3.     -03 2.4    +00 7.     -01                      1155800200051 
 2.84   -01 4.     -03 2.8    +00 7.     -01                      1155800200052 
