ENTRY            11620   19840720                             00001162000000001 
SUBENT        11620001   19840720                             00001162000100001 
BIB                  5          9                                 1162000100002 
INSTITUTE  (1USALAS)                                              1162000100003 
REFERENCE  (W,SIMMONS,61)                                         1162000100004 
           (J,PR,119,1981,60) DATA DERIVED FROM BACKGROUND        1162000100005 
           MEASUREMENT FOR EXPERIMENT REPORTED.                   1162000100006 
AUTHOR     (J.D.SEAGRAVE,L.CRANBERG,J.E.SIMMONS)                  1162000100007 
STATUS     (SCSRS)                                                1162000100008 
HISTORY    (760718T) TRANSLATED FROM SCISRS                       1162000100009 
           (830815A) CONVERTED TO REACTION FORMALISM              1162000100010 
           (840720A) NOSUBENT FOR SAN 3 ADDED.                    1162000100011 
ENDBIB               9          0                                 1162000100012 
NOCOMMON             0          0                                 1162000100013 
ENDSUBENT           12          0                                 1162000199999 
SUBENT        11620002   19840720                             00001162000200001 
BIB                  4          5                                 1162000200002 
REACTION   (20-CA-0(N,EL),,DA)                                    1162000200003 
DETECTOR   (SCIN)     BIASED SCINTILLATOR                         1162000200004 
MONITOR    (20-CA-0(N,EL),,SIG)                                   1162000200005 
HISTORY    (830415A) SUBENTRIES 2,3 COMBINED.                     1162000200006 
           (840720A) BIB CORRECTION.                              1162000200007 
ENDBIB               5          0                                 1162000200008 
NOCOMMON             0          0                                 1162000200009 
DATA                 6         44                                 1162000200010 
EN         EN-RSL     COS-CM     DATA-CM    DATA-ERR   DATA-MAX   1162000200011 
MEV        MEV        NO-DIM     MB/SR      MB/SR      MB/SR      1162000200012 
 1.0    +00 2.     -01 0.94000    5.75   +02 3.0    +01           1162000200013 
 1.0    +00 2.     -01 0.86600    5.00   +02 2.5    +01           1162000200014 
 1.0    +00 2.     -01 0.71500    4.05   +02 2.0    +01           1162000200015 
 1.0    +00 2.     -01 0.50000    2.80   +02 1.5    +01           1162000200016 
 1.0    +00 2.     -01 0.34500    2.25   +02 1.2    +01           1162000200017 
 1.0    +00 2.     -01 0.17500    1.95   +02 1.5    +01           1162000200018 
 1.0    +00 2.     -01 0.00000    1.55   +02 1.2    +01           1162000200019 
 1.0    +00 2.     -01-0.2600     1.15   +02 1.5    +01           1162000200020 
 1.0    +00 2.     -01-0.5000     1.10   +02 1.5    +01           1162000200021 
 1.0    +00 2.     -01-0.7550     1.10   +02 1.5    +01           1162000200022 
 1.0    +00 2.     -01-0.8850     1.60   +02 1.2    +01           1162000200023 
 2.0    +00 1.     -01 0.94000    9.25   +02 5.0    +01           1162000200024 
 2.0    +00 1.     -01 0.86600    7.65   +02 4.0    +01           1162000200025 
 2.0    +00 1.     -01 0.70000    5.30   +02 2.5    +01           1162000200026 
 2.0    +00 1.     -01 0.50000    3.10   +02 1.5    +01           1162000200027 
 2.0    +00 1.     -01 0.34500    2.15   +02 1.2    +01           1162000200028 
 2.0    +00 1.     -01 0.17500    1.00   +02 1.0    +01           1162000200029 
 2.0    +00 1.     -01 0.00000    7.0    +01 1.0    +01           1162000200030 
 2.0    +00 1.     -01-0.2550     4.5    +01 1.0    +01           1162000200031 
 2.0    +00 1.     -01-0.5000     6.0    +01 1.0    +01           1162000200032 
 2.0    +00 1.     -01-0.7050     1.15   +02 1.0    +01           1162000200033 
 2.0    +00 1.     -01-0.8850     2.00   +02 1.0    +01           1162000200034 
 3.5    +00 1.     -01 0.94500    1.295  +03 6.5    +01           1162000200035 
 3.5    +00 1.     -01 0.87500    1.055  +03 5.0    +01           1162000200036 
 3.5    +00 1.     -01 0.70500    5.35   +02 2.5    +01           1162000200037 
 3.5    +00 1.     -01 0.50000    2.60   +02 1.5    +01           1162000200038 
 3.5    +00 1.     -01 0.34500    1.25   +02 1.0    +01           1162000200039 
 3.5    +00 1.     -01 0.17500    8.0    +01 5.     +00           1162000200040 
 3.5    +00 1.     -01 0.00000    5.5    +01 8.     +00           1162000200041 
 3.5    +00 1.     -01-0.2550     8.0    +01 7.     +00           1162000200042 
 3.5    +00 1.     -01-0.5000     9.0    +01 8.     +00           1162000200043 
 3.5    +00 1.     -01-0.7050     1.15   +02 7.     +00           1162000200044 
 3.5    +00 1.     -01-0.8850     2.00   +02 1.0    +01           1162000200045 
 6.0        0.1        0.94000    1.165  +03 6.0    +01           1162000200046 
 6.0        0.1        0.86600    8.15   +02 4.0    +01           1162000200047 
 6.0        0.1        0.70000    3.40   +02 2.0    +01           1162000200048 
 6.0        0.1        0.50000    7.0    +01 1.0    +01           1162000200049 
 6.0        0.1        0.34000    1.00   +02 1.0    +01           1162000200050 
 6.0        0.1        0.17500                          7.5    +001162000200051 
 6.0        0.1        0.00000    2.0    +01 1.5    +01           1162000200052 
 6.0        0.1       -0.2600     3.5    +01 1.5    +01           1162000200053 
 6.0        0.1       -0.5000     6.5    +01 1.2    +01           1162000200054 
 6.0        0.1       -0.7000     5.5    +01 1.5    +01           1162000200055 
 6.0        0.1       -0.8850     5.0    +01 1.5    +01           1162000200056 
ENDDATA             46          0                                 1162000200057 
ENDSUBENT           56          0                                 1162000299999 
NOSUBENT      11620003   19840720                             00001162000300001 
ENDENTRY             3          0                                 1162099999999 
