ENTRY            11674   19841009                             00001167400000001 
SUBENT        11674001   19841009                             00001167400100001 
BIB                  7         10                                 1167400100002 
INSTITUTE  (1USAANL)                                              1167400100003 
REFERENCE  (J,PR,108,414,57)                                      1167400100004 
AUTHOR     (C.T.HIBDON)                                           1167400100005 
TITLE      NEUTRON TOTAL CROSS SECTIONS OF CHROMIUM AND IRON IN   1167400100006 
           THE KEV REGION.                                        1167400100007 
INC-SOURCE (P-LI7) LI-7(P,N) SOURCE                               1167400100008 
STATUS     (SCSRS)                                                1167400100009 
HISTORY    (760730T) TRANSLATED FROM SCISRS                       1167400100010 
           (831011A) CONVERTED TO REACTION FORMALISM              1167400100011 
           (841009A) BIB CORRECTION.                              1167400100012 
ENDBIB              10          0                                 1167400100013 
NOCOMMON             0          0                                 1167400100014 
ENDSUBENT           13          0                                 1167400199999 
SUBENT        11674002   19831011                             00001167400200001 
BIB                  2          2                                 1167400200002 
REACTION   (24-CR-0(N,TOT),,SIG)                                  1167400200003 
STATUS     DATA TAKEN FROM PRIVATE COMM., 4/9/57.                 1167400200004 
ENDBIB               2          0                                 1167400200005 
NOCOMMON             0          0                                 1167400200006 
DATA                 3        472                                 1167400200007 
EN         EN-ERR     DATA                                        1167400200008 
MEV        MEV        B                                           1167400200009 
 3.03   -03 3.0    -04 8.10   +00                                 1167400200010 
 3.50   -03 3.0    -04 1.195  +01                                 1167400200011 
 3.80   -03 3.0    -04 1.690  +01                                 1167400200012 
 3.92   -03 3.0    -04 1.990  +01                                 1167400200013 
 4.03   -03 3.0    -04 2.270  +01                                 1167400200014 
 4.13   -03 3.0    -04 2.460  +01                                 1167400200015 
 4.23   -03 3.0    -04 1.910  +01                                 1167400200016 
 4.33   -03 3.0    -04 2.010  +01                                 1167400200017 
 4.42   -03 3.0    -04 1.698  +01                                 1167400200018 
 4.48   -03 3.0    -04 1.990  +01                                 1167400200019 
 4.54   -03 3.0    -04 2.165  +01                                 1167400200020 
 4.64   -03 3.0    -04 2.053  +01                                 1167400200021 
 4.70   -03 3.0    -04 1.890  +01                                 1167400200022 
 4.81   -03 3.0    -04 1.765  +01                                 1167400200023 
 4.93   -03 3.0    -04 1.795  +01                                 1167400200024 
 5.03   -03 3.0    -04 1.950  +01                                 1167400200025 
 5.12   -03 3.0    -04 1.938  +01                                 1167400200026 
 5.25   -03 3.0    -04 2.245  +01                                 1167400200027 
 5.33   -03 3.0    -04 2.490  +01                                 1167400200028 
 5.44   -03 3.0    -04 2.380  +01                                 1167400200029 
 5.53   -03 3.0    -04 2.408  +01                                 1167400200030 
 5.64   -03 3.0    -04 2.375  +01                                 1167400200031 
 5.73   -03 3.0    -04 2.283  +01                                 1167400200032 
 5.83   -03 3.0    -04 2.120  +01                                 1167400200033 
 5.94   -03 3.0    -04 1.790  +01                                 1167400200034 
 6.13   -03 3.0    -04 1.522  +01                                 1167400200035 
 6.20   -03 3.0    -04 1.798  +01                                 1167400200036 
 6.33   -03 3.0    -04 1.690  +01                                 1167400200037 
 6.50   -03 3.0    -04 1.999  +01                                 1167400200038 
 6.60   -03 3.0    -04 1.830  +01                                 1167400200039 
 6.70   -03 3.0    -04 1.710  +01                                 1167400200040 
 6.81   -03 3.0    -04 1.593  +01                                 1167400200041 
 7.01   -03 3.0    -04 1.470  +01                                 1167400200042 
 7.20   -03 3.0    -04 1.714  +01                                 1167400200043 
 7.41   -03 3.0    -04 1.845  +01                                 1167400200044 
 7.61   -03 3.0    -04 1.635  +01                                 1167400200045 
 7.82   -03 3.0    -04 1.432  +01                                 1167400200046 
 8.00   -03 3.0    -04 1.805  +01                                 1167400200047 
 8.02   -03 3.0    -04 1.923  +01                                 1167400200048 
 8.23   -03 3.0    -04 2.028  +01                                 1167400200049 
 8.29   -03 3.0    -04 1.930  +01                                 1167400200050 
 8.37   -03 3.0    -04 1.865  +01                                 1167400200051 
 8.39   -03 3.0    -04 1.833  +01                                 1167400200052 
 8.45   -03 3.0    -04 1.643  +01                                 1167400200053 
 8.60   -03 3.0    -04 1.420  +01                                 1167400200054 
 8.72   -03 3.0    -04 1.405  +01                                 1167400200055 
 8.83   -03 3.0    -04 1.672  +01                                 1167400200056 
 9.03   -03 3.0    -04 1.425  +01                                 1167400200057 
 9.03   -03 3.0    -04 1.350  +01                                 1167400200058 
 9.21   -03 3.0    -04 1.113  +01                                 1167400200059 
 9.43   -03 3.0    -04 1.143  +01                                 1167400200060 
 9.43   -03 3.0    -04 1.125  +01                                 1167400200061 
 9.53   -03 3.0    -04 1.070  +01                                 1167400200062 
 9.61   -03 3.0    -04 9.30   +00                                 1167400200063 
 9.81   -03 3.0    -04 7.90   +00                                 1167400200064 
 1.000  -02 3.0    -04 8.03   +00                                 1167400200065 
 1.010  -02 3.0    -04 9.10   +00                                 1167400200066 
 1.025  -02 3.0    -04 1.025  +01                                 1167400200067 
 1.037  -02 3.0    -04 1.065  +01                                 1167400200068 
 1.046  -02 3.0    -04 8.23   +00                                 1167400200069 
 1.050  -02 3.0    -04 6.32   +00                                 1167400200070 
 1.055  -02 3.0    -04 7.20   +00                                 1167400200071 
 1.103  -02 3.0    -04 5.55   +00                                 1167400200072 
 1.151  -02 3.0    -04 5.13   +00                                 1167400200073 
 1.200  -02 3.0    -04 5.55   +00                                 1167400200074 
 1.250  -02 3.0    -04 5.38   +00                                 1167400200075 
 1.300  -02 3.0    -04 4.85   +00                                 1167400200076 
 1.349  -02 3.0    -04 4.68   +00                                 1167400200077 
 1.402  -02 3.0    -04 4.20   +00                                 1167400200078 
 1.452  -02 3.0    -04 3.97   +00                                 1167400200079 
 1.500  -02 3.0    -04 2.97   +00                                 1167400200080 
 1.550  -02 3.0    -04 2.75   +00                                 1167400200081 
 1.601  -02 3.0    -04 2.70   +00                                 1167400200082 
 1.650  -02 3.0    -04 2.39   +00                                 1167400200083 
 1.701  -02 3.0    -04 3.55   +00                                 1167400200084 
 1.776  -02 3.0    -04 3.05   +00                                 1167400200085 
 1.850  -02 3.0    -04 2.95   +00                                 1167400200086 
 1.900  -02 3.0    -04 2.95   +00                                 1167400200087 
 1.950  -02 3.0    -04 3.10   +00                                 1167400200088 
 1.998  -02 3.0    -04 2.85   +00                                 1167400200089 
 2.010  -02 3.0    -04 2.85   +00                                 1167400200090 
 2.060  -02 3.0    -04 3.10   +00                                 1167400200091 
 2.090  -02 3.0    -04 3.63   +00                                 1167400200092 
 2.150  -02 3.0    -04 2.96   +00                                 1167400200093 
 2.200  -02 3.0    -04 2.42   +00                                 1167400200094 
 2.240  -02 3.0    -04 2.28   +00                                 1167400200095 
 2.290  -02 3.0    -04 2.29   +00                                 1167400200096 
 2.350  -02 3.0    -04 3.10   +00                                 1167400200097 
 2.390  -02 3.0    -04 4.00   +00                                 1167400200098 
 2.440  -02 3.0    -04 3.36   +00                                 1167400200099 
 2.510  -02 3.0    -04 2.80   +00                                 1167400200100 
 2.550  -02 3.0    -04 2.34   +00                                 1167400200101 
 2.600  -02 3.0    -04 2.15   +00                                 1167400200102 
 2.650  -02 3.0    -04 2.27   +00                                 1167400200103 
 2.690  -02 3.0    -04 2.80   +00                                 1167400200104 
 2.750  -02 3.0    -04 2.90   +00                                 1167400200105 
 2.800  -02 3.0    -04 3.50   +00                                 1167400200106 
 2.840  -02 3.0    -04 4.01   +00                                 1167400200107 
 2.910  -02 3.0    -04 4.30   +00                                 1167400200108 
 2.960  -02 3.0    -04 4.35   +00                                 1167400200109 
 3.000  -02 3.0    -04 4.11   +00                                 1167400200110 
 3.060  -02 3.0    -04 4.75   +00                                 1167400200111 
 3.100  -02 3.0    -04 3.77   +00                                 1167400200112 
 3.150  -02 3.0    -04 3.19   +00                                 1167400200113 
 3.200  -02 3.0    -04 2.61   +00                                 1167400200114 
 3.250  -02 3.0    -04 3.30   +00                                 1167400200115 
 3.300  -02 3.0    -04 2.88   +00                                 1167400200116 
 3.350  -02 3.0    -04 2.59   +00                                 1167400200117 
 3.400  -02 3.0    -04 2.30   +00                                 1167400200118 
 3.460  -02 3.0    -04 2.21   +00                                 1167400200119 
 3.490  -02 3.0    -04 2.00   +00                                 1167400200120 
 3.550  -02 3.0    -04 1.89   +00                                 1167400200121 
 3.590  -02 3.0    -04 1.81   +00                                 1167400200122 
 3.650  -02 3.0    -04 1.94   +00                                 1167400200123 
 3.700  -02 3.0    -04 2.09   +00                                 1167400200124 
 3.750  -02 3.0    -04 2.20   +00                                 1167400200125 
 3.800  -02 3.0    -04 2.98   +00                                 1167400200126 
 3.840  -02 3.0    -04 4.09   +00                                 1167400200127 
 3.890  -02 3.0    -04 3.59   +00                                 1167400200128 
 3.950  -02 3.0    -04 3.29   +00                                 1167400200129 
 3.990  -02 3.0    -04 2.69   +00                                 1167400200130 
 4.040  -02 3.0    -04 2.55   +00                                 1167400200131 
 4.080  -02 3.0    -04 2.30   +00                                 1167400200132 
 4.130  -02 3.0    -04 2.24   +00                                 1167400200133 
 4.190  -02 3.0    -04 1.70   +00                                 1167400200134 
 4.240  -02 3.0    -04 1.53   +00                                 1167400200135 
 4.290  -02 3.0    -04 1.53   +00                                 1167400200136 
 4.330  -02 3.0    -04 1.34   +00                                 1167400200137 
 4.370  -02 3.0    -04 1.35   +00                                 1167400200138 
 4.430  -02 3.0    -04 1.40   +00                                 1167400200139 
 4.480  -02 3.0    -04 1.10   +00                                 1167400200140 
 4.540  -02 3.0    -04 9.4    -01                                 1167400200141 
 4.600  -02 3.0    -04 9.2    -01                                 1167400200142 
 4.650  -02 3.0    -04 7.5    -01                                 1167400200143 
 4.700  -02 4.0    -04 7.9    -01                                 1167400200144 
 4.740  -02 4.0    -04 9.1    -01                                 1167400200145 
 4.780  -02 4.0    -04 1.08   +00                                 1167400200146 
 4.900  -02 4.0    -04 3.36   +00                                 1167400200147 
 4.910  -02 4.0    -04 3.70   +00                                 1167400200148 
 5.000  -02 4.0    -04 1.252  +01                                 1167400200149 
 5.100  -02 4.0    -04 2.320  +01                                 1167400200150 
 5.230  -02 4.0    -04 2.045  +01                                 1167400200151 
 5.300  -02 4.0    -04 1.110  +01                                 1167400200152 
 5.390  -02 4.0    -04 1.010  +01                                 1167400200153 
 5.510  -02 4.0    -04 7.87   +00                                 1167400200154 
 5.600  -02 4.0    -04 6.48   +00                                 1167400200155 
 5.800  -02 4.0    -04 5.82   +00                                 1167400200156 
 6.000  -02 4.0    -04 3.79   +00                                 1167400200157 
 6.190  -02 4.0    -04 3.04   +00                                 1167400200158 
 6.200  -02 4.0    -04 2.79   +00                                 1167400200159 
 6.390  -02 4.0    -04 2.72   +00                                 1167400200160 
 6.580  -02 4.0    -04 3.60   +00                                 1167400200161 
 6.780  -02 4.0    -04 3.62   +00                                 1167400200162 
 6.990  -02 4.0    -04 3.07   +00                                 1167400200163 
 7.170  -02 4.0    -04 2.12   +00                                 1167400200164 
 7.180  -02 4.0    -04 2.03   +00                                 1167400200165 
 7.380  -02 4.0    -04 2.32   +00                                 1167400200166 
 7.590  -02 4.0    -04 2.32   +00                                 1167400200167 
 7.790  -02 4.0    -04 2.22   +00                                 1167400200168 
 7.980  -02 4.0    -04 1.31   +00                                 1167400200169 
 7.990  -02 4.0    -04 1.50   +00                                 1167400200170 
 8.040  -02 5.0    -04 1.55   +00                                 1167400200171 
 8.090  -02 5.0    -04 1.26   +00                                 1167400200172 
 8.200  -02 5.0    -04 1.09   +00                                 1167400200173 
 8.210  -02 5.0    -04 9.0    -01                                 1167400200174 
 8.290  -02 5.0    -04 9.6    -01                                 1167400200175 
 8.390  -02 5.0    -04 9.3    -01                                 1167400200176 
 8.500  -02 5.0    -04 7.9    -01                                 1167400200177 
 8.590  -02 5.0    -04 8.0    -01                                 1167400200178 
 8.790  -02 5.0    -04 1.09   +00                                 1167400200179 
 8.900  -02 5.0    -04 1.20   +00                                 1167400200180 
 9.000  -02 5.0    -04 1.50   +00                                 1167400200181 
 9.090  -02 5.0    -04 1.60   +00                                 1167400200182 
 9.190  -02 5.0    -04 1.90   +00                                 1167400200183 
 9.230  -02 5.0    -04 2.32   +00                                 1167400200184 
 9.340  -02 5.0    -04 3.89   +00                                 1167400200185 
 9.340  -02 5.0    -04 3.05   +00                                 1167400200186 
 9.400  -02 5.0    -04 4.80   +00                                 1167400200187 
 9.420  -02 5.0    -04 5.15   +00                                 1167400200188 
 9.450  -02 5.0    -04 7.30   +00                                 1167400200189 
 9.480  -02 5.0    -04 7.99   +00                                 1167400200190 
 9.540  -02 5.0    -04 9.42   +00                                 1167400200191 
 9.580  -02 5.0    -04 1.201  +01                                 1167400200192 
 9.620  -02 5.0    -04 1.285  +01                                 1167400200193 
 9.670  -02 5.0    -04 1.392  +01                                 1167400200194 
 9.770  -02 5.0    -04 1.689  +01                                 1167400200195 
 9.830  -02 5.0    -04 1.621  +01                                 1167400200196 
 9.850  -02 5.0    -04 1.587  +01                                 1167400200197 
 9.910  -02 5.0    -04 1.472  +01                                 1167400200198 
 1.007  -01 5.     -04 1.165  +01                                 1167400200199 
 1.013  -01 5.     -04 1.195  +01                                 1167400200200 
 1.017  -01 5.     -04 1.180  +01                                 1167400200201 
 1.021  -01 5.     -04 1.025  +01                                 1167400200202 
 1.026  -01 5.     -04 1.029  +01                                 1167400200203 
 1.036  -01 5.     -04 9.60   +00                                 1167400200204 
 1.047  -01 5.     -04 7.62   +00                                 1167400200205 
 1.052  -01 5.     -04 7.65   +00                                 1167400200206 
 1.056  -01 5.     -04 9.65   +00                                 1167400200207 
 1.057  -01 5.     -04 9.22   +00                                 1167400200208 
 1.066  -01 5.     -04 8.47   +00                                 1167400200209 
 1.077  -01 5.     -04 7.85   +00                                 1167400200210 
 1.090  -01 5.     -04 6.60   +00                                 1167400200211 
 1.100  -01 5.     -04 6.41   +00                                 1167400200212 
 1.100  -01 5.     -04 6.40   +00                                 1167400200213 
 1.110  -01 5.     -04 7.13   +00                                 1167400200214 
 1.120  -01 5.     -04 5.21   +00                                 1167400200215 
 1.142  -01 5.     -04 4.43   +00                                 1167400200216 
 1.142  -01 5.     -04 4.33   +00                                 1167400200217 
 1.158  -01 5.     -04 3.45   +00                                 1167400200218 
 1.159  -01 5.     -04 3.50   +00                                 1167400200219 
 1.160  -01 5.     -04 3.43   +00                                 1167400200220 
 1.169  -01 5.     -04 2.96   +00                                 1167400200221 
 1.178  -01 5.     -04 2.62   +00                                 1167400200222 
 1.178  -01 5.     -04 2.73   +00                                 1167400200223 
 1.179  -01 5.     -04 2.20   +00                                 1167400200224 
 1.185  -01 5.     -04 2.19   +00                                 1167400200225 
 1.189  -01 5.     -04 2.37   +00                                 1167400200226 
 1.195  -01 5.     -04 2.38   +00                                 1167400200227 
 1.197  -01 5.     -04 3.84   +00                                 1167400200228 
 1.198  -01 5.     -04 5.47   +00                                 1167400200229 
 1.203  -01 5.     -04 6.29   +00                                 1167400200230 
 1.203  -01 5.     -04 6.03   +00                                 1167400200231 
 1.208  -01 5.     -04 7.58   +00                                 1167400200232 
 1.214  -01 5.     -04 6.58   +00                                 1167400200233 
 1.218  -01 5.     -04 5.47   +00                                 1167400200234 
 1.218  -01 5.     -04 5.55   +00                                 1167400200235 
 1.225  -01 5.     -04 4.45   +00                                 1167400200236 
 1.227  -01 5.     -04 4.35   +00                                 1167400200237 
 1.238  -01 5.     -04 3.72   +00                                 1167400200238 
 1.238  -01 5.     -04 3.78   +00                                 1167400200239 
 1.247  -01 5.     -04 3.49   +00                                 1167400200240 
 1.248  -01 5.     -04 3.14   +00                                 1167400200241 
 1.248  -01 5.     -04 3.28   +00                                 1167400200242 
 1.257  -01 5.     -04 2.87   +00                                 1167400200243 
 1.258  -01 5.     -04 3.00   +00                                 1167400200244 
 1.267  -01 5.     -04 3.57   +00                                 1167400200245 
 1.278  -01 5.     -04 3.47   +00                                 1167400200246 
 1.287  -01 5.     -04 2.42   +00                                 1167400200247 
 1.287  -01 5.     -04 2.48   +00                                 1167400200248 
 1.297  -01 5.     -04 2.16   +00                                 1167400200249 
 1.309  -01 5.     -04 1.78   +00                                 1167400200250 
 1.317  -01 5.     -04 1.73   +00                                 1167400200251 
 1.329  -01 5.     -04 1.78   +00                                 1167400200252 
 1.339  -01 5.     -04 2.09   +00                                 1167400200253 
 1.347  -01 5.     -04 2.79   +00                                 1167400200254 
 1.357  -01 5.     -04 4.13   +00                                 1167400200255 
 1.358  -01 5.     -04 4.39   +00                                 1167400200256 
 1.367  -01 5.     -04 7.05   +00                                 1167400200257 
 1.377  -01 5.     -04 9.20   +00                                 1167400200258 
 1.386  -01 5.     -04 1.119  +01                                 1167400200259 
 1.395  -01 5.     -04 9.91   +00                                 1167400200260 
 1.397  -01 5.     -04 9.86   +00                                 1167400200261 
 1.407  -01 5.     -04 1.045  +01                                 1167400200262 
 1.416  -01 5.     -04 1.079  +01                                 1167400200263 
 1.427  -01 5.     -04 1.108  +01                                 1167400200264 
 1.437  -01 5.     -04 1.019  +01                                 1167400200265 
 1.446  -01 5.     -04 9.63   +00                                 1167400200266 
 1.457  -01 5.     -04 9.93   +00                                 1167400200267 
 1.467  -01 5.     -04 1.062  +01                                 1167400200268 
 1.478  -01 5.     -04 1.003  +01                                 1167400200269 
 1.486  -01 5.     -04 9.98   +00                                 1167400200270 
 1.495  -01 5.     -04 8.86   +00                                 1167400200271 
 1.508  -01 5.     -04 8.21   +00                                 1167400200272 
 1.517  -01 5.     -04 7.91   +00                                 1167400200273 
 1.527  -01 5.     -04 9.10   +00                                 1167400200274 
 1.538  -01 5.     -04 8.48   +00                                 1167400200275 
