ENTRY            11905   20061127                             13411190500000001 
SUBENT        11905001   20061127                             13411190500100001 
BIB                  7         11                                 1190500100002 
INSTITUTE  (1USACOL)                                              1190500100003 
REFERENCE  (J,PR,137,B547,1965)                                   1190500100004 
AUTHOR     (J.B.Garg,J.Rainwater,W.W.Havens Jr)                   1190500100005 
TITLE      Neutron Resonance Spectroscopy. V. Nb, Ag, I and Cs.   1190500100006 
FACILITY   (SYNCH,1USACOL) Nevis synchrocyclotron                 1190500100007 
METHOD     (TOF) Time-of-flight. 200-m flight path.               1190500100008 
HISTORY    (19760802T) Translated from SCISRS                     1190500100009 
           (19831108A) Converted to REACTION formalism            1190500100010 
           (20050427A) Converted to new date formats, lower case. 1190500100011 
                       Reference updated.                         1190500100012 
           (20061127A) DR Reference corrected to follow APS format1190500100013 
ENDBIB              11          0                                 1190500100014 
NOCOMMON             0          0                                 1190500100015 
ENDSUBENT           14          0                                 1190500199999 
SUBENT        11905002   20050427                             13331190500200001 
BIB                  4          8                                 1190500200002 
REACTION   (41-NB-93(N,TOT),,SIG)                                 1190500200003 
SAMPLE     Niobium metal sheets, 1/n = 10.6, 28.8, 117, and 470   1190500200004 
            b/atom.                                               1190500200005 
FLAG       (1.) Thickness off 10.6 b/atom                         1190500200006 
           (2.) Thickness off 28.8 b/atom                         1190500200007 
           (3.) Thickness off 117  b/atom                         1190500200008 
           (4.) Thickness off 470  b/atom                         1190500200009 
STATUS     Data received on punched cards from J.Garg.            1190500200010 
ENDBIB               8          0                                 1190500200011 
NOCOMMON             0          0                                 1190500200012 
DATA                 3       6306                                 1190500200013 
EN         DATA       FLAG                                        1190500200014 
MEV        B          NO-DIM                                      1190500200015 
 8.171  -05 3.560  +00  1.                                        1190500200016 
 8.175  -05 7.380  +00  1.                                        1190500200017 
 8.179  -05 6.920  +00  1.                                        1190500200018 
 8.183  -05 5.210  +00  1.                                        1190500200019 
 8.187  -05 4.640  +00  1.                                        1190500200020 
 8.191  -05 6.920  +00  1.                                        1190500200021 
 8.195  -05 4.280  +00  1.                                        1190500200022 
 8.199  -05 5.550  +00  1.                                        1190500200023 
 8.204  -05 5.890  +00  1.                                        1190500200024 
 8.208  -05 5.810  +00  1.                                        1190500200025 
 8.212  -05 4.210  +00  1.                                        1190500200026 
 8.216  -05 5.950  +00  1.                                        1190500200027 
 8.220  -05 6.760  +00  1.                                        1190500200028 
 8.224  -05 6.130  +00  1.                                        1190500200029 
 8.228  -05 6.120  +00  1.                                        1190500200030 
 8.232  -05 6.040  +00  1.                                        1190500200031 
 8.236  -05 5.580  +00  1.                                        1190500200032 
 8.240  -05 6.500  +00  1.                                        1190500200033 
 8.244  -05 6.060  +00  1.                                        1190500200034 
 8.248  -05 5.780  +00  1.                                        1190500200035 
 8.253  -05 7.740  +00  1.                                        1190500200036 
 8.257  -05 5.530  +00  1.                                        1190500200037 
 8.261  -05 6.230  +00  1.                                        1190500200038 
 8.265  -05 6.860  +00  1.                                        1190500200039 
 8.269  -05 5.400  +00  1.                                        1190500200040 
 8.273  -05 5.580  +00  1.                                        1190500200041 
 8.277  -05 6.340  +00  1.                                        1190500200042 
 8.281  -05 7.110  +00  1.                                        1190500200043 
 8.285  -05 6.940  +00  1.                                        1190500200044 
 8.290  -05 6.080  +00  1.                                        1190500200045 
 8.294  -05 5.480  +00  1.                                        1190500200046 
 8.298  -05 5.930  +00  1.                                        1190500200047 
 8.302  -05 7.190  +00  1.                                        1190500200048 
 8.306  -05 5.880  +00  1.                                        1190500200049 
 8.310  -05 5.950  +00  1.                                        1190500200050 
 8.314  -05 6.620  +00  1.                                        1190500200051 
 8.319  -05 4.840  +00  1.                                        1190500200052 
 8.323  -05 5.750  +00  1.                                        1190500200053 
 8.327  -05 5.180  +00  1.                                        1190500200054 
 8.331  -05 6.560  +00  1.                                        1190500200055 
 8.335  -05 4.430  +00  1.                                        1190500200056 
 8.339  -05 5.710  +00  1.                                        1190500200057 
 8.344  -05 4.870  +00  1.                                        1190500200058 
 8.348  -05 6.620  +00  1.                                        1190500200059 
 8.352  -05 4.870  +00  1.                                        1190500200060 
 8.356  -05 5.680  +00  1.                                        1190500200061 
 8.360  -05 5.980  +00  1.                                        1190500200062 
 8.364  -05 6.310  +00  1.                                        1190500200063 
 8.369  -05 6.410  +00  1.                                        1190500200064 
 8.373  -05 4.640  +00  1.                                        1190500200065 
 8.377  -05 4.520  +00  1.                                        1190500200066 
 8.381  -05 5.020  +00  1.                                        1190500200067 
 8.385  -05 5.450  +00  1.                                        1190500200068 
 8.390  -05 5.370  +00  1.                                        1190500200069 
 8.394  -05 6.210  +00  1.                                        1190500200070 
 8.398  -05 6.230  +00  1.                                        1190500200071 
 8.402  -05 5.420  +00  1.                                        1190500200072 
 8.407  -05 6.250  +00  1.                                        1190500200073 
 8.411  -05 5.910  +00  1.                                        1190500200074 
 8.415  -05 3.760  +00  1.                                        1190500200075 
 8.419  -05 5.180  +00  1.                                        1190500200076 
 8.423  -05 5.750  +00  1.                                        1190500200077 
 8.428  -05 5.580  +00  1.                                        1190500200078 
 8.432  -05 6.100  +00  1.                                        1190500200079 
 8.436  -05 4.900  +00  1.                                        1190500200080 
 8.440  -05 8.020  +00  1.                                        1190500200081 
 8.445  -05 5.240  +00  1.                                        1190500200082 
 8.449  -05 6.840  +00  1.                                        1190500200083 
 8.453  -05 7.840  +00  1.                                        1190500200084 
 8.457  -05 5.480  +00  1.                                        1190500200085 
 8.462  -05 6.680  +00  1.                                        1190500200086 
 8.466  -05 5.780  +00  1.                                        1190500200087 
 8.470  -05 5.100  +00  1.                                        1190500200088 
 8.474  -05 5.780  +00  1.                                        1190500200089 
 8.479  -05 6.230  +00  1.                                        1190500200090 
 8.483  -05 6.420  +00  1.                                        1190500200091 
 8.487  -05 7.230  +00  1.                                        1190500200092 
 8.492  -05 8.670  +00  1.                                        1190500200093 
 8.496  -05 6.460  +00  1.                                        1190500200094 
 8.500  -05 7.820  +00  1.                                        1190500200095 
 8.504  -05 6.210  +00  1.                                        1190500200096 
 8.509  -05 5.020  +00  1.                                        1190500200097 
 8.513  -05 6.310  +00  1.                                        1190500200098 
 8.517  -05 5.450  +00  1.                                        1190500200099 
 8.522  -05 6.440  +00  1.                                        1190500200100 
 8.526  -05 4.890  +00  1.                                        1190500200101 
 8.530  -05 6.210  +00  1.                                        1190500200102 
 8.535  -05 6.080  +00  1.                                        1190500200103 
 8.539  -05 5.680  +00  1.                                        1190500200104 
 8.543  -05 5.980  +00  1.                                        1190500200105 
 8.548  -05 5.440  +00  1.                                        1190500200106 
 8.552  -05 8.760  +00  1.                                        1190500200107 
 8.556  -05 4.890  +00  1.                                        1190500200108 
 8.560  -05 6.560  +00  1.                                        1190500200109 
 8.565  -05 6.310  +00  1.                                        1190500200110 
 8.569  -05 5.150  +00  1.                                        1190500200111 
 8.574  -05 5.070  +00  1.                                        1190500200112 
 8.578  -05 6.150  +00  1.                                        1190500200113 
 8.582  -05 6.200  +00  1.                                        1190500200114 
 8.587  -05 5.660  +00  1.                                        1190500200115 
 8.591  -05 7.470  +00  1.                                        1190500200116 
 8.595  -05 5.010  +00  1.                                        1190500200117 
 8.600  -05 7.300  +00  1.                                        1190500200118 
 8.604  -05 5.960  +00  1.                                        1190500200119 
 8.608  -05 7.340  +00  1.                                        1190500200120 
 8.613  -05 5.370  +00  1.                                        1190500200121 
 8.617  -05 6.210  +00  1.                                        1190500200122 
 8.622  -05 7.040  +00  1.                                        1190500200123 
 8.626  -05 6.370  +00  1.                                        1190500200124 
 8.630  -05 7.070  +00  1.                                        1190500200125 
 8.635  -05 5.960  +00  1.                                        1190500200126 
 8.639  -05 6.860  +00  1.                                        1190500200127 
 8.643  -05 6.890  +00  1.                                        1190500200128 
 8.648  -05 5.550  +00  1.                                        1190500200129 
 8.652  -05 5.800  +00  1.                                        1190500200130 
 8.657  -05 6.230  +00  1.                                        1190500200131 
 8.661  -05 5.800  +00  1.                                        1190500200132 
 8.666  -05 4.240  +00  1.                                        1190500200133 
 8.670  -05 6.060  +00  1.                                        1190500200134 
 8.674  -05 5.680  +00  1.                                        1190500200135 
 8.679  -05 6.320  +00  1.                                        1190500200136 
 8.683  -05 5.300  +00  1.                                        1190500200137 
 8.688  -05 6.550  +00  1.                                        1190500200138 
 8.692  -05 5.760  +00  1.                                        1190500200139 
 8.696  -05 5.810  +00  1.                                        1190500200140 
 8.701  -05 4.380  +00  1.                                        1190500200141 
 8.705  -05 5.180  +00  1.                                        1190500200142 
 8.710  -05 7.260  +00  1.                                        1190500200143 
 8.714  -05 5.560  +00  1.                                        1190500200144 
 8.719  -05 6.010  +00  1.                                        1190500200145 
 8.723  -05 6.460  +00  1.                                        1190500200146 
 8.728  -05 4.640  +00  1.                                        1190500200147 
 8.732  -05 6.340  +00  1.                                        1190500200148 
 8.737  -05 6.100  +00  1.                                        1190500200149 
 8.741  -05 7.020  +00  1.                                        1190500200150 
 8.746  -05 5.060  +00  1.                                        1190500200151 
 8.750  -05 6.500  +00  1.                                        1190500200152 
 8.755  -05 5.840  +00  1.                                        1190500200153 
 8.759  -05 5.760  +00  1.                                        1190500200154 
 8.763  -05 7.110  +00  1.                                        1190500200155 
 8.768  -05 6.390  +00  1.                                        1190500200156 
 8.772  -05 6.560  +00  1.                                        1190500200157 
 8.777  -05 6.820  +00  1.                                        1190500200158 
 8.781  -05 6.440  +00  1.                                        1190500200159 
 8.786  -05 4.730  +00  1.                                        1190500200160 
 8.790  -05 7.700  +00  1.                                        1190500200161 
 8.795  -05 4.670  +00  1.                                        1190500200162 
 8.800  -05 6.200  +00  1.                                        1190500200163 
 8.804  -05 6.460  +00  1.                                        1190500200164 
 8.809  -05 7.040  +00  1.                                        1190500200165 
 8.813  -05 6.420  +00  1.                                        1190500200166 
 8.818  -05 5.730  +00  1.                                        1190500200167 
 8.822  -05 5.130  +00  1.                                        1190500200168 
 8.827  -05 5.300  +00  1.                                        1190500200169 
 8.831  -05 5.210  +00  1.                                        1190500200170 
 8.836  -05 5.910  +00  1.                                        1190500200171 
 8.840  -05 5.600  +00  1.                                        1190500200172 
 8.845  -05 5.840  +00  1.                                        1190500200173 
 8.849  -05 5.630  +00  1.                                        1190500200174 
 8.854  -05 6.460  +00  1.                                        1190500200175 
 8.859  -05 5.930  +00  1.                                        1190500200176 
 8.863  -05 7.400  +00  1.                                        1190500200177 
 8.868  -05 6.420  +00  1.                                        1190500200178 
 8.872  -05 6.480  +00  1.                                        1190500200179 
 8.877  -05 5.980  +00  1.                                        1190500200180 
 8.881  -05 5.600  +00  1.                                        1190500200181 
 8.886  -05 6.040  +00  1.                                        1190500200182 
 8.891  -05 6.410  +00  1.                                        1190500200183 
 8.895  -05 5.930  +00  1.                                        1190500200184 
 8.900  -05 6.680  +00  1.                                        1190500200185 
 8.904  -05 5.890  +00  1.                                        1190500200186 
 8.909  -05 5.400  +00  1.                                        1190500200187 
 8.914  -05 6.420  +00  1.                                        1190500200188 
 8.918  -05 5.630  +00  1.                                        1190500200189 
 8.923  -05 6.680  +00  1.                                        1190500200190 
 8.927  -05 6.480  +00  1.                                        1190500200191 
 8.932  -05 5.370  +00  1.                                        1190500200192 
 8.937  -05 5.320  +00  1.                                        1190500200193 
 8.941  -05 6.680  +00  1.                                        1190500200194 
 8.946  -05 6.340  +00  1.                                        1190500200195 
 8.951  -05 6.860  +00  1.                                        1190500200196 
 8.955  -05 6.960  +00  1.                                        1190500200197 
 8.960  -05 6.410  +00  1.                                        1190500200198 
