ENTRY            12111   19821012                             00001211100000001 
SUBENT        12111001   19821012                             00001211100100001 
BIB                  7         10                                 1211100100002 
INSTITUTE  (1USAMTR)                                              1211100100003 
REFERENCE  (J,PR,103,1326,56)                                     1211100100004 
           (R,IDO-16289,5605) TABULATED DATA                      1211100100005 
AUTHOR     (E.G.JOKI,J.E.EVANS)                                   1211100100006 
TITLE      TOTAL NEUTRON CROSS SECTION OF THULIUM IN THE ENERGY   1211100100007 
           REGION 0.038 TO 1.56EV.                                1211100100008 
FACILITY   (SPECC) CRYSTAL SPECTROMETER                           1211100100009 
STATUS     (SCSRS)                                                1211100100010 
HISTORY    (760803T) TRANSLATED FROM SCISRS                       1211100100011 
           (821012A) CONVERTED TO REACTION FORMALISM              1211100100012 
ENDBIB              10          0                                 1211100100013 
NOCOMMON             0          0                                 1211100100014 
ENDSUBENT           13          0                                 1211100199999 
SUBENT        12111002   19821012                             00001211100200001 
BIB                  1          1                                 1211100200002 
REACTION   (69-TM-169(N,TOT),,SIG)                                1211100200003 
ENDBIB               1          0                                 1211100200004 
NOCOMMON             0          0                                 1211100200005 
DATA                 4        362                                 1211100200006 
EN         EN-ERR     DATA       DATA-ERR                         1211100200007 
MEV        MEV        B          B                                1211100200008 
 3.735  -08            1.153  +02                                 1211100200009 
 3.750  -08            1.083  +02                                 1211100200010 
 3.765  -08            1.113  +02                                 1211100200011 
 3.781  -08            1.093  +02                                 1211100200012 
 3.796  -08            1.089  +02                                 1211100200013 
 3.811  -08            1.083  +02                                 1211100200014 
 3.827  -08            1.088  +02                                 1211100200015 
 3.843  -08            1.112  +02                                 1211100200016 
 3.859  -08            1.800  +02                                 1211100200017 
 3.875  -08            1.086  +02                                 1211100200018 
 3.891  -08            1.085  +02                                 1211100200019 
 3.907  -08            1.073  +02                                 1211100200020 
 3.923  -08            1.083  +02                                 1211100200021 
 3.939  -08            1.073  +02                                 1211100200022 
 3.956  -08            1.084  +02                                 1211100200023 
 3.973  -08            1.042  +02                                 1211100200024 
 4.006  -08 2.0    -10 1.070  +02 5.     -01                      1211100200025 
 4.023  -08            1.069  +02                                 1211100200026 
 4.040  -08            1.053  +02                                 1211100200027 
 4.058  -08            1.065  +02                                 1211100200028 
 4.075  -08            1.043  +02                                 1211100200029 
 4.093  -08            1.076  +02                                 1211100200030 
 4.110  -08            1.064  +02                                 1211100200031 
 4.128  -08            1.045  +02                                 1211100200032 
 4.146  -08            1.023  +02                                 1211100200033 
 4.164  -08            1.062  +02                                 1211100200034 
 4.182  -08            1.031  +02                                 1211100200035 
 4.201  -08            1.041  +02                                 1211100200036 
 4.219  -08            1.015  +02                                 1211100200037 
 4.238  -08            1.035  +02                                 1211100200038 
 4.256  -08            1.015  +02                                 1211100200039 
 4.275  -08            1.028  +02                                 1211100200040 
 4.294  -08            9.829  +01                                 1211100200041 
 4.314  -08            1.021  +02                                 1211100200042 
 4.333  -08            1.008  +02                                 1211100200043 
 4.352  -08            1.019  +02                                 1211100200044 
 4.372  -08            1.010  +02                                 1211100200045 
 4.392  -08            1.031  +02                                 1211100200046 
 4.412  -08            9.958  +01                                 1211100200047 
 4.432  -08            1.001  +02                                 1211100200048 
 4.452  -08            1.007  +02                                 1211100200049 
 4.473  -08            1.010  +02                                 1211100200050 
 4.493  -08            1.004  +02                                 1211100200051 
 4.514  -08            9.703  +01                                 1211100200052 
 4.535  -08            9.987  +01                                 1211100200053 
 4.556  -08            1.012  +02                                 1211100200054 
 4.577  -08            9.915  +01                                 1211100200055 
 4.598  -08            9.730  +01                                 1211100200056 
 4.620  -08            9.845  +01                                 1211100200057 
 4.642  -08            9.674  +01                                 1211100200058 
 4.664  -08            9.670  +01                                 1211100200059 
 4.686  -08            9.852  +01                                 1211100200060 
 4.708  -08            9.647  +01                                 1211100200061 
 4.730  -08            9.636  +01                                 1211100200062 
 4.753  -08            9.829  +01                                 1211100200063 
 4.776  -08            9.737  +01                                 1211100200064 
 4.799  -08            9.546  +01                                 1211100200065 
 4.822  -08            9.764  +01                                 1211100200066 
 4.845  -08            9.881  +01                                 1211100200067 
 4.869  -08            9.697  +01                                 1211100200068 
 4.893  -08            9.652  +01                                 1211100200069 
 4.917  -08            9.497  +01                                 1211100200070 
 4.941  -08            9.764  +01                                 1211100200071 
 4.965  -08            9.641  +01                                 1211100200072 
 4.990  -08            9.681  +01                                 1211100200073 
 5.014  -08            9.562  +01                                 1211100200074 
 5.039  -08            9.708  +01                                 1211100200075 
 5.064  -08            9.564  +01                                 1211100200076 
 5.090  -08            9.238  +01                                 1211100200077 
 5.115  -08            9.551  +01                                 1211100200078 
 5.141  -08            9.382  +01                                 1211100200079 
 5.167  -08            9.454  +01                                 1211100200080 
 5.201  -08            9.373  +01                                 1211100200081 
 5.220  -08            9.393  +01                                 1211100200082 
 5.247  -08            9.557  +01                                 1211100200083 
 5.273  -08            9.551  +01                                 1211100200084 
 5.328  -08            9.238  +01                                 1211100200085 
 5.356  -08            9.270  +01                                 1211100200086 
 5.383  -08            9.285  +01                                 1211100200087 
 5.411  -08            9.276  +01                                 1211100200088 
 5.440  -08            9.180  +01                                 1211100200089 
 5.468  -08            9.112  +01                                 1211100200090 
 5.491  -08            9.281  +01                                 1211100200091 
 5.526  -08            9.072  +01                                 1211100200092 
 5.557  -08            9.200  +01                                 1211100200093 
 5.585  -08            9.175  +01                                 1211100200094 
 5.609  -08            9.312  +01                                 1211100200095 
 5.645  -08            9.168  +01                                 1211100200096 
 5.676  -08            8.979  +01                                 1211100200097 
 5.706  -08            9.186  +01                                 1211100200098 
 5.737  -08            9.018  +01                                 1211100200099 
 5.768  -08            9.139  +01                                 1211100200100 
 5.800  -08            9.123  +01                                 1211100200101 
 5.832  -08            9.051  +01                                 1211100200102 
 5.864  -08            8.932  +01                                 1211100200103 
 5.896  -08            8.921  +01                                 1211100200104 
 5.929  -08            8.732  +01                                 1211100200105 
 5.961  -08            8.901  +01                                 1211100200106 
 5.995  -08 4.0    -10 8.818  +01 3.4    -01                      1211100200107 
 6.028  -08            8.795  +01                                 1211100200108 
 6.062  -08            8.791  +01                                 1211100200109 
 6.096  -08            8.964  +01                                 1211100200110 
 6.131  -08            8.674  +01                                 1211100200111 
 6.165  -08            8.786  +01                                 1211100200112 
 6.201  -08            8.921  +01                                 1211100200113 
 6.236  -08            8.746  +01                                 1211100200114 
 6.272  -08            8.791  +01                                 1211100200115 
 6.308  -08            8.847  +01                                 1211100200116 
 6.344  -08            8.811  +01                                 1211100200117 
 6.381  -08            8.524  +01                                 1211100200118 
 6.418  -08            8.554  +01                                 1211100200119 
 6.456  -08            8.692  +01                                 1211100200120 
 6.494  -08            8.469  +01                                 1211100200121 
 6.532  -08            8.584  +01                                 1211100200122 
 6.570  -08            8.449  +01                                 1211100200123 
 6.609  -08            8.431  +01                                 1211100200124 
 6.649  -08            8.458  +01                                 1211100200125 
 6.688  -08            8.550  +01                                 1211100200126 
 6.729  -08            8.487  +01                                 1211100200127 
 6.769  -08            8.498  +01                                 1211100200128 
 6.810  -08            8.294  +01                                 1211100200129 
 6.851  -08            8.440  +01                                 1211100200130 
 6.893  -08            8.532  +01                                 1211100200131 
 6.935  -08            8.372  +01                                 1211100200132 
 6.977  -08            8.478  +01                                 1211100200133 
 7.020  -08            8.363  +01                                 1211100200134 
 7.064  -08            8.260  +01                                 1211100200135 
 7.107  -08            8.339  +01                                 1211100200136 
 7.152  -08            8.273  +01                                 1211100200137 
 7.196  -08            8.217  +01                                 1211100200138 
 7.242  -08            8.019  +01                                 1211100200139 
 7.287  -08            7.997  +01                                 1211100200140 
 7.333  -08            7.860  +01                                 1211100200141 
