ENTRY            12360   19820519                             00001236000000001 
SUBENT        12360001   19820519                             00001236000100001 
BIB                  7          9                                 1236000100002 
INSTITUTE  (1USALAS)                                              1236000100003 
REFERENCE  (J,PR,166,1178,6802)                                   1236000100004 
           (P,LA-3586,16,6612) TABULATED DATA.                    1236000100005 
AUTHOR     (D.W.BERGEN,M.G.SILBERT,R.C.PERISHO)                   1236000100006 
TITLE      THE FISSION CROSS SECTION OF U233, 20 EV - 2 MEV.      1236000100007 
N-SOURCE   (EXPLO) PETREL UNDERGROUND NUCLEAR EXPLOSION.          1236000100008 
STATUS     (SCSRS)                                                1236000100009 
HISTORY    (760804T) TRANSLATED FROM SCISRS                       1236000100010 
           (820519A) CONVERTED TO REACTION FORMALISM              1236000100011 
ENDBIB               9          0                                 1236000100012 
NOCOMMON             0          0                                 1236000100013 
ENDSUBENT           12          0                                 1236000199999 
SUBENT        12360002   19820519                             00001236000200001 
BIB                  2          2                                 1236000200002 
REACTION   (92-U-233(N,F),,SIG)                                   1236000200003 
METHOD     (TOF)      TIME-OF-FLIGHT                              1236000200004 
ENDBIB               2          0                                 1236000200005 
NOCOMMON             0          0                                 1236000200006 
DATA                 3       3047                                 1236000200007 
EN         DATA       DATA-ERR                                    1236000200008 
MEV        B          PER-CENT                                    1236000200009 
 2.005  -05 7.241  +01   13.                                      1236000200010 
 2.008  -05 7.763  +01   13.                                      1236000200011 
 2.010  -05 8.256  +01   13.                                      1236000200012 
 2.013  -05 8.194  +01   13.                                      1236000200013 
 2.016  -05 8.094  +01   13.                                      1236000200014 
 2.019  -05 9.656  +01   13.                                      1236000200015 
 2.021  -05 9.481  +01   13.                                      1236000200016 
 2.024  -05 1.039  +02   13.                                      1236000200017 
 2.027  -05 1.077  +02   12.                                      1236000200018 
 2.029  -05 1.065  +02   12.                                      1236000200019 
 2.032  -05 1.258  +02   13.                                      1236000200020 
 2.035  -05 1.320  +02   12.                                      1236000200021 
 2.038  -05 1.450  +02   12.                                      1236000200022 
 2.040  -05 1.646  +02   12.                                      1236000200023 
 2.043  -05 1.764  +02   12.                                      1236000200024 
 2.046  -05 2.065  +02   12.                                      1236000200025 
 2.049  -05 2.166  +02   12.                                      1236000200026 
 2.052  -05 2.231  +02   12.                                      1236000200027 
 2.054  -05 2.384  +02   13.                                      1236000200028 
 2.057  -05 2.416  +02   12.                                      1236000200029 
 2.060  -05 2.409  +02   12.                                      1236000200030 
 2.063  -05 2.444  +02   12.                                      1236000200031 
 2.066  -05 2.137  +02   13.                                      1236000200032 
 2.068  -05 1.975  +02   13.                                      1236000200033 
 2.071  -05 1.859  +02   13.                                      1236000200034 
 2.074  -05 1.708  +02   13.                                      1236000200035 
 2.077  -05 1.572  +02   13.                                      1236000200036 
 2.080  -05 1.446  +02   12.                                      1236000200037 
 2.083  -05 1.293  +02   13.                                      1236000200038 
 2.085  -05 1.215  +02   13.                                      1236000200039 
 2.088  -05 1.138  +02   13.                                      1236000200040 
 2.091  -05 1.053  +02   13.                                      1236000200041 
 2.094  -05 1.024  +02   13.                                      1236000200042 
 2.097  -05 9.585  +01   12.                                      1236000200043 
 2.100  -05 9.138  +01   14.                                      1236000200044 
 2.103  -05 8.898  +01   13.                                      1236000200045 
 2.106  -05 9.194  +01   13.                                      1236000200046 
 2.108  -05 8.736  +01   14.                                      1236000200047 
 2.111  -05 9.063  +01   12.                                      1236000200048 
 2.114  -05 9.221  +01   13.                                      1236000200049 
 2.117  -05 9.179  +01   14.                                      1236000200050 
 2.120  -05 9.571  +01   13.                                      1236000200051 
 2.123  -05 9.771  +01   13.                                      1236000200052 
 2.126  -05 1.056  +02   13.                                      1236000200053 
 2.129  -05 1.119  +02   12.                                      1236000200054 
 2.132  -05 1.128  +02   12.                                      1236000200055 
 2.135  -05 1.148  +02   13.                                      1236000200056 
 2.138  -05 1.279  +02   12.                                      1236000200057 
 2.141  -05 1.362  +02   12.                                      1236000200058 
 2.144  -05 1.433  +02   12.                                      1236000200059 
 2.147  -05 1.536  +02   12.                                      1236000200060 
