ENTRY            12370   19820519                             00001237000000001 
SUBENT        12370001   19820519                             00001237000100001 
BIB                  6          9                                 1237000100002 
INSTITUTE  (1USAWIS,1USALAS)                                      1237000100003 
REFERENCE  (R,LA-1060,5004)                                       1237000100004 
AUTHOR     (H.H.BARSCHALL,R.K.ADAIR,C.K.BOCKELMAN,E.R.GRAVES,     1237000100005 
           R.L.HENKEL,R.E.PETERSON)                               1237000100006 
TITLE      THE TOTAL NEUTRON CROSS SECTION OF NORMAL URANIUM IN   1237000100007 
           THE ENERGY RANGE FROM 20 TO 1600 KEV.                  1237000100008 
STATUS     (SCSRS)                                                1237000100009 
HISTORY    (760804T) TRANSLATED FROM SCISRS                       1237000100010 
           (820519A) CONVERTED TO REACTION FORMALISM              1237000100011 
ENDBIB               9          0                                 1237000100012 
NOCOMMON             0          0                                 1237000100013 
ENDSUBENT           12          0                                 1237000199999 
SUBENT        12370002   19820519                             00001237000200001 
BIB                  3          3                                 1237000200002 
REACTION   (92-U-0(N,TOT),,SIG)                                   1237000200003 
FACILITY   ACCELERATOR                                            1237000200004 
ERR-ANALYS (ERR-S)STATISTICAL UNCERTAINTY                         1237000200005 
ENDBIB               3          0                                 1237000200006 
NOCOMMON             0          0                                 1237000200007 
DATA                 4         63                                 1237000200008 
EN         EN-RSL     DATA       ERR-S                            1237000200009 
MEV        MEV        B          B                                1237000200010 
 1.8    -02 1.5    -02 1.53   +01 7.     -01                      1237000200011 
 4.0    -02 1.5    -02 1.30   +01 7.     -01                      1237000200012 
 6.2    -02 1.5    -02 1.26   +01 7.     -01                      1237000200013 
 8.8    -02 1.5    -02 1.22   +01 7.     -01                      1237000200014 
 1.16   -01 1.5    -02 1.16   +01 7.     -01                      1237000200015 
 1.24   -01 2.5    -02 1.11   +01 5.     -01                      1237000200016 
 1.40   -01 1.5    -02 1.17   +01 7.     -01                      1237000200017 
 1.68   -01 2.5    -02 1.13   +01 5.     -01                      1237000200018 
 2.06   -01 2.5    -02 1.03   +01 5.     -01                      1237000200019 
 2.30   -01 2.5    -02 1.01   +01 5.     -01                      1237000200020 
 2.46   -01 2.5    -02 9.8    +00 5.     -01                      1237000200021 
 2.65   -01 2.5    -02 9.6    +00 5.     -01                      1237000200022 
 2.75   -01 2.5    -02 9.5    +00 5.     -01                      1237000200023 
 3.00   -01 2.5    -02 9.0    +00 5.     -01                      1237000200024 
 3.10   -01 2.5    -02 1.00   +01 5.     -01                      1237000200025 
 3.30   -01 2.5    -02 9.2    +00 5.     -01                      1237000200026 
 3.45   -01 2.5    -02 1.03   +01 5.     -01                      1237000200027 
 3.70   -01 2.5    -02 8.6    +00 5.     -01                      1237000200028 
 3.80   -01 2.5    -02 8.5    +00 5.     -01                      1237000200029 
 4.00   -01 2.5    -02 8.9    +00 5.     -01                      1237000200030 
 4.12   -01 2.5    -02 8.8    +00 5.     -01                      1237000200031 
 4.34   -01 2.5    -02 8.3    +00 5.     -01                      1237000200032 
 4.45   -01 2.5    -02 8.7    +00 5.     -01                      1237000200033 
 4.80   -01 2.5    -02 8.4    +00 5.     -01                      1237000200034 
 5.10   -01 2.5    -02 8.2    +00 5.     -01                      1237000200035 
 5.44   -01 2.5    -02 8.0    +00 5.     -01                      1237000200036 
 5.70   -01 2.5    -02 8.4    +00 5.     -01                      1237000200037 
 6.06   -01 2.5    -02 8.4    +00 5.     -01                      1237000200038 
 6.40   -01 2.5    -02 7.7    +00 5.     -01                      1237000200039 
 6.68   -01 2.5    -02 7.2    +00 5.     -01                      1237000200040 
 7.00   -01 2.5    -02 7.7    +00 5.     -01                      1237000200041 
 7.30   -01 2.5    -02 6.8    +00 5.     -01                      1237000200042 
 7.65   -01 2.5    -02 6.6    +00 5.     -01                      1237000200043 
 7.92   -01 2.5    -02 6.7    +00 5.     -01                      1237000200044 
 8.12   -01 2.5    -02 7.3    +00 5.     -01                      1237000200045 
 8.25   -01 2.5    -02 7.3    +00 5.     -01                      1237000200046 
 8.40   -01 2.5    -02 7.0    +00 5.     -01                      1237000200047 
 8.52   -01 2.5    -02 6.6    +00 5.     -01                      1237000200048 
 8.70   -01 2.5    -02 6.9    +00 5.     -01                      1237000200049 
 8.85   -01 2.5    -02 8.1    +00 5.     -01                      1237000200050 
 9.00   -01 2.5    -02 6.6    +00 5.     -01                      1237000200051 
 9.12   -01 2.5    -02 7.1    +00 5.     -01                      1237000200052 
 9.34   -01 2.5    -02 7.1    +00 5.     -01                      1237000200053 
