ENTRY            12403   19760804                             00001240300000001 
SUBENT        12403001   19760804                             00001240300100001 
BIB                  6          8                                 1240300100002 
INSTITUTE  (1USACOL)                                              1240300100003 
REFERENCE  (J,NSE,3,435,58)                                       1240300100004 
AUTHOR     (E.MELKONIAN,V.PEREZ-MENDEZ,M.L.MELKONIAN,             1240300100005 
           W.W.HAVENS JR,L.J.RAINWATER)                           1240300100006 
TITLE      SLOW NEUTRON VELOCITY SPECTROMETER STUDIES OF THE TOTAL1240300100007 
           AND FISSION CROSS SECTIONS OF U235.                    1240300100008 
STATUS     (SCSRS)                                                1240300100009 
HISTORY    (760804T) TRANSLATED FROM SCISRS                       1240300100010 
ENDBIB               8          0                                 1240300100011 
NOCOMMON             0          0                                 1240300100012 
ENDSUBENT           11          0                                 1240300199999 
SUBENT        12403002   19860829                             00001240300200001 
BIB                  3          3                                 1240300200002 
REACTION   (92-U-235(N,TOT),,SIG)                                 1240300200003 
METHOD     (TOF) TIME-OF-FLIGHT                                   1240300200004 
HISTORY    (860828A) DATA POINT CORRECTED.                        1240300200005 
ENDBIB               3          0                                 1240300200006 
NOCOMMON             0          0                                 1240300200007 
DATA                 3        223                                 1240300200008 
EN         DATA       DATA-ERR                                    1240300200009 
MEV        B          B                                           1240300200010 
 1.19   -08 1.085  +03 1.8    +01                                 1240300200011 
 1.28   -08 1.032  +03 1.7    +01                                 1240300200012 
 1.38   -08 1.000  +03 1.7    +01                                 1240300200013 
 1.49   -08 9.22   +02 1.4    +01                                 1240300200014 
 1.61   -08 9.00   +02 1.2    +01                                 1240300200015 
 1.75   -08 8.74   +02 1.2    +01                                 1240300200016 
 1.90   -08 8.31   +02 1.1    +01                                 1240300200017 
 2.08   -08 7.84   +02 1.1    +01                                 1240300200018 
 2.28   -08 7.49   +02 1.0    +01                                 1240300200019 
 2.82   -08 6.54   +02 7.     +00                                 1240300200020 
 3.14   -08 6.11   +02 7.     +00                                 1240300200021 
 3.52   -08 5.90   +02 7.     +00                                 1240300200022 
 3.98   -08 5.45   +02 7.     +00                                 1240300200023 
 4.55   -08 4.94   +02 6.     +00                                 1240300200024 
 5.24   -08 4.65   +02 6.     +00                                 1240300200025 
 6.08   -08 4.12   +02 6.     +00                                 1240300200026 
 7.11   -08 3.68   +02 5.     +00                                 1240300200027 
 8.43   -08 3.37   +02 5.     +00                                 1240300200028 
 1.015  -07 3.10   +02 5.     +00                                 1240300200029 
 1.127  -07 2.83   +02 5.     +00                                 1240300200030 
 1.26   -07 2.68   +02 5.     +00                                 1240300200031 
 1.87   -07 2.37   +02 5.     +00                                 1240300200032 
 1.92   -07 2.38   +02 5.     +00                                 1240300200033 
 1.98   -07 2.29   +02 4.     +00                                 1240300200034 
 2.04   -07 2.27   +02 6.     +00                                 1240300200035 
 2.05   -07 2.30   +02 4.     +00                                 1240300200036 
 2.12   -07 2.38   +02 4.     +00                                 1240300200037 
 2.20   -07 2.32   +02 4.     +00                                 1240300200038 
 2.27   -07 2.36   +02 4.     +00                                 1240300200039 
 2.36   -07 2.32   +02 4.     +00                                 1240300200040 
 2.45   -07 2.40   +02 4.     +00                                 1240300200041 
 2.54   -07 2.44   +02 3.     +00                                 1240300200042 
 2.63   -07 2.49   +02 3.     +00                                 1240300200043 
 2.74   -07 2.54   +02 4.     +00                                 1240300200044 
 2.79   -07 2.35   +02 6.     +00                                 1240300200045 
 2.85   -07 2.54   +02 4.     +00                                 1240300200046 
 2.96   -07 2.46   +02 3.     +00                                 1240300200047 
 3.09   -07 2.42   +02 3.     +00                                 1240300200048 
 3.32   -07 2.23   +02 4.     +00                                 1240300200049 
 3.36   -07 2.12   +02 3.5    +00                                 1240300200050 
 3.50   -07 1.988  +02 3.3    +00                                 1240300200051 
 3.67   -07 1.718  +02 2.9    +00                                 1240300200052 
 3.84   -07 1.672  +02 5.0    +00                                 1240300200053 
 4.02   -07 1.450  +02 2.6    +00                                 1240300200054 
 4.04   -07 1.731  +02 5.3    +00                                 1240300200055 
 4.22   -07 1.318  +02 2.8    +00                                 1240300200056 
 4.43   -07 1.250  +02 2.6    +00                                 1240300200057 
 4.65   -07 1.149  +02 3.8    +00                                 1240300200058 
 4.90   -07 1.132  +02 2.6    +00                                 1240300200059 
 5.16   -07 1.048  +02 2.4    +00                                 1240300200060 
 5.45   -07 9.40   +01 2.4    +00                                 1240300200061 
 5.76   -07 9.43   +01 2.4    +00                                 1240300200062 
 6.04   -07 7.50   +01 3.3    +00                                 1240300200063 
 6.10   -07 8.47   +01 2.2    +00                                 1240300200064 
 6.21   -07 9.00   +01 3.3    +00                                 1240300200065 
 6.35   -07 1.052  +02 5.9    +00                                 1240300200066 
 6.40   -07 9.09   +01 3.2    +00                                 1240300200067 
 6.46   -07 8.28   +01 2.2    +00                                 1240300200068 
 6.60   -07 8.51   +01 3.3    +00                                 1240300200069 
 6.80   -07 8.61   +01 3.3    +00                                 1240300200070 
 6.88   -07 7.86   +01 2.4    +00                                 1240300200071 
 7.00   -07 8.23   +01 3.7    +00                                 1240300200072 
 7.23   -07 8.51   +01 3.1    +00                                 1240300200073 
 7.32   -07 7.77   +01 2.3    +00                                 1240300200074 
 7.45   -07 7.89   +01 2.9    +00                                 1240300200075 
 7.71   -07 7.65   +01 2.8    +00                                 1240300200076 
 7.96   -07 7.96   +01 2.7    +00                                 1240300200077 
 8.23   -07 7.48   +01 2.5    +00                                 1240300200078 
 8.52   -07 7.63   +01 2.6    +00                                 1240300200079 
 8.81   -07 7.58   +01 2.5    +00                                 1240300200080 
 9.11   -07 8.06   +01 2.7    +00                                 1240300200081 
 9.45   -07 8.41   +01 2.5    +00                                 1240300200082 
 9.80   -07 8.63   +01 2.5    +00                                 1240300200083 
 1.000  -06 9.34   +01 3.8    +00                                 1240300200084 
 1.015  -06 9.03   +01 3.9    +00                                 1240300200085 
 1.035  -06 1.003  +02 4.0    +00                                 1240300200086 
 1.055  -06 1.189  +02 4.3    +00                                 1240300200087 
 1.075  -06 1.306  +02 4.5    +00                                 1240300200088 
 1.10   -06 1.469  +02 4.0    +00                                 1240300200089 
 1.12   -06 1.476  +02 4.1    +00                                 1240300200090 
 1.14   -06 1.381  +02 4.5    +00                                 1240300200091 
 1.140  -06 6.99   +01 5.6    +00                                 1240300200092 
 1.165  -06 1.343  +02 4.0    +00                                 1240300200093 
 1.19   -06 1.072  +02 3.9    +00                                 1240300200094 
 1.21   -06 9.07   +01 3.7    +00                                 1240300200095 
 1.24   -06 6.32   +01 3.5    +00                                 1240300200096 
 1.26   -06 5.98   +01 3.4    +00                                 1240300200097 
 1.29   -06 4.78   +01 3.5    +00                                 1240300200098 
 1.32   -06 4.59   +01 3.3    +00                                 1240300200099 
 1.345  -06 4.63   +01 3.3    +00                                 1240300200100 
 1.37   -06 3.96   +01 3.2    +00                                 1240300200101 
 1.40   -06 3.96   +01 3.2    +00                                 1240300200102 
 1.43   -06 3.89   +01 3.1    +00                                 1240300200103 
 1.46   -06 3.02   +01 3.1    +00                                 1240300200104 
 1.50   -06 3.05   +01 3.2    +00                                 1240300200105 
 1.54   -06 3.74   +01 3.1    +00                                 1240300200106 
 1.57   -06 3.71   +01 3.1    +00                                 1240300200107 
 1.61   -06 3.09   +01 3.1    +00                                 1240300200108 
 1.64   -06 2.85   +01 3.1    +00                                 1240300200109 
 1.68   -06 2.37   +01 3.0    +00                                 1240300200110 
 1.73   -06 2.99   +01 3.0    +00                                 1240300200111 
 1.77   -06 2.99   +01 3.0    +00                                 1240300200112 
 1.81   -06 2.82   +01 3.0    +00                                 1240300200113 
