ENTRY            12706   19831102                             00001270600000001 
SUBENT        12706001   19831102                             00001270600100001 
BIB                 13         26                                 1270600100002 
INSTITUTE  (1USAKTY)                                              1270600100003 
REFERENCE  (J,PR/C,23,1938,8105)                                  1270600100004 
           (W,KLEPPINGER,8109)                                    1270600100005 
AUTHOR     (A.J.FILO,S.W.YATES,D.F.COOPE,J.L.WEIL,                1270600100006 
           M.T.MC ELLISTREM)                                      1270600100007 
TITLE      POSITIVE AND NEGATIVE PARITY LEVEL STRUCTURES OF PT-1941270600100008 
            FROM (N,N'GAMMA) REACTION SPECTROSCOPY                1270600100009 
FACILITY   (VDG) 6.5-MV PULSED PROTON BEAM                        1270600100010 
N-SOURCE   (P-T)                                                  1270600100011 
SAMPLE     42 GRAMS OF ENRICHED (97.4 PERCENT) PLATINUM POWDER IN 1270600100012 
            POLYETHYLENE CYLINDER.                                1270600100013 
DETECTOR   (GELI) COAXIAL GELI DETECTOR. SHIELDED FROM DIRECT     1270600100014 
            NEUTRON BEAM BY TUNGSTEN SHADOW BAR. SHIELDED FROM    1270600100015 
            BACKGROUND BY HOLLOW LEAD CYLINDER SURROUNDED BY      1270600100016 
            LI(2)CO(3) AND PARAFFIN.                              1270600100017 
           (LONGC) LONG COUNTER USED TO MEASURE NEUTRON FLUX.     1270600100018 
MONITOR    EU-152 AND CS-137 USED TO CALIBRATE DETECTOR.          1270600100019 
METHOD     (TOF) TIME OF FLIGHT USED FOR NEUTRON FLUX MEASUREMENT.1270600100020 
           SAMPLE SUSPENDED 6.3-CM FROM NEUTRON SOURCE.           1270600100021 
CORRECTION CORRECTIONS MADE FOR GAMMA ABSORPTION IN SAMPLE,       1270600100022 
            NEUTRON ATTENUATION, AND MULTIPLE SCATTERING.         1270600100023 
STATUS     (APRVD) APPROVED BY S.W.YATES, 82/2/11.                1270600100024 
            ABSOLUTE CROSS SECTION DATA NOT AVAILABLE.            1270600100025 
           (OUTDT) E.W.YATES, 83/10/28, WILL SEND UPDATED DATA.   1270600100026 
HISTORY    (820111C)                                              1270600100027 
           (831102A) STATUS CHANGE.                               1270600100028 
ENDBIB              26          0                                 1270600100029 
COMMON               1          3                                 1270600100030 
EN                                                                1270600100031 
MEV                                                               1270600100032 
 2.5                                                              1270600100033 
ENDCOMMON            3          0                                 1270600100034 
ENDSUBENT           33          0                                 1270600199999 
SUBENT        12706002   19820127                             00001270600200001 
BIB                  2          2                                 1270600200002 
REACTION   (78-PT-194(N,INL)78-PT-194,PAR,DA,G,REL)               1270600200003 
ERR-ANALYS RELATIVE ERROR IN YIELD.                               1270600200004 
ENDBIB               2          0                                 1270600200005 
NOCOMMON             0          0                                 1270600200006 
DATA                 4        456                                 1270600200007 
E          ANG        DATA       DATA-ERR                         1270600200008 
KEV        ADEG       ARB-UNITS  ARB-UNITS                        1270600200009 
 300.7       40.         35385.   0.0356                          1270600200010 
 300.7       50.         36907.   0.0280                          1270600200011 
 300.7       60.         35327.   0.0301                          1270600200012 
 300.7       70.         36365.   0.0236                          1270600200013 
 300.7       80.         38190.   0.0238                          1270600200014 
 300.7       90.         37656.   0.0208                          1270600200015 
 300.7      100.         36982.   0.0276                          1270600200016 
 300.7      110.         36949.   0.0269                          1270600200017 
 300.7      120.         34836.   0.0336                          1270600200018 
 300.7      130.         38375.   0.0278                          1270600200019 
 300.7      140.         39539.   0.0238                          1270600200020 
 300.7      150.         37612.   0.0314                          1270600200021 
 328.5       40.        352830.   0.0230                          1270600200022 
 328.5       50.        349510.   0.0202                          1270600200023 
 328.5       60.        346745.   0.0214                          1270600200024 
 328.5       70.        335331.   0.0195                          1270600200025 
 328.5       80.        329548.   0.0186                          1270600200026 
 328.5       90.        325491.   0.0140                          1270600200027 
 328.5      100.        330688.   0.0199                          1270600200028 
 328.5      110.        338684.   0.0200                          1270600200029 
 328.5      120.        340885.   0.0238                          1270600200030 
 328.5      130.        364791.   0.0233                          1270600200031 
 328.5      140.        378886.   0.0205                          1270600200032 
 328.5      150.        370971.   0.0219                          1270600200033 
 409.7       40.          1783.   0.1289                          1270600200034 
 409.7       50.          1408.   0.1201                          1270600200035 
 409.7       60.          1327.   0.1153                          1270600200036 
 409.7       70.          1394.   0.1306                          1270600200037 
 409.7       80.          1160.   0.1328                          1270600200038 
 409.7       90.          1591.   0.0700                          1270600200039 
 409.7      100.          1006.   0.1615                          1270600200040 
 409.7      110.          1190.   0.1503                          1270600200041 
 409.7      120.          1658.   0.1078                          1270600200042 
 409.7      130.          1622.   0.1011                          1270600200043 
 409.7      140.          2214.   0.0835                          1270600200044 
 409.7      150.          1986.   0.1168                          1270600200045 
 418.3       40.          1473.   0.1351                          1270600200046 
 418.3       50.          1766.   0.0919                          1270600200047 
 418.3       60.          2243.   0.0635                          1270600200048 
 418.3       70.          1733.   0.1000                          1270600200049 
 418.3       80.          1382.   0.1101                          1270600200050 
 418.3       90.          1450.   0.0747                          1270600200051 
 418.3      100.          1848.   0.0977                          1270600200052 
 418.3      110.          1511.   0.1206                          1270600200053 
 418.3      120.          1282.   0.1632                          1270600200054 
 418.3      130.          2075.   0.0878                          1270600200055 
 418.3      140.          1628.   0.1076                          1270600200056 
 418.3      150.          1743.   0.1271                          1270600200057 
 455.9       40.          4511.   0.0564                          1270600200058 
 455.9       50.          5407.   0.0354                          1270600200059 
 455.9       60.          5844.   0.0265                          1270600200060 
 455.9       70.          5921.   0.0109                          1270600200061 
