ENTRY            12804   19840416                             00001280400000001 
SUBENT        12804001   19840416                             00001280400100001 
BIB                 14         20                                 1280400100002 
INSTITUTE  (1USAANL)                                              1280400100003 
REFERENCE  (J,NP/A,415,1,8403)                                    1280400100004 
           (R,ANL-NDM-72,8207)                                    1280400100005 
AUTHOR     (A.B.SMITH,P.T.GUENTHER,J.F.WHALEN)                    1280400100006 
TITLE      FAST-NEUTRON SCATTERING CROSS SECTIONS OF ELEMENTAL    1280400100007 
            CADMIUM                                               1280400100008 
FACILITY   (DYNAM)                                                1280400100009 
INC-SOURCE (P-LI7)                                                1280400100010 
SAMPLE     METALLIC CADMIUM CYLINDER, 2 CM DIAMETER AND 2 CM      1280400100011 
            LONG                                                  1280400100012 
DETECTOR   (SCIN) PROTON RECOIL SCINTILLATORS                     1280400100013 
METHOD     (TOF)  5.4 METER FLIGHT PATH                           1280400100014 
MONITOR    (6-C-0(N,TOT),,SIG)                                    1280400100015 
INC-SPECT  BEAM RESOLUTION 40 TO 70 KEV                           1280400100016 
CORRECTION DATA WERE CORRECTED FOR MULTIPLE-SCATTERING, BEAM-     1280400100017 
            ATTENUATION AND ANGULAR-RESOLUTION.                   1280400100018 
STATUS     (APRVD) A.B.SMITH, 83/3/28.                            1280400100019 
           DATA RECEIVED IN PRIVATE COMMUNICATION 1/31/83         1280400100020 
HISTORY    (830217C)                                              1280400100021 
           (840416A) REFERENCE, AUTHOR ADDED.                     1280400100022 
ENDBIB              20          0                                 1280400100023 
NOCOMMON             0          0                                 1280400100024 
ENDSUBENT           23          0                                 1280400199999 
SUBENT        12804002   19830304                             00001280400200001 
BIB                  3          6                                 1280400200002 
REACTION   (48-CD-0(N,EL),,DA,,AV)                                1280400200003 
ANALYSIS   DATA WERE AVERAGED OVER 50 KEV INTERVALS               1280400200004 
ERR-ANALYS (DATA-ERR) OVERALL UNCERTAINTY LESS THAN 5 PERCENT     1280400200005 
              STATISTICAL UNCERTAINTY     LESS THAN 1 PERCENT     1280400200006 
              DETECTOR NORMALIZATION                3 PERCENT     1280400200007 
              CORRECTIONS                           1 PERCENT     1280400200008 
ENDBIB               6          0                                 1280400200009 
COMMON               1          3                                 1280400200010 
ANG-RSL                                                           1280400200011 
ADEG                                                              1280400200012 
  0.6                                                             1280400200013 
ENDCOMMON            3          0                                 1280400200014 
DATA                 4        140                                 1280400200015 
EN-MEAN    ANG        DATA       DATA-ERR                         1280400200016 
MEV        ADEG       B/SR       PER-CENT                         1280400200017 
   1.55E+00   2.11E+01   1.56E+00   5.00                          1280400200018 
   1.55E+00   3.09E+01   1.28E+00   5.00                          1280400200019 
   1.55E+00   4.88E+01   7.50E-01   5.00                          1280400200020 
   1.55E+00   6.48E+01   3.71E-01   5.00                          1280400200021 
   1.55E+00   8.17E+01   1.64E-01   5.00                          1280400200022 
   1.55E+00   9.77E+01   8.40E-02   5.00                          1280400200023 
   1.55E+00   1.14E+02   6.09E-02   5.00                          1280400200024 
   1.55E+00   1.30E+02   8.74E-02   5.00                          1280400200025 
   1.55E+00   1.47E+02   1.68E-01   5.00                          1280400200026 
   1.55E+00   1.57E+02   2.29E-01   5.00                          1280400200027 
   1.65E+00   2.11E+01   1.54E+00   5.00                          1280400200028 
   1.65E+00   3.09E+01   1.24E+00   5.00                          1280400200029 
   1.65E+00   4.88E+01   6.97E-01   5.00                          1280400200030 
   1.65E+00   6.48E+01   3.33E-01   5.00                          1280400200031 
   1.65E+00   8.17E+01   1.45E-01   5.00                          1280400200032 
   1.65E+00   9.77E+01   7.77E-02   5.00                          1280400200033 
   1.65E+00   1.14E+02   5.33E-02   5.00                          1280400200034 
   1.65E+00   1.30E+02   8.05E-02   5.00                          1280400200035 
   1.65E+00   1.47E+02   1.60E-01   5.00                          1280400200036 
   1.65E+00   1.57E+02   2.17E-01   5.00                          1280400200037 
   1.75E+00   2.11E+01   1.53E+00   5.00                          1280400200038 
   1.75E+00   3.09E+01   1.21E+00   5.00                          1280400200039 
   1.75E+00   4.88E+01   6.46E-01   5.00                          1280400200040 
   1.75E+00   6.48E+01   2.97E-01   5.00                          1280400200041 
   1.75E+00   8.17E+01   1.32E-01   5.00                          1280400200042 
   1.75E+00   9.77E+01   7.19E-02   5.00                          1280400200043 
   1.75E+00   1.14E+02   4.59E-02   5.00                          1280400200044 
   1.75E+00   1.30E+02   7.30E-02   5.00                          1280400200045 
   1.75E+00   1.47E+02   1.55E-01   5.00                          1280400200046 
   1.75E+00   1.57E+02   2.12E-01   5.00                          1280400200047 
   1.87E+00   2.11E+01   1.51E+00   5.00                          1280400200048 
   1.87E+00   3.09E+01   1.18E+00   5.00                          1280400200049 
   1.87E+00   4.88E+01   6.04E-01   5.00                          1280400200050 
   1.87E+00   6.48E+01   2.65E-01   5.00                          1280400200051 
   1.87E+00   8.17E+01   1.15E-01   5.00                          1280400200052 
   1.87E+00   9.77E+01   6.06E-02   5.00                          1280400200053 
   1.87E+00   1.14E+02   3.68E-02   5.44                          1280400200054 
   1.87E+00   1.30E+02   6.22E-02   5.00                          1280400200055 
   1.87E+00   1.47E+02   1.45E-01   5.00                          1280400200056 
   1.87E+00   1.57E+02   2.00E-01   5.00                          1280400200057 
   1.95E+00   2.11E+01   1.50E+00   5.00                          1280400200058 
   1.95E+00   3.09E+01   1.16E+00   5.00                          1280400200059 
   1.95E+00   4.88E+01   5.71E-01   5.00                          1280400200060 
