ENTRY            12809   19830609                             00001280900000001 
SUBENT        12809001   19830609                             00001280900100001 
BIB                 11         28                                 1280900100002 
INSTITUTE  (1USAORL)                                              1280900100003 
REFERENCE  (J,NSE,83,22,8301)                                     1280900100004 
AUTHOR     (J.W.T.DABBS,C.H.JOHNSON,C.E.BEMIS JR)                 1280900100005 
TITLE      MEASUREMENT OF THE 241-AM NEUTRON FISSION CROSS        1280900100006 
            SECTION                                               1280900100007 
FACILITY   (LINAC,1USAORL) ORELA                                  1280900100008 
METHOD     (TOF)  9.1 METER FLIGHT PATH                           1280900100009 
DETECTOR   (FISCH) HONEYCOMB FISSION IONIZATION CHAMBER WITH      1280900100010 
             7 SECTIONS CONSISTING OF THREE PLATES EACH.          1280900100011 
             3 SECTIONS CONTAINED 6 DEPOSITS OF 241-AM AND 3      1280900100012 
             SECTIONS CONTAINED 6 DEPOSITS OF 235-U. THE OTHER    1280900100013 
             SECTION CONTAINED A PLATE WITH 252-CF.               1280900100014 
           (SCIN) A XENON GAS SCINTILLATOR WITH 6-LI AS A         1280900100015 
             NEUTRON FLUX MONITOR.                                1280900100016 
SAMPLE     APPROXIMATELY 14.314 +- .078 MG 241-AM ON SIX          1280900100017 
            PLATES. THE DEPOSITS ARE 7.62 CM DIAMETER AND         1280900100018 
            52 +- 18 MICROGRAMS/CM**2 THICK. SAMPLES CONTAINED    1280900100019 
            APPROXIMATELY 1000 PPM 239-PU. THE 235-U DEPOSITS     1280900100020 
            CONTAIN 115.8 +- 1.9 MG OF MATERIAL ABOUT 420         1280900100021 
            MICROGRAMS/CM**2 THICK ON 6 PLATES.                   1280900100022 
CORRECTION DATA CORRECTED FOR BACKGROUNDS, ESPECIALLY INSCATTERED-1280900100023 
             NEUTRON-INDUCED EVENTS AND ALPHA PILEUP. IN ADDITION 1280900100024 
             DEAD-TIME, SOURCE POSITION, RELATIVISTIC EFFECTS,    1280900100025 
             DETECTOR EFFICIENCY, GAIN SETTING AND 239-PU.        1280900100026 
             CONTAMINATION CORRECTIONS WERE MADE.                 1280900100027 
STATUS     DATA RECEIVED IN PRIVATE COMM., DABBS, 83/5/19.        1280900100028 
           (APRVD) J.W.T.DOBBS, 83/7/21.                          1280900100029 
HISTORY    (830525C)                                              1280900100030 
ENDBIB              28          0                                 1280900100031 
NOCOMMON             0          0                                 1280900100032 
ENDSUBENT           31          0                                 1280900199999 
SUBENT        12809002   19830609                             00001280900200001 
BIB                  3         14                                 1280900200002 
REACTION   (95-AM-241(N,F),,SIG)                                  1280900200003 
MONITOR    (92-U-235(N,F),,INT)                                   1280900200004 
           (3-LI-6(N,T)2-HE-4,,SIG) ENDF/B-V VALUES AS A SHAPE    1280900200005 
             STANDARD NORMALIZED TO THE 235-U(N,F) INTEGRAL       1280900200006 
             FROM 7.8 TO 11. EV.                                  1280900200007 
ERR-ANALYS (ERR-T) TOTAL UNCERTAINTY                              1280900200008 
           (ERR-S) STATISTICAL UNCERTAINTY                        1280900200009 
             SYSTEMATIC UNCERTAINTIES IN PERCENT INCLUDE-         1280900200010 
               RELATIVE EFFICIENCY                      2.27      1280900200011 
               MASS 241-AM                              0.77      1280900200012 
               STANDARD CROSS SECTION                   1.00      1280900200013 
               U-235 INTEGRAL STANDARD                  1.00      1280900200014 
               INSCATTERING CORRECTION                  2.00      1280900200015 
               PU-239 CONTAMINATION   (10 PERCENT OF CORRECTION)  1280900200016 
ENDBIB              14          0                                 1280900200017 
COMMON               3          3                                 1280900200018 
EN-NRM-MIN EN-NRM-MAX MONIT                                       1280900200019 
EV         EV         B*EV                                        1280900200020 
 7.8        11.        245.                                       1280900200021 
ENDCOMMON            3          0                                 1280900200022 
DATA                 4       1806                                 1280900200023 
EN         DATA       ERR-T      ERR-S                            1280900200024 
EV         B          B          B                                1280900200025 
  1.883E-02  3.667E+00  1.518E-01  1.192E-01                      1280900200026 
  2.107E-02  3.566E+00  1.221E-01  9.476E-02                      1280900200027 
  2.402E-02  3.229E+00  1.059E-01  8.103E-02                      1280900200028 
  2.764E-02  2.857E+00  8.905E-02  6.666E-02                      1280900200029 
  3.214E-02  2.673E+00  7.698E-02  5.648E-02                      1280900200030 
  3.784E-02  2.356E+00  6.589E-02  4.733E-02                      1280900200031 
  4.520E-02  2.067E+00  5.672E-02  3.994E-02                      1280900200032 
  5.495E-02  1.773E+00  4.906E-02  3.402E-02                      1280900200033 
  6.824E-02  1.553E+00  4.377E-02  3.018E-02                      1280900200034 
  8.704E-02  1.338E+00  4.073E-02  2.828E-02                      1280900200035 
  1.149E-01  1.284E+00  4.112E-02  2.897E-02                      1280900200036 
  1.587E-01  1.525E+00  4.728E-02  3.303E-02                      1280900200037 
  2.027E-01  2.388E+00  9.030E-02  5.923E-02                      1280900200038 
  2.416E-01  5.367E+00  1.396E-01  7.980E-02                      1280900200039 
  2.659E-01  1.005E+01  4.941E-01  3.680E-01                      1280900200040 
  2.704E-01  1.246E+01  5.141E-01  3.815E-01                      1280900200041 
  2.748E-01  1.518E+01  5.576E-01  4.116E-01                      1280900200042 
  2.794E-01  1.833E+01  6.063E-01  4.451E-01                      1280900200043 
  2.840E-01  2.198E+01  6.580E-01  4.804E-01                      1280900200044 
  2.888E-01  2.677E+01  7.210E-01  5.230E-01                      1280900200045 
  2.937E-01  3.117E+01  7.740E-01  5.578E-01                      1280900200046 
  2.987E-01  3.404E+01  6.986E-01  4.691E-01                      1280900200047 
  3.039E-01  3.472E+01  6.768E-01  4.437E-01                      1280900200048 
  3.091E-01  3.355E+01  6.344E-01  4.056E-01                      1280900200049 
  3.146E-01  3.088E+01  5.762E-01  3.602E-01                      1280900200050 
  3.201E-01  2.657E+01  5.056E-01  3.111E-01                      1280900200051 
  3.259E-01  2.125E+01  4.263E-01  2.599E-01                      1280900200052 
  3.332E-01  1.554E+01  2.778E-01  1.680E-01                      1280900200053 
  3.424E-01  1.091E+01  2.149E-01  1.287E-01                      1280900200054 
  3.520E-01  7.484E+00  1.661E-01  9.866E-02                      1280900200055 
  3.619E-01  5.227E+00  1.305E-01  7.699E-02                      1280900200056 
  3.723E-01  3.868E+00  1.057E-01  6.194E-02                      1280900200057 
  3.851E-01  2.796E+00  7.300E-02  4.260E-02                      1280900200058 
  4.004E-01  2.081E+00  5.815E-02  3.395E-02                      1280900200059 
  4.167E-01  1.676E+00  4.789E-02  2.810E-02                      1280900200060 
  4.339E-01  1.423E+00  4.045E-02  2.389E-02                      1280900200061 
  4.523E-01  1.321E+00  3.549E-02  2.109E-02                      1280900200062 
  4.719E-01  1.357E+00  3.259E-02  1.940E-02                      1280900200063 
  4.927E-01  1.443E+00  3.071E-02  1.824E-02                      1280900200064 
  5.106E-01  1.873E+00  4.031E-02  2.367E-02                      1280900200065 
  5.251E-01  2.829E+00  4.692E-02  2.641E-02                      1280900200066 
  5.403E-01  4.734E+00  6.120E-02  3.145E-02                      1280900200067 
  5.512E-01  7.052E+00  1.239E-01  5.792E-02                      1280900200068 
  5.576E-01  8.869E+00  1.458E-01  6.365E-02                      1280900200069 
  5.641E-01  1.077E+01  1.687E-01  6.896E-02                      1280900200070 
  5.708E-01  1.157E+01  1.781E-01  7.060E-02                      1280900200071 
  5.776E-01  1.157E+01  1.782E-01  7.004E-02                      1280900200072 
  5.845E-01  1.017E+01  1.613E-01  6.539E-02                      1280900200073 
  5.915E-01  8.395E+00  1.397E-01  5.942E-02                      1280900200074 
  5.986E-01  6.635E+00  1.181E-01  5.313E-02                      1280900200075 
  6.059E-01  5.039E+00  9.825E-02  4.684E-02                      1280900200076 
  6.152E-01  3.647E+00  6.587E-02  3.318E-02                      1280900200077 
  6.408E-01  1.805E+00  2.492E-02  1.362E-02                      1280900200078 
  6.827E-01  8.852E-01  1.779E-02  1.033E-02                      1280900200079 
  7.289E-01  6.147E-01  1.484E-02  8.825E-03                      1280900200080 
  7.799E-01  4.682E-01  1.293E-02  7.800E-03                      1280900200081 
  8.365E-01  4.522E-01  1.198E-02  7.289E-03                      1280900200082 
  8.994E-01  4.653E-01  1.139E-02  6.953E-03                      1280900200083 
  9.697E-01  5.590E-01  1.139E-02  6.931E-03                      1280900200084 
  1.049E+00  9.136E-01  1.309E-02  7.736E-03                      1280900200085 
  1.138E+00  2.414E+00  2.201E-02  1.079E-02                      1280900200086 
  1.190E+00  5.529E+00  1.207E-01  4.829E-02                      1280900200087 
  1.200E+00  7.225E+00  1.500E-01  5.454E-02                      1280900200088 
  1.210E+00  1.008E+01  1.993E-01  6.384E-02                      1280900200089 
  1.221E+00  1.427E+01  2.718E-01  7.544E-02                      1280900200090 
  1.231E+00  2.090E+01  3.865E-01  9.099E-02                      1280900200091 
  1.242E+00  3.015E+01  5.456E-01  1.092E-01                      1280900200092 
  1.250E+00  3.779E+01  1.065E+00  1.935E-01                      1280900200093 
  1.254E+00  4.173E+01  1.172E+00  2.036E-01                      1280900200094 
  1.258E+00  4.491E+01  1.259E+00  2.111E-01                      1280900200095 
  1.263E+00  4.727E+01  1.324E+00  2.168E-01                      1280900200096 
  1.267E+00  4.866E+01  1.363E+00  2.200E-01                      1280900200097 
  1.270E+00  4.888E+01  1.938E+00  3.116E-01                      1280900200098 
  1.278E+00  4.522E+01  7.372E-01  1.221E-01                      1280900200099 
  1.292E+00  3.401E+01  5.683E-01  1.053E-01                      1280900200100 
  1.306E+00  2.208E+01  3.860E-01  8.471E-02                      1280900200101 
  1.320E+00  1.350E+01  2.528E-01  6.681E-02                      1280900200102 
  1.334E+00  8.189E+00  1.702E-01  5.309E-02                      1280900200103 
  1.349E+00  5.180E+00  1.228E-01  4.360E-02                      1280900200104 
  1.408E+00  1.658E+00  2.554E-02  1.097E-02                      1280900200105 
  1.518E+00  4.062E-01  1.357E-02  7.027E-03                      1280900200106 
  1.627E+00  2.018E-01  1.142E-02  6.498E-03                      1280900200107 
  1.713E+00  1.633E-01  1.154E-02  7.468E-03                      1280900200108 
  1.785E+00  1.849E-01  1.096E-02  7.195E-03                      1280900200109 
  1.837E+00  2.681E-01  1.840E-02  1.212E-02                      1280900200110 
  1.866E+00  5.715E-01  2.186E-02  1.418E-02                      1280900200111 
  1.896E+00  1.466E+00  3.166E-02  1.912E-02                      1280900200112 
  1.927E+00  1.950E+00  3.642E-02  2.121E-02                      1280900200113 
  1.986E+00  7.153E-01  1.423E-02  9.009E-03                      1280900200114 
  2.077E+00  1.822E-01  9.923E-03  6.540E-03                      1280900200115 
  2.173E+00  1.352E-01  9.201E-03  6.089E-03                      1280900200116 
  2.276E+00  5.322E-01  1.201E-02  7.706E-03                      1280900200117 
  2.345E+00  2.153E+00  4.246E-02  2.386E-02                      1280900200118 
  2.376E+00  2.250E+00  4.348E-02  2.417E-02                      1280900200119 
  2.408E+00  1.255E+00  3.150E-02  1.907E-02                      1280900200120 
  2.440E+00  6.320E-01  2.340E-02  1.504E-02                      1280900200121 
