ENTRY            12937   20140414                             14011293700000001 
SUBENT        12937001   20140414                             14011293700100001 
BIB                 13         22                                 1293700100002 
INSTITUTE  (1USAANL)                                              1293700100003 
REFERENCE  (R,ANL-NDM-91,198505)                                  1293700100004 
           ((J,RE,94,281,1986)=(C,85SANTA,1,955,1985))            1293700100005 
AUTHOR     (A.B.Smith,P.Guenther,R.D.Lawson)                      1293700100006 
TITLE      On the energy dependence of the optical model of       1293700100007 
            neutron scattering from niobium                       1293700100008 
FACILITY   (DYNAM,1USAANL)                                        1293700100009 
INC-SOURCE (D-D) Gas cell 3 cm long with 3 micro-m Ni window      1293700100010 
INC-SPECT  Beam resolution decreases from 300 keV at 4.5 MeV      1293700100011 
             to 100 keV at 10 MeV.                                1293700100012 
METHOD     (TOF)  5.1 meter flight path                           1293700100013 
SAMPLE     Chemically pure metallic niobium cylinder, 2 cm        1293700100014 
             diameter and 2 cm long.                              1293700100015 
DETECTOR   (SCIN) Proton recoil scintillators                     1293700100016 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1293700100017 
STATUS     (TABLE)Data received in private communication 9/23/19851293700100018 
           (APRVD) A.B.Smith, 1985/12/9.                          1293700100019 
HISTORY    (19851003C)                                            1293700100020 
           (20140414A) SD: Updated to new date formats,lower case.1293700100021 
            Corrections according last EXFOR rules and Dict.      1293700100022 
            Ref. 85SANTA was corrected. ERR-ANALYS updated,       1293700100023 
            REACTION code corrected in Subent 2.                  1293700100024 
ENDBIB              22          0                                 1293700100025 
NOCOMMON             0          0                                 1293700100026 
ENDSUBENT           25          0                                 1293700199999 
SUBENT        12937002   20140414                             14011293700200001 
BIB                  4         11                                 1293700200002 
REACTION   (41-NB-93(N,SCT)41-NB-93,PAR,DA)                       1293700200003 
CORRECTION Data were corrected for multiple-scattering, beam-     1293700200004 
            attenuation and angular-resolution.                   1293700200005 
ERR-ANALYS (ERR-T) Total uncertainty between 3 and 5%             1293700200006 
           (ERR-S,1.,10.) statistical uncertainty less than 1%    1293700200007 
                                          in minima to 10%        1293700200008 
           (ERR-1) uncertainty in normalization 3%                1293700200009 
           (ERR-2,1.) uncertainty in corrections  approx 1%       1293700200010 
                                     in minima greater            1293700200011 
HISTORY    (20140414A) SD: REACTION code corrected according to   1293700200012 
           EXFOR rules: EL + INL -> SCT.                          1293700200013 
ENDBIB              11          0                                 1293700200014 
COMMON               3          3                                 1293700200015 
E-EXC-MAX  ANG-RSL    ERR-1                                       1293700200016 
KEV        ADEG       PER-CENT                                    1293700200017 
 30.        0.5          3.                                       1293700200018 
ENDCOMMON            3          0                                 1293700200019 
DATA                 4        421                                 1293700200020 
EN         ANG        DATA       ERR-T                            1293700200021 
MEV        ADEG       B/SR       PER-CENT                         1293700200022 
   4.50E+00   1.97E+01   1.13E+00   3.20                          1293700200023 
   4.50E+00   2.44E+01   7.83E-01   3.20                          1293700200024 
   4.50E+00   2.96E+01   5.06E-01   3.20                          1293700200025 
   4.50E+00   3.44E+01   2.47E-01   3.20                          1293700200026 
   4.50E+00   3.99E+01   1.06E-01   3.20                          1293700200027 
   4.50E+00   4.55E+01   2.85E-02   6.32                          1293700200028 
   4.50E+00   5.39E+01   3.67E-02   5.32                          1293700200029 
   4.50E+00   5.58E+01   4.98E-02   3.61                          1293700200030 
   4.50E+00   6.01E+01   8.51E-02   3.20                          1293700200031 
   4.50E+00   6.29E+01   1.09E-01   3.20                          1293700200032 
   4.50E+00   6.90E+01   1.46E-01   3.20                          1293700200033 
   4.50E+00   7.09E+01   1.54E-01   3.20                          1293700200034 
   4.50E+00   7.57E+01   1.46E-01   3.20                          1293700200035 
   4.50E+00   7.88E+01   1.46E-01   3.20                          1293700200036 
   4.50E+00   8.63E+01   1.11E-01   3.20                          1293700200037 
   4.50E+00   9.10E+01   6.89E-02   3.20                          1293700200038 
   4.50E+00   9.44E+01   5.46E-02   3.30                          1293700200039 
   4.50E+00   1.01E+02   2.06E-02   8.74                          1293700200040 
   4.50E+00   1.06E+02   7.76E-03  24.70                          1293700200041 
   4.50E+00   1.10E+02   7.53E-03  23.90                          1293700200042 
   4.50E+00   1.14E+02   1.01E-02  19.60                          1293700200043 
   4.50E+00   1.17E+02   1.56E-02  11.50                          1293700200044 
   4.50E+00   1.22E+02   2.22E-02   9.05                          1293700200045 
   4.50E+00   1.25E+02   2.48E-02   7.26                          1293700200046 
   4.50E+00   1.31E+02   3.27E-02   6.13                          1293700200047 
   4.50E+00   1.32E+02   3.58E-02   5.03                          1293700200048 
   4.50E+00   1.40E+02   4.05E-02   4.94                          1293700200049 
   4.50E+00   1.42E+02   3.84E-02   4.69                          1293700200050 
   4.50E+00   1.46E+02   4.12E-02   4.85                          1293700200051 
   4.50E+00   1.47E+02   4.25E-02   4.24                          1293700200052 
   4.50E+00   1.50E+02   4.43E-02   4.51                          1293700200053 
   4.50E+00   1.52E+02   4.84E-02   3.72                          1293700200054 
   4.50E+00   1.56E+02   5.42E-02   3.69                          1293700200055 
   4.50E+00   1.57E+02   6.16E-02   3.20                          1293700200056 
   5.00E+00   2.01E+01   1.31E+00   3.00                          1293700200057 
   5.00E+00   2.01E+01   1.31E+00   3.00                          1293700200058 
   5.00E+00   2.52E+01   9.00E-01   3.00                          1293700200059 
