ENTRY            12948   19891101                             00001294800000001 
SUBENT        12948001   19891101                             00001294800100001 
BIB                 11         15                                 1294800100002 
INSTITUTE  (1CANTMF)                                              1294800100003 
REFERENCE  (J,PR/C,40,559,8908)                                   1294800100004 
AUTHOR     (M.C.VETTERLI,O.HAEUSSER,R.ABEGG,W.P.ALFORD,A.CELLER,  1294800100005 
           D.FREKERS,R.HELMER,R.HENDERSON,K.H.HICKS,K.P.JACKSON,  1294800100006 
           R.G.JEPPESEN,C.A.MILLER,K.RAYWOOD,S.YEN)               1294800100007 
TITLE      GAMOW-TELLER STRENGTH DEDUCED FROM CHARGE EXCHANGE     1294800100008 
            REACTIONS ON 54FE AT 300 MEV.                         1294800100009 
FACILITY   (MESON) TRIUMF CHARGE-EXCHANGE FACILITY                1294800100010 
INC-SOURCE (P-LI7)                                                1294800100011 
SAMPLE     97.2% ENRICHED 54-FE                                   1294800100012 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1294800100013 
ERR-ANALYS DATA UNCERTAINTIES GIVEN ARE PRIMARILY STATISTICAL     1294800100014 
STATUS     DATA RECEIVED BY ELECTRONIC MAIL, 89/4/26              1294800100015 
           (APRVD) M.VETTERLI, 89/6/6.                            1294800100016 
HISTORY    (890502C)                                              1294800100017 
ENDBIB              15          0                                 1294800100018 
COMMON               4          3                                 1294800100019 
EN         ANG-NRM    MONIT      MONIT-ERR                        1294800100020 
MEV        ADEG       MB/SR      PER-CENT                         1294800100021 
298.        1.8        50.7       5.0                             1294800100022 
ENDCOMMON            3          0                                 1294800100023 
ENDSUBENT           22          0                                 1294800199999 
SUBENT        12948002   19890607                             00001294800200001 
BIB                  1          1                                 1294800200002 
REACTION   (26-FE-54(N,P)25-MN-54,,DA/DE)                         1294800200003 
ENDBIB               1          0                                 1294800200004 
COMMON               1          3                                 1294800200005 
E-RSL                                                             1294800200006 
MEV                                                               1294800200007 
 0.5                                                              1294800200008 
ENDCOMMON            3          0                                 1294800200009 
DATA                 4        551                                 1294800200010 
ANG        E-EXC      DATA       DATA-ERR                         1294800200011 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        1294800200012 
 1.8        -8.750     0.000      0.000                           1294800200013 
 1.8        -8.250     0.003      0.003                           1294800200014 
 1.8        -7.750     0.008      0.007                           1294800200015 
 1.8        -7.250     0.015      0.016                           1294800200016 
 1.8        -6.750     -.002      0.008                           1294800200017 
 1.8        -6.250     0.009      0.012                           1294800200018 
 1.8        -5.750     -.005      0.009                           1294800200019 
 1.8        -5.250     0.009      0.011                           1294800200020 
 1.8        -4.750     0.010      0.011                           1294800200021 
 1.8        -4.250     0.002      0.009                           1294800200022 
 1.8        -3.750     0.021      0.015                           1294800200023 
 1.8        -3.250     0.002      0.015                           1294800200024 
 1.8        -2.750     -.023      0.023                           1294800200025 
 1.8        -2.250     -.025      0.029                           1294800200026 
 1.8        -1.750     0.144      0.052                           1294800200027 
 1.8        -1.250     0.207      0.095                           1294800200028 
 1.8        -0.750     -.116      0.176                           1294800200029 
 1.8        -0.250     0.195      0.214                           1294800200030 
 1.8         0.250     1.244      0.180                           1294800200031 
 1.8         0.750     3.003      0.165                           1294800200032 
 1.8         1.250     3.856      0.176                           1294800200033 
 1.8         1.750     3.149      0.155                           1294800200034 
 1.8         2.250     2.782      0.137                           1294800200035 
 1.8         2.750     2.068      0.118                           1294800200036 
 1.8         3.250     1.524      0.106                           1294800200037 
 1.8         3.750     1.557      0.105                           1294800200038 
 1.8         4.250     1.852      0.110                           1294800200039 
 1.8         4.750     1.946      0.118                           1294800200040 
 1.8         5.250     1.120      0.096                           1294800200041 
