ENTRY            13180   19891206                             00001318000000001 
SUBENT        13180001   19891206                             00001318000100001 
BIB                 12         12                                 1318000100002 
INSTITUTE  (1USAANL,1USANWU)                                      1318000100003 
REFERENCE  (J,PR,171,1267,6807)                                   1318000100004 
AUTHOR     (A.N.BEHKAMI,J.H.ROBERTS,W.LOVELAND,J.R.HUIZENGA)      1318000100005 
TITLE      STRUCTURE OF THE FISSION TRANSITION NUCLEUS U235.      1318000100006 
FACILITY   (VDG)                                                  1318000100007 
INC-SOURCE (P-LI7)                                                1318000100008 
SAMPLE     ISOTOPICALLY PURE 234U                                 1318000100009 
DETECTOR   (TRD) POLYCARBONATE RESIN DETECTOR                     1318000100010 
CORRECTION CORRECTED FOR ANGULAR RESOLUTION                       1318000100011 
ERR-ANALYS NO INFORMATION                                         1318000100012 
STATUS     DATA TAKEN FROM ARTICLE.                               1318000100013 
HISTORY    (891127C)                                              1318000100014 
ENDBIB              12          0                                 1318000100015 
COMMON               1          3                                 1318000100016 
EN-RSL                                                            1318000100017 
KEV                                                               1318000100018 
 15.                                                              1318000100019 
ENDCOMMON            3          0                                 1318000100020 
ENDSUBENT           19          0                                 1318000199999 
SUBENT        13180002   19900604                             00001318000200001 
BIB                  2          3                                 1318000200002 
REACTION   (92-U-234(N,F),,DA,FF,REL)                             1318000200003 
            DATA GIVEN IN TRACKS PER STERADIAN                    1318000200004 
HISTORY    (900604A) DATA FIELD CORRECTED                         1318000200005 
ENDBIB               3          0                                 1318000200006 
NOCOMMON             0          0                                 1318000200007 
DATA                 4        144                                 1318000200008 
EN         ANG        DATA       DATA-ERR                         1318000200009 
KEV        ADEG       1/SR       1/SR                             1318000200010 
 200.        4.8        590.       80.                            1318000200011 
 200.       12.5        644.       75.                            1318000200012 
 200.       17.5        672.       63.                            1318000200013 
 200.       22.5        668.       56.                            1318000200014 
 200.       27.5        629.       50.                            1318000200015 
 200.       32.5        550.       44.                            1318000200016 
 200.       38.2        536.       65.                            1318000200017 
 200.       42.5        492.       51.                            1318000200018 
 200.       47.5        440.       45.                            1318000200019 
 200.       52.5        421.       44.                            1318000200020 
 200.       59.0        443.       34.                            1318000200021 
 200.       67.0        439.       38.                            1318000200022 
 200.       72.5        424.       42.                            1318000200023 
 200.       77.5        420.       40.                            1318000200024 
 200.       82.5        401.       40.                            1318000200025 
 200.       87.5        387.       56.                            1318000200026 
 300.        4.8        349.       62.                            1318000200027 
 300.       12.5        364.       60.                            1318000200028 
 300.       17.5        359.       45.                            1318000200029 
 300.       22.5        338.       43.                            1318000200030 
 300.       27.5        391.       39.                            1318000200031 
 300.       32.5        389.       34.                            1318000200032 
 300.       38.2        407.       60.                            1318000200033 
 300.       42.5        426.       51.                            1318000200034 
 300.       47.5        443.       49.                            1318000200035 
 300.       52.5        406.       46.                            1318000200036 
 300.       59.0        411.       34.                            1318000200037 
 300.       67.0        362.       37.                            1318000200038 
 300.       72.5        350.       41.                            1318000200039 
 300.       77.5        364.       40.                            1318000200040 
 300.       82.5        347.       40.                            1318000200041 
 300.       87.5        321.       39.                            1318000200042 
 400.        4.8       1000.      104.                            1318000200043 
 400.       12.5       1160.      106.                            1318000200044 
 400.       17.5       1344.       87.                            1318000200045 
 400.       22.5       1487.       83.                            1318000200046 
 400.       27.5       1575.       78.                            1318000200047 
 400.       32.5       1639.       69.                            1318000200048 
 400.       38.2       1872.      125.                            1318000200049 
 400.       42.5       1831.      102.                            1318000200050 
 400.       47.5       1770.       93.                            1318000200051 
 400.       52.5       1819.       95.                            1318000200052 
 400.       59.0       1843.       69.                            1318000200053 
 400.       67.0       1759.       75.                            1318000200054 
