ENTRY            13515   20070417                             13431351500000001 
SUBENT        13515001   20070417                             13431351500100001 
BIB                 15         39                                 1351500100002 
INSTITUTE  (1USAORL,1USANIS)                                      1351500100003 
REFERENCE  (J,NSE,114,352,1993)                                   1351500100004 
           (C,91JUELIC,,507,1991)                                 1351500100005 
AUTHOR     (R.A.SCHRACK,O.A.WASSON,D.C.LARSON,J.K.DICKENS,        1351500100006 
           J.H.TODD)                                              1351500100007 
TITLE      A Relative Measurement of the 10B(n,alpha1 gamma)7Li   1351500100008 
            Cross Section betweeen 0.2 and 4.0 MeV                1351500100009 
FACILITY   (LINAC,1USAORL) ORELA. 18.88-m flight path             1351500100010 
INC-SOURCE (PHOTO) Beryllium block irradiated with Bremsstrahlung 1351500100011 
INC-SPECT  Photoneutrons filtered by 10B overlap filter of 0.065  1351500100012 
            atoms/b.  5.1 cm 238U photon filter.                  1351500100013 
SAMPLE     Boron disk, enriched to 96.2% 10B.  Arial density of   1351500100014 
            0.023 atoms/barn 10B.  Non-boron imputities <0.4%.    1351500100015 
METHOD     (ACTIV)  Observed 478-keV photons.                     1351500100016 
           Neutron energies determined by time-of-flight.         1351500100017 
DETECTOR   (GE-IN) N-type germanium detector 48 cm from sample    1351500100018 
            at an angle of 125 degrees to neutron beam.           1351500100019 
            Detector efficiency 30%, time resolution 5 nsec.      1351500100020 
           (SCIN) Neutron flux monitored with a NE-110 plastic    1351500100021 
            scintillator coupled to photomultiplier.              1351500100022 
MONITOR    (5-B-10(N,A)3-LI-7,PAR,SIG,G) Normalized to ENDF/B-VI  1351500100023 
            in the region 200 to 360 keV.                         1351500100024 
CORRECTION All known corrections applied, including:              1351500100025 
           - dead time                                            1351500100026 
           - background                                           1351500100027 
           - effect of neutron scattering and absorption in the   1351500100028 
             10B sample and the neutron detector.                 1351500100029 
           - efficiency of detectors                              1351500100030 
ERR-ANALYS (ERR-T) Total unceratinty based on sum in quadriture   1351500100031 
             of all known uncertainties.                          1351500100032 
           (MONIT-ERR) Normalization uncertainty.                 1351500100033 
           See Table II in article for a complete list of         1351500100034 
             uncertainites.                                       1351500100035 
STATUS     Data taken from article                                1351500100036 
           (APRVD) Approved by R. Schrack, 93/10/1                1351500100037 
HISTORY    (19911016C)                                            1351500100038 
           (19930225A) Reference updated. Converted to lower case 1351500100039 
           (19930812A) Reference and data updated.                1351500100040 
           (20070122A) DR Units in E and E-NRM corrected (->keV)  1351500100041 
ENDBIB              39          0                                 1351500100042 
NOCOMMON             0          0                                 1351500100043 
ENDSUBENT           42          0                                 1351500199999 
SUBENT        13515002   20070417                             13431351500200001 
BIB                  1          1                                 1351500200002 
REACTION   (5-B-10(N,A)3-LI-7,PAR,SIG,G)                          1351500200003 
ENDBIB               1          0                                 1351500200004 
COMMON               3          3                                 1351500200005 
E          E-NRM      MONIT-ERR                                   1351500200006 
KEV        KEV        PER-CENT                                    1351500200007 
 478.       478.       1.                                         1351500200008 
ENDCOMMON            3          0                                 1351500200009 
DATA                 4         65                                 1351500200010 
EN         EN-RSL-FW  DATA       ERR-T                            1351500200011 
MEV        MEV        B          B                                1351500200012 
 0.2005     0.0105     1.2937     0.0248                          1351500200013 
 0.2114     0.0114     1.2525     0.0238                          1351500200014 
 0.2233     0.0124     1.1933     0.0224                          1351500200015 
 0.2362     0.0135     1.1457     0.0213                          1351500200016 
 0.2503     0.0147     1.0677     0.0196                          1351500200017 
 0.2657     0.0160     1.0223     0.0185                          1351500200018 
 0.2825     0.0176     0.9458     0.0169                          1351500200019 
 0.3009     0.0193     0.8918     0.0157                          1351500200020 
 0.3213     0.0213     0.8101     0.0141                          1351500200021 
 0.3437     0.0236     0.7733     0.0132                          1351500200022 
 0.3687     0.0262     0.7213     0.0121                          1351500200023 
 0.3964     0.0292     0.7040     0.0116                          1351500200024 
 0.4274     0.0327     0.6986     0.0113                          1351500200025 
 0.4621     0.0368     0.6449     0.0102                          1351500200026 
 0.4906     0.0201     0.6163     0.0101                          1351500200027 
 0.5114     0.0214     0.5632     0.0093                          1351500200028 
 0.5335     0.0228     0.5210     0.0086                          1351500200029 
 0.5571     0.0244     0.4688     0.0077                          1351500200030 
 0.5824     0.0260     0.4251     0.0071                          1351500200031 
 0.6093     0.0279     0.3756     0.0065                          1351500200032 
 0.6382     0.0299     0.3331     0.0059                          1351500200033 
 0.6692     0.0321     0.2963     0.0050                          1351500200034 
 0.7025     0.0345     0.2604     0.0044                          1351500200035 
 0.7383     0.0372     0.2333     0.0040                          1351500200036 
 0.7770     0.0401     0.2079     0.0036                          1351500200037 
 0.8188     0.0434     0.1853     0.0033                          1351500200038 
 0.8640     0.0471     0.1647     0.0029                          1351500200039 
 0.9132     0.0512     0.1470     0.0027                          1351500200040 
 0.9524     0.0273     0.1377     0.0030                          1351500200041 
 0.9802     0.0285     0.1311     0.0029                          1351500200042 
 1.0093     0.0297     0.1220     0.0028                          1351500200043 
 1.0397     0.0311     0.1099     0.0026                          1351500200044 
 1.0715     0.0325     0.1122     0.0026                          1351500200045 
 1.1048     0.0341     0.1066     0.0025                          1351500200046 
 1.1397     0.0357     0.1010     0.0024                          1351500200047 
 1.1762     0.0374     0.0968     0.0023                          1351500200048 
 1.2146     0.0393     0.0917     0.0022                          1351500200049 
 1.2548     0.0412     0.0889     0.0022                          1351500200050 
 1.2970     0.0433     0.0878     0.0022                          1351500200051 
 1.3415     0.0456     0.0842     0.0022                          1351500200052 
 1.3883     0.0480     0.0804     0.0021                          1351500200053 
 1.4375     0.0506     0.0801     0.0021                          1351500200054 
 1.4895     0.0533     0.0805     0.0022                          1351500200055 
 1.5443     0.0563     0.0868     0.0023                          1351500200056 
 1.6022     0.0595     0.1001     0.0025                          1351500200057 
 1.6634     0.0629     0.1175     0.0028                          1351500200058 
 1.7282     0.0666     0.1438     0.0032                          1351500200059 
 1.7968     0.0707     0.1495     0.0033                          1351500200060 
 1.8696     0.0750     0.1404     0.0033                          1351500200061 
 1.9470     0.0797     0.1367     0.0033                          1351500200062 
 2.0292     0.0848     0.1275     0.0032                          1351500200063 
 2.1168     0.0904     0.1156     0.0031                          1351500200064 
 2.2102     0.0964     0.1025     0.0029                          1351500200065 
 2.3100     0.1030     0.1056     0.0031                          1351500200066 
 2.4166     0.1103     0.1016     0.0031                          1351500200067 
 2.5308     0.1182     0.1029     0.0032                          1351500200068 
 2.6534     0.1269     0.0991     0.0033                          1351500200069 
 2.7850     0.1364     0.0864     0.0037                          1351500200070 
 2.9267     0.1470     0.0730     0.0037                          1351500200071 
 3.0796     0.1587     0.0661     0.0034                          1351500200072 
 3.2447     0.1716     0.0626     0.0035                          1351500200073 
 3.4235     0.1860     0.0632     0.0035                          1351500200074 
 3.6176     0.2021     0.0724     0.0037                          1351500200075 
 3.8287     0.2201     0.0807     0.0038                          1351500200076 
 4.0589     0.2403     0.1009     0.0042                          1351500200077 
ENDDATA             67          0                                 1351500200078 
ENDSUBENT           77          0                                 1351500299999 
ENDENTRY             2          0                                 1351599999999 
