ENTRY            13527   19951218                             00001352700000001 
SUBENT        13527001   19951218                             00001352700100001 
BIB                 13         22                                 1352700100002 
INSTITUTE  (1USALAS,1USAOHO,1USADAV,1USATNL,2SWDUPP)              1352700100003 
REFERENCE  (J,PR/C,45,1791,9204)                                  1352700100004 
AUTHOR     (B.K.PARK,J.RAPAPORT,J.L.ULLMANN,A.G.LING,D.S.SORENSON,1352700100005 
           F.P.BRADY,J.L.ROMERO,C.R.HOWELL,W.TORNOW,C.T.RONNQVIST)1352700100006 
TITLE      Gamow-Teller and dipole strength distribution in       1352700100007 
            40Ca(n,p)40K reaction.                                1352700100008 
FACILITY   (MESON) LAMPF-WNR                                      1352700100009 
INC-SOURCE White neutron source, spallation neutrons from 800 MeV 1352700100010 
            protons on tungsten                                   1352700100011 
SAMPLE     Natural calcium in multi-target array.                 1352700100012 
DETECTOR   (MWPC) 4 single-plane multiwire proportional counters. 1352700100013 
           (CSICR) To measure energy of detected protons          1352700100014 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG)                                1352700100015 
CORRECTION Corrected for:                                         1352700100016 
           - background                                           1352700100017 
           - misidentification of events due to target chamber    1352700100018 
             inefficiencies                                       1352700100019 
           - angular resolution                                   1352700100020 
ERR-ANALYS (DATA-ERR) statistical uncertainty                     1352700100021 
STATUS     Data received by electronic file transfer, 96/8/6.     1352700100022 
           (APRVD) Approved by B. Park, 96/9/13                   1352700100023 
HISTORY    (911219C)                                              1352700100024 
ENDBIB              22          0                                 1352700100025 
NOCOMMON             0          0                                 1352700100026 
ENDSUBENT           25          0                                 1352700199999 
SUBENT        13527002   19951218                             00001352700200001 
BIB                  1          1                                 1352700200002 
REACTION   (20-CA-40(N,P)19-K-40,,DA/DE)                          1352700200003 
ENDBIB               1          0                                 1352700200004 
COMMON               2          3                                 1352700200005 
EN-MIN     EN-MAX                                                 1352700200006 
MEV        MEV                                                    1352700200007 
 60.        70.                                                   1352700200008 
ENDCOMMON            3          0                                 1352700200009 
DATA                 5        419                                 1352700200010 
ANG-MIN    ANG-MAX    E-EXC      DATA       DATA-ERR              1352700200011 
ADEG       ADEG       MEV        B/SR/MEV   B/SR/MEV              1352700200012 
         0.         2.       -2.7 0.2659E-01 0.2187E-01           1352700200013 
         0.         2.       -2.2 0.1064E+00 0.4386E-01           1352700200014 
         0.         2.       -1.7 0.1595E+00 0.5403E-01           1352700200015 
         0.         2.       -1.2 0.2393E+00 0.6603E-01           1352700200016 
         0.         2.       -0.7 0.4255E+00 0.8857E-01           1352700200017 
         0.         2.       -0.2 0.5052E+00 0.9685E-01           1352700200018 
         0.         2.        0.3 0.6116E+00 0.1065E+00           1352700200019 
         0.         2.        0.8 0.6382E+00 0.1090E+00           1352700200020 
         0.         2.        1.3 0.3723E+00 0.8275E-01           1352700200021 
         0.         2.        1.8 0.3457E+00 0.7957E-01           1352700200022 
         0.         2.        2.3 0.3191E+00 0.7635E-01           1352700200023 
         0.         2.        2.8 0.2659E+00 0.7004E-01           1352700200024 
         0.         2.        3.3 0.3190E+00 0.7646E-01           1352700200025 
         0.         2.        3.8 0.3190E+00 0.7634E-01           1352700200026 
         0.         2.        4.3 0.3987E+00 0.8560E-01           1352700200027 
         0.         2.        4.8 0.5848E+00 0.1041E+00           1352700200028 
         0.         2.        5.3 0.1063E+00 0.4403E-01           1352700200029 
         0.         2.        5.8 0.6111E+00 0.1066E+00           1352700200030 
         0.         2.        6.3 0.4516E+00 0.9139E-01           1352700200031 
         0.         2.        6.8 0.5843E+00 0.1042E+00           1352700200032 
         0.         2.        7.3 0.5046E+00 0.9655E-01           1352700200033 
         0.         2.        7.8 0.5841E+00 0.1043E+00           1352700200034 
         0.         2.        8.3 0.5043E+00 0.9716E-01           1352700200035 
         0.         2.        8.8 0.8757E+00 0.1280E+00           1352700200036 
         0.         2.        9.3 0.7335E+00 0.1176E+00           1352700200037 
         0.         2.        9.8 0.7691E+00 0.1201E+00           1352700200038 
         0.         2.       10.3 0.1131E+01 0.1461E+00           1352700200039 
         0.         2.       10.8 0.1219E+01 0.1517E+00           1352700200040 
         0.         2.       11.3 0.1484E+01 0.1681E+00           1352700200041 
         0.         2.       11.8 0.1368E+01 0.1612E+00           1352700200042 
