ENTRY            13611   19960729                             00001361100000001 
SUBENT        13611001   19960729                             00001361100100001 
BIB                 10         27                                 1361100100002 
INSTITUTE  (1USALAS,1USAANL,1USANMS,1USATAM,1USAUMT,1USAWSU)      1361100100003 
REFERENCE  (J,PR/D,46,2792,9210)                                  1361100100004 
AUTHOR     (W.R.DITZLER,D.HILL,J.HOFTIEZER,K.F.JOHNSON,D.LOPIANO, 1361100100005 
           T.SHIMA,H.SHIMIZU,H.SPINKA,R.STANEK,D.UNDERWOOD,       1361100100006 
           R.G.WAGNER,A.YOKOSAWA,G.R.BURLESON,J.A.FAUCETT,        1361100100007 
           C.A.FONTENLA,R.W.GARNETT,C.LUCHINI,M.W.RAWOOL-SULLIVAN,1361100100008 
           T.S.BHATIA,G.GLASS,J.C.HIEBERT,R.A.KENEFICK,S.NATH,    1361100100009 
           L.C.NORTHCLIFFE,R.DAMJANOVICH,J.J.JARNER,J.VANINETTI,  1361100100010 
           R.H.JEPPESEN,G.E.TRIPARD)                              1361100100011 
TITLE      Neutron-proton elastic scattering spin-spin correlation1361100100012 
            parameter measurements between 500 and 800 MeV.       1361100100013 
            I. C(SL) and C(LL) at backward c.m. angles            1361100100014 
FACILITY   (MESON,1USALAS) LAMPF                                  1361100100015 
INC-SOURCE (POLNS,P-D) Polarized protons on liquid deuterium      1361100100016 
            target.  See Phys.Rev. D 53, 3506 (1996) for          1361100100017 
            correction to beam polarization.                      1361100100018 
           (POLTR)                                                1361100100019 
DETECTOR   (SCIN) Polarimeter consisting of a CH(2) target, a     1361100100020 
            plastic scintillator to detect charged particles from 1361100100021 
            neutron interactions in the CH(2), a brass absorber,  1361100100022 
            and 4 plastic scintillators (left, right, up, down)   1361100100023 
            located at 30 degrees to the neutron beam.            1361100100024 
           (MAGSP,SCIN,MWPC)                                      1361100100025 
CORRECTION Corrected for background. missing mass.                1361100100026 
STATUS     Data taken from table in reference.                    1361100100027 
           (APRVD) Approved by H. Spinka, 96/7/19                 1361100100028 
HISTORY    (960306C)                                              1361100100029 
ENDBIB              27          0                                 1361100100030 
NOCOMMON             0          0                                 1361100100031 
ENDSUBENT           30          0                                 1361100199999 
SUBENT        13611002   19960312                             00001361100200001 
BIB                  2          8                                 1361100200002 
REACTION  1(1-H-1(N,EL)1-H-1,LL,POL/DA,,C)                        1361100200003 
          2(1-H-1(N,EL)1-H-1,SL,POL/DA,,C)                        1361100200004 
            Angle given is average angle, weighted by the number  1361100200005 
             of events.                                           1361100200006 
ERR-ANALYS (DATA-ERR) Statistical uncertainties plus uncertainties1361100200007 
            in extracting elastic events.                         1361100200008 
           (EN-ERR) Mainly from uncertainty in average beam       1361100200009 
            energy.                                               1361100200010 
ENDBIB               8          0                                 1361100200011 
COMMON               1          3                                 1361100200012 
EN-ERR                                                            1361100200013 
MEV                                                               1361100200014 
 5.                                                               1361100200015 
ENDCOMMON            3          0                                 1361100200016 
DATA                 6         63                                 1361100200017 
EN         ANG-CM     DATA-CM   1DATA-ERR  1DATA-CM   2DATA-ERR  21361100200018 
MEV        ADEG       NO-DIM     NO-DIM     NO-DIM     NO-DIM     1361100200019 
484.       178.4      -1.051      0.115                           1361100200020 
484.       174.9      -0.886      0.066     -0.120      0.066     1361100200021 
484.       170.2      -0.878      0.047     -0.004      0.055     1361100200022 
484.       165.1      -0.530      0.059     -0.066      0.077     1361100200023 
484.       160.7      -0.264      0.079     -0.203      0.102     1361100200024 
484.       154.0       0.303      0.093      0.061      0.106     1361100200025 
484.       150.0       0.377      0.068      0.067      0.080     1361100200026 
484.       145.2       0.683      0.100     -0.123      0.114     1361100200027 
484.       140.0       0.600      0.092     -0.098      0.110     1361100200028 
484.       135.1       0.589      0.102     -0.123      0.121     1361100200029 
484.       129.5       1.059      0.134      0.166      0.161     1361100200030 
484.       125.7       0.931      0.076      0.011      0.072     1361100200031 
484.       120.0       1.005      0.078     -0.051      0.070     1361100200032 
484.       115.1       0.758      0.080      0.118      0.073     1361100200033 
484.       110.1       0.706      0.088      0.108      0.081     1361100200034 
484.       105.8       0.655      0.105     -0.150      0.098     1361100200035 
484.        99.1       0.473      0.104     -0.320      0.103     1361100200036 
484.        95.1       0.557      0.081     -0.136      0.077     1361100200037 
484.        90.1       0.480      0.087     -0.105      0.085     1361100200038 
484.        85.2       0.402      0.121      0.061      0.124     1361100200039 
484.        80.5       0.459      0.264      0.060      0.222     1361100200040 
634.       178.4      -0.766      0.123                           1361100200041 
634.       174.8      -0.870      0.090     -0.079      0.056     1361100200042 
634.       170.2      -0.736      0.111     -0.028      0.065     1361100200043 
634.       165.2      -0.061      0.073     -0.096      0.075     1361100200044 
634.       160.4       0.108      0.107      0.008      0.107     1361100200045 
634.       153.9       0.376      0.166      0.034      0.125     1361100200046 
634.       150.0       0.499      0.079      0.131      0.071     1361100200047 
634.       145.2       0.585      0.085      0.018      0.094     1361100200048 
634.       140.1       0.754      0.101     -0.123      0.089     1361100200049 
634.       135.1       0.769      0.117      0.078      0.095     1361100200050 
634.       129.4       0.510      0.146      0.044      0.113     1361100200051 
634.       125.6       0.609      0.150      0.137      0.099     1361100200052 
634.       120.0       0.715      0.084      0.248      0.087     1361100200053 
634.       115.1       0.819      0.099     -0.077      0.072     1361100200054 
634.       110.1       0.793      0.101      0.015      0.093     1361100200055 
634.       105.4       0.618      0.100      0.020      0.093     1361100200056 
634.        99.0       0.741      0.194     -0.229      0.161     1361100200057 
634.        95.0       0.641      0.134     -0.025      0.078     1361100200058 
634.        90.1       0.496      0.161     -0.100      0.091     1361100200059 
634.        85.1       0.576      0.119     -0.115      0.094     1361100200060 
634.        80.4       0.420      0.231      0.134      0.169     1361100200061 
788.       174.3      -0.696      0.158     -0.323      0.154     1361100200062 
788.       169.2       0.410      0.081     -0.040      0.087     1361100200063 
788.       165.0      -0.126      0.073     -0.030      0.071     1361100200064 
788.       160.5       0.297      0.094      0.080      0.106     1361100200065 
788.       154.9       0.678      0.241     -0.005      0.321     1361100200066 
788.       149.8       0.988      0.180     -0.297      0.161     1361100200067 
788.       145.5       0.443      0.200      0.075      0.181     1361100200068 
788.       140.1       0.881      0.153     -0.267      0.147     1361100200069 
788.       134.8       0.899      0.147     -0.061      0.139     1361100200070 
788.       129.1       0.529      0.148     -0.091      0.142     1361100200071 
788.       125.1       0.576      0.079     -0.082      0.122     1361100200072 
788.       119.6       0.508      0.068      0.126      0.096     1361100200073 
788.       114.7       0.676      0.069      0.121      0.096     1361100200074 
788.       109.8       0.722      0.075     -0.063      0.108     1361100200075 
788.       105.1       0.918      0.079      0.019      0.091     1361100200076 
788.       100.2       0.615      0.177      0.156      0.223     1361100200077 
788.        94.9       0.773      0.078     -0.192      0.085     1361100200078 
788.        90.2       0.842      0.095     -0.155      0.116     1361100200079 
788.        85.0       0.469      0.098     -0.122      0.114     1361100200080 
788.        80.3       0.292      0.148     -0.227      0.216     1361100200081 
788.        75.4      -0.180      0.399      0.014      0.489     1361100200082 
ENDDATA             65          0                                 1361100200083 
ENDSUBENT           82          0                                 1361100299999 
ENDENTRY             2          0                                 1361199999999 
