ENTRY            13621   19960805                             00001362100000001 
SUBENT        13621001   19960805                             00001362100100001 
BIB                 13         22                                 1362100100002 
INSTITUTE  (1CANTMF,1CANMNA,1CANALA)                              1362100100003 
REFERENCE  (J,PR/C,53,2052,9605)                                  1362100100004 
AUTHOR     (C.A.DAVIS,R.ABEGG,A.R.BERDOZ,J.BIRCHALL,J.R.CAMPBELL, 1362100100005 
           L.GAN,P.W.GREEN,L.G.GREENIAUS,R.HELMER,E.KORKMAZ,J.LI, 1362100100006 
           C.A.MILLER,A.K.OPPER,S.A.PAGE,W.D.RAMSAY,              1362100100007 
           A.M.SEKULOVICH,V.SUM,W.T.H.VAN OERS,J.ZHAO)            1362100100008 
TITLE      Zero-crossing angle of the n-p analyzing power         1362100100009 
FACILITY   (CYCLO,1CANTMF) TRIUMF neutron beam facility.          1362100100010 
INC-SOURCE (POLNS,P-D) Polarized protons on liquid deuterium.     1362100100011 
           Spins of polarized neutrons precessed to longitudinal  1362100100012 
            direction.                                            1362100100013 
SAMPLE     CH2 block.                                             1362100100014 
METHOD     Asymmetry measured.                                    1362100100015 
DETECTOR   (SCIN) Neutrons detected by 2 large scintillator arrays1362100100016 
            viewed by photomultipliers.                           1362100100017 
           Protons detected by a start scintillator and 2 stop    1362100100018 
            scintillators viewed by photomultipliers.             1362100100019 
           Polarimeters measured all 3 components of neutron spin.1362100100020 
CORRECTION Corrected for background.                              1362100100021 
ERR-ANALYS (EN-ERR) Uncertainty in average energy value.          1362100100022 
STATUS     No reply to author proof                               1362100100023 
HISTORY    (960522C)                                              1362100100024 
ENDBIB              22          0                                 1362100100025 
NOCOMMON             0          0                                 1362100100026 
ENDSUBENT           25          0                                 1362100199999 
SUBENT        13621002   19960618                             00001362100200001 
BIB                  3          4                                 1362100200002 
REACTION   (1-H-1(N,EL)1-H-1,,POL/DA,,ANA)                        1362100200003 
ERR-ANALYS (ERR-S) Statistical uncertainty                        1362100200004 
           (ERR-1) Normalization uncertainty                      1362100200005 
STATUS     Data taken from Table II in reference.                 1362100200006 
ENDBIB               4          0                                 1362100200007 
NOCOMMON             0          0                                 1362100200008 
DATA                 6        372                                 1362100200009 
EN         EN-ERR     ANG-CM     DATA-CM    ERR-S      ERR-1      1362100200010 
MEV        MEV        ADEG       NO-DIM     NO-DIM     PER-CENT   1362100200011 
175.26      0.23       86.13      0.0928     0.0176     4.9       1362100200012 
175.26      0.23       86.38      0.1225     0.0173     4.9       1362100200013 
175.26      0.23       86.63      0.1232     0.0175     4.9       1362100200014 
175.26      0.23       86.88      0.1413     0.0173     4.9       1362100200015 
175.26      0.23       87.13      0.0859     0.0174     4.9       1362100200016 
175.26      0.23       87.38      0.1136     0.0173     4.9       1362100200017 
175.26      0.23       87.63      0.1223     0.0171     4.9       1362100200018 
175.26      0.23       87.88      0.0981     0.0171     4.9       1362100200019 
175.26      0.23       88.13      0.0985     0.0171     4.9       1362100200020 
175.26      0.23       88.38      0.1122     0.0171     4.9       1362100200021 
175.26      0.23       88.63      0.0874     0.0173     4.9       1362100200022 
175.26      0.23       88.88      0.0917     0.0172     4.9       1362100200023 
175.26      0.23       89.13      0.0890     0.0171     4.9       1362100200024 
175.26      0.23       89.38      0.0723     0.0171     4.9       1362100200025 
175.26      0.23       89.63      0.0846     0.0170     4.9       1362100200026 
175.26      0.23       89.88      0.0676     0.0170     4.9       1362100200027 
175.26      0.23       90.13      0.0572     0.0172     4.9       1362100200028 
175.26      0.23       90.38      0.0782     0.0171     4.9       1362100200029 
175.26      0.23       90.63      0.1009     0.0170     4.9       1362100200030 
175.26      0.23       90.88      0.0513     0.0169     4.9       1362100200031 
175.26      0.23       91.13      0.0984     0.0166     4.9       1362100200032 
175.26      0.23       91.38      0.0674     0.0170     4.9       1362100200033 
175.26      0.23       91.63      0.0819     0.0168     4.9       1362100200034 
175.26      0.23       91.88      0.0561     0.0169     4.9       1362100200035 
175.26      0.23       92.13      0.0555     0.0168     4.9       1362100200036 
175.26      0.23       92.38      0.0716     0.0168     4.9       1362100200037 
175.26      0.23       92.63      0.0236     0.0167     4.9       1362100200038 
175.26      0.23       92.88      0.0573     0.0167     4.9       1362100200039 
175.26      0.23       93.13      0.0248     0.0167     4.9       1362100200040 
175.26      0.23       93.38      0.0250     0.0167     4.9       1362100200041 
175.26      0.23       93.63      0.0644     0.0166     4.9       1362100200042 
175.26      0.23       93.88      0.0240     0.0166     4.9       1362100200043 
175.26      0.23       94.13      0.0542     0.0165     4.9       1362100200044 
