ENTRY            13712   20061127                             13411371200000001 
SUBENT        13712001   20061127                             13411371200100001 
BIB                 12         19                                 1371200100002 
INSTITUTE  (1USALAS)                                              1371200100003 
REFERENCE  (J,PR,137,B809,1965)                                   1371200100004 
AUTHOR     (J.E.Simmons,R.B.Perkins,R.L.Henkel)                   1371200100005 
TITLE      Anisotropy of Fragments in the Neutron-Induced Fission 1371200100006 
            of Pu240, Pu242, and Pu241.                           1371200100007 
FACILITY   (VDG)                                                  1371200100008 
INC-SOURCE (P-T)                                                  1371200100009 
           (D-D)                                                  1371200100010 
DETECTOR   (COIN,PROPC,IOCH)                                      1371200100011 
ANALYSIS   Data at 0 degrees obtained from Legendre polynomial fit1371200100012 
            to angular distribution.                              1371200100013 
CORRECTION Corrected for background.                              1371200100014 
ERR-ANALYS (DATA-ERR) Standard deviation, mainly due to           1371200100015 
            statistical uncertainty.                              1371200100016 
STATUS     Data taken from article                                1371200100017 
HISTORY    (19980818C)                                            1371200100018 
           (20060411C) DR Format updated and detector corrected   1371200100019 
                         (COINC --> COIN)                         1371200100020 
           (20061127A) DR Reference corrected to follow APS format1371200100021 
ENDBIB              19          0                                 1371200100022 
NOCOMMON             0          0                                 1371200100023 
ENDSUBENT           22          0                                 1371200199999 
SUBENT        13712002   19980827                             00001371200200001 
BIB                  2          2                                 1371200200002 
REACTION   (94-PU-240(N,F),,DA,FF,RSD)                            1371200200003 
SAMPLE     1.9 mg PuO2 containing >99.8% 240Pu.                   1371200200004 
ENDBIB               2          0                                 1371200200005 
NOCOMMON             0          0                                 1371200200006 
DATA                 5         95                                 1371200200007 
EN         EN-RSL     ANG        DATA       DATA-ERR              1371200200008 
MEV        MEV        ADEG       NO-DIM     NO-DIM                1371200200009 
 0.65       0.17      67.5        1.128      0.055                1371200200010 
 0.65       0.17      45.         1.140      0.056                1371200200011 
 0.65       0.17      22.5        1.166      0.061                1371200200012 
 0.65       0.17      10.         1.173      0.058                1371200200013 
 0.65       0.17       0.         1.127      0.058                1371200200014 
 1.04       0.11      67.5        1.039      0.029                1371200200015 
 1.04       0.11      45.         1.102      0.031                1371200200016 
 1.04       0.11      22.5        1.179      0.033                1371200200017 
 1.04       0.11      10.         1.211      0.034                1371200200018 
 1.04       0.11       0.         1.212      0.034                1371200200019 
 1.47       0.12      67.5        1.004      0.023                1371200200020 
 1.47       0.12      45.         1.022      0.023                1371200200021 
 1.47       0.12      22.5        1.129      0.026                1371200200022 
 1.47       0.12      10.         1.200      0.027                1371200200023 
 1.47       0.12       0.         1.201      0.027                1371200200024 
 1.74       0.08      67.5        1.008      0.023                1371200200025 
 1.74       0.08      45.         1.101      0.012                1371200200026 
 1.74       0.08      22.5        1.174      0.026                1371200200027 
 1.74       0.08      10.         1.190      0.027                1371200200028 
 1.74       0.08       0.         1.212      0.027                1371200200029 
 2.0        0.10      67.5        1.035      0.014                1371200200030 
 2.0        0.10      45.         1.078      0.015                1371200200031 
 2.0        0.10      22.5        1.130      0.016                1371200200032 
 2.0        0.10      10.         1.190      0.017                1371200200033 
 2.0        0.10       0.         1.175      0.017                1371200200034 
 2.25       0.09      67.5        0.973      0.016                1371200200035 
 2.25       0.09      45.         1.028      0.017                1371200200036 
 2.25       0.09      22.5        1.108      0.018                1371200200037 
 2.25       0.09      10.         1.131      0.019                1371200200038 
 2.25       0.09       0.         1.158      0.019                1371200200039 
 2.5        0.07      67.5        1.026      0.020                1371200200040 
 2.5        0.07      45.         1.061      0.020                1371200200041 
 2.5        0.07      22.5        1.137      0.022                1371200200042 
 2.5        0.07      10.         1.157      0.022                1371200200043 
 2.5        0.07       0.         1.160      0.022                1371200200044 
 3.0        0.08      67.5        1.024      0.020                1371200200045 
 3.0        0.08      45.         1.072      0.020                1371200200046 
 3.0        0.08      22.5        1.120      0.022                1371200200047 
 3.0        0.08      10.         1.142      0.022                1371200200048 
 3.0        0.08       0.         1.142      0.022                1371200200049 
 3.5        0.07      67.5        1.016      0.023                1371200200050 
 3.5        0.07      45.         1.047      0.023                1371200200051 
 3.5        0.07      22.5        1.102      0.025                1371200200052 
 3.5        0.07      10.         1.121      0.025                1371200200053 
 3.5        0.07       0.         1.122      0.025                1371200200054 
 4.0        0.07      67.5        1.023      0.019                1371200200055 
 4.0        0.07      45.         1.057      0.020                1371200200056 
 4.0        0.07      22.5        1.127      0.021                1371200200057 
 4.0        0.07      10.         1.130      0.022                1371200200058 
 4.0        0.07       0.         1.137      0.022                1371200200059 
 4.5        0.06      67.5        1.049      0.035                1371200200060 
 4.5        0.06      45.         1.086      0.036                1371200200061 
 4.5        0.06      22.5        1.108      0.037                1371200200062 
 4.5        0.06      10.         1.173      0.039                1371200200063 
 4.5        0.06       0.         1.144      0.039                1371200200064 
 5.0        0.20      67.5        0.971      0.025                1371200200065 
 5.0        0.20      45.         1.011      0.025                1371200200066 
 5.0        0.20      22.5        1.100      0.027                1371200200067 
 5.0        0.20      10.         1.157      0.029                1371200200068 
 5.0        0.20       0.         1.174      0.029                1371200200069 
 5.5        0.16      67.5        0.992      0.027                1371200200070 
 5.5        0.16      45.         1.004      0.027                1371200200071 
 5.5        0.16      22.5        1.080      0.029                1371200200072 
 5.5        0.16      10.         1.127      0.030                1371200200073 
 5.5        0.16       0.         1.131      0.030                1371200200074 
 6.0        0.14      67.5        0.988      0.030                1371200200075 
 6.0        0.14      45.         1.033      0.031                1371200200076 
 6.0        0.14      22.5        1.160      0.034                1371200200077 
 6.0        0.14      10.         1.239      0.036                1371200200078 
 6.0        0.14       0.         1.253      0.036                1371200200079 
 6.25       0.13      67.5        1.047      0.033                1371200200080 
 6.25       0.13      45.         1.049      0.033                1371200200081 
 6.25       0.13      22.5        1.255      0.037                1371200200082 
 6.25       0.13      10.         1.323      0.037                1371200200083 
 6.25       0.13       0.         1.325      0.039                1371200200084 
 6.5        0.16      67.5        1.030      0.030                1371200200085 
 6.5        0.16      45.         1.119      0.033                1371200200086 
 6.5        0.16      22.5        1.293      0.037                1371200200087 
 6.5        0.16      10.         1.391      0.039                1371200200088 
 6.5        0.16       0.         1.402      0.039                1371200200089 
 7.0        0.14      67.5        1.067      0.029                1371200200090 
 7.0        0.14      45.         1.172      0.031                1371200200091 
 7.0        0.14      22.5        1.259      0.034                1371200200092 
 7.0        0.14      10.         1.393      0.037                1371200200093 
 7.0        0.14       0.         1.366      0.039                1371200200094 
 7.5        0.13      67.5        1.032      0.018                1371200200095 
 7.5        0.13      45.         1.124      0.019                1371200200096 
