ENTRY            13737   20211005                             149313737  0    1 
SUBENT        13737001   20211005                             149313737  1    1 
BIB                 12         20                                 13737  1    2 
TITLE      89Y+n resonances for E=10-740 keV and                  13737  1    3 
           intermediate structure                                 13737  1    4 
AUTHOR     (H.M.Agrawal,J.B.Garg,J.A.Harvey)                      13737  1    5 
REFERENCE  (J,NP/A,501,18,1989)                                   13737  1    6 
           #doi:10.1016/0375-9474(89)90563-0                      13737  1    7 
REL-REF    (I,10725001,M.S.Pandey+,J,PR/C,15,600,1977) ORELA      13737  1    8 
           neutron spectrometer.                                  13737  1    9 
INSTITUTE  (1USAORL,1USAALB)                                      13737  1   10 
FACILITY   (LINAC,1USAORL) ORELA.                                 13737  1   11 
INC-SOURCE (PHOTO) Photoneutrons from 5 nsec wide                 13737  1   12 
           electron pulses.                                       13737  1   13 
SAMPLE     Yttrium metal, 10.16cm diameter, 2,54 cm thick.        13737  1   14 
DETECTOR   (SCIN) NE-110 for neutron energies above 20 keV.       13737  1   15 
           (GLASD) 6Li glass detector for neutrons below 20 keV.  13737  1   16 
METHOD     (TOF) Flight path 200 m.                               13737  1   17 
CORRECTION Corrected for deadtime and background                  13737  1   18 
HISTORY    (20000217C) TK                                         13737  1   19 
           (20060309C) DR name of first author corrected          13737  1   20 
           (20211005A) BP: Updated entry, added doi. Digitized    13737  1   21 
                       data.                                      13737  1   22 
ENDBIB              20          0                                 13737  1   23 
NOCOMMON             0          0                                 13737  1   24 
ENDSUBENT           23          0                                 13737  199999 
SUBENT        13737002   20211005                             149313737  2    1 
BIB                  4          6                                 13737  2    2 
REACTION  1(39-Y-89(N,0),,EN)                                     13737  2    3 
          2(39-Y-89(N,EL),,WID,,G)                                13737  2    4 
          3(39-Y-89(N,0),,J)                                      13737  2    5 
ANALYSIS   Generalized R-matrix fits.                             13737  2    6 
ERR-ANALYS (DATA-ERR) Absolute uncertainty.                       13737  2    7 
STATUS     (TABLE) Table 1, pages 27-29.                          13737  2    8 
ENDBIB               6          0                                 13737  2    9 
COMMON               1          3                                 13737  2   10 
MOMENTUM L                                                        13737  2   11 
NO-DIM                                                            13737  2   12 
         0.                                                       13737  2   13 
ENDCOMMON            3          0                                 13737  2   14 
DATA                 5        144                                 13737  2   15 
DATA      1DATA-ERR  1DATA      2DATA-ERR  2DATA      3           13737  2   16 
KEV        KEV        EV         EV         NO-DIM                13737  2   17 
      2.598      0.005        0.8       0.15         1.           13737  2   18 
      7.498      0.015       16.3        1.0         0.           13737  2   19 
     11.592      0.035       15.5        2.0         0.           13737  2   20 
     13.784      0.045        1.4        0.2         1.           13737  2   21 
     15.233      0.055       14.7        1.5         0.           13737  2   22 
     26.400      0.120       24.4        2.5         1.           13737  2   23 
     26.942      0.120        2.7        0.3         0.           13737  2   24 
     29.648      0.120       68.5         7.         1.           13737  2   25 
     38.064      0.004        9.5         1.         1.           13737  2   26 
     41.527      0.005        1.6        0.2         1.           13737  2   27 
     42.138      0.005        62.         6.         1.           13737  2   28 
     50.291      0.006         5.        0.5         1.           13737  2   29 
     52.944      0.010       175.        20.         0.           13737  2   30 
     52.865      0.007        27.         3.         1.           13737  2   31 
     56.120      0.008        34.         4.         1.           13737  2   32 
     64.669      0.010        38.         5.         1.           13737  2   33 
     67.823      0.010        88.        10.         1.           13737  2   34 
     69.800      0.010        16.         2.         1.           13737  2   35 
     76.200      0.012        74.         7.         1.           13737  2   36 
     78.952      0.012        7.6        0.8         1.           13737  2   37 
     83.204      0.025       216.        22.         1.           13737  2   38 
     91.777      0.007        13.        1.5         0.           13737  2   39 
     97.820      0.010        19.         2.         1.           13737  2   40 
    100.487      0.011        3.0        0.5         1.           13737  2   41 
    101.928      0.011         2.        0.4         1.           13737  2   42 
    101.970      0.011        13.        1.5         1.           13737  2   43 
    103.935      0.012         9.         1.         1.           13737  2   44 
    105.924      0.020       106.        11.         0.           13737  2   45 
    109.757      0.010        27.         3.         1.           13737  2   46 
    111.933      0.012        35.         4.         1.           13737  2   47 
    115.300      0.020       178.        18.         1.           13737  2   48 
    120.910      0.015        26.         3.         1.           13737  2   49 
    123.745      0.020        40.         4.         1.           13737  2   50 
    131.824      0.015        8.5         1.         1.           13737  2   51 
    133.710      0.015        25.         3.         1.           13737  2   52 
    139.096      0.015        40.         4.         1.           13737  2   53 
    148.199      0.030       106.        10.         0.           13737  2   54 
    152.311      0.015        20.         2.         0.           13737  2   55 
    154.250      0.015        42.         4.         1.           13737  2   56 
    164.635      0.020       125.        12.         1.           13737  2   57 
    168.530      0.020       17.5         2.         0.           13737  2   58 
    169.500      0.040       119.        12.         0.           13737  2   59 
    175.726      0.040       109.        11.         1.           13737  2   60 
    182.436      0.020       100.        10.         1.           13737  2   61 
    184.600      0.015        78.         8.         1.           13737  2   62 
