ENTRY            13750   20041118                             13351375000000001 
SUBENT        13750001   20041118                             13351375000100001 
BIB                 14         35                                 1375000100002 
INSTITUTE  (1USALAS)                                              1375000100003 
REFERENCE  (J,NSE,138,105,200106)                                 1375000100004 
           (R,LA-UR-99-4170,199907) Corrected tables.             1375000100005 
AUTHOR     (R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young)        1375000100006 
TITLE      High-Resolution Measurements and Calculations of       1375000100007 
            Photon-Production Cross Sections for 16O(n,x gamma)   1375000100008 
            Reactions Induced by Neutrons with Energies between   1375000100009 
            4 and 200 MeV                                         1375000100010 
FACILITY   (ACCEL,1USALAS) LANSCE                                 1375000100011 
INC-SOURCE (SPALL) Protons on tungsten target.                    1375000100012 
INC-SPECT  Energy given is for center of energy bin whose width   1375000100013 
            is defined by the resolution given.                   1375000100014 
SAMPLE     Thick and thin BeO samples used, together with pure    1375000100015 
            beryllium sample to correct for background.           1375000100016 
            1) Thin BeO 261.6-g disk.                             1375000100017 
            2) Thick BeO 432.4-g sheet, 2.897 g/cm3 density.      1375000100018 
            3) Pure Be 147.44-g flat disk, 1.848 g/cm3 density.   1375000100019 
           Samples oriented at 45 degrees relative to incident    1375000100020 
            beam.                                                 1375000100021 
METHOD     (TOF)                                                  1375000100022 
DETECTOR   (GE-IN) 2 high-purity coaxial germanium detectors      1375000100023 
            used for gamma detection.                             1375000100024 
           Neutron flux measured using 238U fission chamber.      1375000100025 
MONITOR    Detector efficiency measured using:                    1375000100026 
           . calibrated 152Eu source,                             1375000100027 
           . Amersham mixed-radionuclide gamma-ray reference      1375000100028 
             source,                                              1375000100029 
           . 56Co source,                                         1375000100030 
           . source composed of mixture of 238Pu and 13C.         1375000100031 
CORRECTION Corrected for background, multiple scattering, and     1375000100032 
            detector efficiency.                                  1375000100033 
ERR-ANALYS (ERR-S) Statistical uncertainties given.               1375000100034 
           For systematic uncertainties see Table VI of main      1375000100035 
            reference.                                            1375000100036 
HISTORY    (20041028C)                                            1375000100037 
ENDBIB              35          0                                 1375000100038 
NOCOMMON             0          0                                 1375000100039 
ENDSUBENT           38          0                                 1375000199999 
SUBENT        13750002   20041118                             13351375000200001 
BIB                  2          2                                 1375000200002 
REACTION   (8-O-16(N,X)0-G-0,PAR,DA)                              1375000200003 
STATUS     Data received by email, R.Nelson, 2004/1/13.           1375000200004 
ENDBIB               2          0                                 1375000200005 
NOCOMMON             0          0                                 1375000200006 
DATA                 6       2647                                 1375000200007 
E          ANG        EN         EN-ERR     DATA       ERR-S      1375000200008 
MEV        ADEG       MEV        MEV        MB/SR      MB/SR      1375000200009 
  1.755     90.         8.5       0.5        -0.1165     0.0385   1375000200010 
  1.755     90.         9.5       0.5        -0.0382     0.0537   1375000200011 
  1.755     90.        10.5       0.5         0.1714     0.0600   1375000200012 
  1.755     90.        11.5       0.5         0.3730     0.0670   1375000200013 
  1.755     90.        13.0       1.0         0.4062     0.0533   1375000200014 
  1.755     90.        15.0       1.0         0.1355     0.0482   1375000200015 
  1.755     90.        17.0       1.0        -0.0015     0.0159   1375000200016 
  1.755     90.        19.0       1.0        -0.0141     0.0395   1375000200017 
  1.755     90.        21.5       1.5        -0.0081     0.0314   1375000200018 
  1.755     90.        24.5       1.5        -0.0728     0.0391   1375000200019 
  1.755    104.         8.5       0.5         0.0181     0.0942   1375000200020 
  1.755    104.         9.5       0.5         0.0090     0.1325   1375000200021 
  1.755    104.        10.5       0.5         0.1606     0.1529   1375000200022 
  1.755    104.        11.5       0.5         0.4780     0.1620   1375000200023 
  1.755    104.        13.0       1.0         0.4289     0.1261   1375000200024 
  1.755    104.        15.0       1.0         0.1652     0.1161   1375000200025 
  1.755    104.        17.0       1.0         0.0730     0.1081   1375000200026 
  1.755    104.        19.0       1.0         0.0527     0.1101   1375000200027 
  1.755    104.        21.5       1.5         0.0449     0.0922   1375000200028 
  1.755    104.        24.5       1.5         0.0406     0.0931   1375000200029 
  1.755    110.         8.5       0.5         0.0217     0.0711   1375000200030 
  1.755    110.         9.5       0.5        -0.0275     0.1009   1375000200031 
  1.755    110.        10.5       0.5         0.3671     0.1120   1375000200032 
  1.755    110.        11.5       0.5         0.2949     0.1195   1375000200033 
  1.755    110.        13.0       1.0         0.4323     0.0938   1375000200034 
  1.755    110.        15.0       1.0         0.2633     0.0896   1375000200035 
  1.755    110.        17.0       1.0         0.0383     0.0707   1375000200036 
  1.755    110.        19.0       1.0         0.1040     0.0883   1375000200037 
  1.755    110.        21.5       1.5         0.0934     0.0722   1375000200038 
  1.755    110.        24.5       1.5        -0.0412     0.0699   1375000200039 
  1.755    125.         8.5       0.5        -0.0328     0.0681   1375000200040 
  1.755    125.         9.5       0.5         0.0331     0.0945   1375000200041 
  1.755    125.        10.5       0.5         0.2092     0.1057   1375000200042 
  1.755    125.        11.5       0.5         0.2131     0.1123   1375000200043 
  1.755    125.        13.0       1.0         0.2986     0.0885   1375000200044 
  1.755    125.        15.0       1.0         0.4087     0.0891   1375000200045 
  1.755    125.        17.0       1.0         0.1145     0.0788   1375000200046 
  1.755    125.        19.0       1.0         0.1632     0.0860   1375000200047 
  1.755    125.        21.5       1.5         0.0646     0.0672   1375000200048 
  1.755    125.        24.5       1.5        -0.0568     0.0678   1375000200049 
  1.755    131.         8.5       0.5        -0.0135     0.0264   1375000200050 
  1.755    131.         9.5       0.5         0.0518     0.0357   1375000200051 
  1.755    131.        10.5       0.5         0.2930     0.0417   1375000200052 
  1.755    131.        11.5       0.5         0.3477     0.0458   1375000200053 
  1.755    131.        13.0       1.0         0.4196     0.0361   1375000200054 
  1.755    131.        15.0       1.0         0.3149     0.0354   1375000200055 
  1.755    131.        17.0       1.0         0.0971     0.0321   1375000200056 
  1.755    131.        19.0       1.0         0.0390     0.0304   1375000200057 
  1.755    131.        21.5       1.5         0.0045     0.0165   1375000200058 
  1.755    131.        24.5       1.5         0.0339     0.0278   1375000200059 
  1.755    150.         8.5       0.5         0.0401     0.0508   1375000200060 
  1.755    150.         9.5       0.5        -0.0131     0.0672   1375000200061 
  1.755    150.        10.5       0.5         0.1812     0.0823   1375000200062 
  1.755    150.        11.5       0.5         0.2878     0.0899   1375000200063 
  1.755    150.        13.0       1.0         0.3750     0.0690   1375000200064 
  1.755    150.        15.0       1.0         0.1905     0.0649   1375000200065 
  1.755    150.        17.0       1.0         0.1347     0.0648   1375000200066 
  1.755    150.        19.0       1.0         0.1106     0.0673   1375000200067 
  1.755    150.        21.5       1.5         0.0133     0.0433   1375000200068 
  1.755    150.        24.5       1.5         0.0054     0.0539   1375000200069 
  1.755    159.         8.5       0.5        -0.0633     0.0557   1375000200070 
  1.755    159.         9.5       0.5         0.0611     0.0761   1375000200071 
  1.755    159.        10.5       0.5         0.1913     0.0908   1375000200072 
  1.755    159.        11.5       0.5         0.1046     0.0907   1375000200073 
  1.755    159.        13.0       1.0         0.2782     0.0741   1375000200074 
  1.755    159.        15.0       1.0         0.0298     0.0584   1375000200075 
  1.755    159.        17.0       1.0         0.1480     0.0739   1375000200076 
  1.755    159.        19.0       1.0         0.0055     0.0424   1375000200077 
  1.755    159.        21.5       1.5         0.0147     0.0539   1375000200078 
  1.755    159.        24.5       1.5         0.0253     0.0601   1375000200079 
  1.955     90.         6.5       0.5         0.0668     0.0240   1375000200080 
  1.955     90.         7.5       0.5        -0.0197     0.0321   1375000200081 
  1.955     90.         8.5       0.5         0.0358     0.0363   1375000200082 
  1.955     90.         9.5       0.5         0.0873     0.0507   1375000200083 
  1.955     90.        10.5       0.5        -0.0389     0.0555   1375000200084 
  1.955     90.        11.5       0.5         0.2129     0.0641   1375000200085 
  1.955     90.        13.0       1.0         0.1530     0.0497   1375000200086 
  1.955     90.        15.0       1.0         0.0834     0.0465   1375000200087 
  1.955     90.        17.0       1.0         0.0429     0.0442   1375000200088 
  1.955     90.        19.0       1.0         0.0201     0.0430   1375000200089 
  1.955     90.        21.5       1.5         0.0800     0.0403   1375000200090 
  1.955     90.        24.5       1.5         0.0192     0.0369   1375000200091 
  1.955    104.         6.5       0.5        -0.0017     0.0671   1375000200092 
  1.955    104.         7.5       0.5         0.0482     0.0877   1375000200093 
  1.955    104.         8.5       0.5         0.0511     0.0966   1375000200094 
  1.955    104.         9.5       0.5        -0.1272     0.1372   1375000200095 
  1.955    104.        10.5       0.5        -0.1362     0.1530   1375000200096 
  1.955    104.        11.5       0.5         0.0915     0.1602   1375000200097 
  1.955    104.        13.0       1.0        -0.0562     0.1278   1375000200098 
  1.955    104.        15.0       1.0         0.0457     0.1262   1375000200099 
  1.955    104.        17.0       1.0        -0.0727     0.1240   1375000200100 
  1.955    104.        19.0       1.0         0.0029     0.0803   1375000200101 
  1.955    104.        21.5       1.5         0.0621     0.1047   1375000200102 
  1.955    104.        24.5       1.5         0.0078     0.0960   1375000200103 
  1.955    110.         6.5       0.5         0.0050     0.0438   1375000200104 
  1.955    110.         7.5       0.5        -0.1013     0.0546   1375000200105 
  1.955    110.         8.5       0.5        -0.0290     0.0615   1375000200106 
  1.955    110.         9.5       0.5         0.0635     0.0870   1375000200107 
  1.955    110.        10.5       0.5         0.0758     0.0943   1375000200108 
  1.955    110.        11.5       0.5         0.2055     0.1048   1375000200109 
  1.955    110.        13.0       1.0         0.2546     0.0807   1375000200110 
  1.955    110.        15.0       1.0         0.0725     0.0724   1375000200111 
