ENTRY            13786   20031223                             00001378600000001 
SUBENT        13786001   20031223                             00001378600100001 
BIB                 17         42                                 1378600100002 
INSTITUTE  (1USALRL,1USALAS)                                      1378600100003 
REFERENCE  (J,PR/C,64,054613,200111)                              1378600100004 
AUTHOR     (W.Younes,J.A.Becker,L.A.Bernstein,P.E.Garrett,        1378600100005 
           C.A.McGrath,D.P.McNabb,R.O.Nelson,G.D.Johns,           1378600100006 
           W.S.Wilburn,D.M.Drake)                                 1378600100007 
TITLE      Transition from asymetric to symmetric fission         1378600100008 
FACILITY   (MESON,1USALAS) LANSCE/WNR facility.                   1378600100009 
INC-SOURCE (SPALL) 800-MeV protons on natural tungsten.           1378600100010 
INC-SPECT  Centroid of neutron energy distribution and standard   1378600100011 
            deviation of neutron-energy distribution given.       1378600100012 
SAMPLE     93.2% enriched 235U sample, arial density 0.617 g/cm2, 1378600100013 
            encased in plastic laminate. Sample contained 5.4%    1378600100014 
            238U.                                                 1378600100015 
METHOD     (TOF)                                                  1378600100016 
DETECTOR   (GE-IN) GEANIE array of 11 Compton-suppressed planar   1378600100017 
            detectors, 9 Compton-suppressed and 6 unsuppressed    1378600100018 
            coaxial detectors. Recorded prompt, singlefold, and   1378600100019 
            higher-fold events.                                   1378600100020 
           Fission chamber containing both 235U and 238U used as  1378600100021 
            flux monitor.                                         1378600100022 
ANALYSIS   Gamma ray spectrum fitted using code XGAM.             1378600100023 
MONITOR    (92-U-235(N,F),,SIG) Normalized using ENDF/B-VI up to  1378600100024 
            16 MeV, to Lisowski from 16-100 MeV, and to Goldanskii1378600100025 
            above 100 MeV.                                        1378600100026 
MONIT-REF  (,P.LISOWSKI+,C,88MITO,,97,198810)                     1378600100027 
           (41212004,V.GOLDANSKII+,J,ZET,29,778,1955)             1378600100028 
CORRECTION Corrected for background and deadtime.                 1378600100029 
           Several caveats apply to data:                         1378600100030 
           1. Fraction of yields that go down to ground-state band1378600100031 
              is not known in general.                            1378600100032 
           2. Angular distribution of emitted gammas could not be 1378600100033 
              systematically measured, and could introduce a      1378600100034 
              reduction of up to 15% in the extracted yields.     1378600100035 
           3. Gamma ray counts are extracted from very complex    1378600100036 
              spectra, and there is a chance that any single line 1378600100037 
              may be contaminated, misidentified, or that its     1378600100038 
              inferred yield may be incorrect due to a poor fit.  1378600100039 
ERR-ANALYS (DATA-ERR) Uncertainty in cross section.               1378600100040 
STATUS     Data received by email from W. Younes, 12 April 2002.  1378600100041 
           No reply from W. Younes to author proof.               1378600100042 
HISTORY    (20020415C)                                            1378600100043 
           (20031223A) Reactions corrected.                       1378600100044 
ENDBIB              42          0                                 1378600100045 
NOCOMMON             0          0                                 1378600100046 
ENDSUBENT           45          0                                 1378600199999 
SUBENT        13786002   20031223                             00001378600200001 
BIB                  1          1                                 1378600200002 
REACTION   (92-U-235(N,F)36-KR-88,PAR,SIG,G)                      1378600200003 
ENDBIB               1          0                                 1378600200004 
NOCOMMON             0          0                                 1378600200005 
DATA                 5        182                                 1378600200006 
E          EN         EN-RSL     DATA       DATA-ERR              1378600200007 
KEV        MEV        MEV        B          B                     1378600200008 
 775.3        1.011      0.011      0.00557    0.00769            1378600200009 
 775.3        1.032      0.012      0.02608    0.00804            1378600200010 
 775.3        1.054      0.012      0.01961    0.00752            1378600200011 
 775.3        1.076      0.012      0.02132    0.00684            1378600200012 
 775.3        1.099      0.013      0.01872    0.00701            1378600200013 
 775.3        1.123      0.013      0.02426    0.00702            1378600200014 
 775.3        1.148      0.014      0.01791    0.00663            1378600200015 
 775.3        1.173      0.014      0.02532    0.00705            1378600200016 
 775.3        1.200      0.015      0.03024    0.00693            1378600200017 
 775.3        1.226      0.015      0.01989    0.00737            1378600200018 
 775.3        1.256      0.016      0.02133    0.00699            1378600200019 
 775.3        1.285      0.017      0.02208    0.00683            1378600200020 
 775.3        1.315      0.017      0.03716    0.00689            1378600200021 
 775.3        1.347      0.018      0.02850    0.00635            1378600200022 
 775.3        1.379      0.018      0.01918    0.00601            1378600200023 
 775.3        1.413      0.019      0.02962    0.00540            1378600200024 
 775.3        1.447      0.020      0.02508    0.00553            1378600200025 
 775.3        1.484      0.020      0.02108    0.00540            1378600200026 
 775.3        1.521      0.021      0.02289    0.00529            1378600200027 
 775.3        1.560      0.022      0.02006    0.00520            1378600200028 
 775.3        1.601      0.023      0.01921    0.00516            1378600200029 
 775.3        1.643      0.024      0.01915    0.00527            1378600200030 
 775.3        1.687      0.025      0.02489    0.00506            1378600200031 
 775.3        1.733      0.026      0.02238    0.00528            1378600200032 
 775.3        1.782      0.026      0.02530    0.00471            1378600200033 
 775.3        1.831      0.028      0.02057    0.00490            1378600200034 
 775.3        1.882      0.029      0.01931    0.00456            1378600200035 
 775.3        1.935      0.031      0.02341    0.00465            1378600200036 
 775.3        1.992      0.031      0.02739    0.00487            1378600200037 
 775.3        2.051      0.033      0.01519    0.00469            1378600200038 
 775.3        2.113      0.034      0.01561    0.00462            1378600200039 
 775.3        2.177      0.036      0.01294    0.00436            1378600200040 
 775.3        2.244      0.037      0.01233    0.00415            1378600200041 
 775.3        2.314      0.040      0.02001    0.00427            1378600200042 
 775.3        2.388      0.042      0.01938    0.00430            1378600200043 
 775.3        2.465      0.043      0.02738    0.00430            1378600200044 
 775.3        2.546      0.046      0.01628    0.00389            1378600200045 
 775.3        2.632      0.048      0.02415    0.00432            1378600200046 
 775.3        2.721      0.050      0.02559    0.00399            1378600200047 
 775.3        2.814      0.053      0.01613    0.00395            1378600200048 
 775.3        2.916      0.057      0.01085    0.00402            1378600200049 
 775.3        3.020      0.058      0.01487    0.00407            1378600200050 
 775.3        3.128      0.062      0.01568    0.00391            1378600200051 
 775.3        3.245      0.066      0.01726    0.00394            1378600200052 
 775.3        3.370      0.070      0.02162    0.00437            1378600200053 
 775.3        3.500      0.073      0.01608    0.00431            1378600200054 
 775.3        3.638      0.079      0.01502    0.00416            1378600200055 
 775.3        3.787      0.083      0.01610    0.00371            1378600200056 
 775.3        3.941      0.087      0.01890    0.00391            1378600200057 
 775.3        4.106      0.094      0.01207    0.00369            1378600200058 
