ENTRY            13876   20030311                             00001387600000001 
SUBENT        13876001   20030311                             00001387600100001 
BIB                 13         27                                 1387600100002 
INSTITUTE  (1USALTI,1USALAS)                                      1387600100003 
REFERENCE  (J,NP/A,679,147,200011)                                1387600100004 
AUTHOR     (Y.J.Ko,J.J.Egan,G.H.R.Kegel,D.J.DeSimone,P.N.Seo,     1387600100005 
           P.G.Young)                                             1387600100006 
TITLE      Thulium-169 neutron inelastic scattering cross section 1387600100007 
            measurements via the 169Tm(n,n'gamma) reaction        1387600100008 
FACILITY   (VDG,1USALTI)                                          1387600100009 
INC-SOURCE (P-LI7)                                                1387600100010 
SAMPLE     Thulium disc, containing 3.38E+23 nuclei.              1387600100011 
DETECTOR   (GE-IN,NAICR) Ge detector operated in conjunction with 1387600100012 
            NaI(Tl) annulus for suppression of Compton scattering 1387600100013 
            events.                                               1387600100014 
MONITOR    (92-U-235(N,F),,SIG) 235U fission chamber used to      1387600100015 
            determine neutron fluence.                            1387600100016 
           Plastic scintillator neutron monitor used to normalize 1387600100017 
            neutron scattering to fluence measurements.           1387600100018 
           Ge detector efficiency determined using calibrated     1387600100019 
            gamma-ray sources.                                    1387600100020 
CORRECTION Corrected for:                                         1387600100021 
           . multiple scattering (using code PENHA-B),            1387600100022 
           . neutron and gamma attenuation (using code NEVES),    1387600100023 
           . fluence variation over sample due to angular         1387600100024 
             dependence of neutrons from source reaction.         1387600100025 
ERR-ANALYS (DATA-ERR) Overall uncertainty given.                  1387600100026 
STATUS     Data received by email from Pilneyo Seo, 6 March 2003. 1387600100027 
           (APRVD) Approved by Pilneyo Seo, 10 March 2003.        1387600100028 
HISTORY    (20030306C)                                            1387600100029 
ENDBIB              27          0                                 1387600100030 
NOCOMMON             0          0                                 1387600100031 
ENDSUBENT           30          0                                 1387600199999 
SUBENT        13876002   20030306                             00001387600200001 
BIB                  1          1                                 1387600200002 
REACTION   (69-TM-169(N,INL)69-TM-169,PAR,DA,G)                   1387600200003 
ENDBIB               1          0                                 1387600200004 
COMMON               1          3                                 1387600200005 
EN                                                                1387600200006 
KEV                                                               1387600200007 
750.                                                              1387600200008 
ENDCOMMON            3          0                                 1387600200009 
DATA                 4        495                                 1387600200010 
E          ANG        DATA       DATA-ERR                         1387600200011 
KEV        ADEG       MB/SR      MB/SR                            1387600200012 
 109.89     25.         43.6        4.2                           1387600200013 
 109.89     35.         47.4        3.4                           1387600200014 
 109.89     45.         48.4        2.9                           1387600200015 
 109.89     55.         49.7        3.9                           1387600200016 
 109.89     65.         46.5        1.8                           1387600200017 
 109.89     65.         56.9        2.5                           1387600200018 
 109.89     75.         54.3        2.1                           1387600200019 
 109.89     85.         50.7        2.7                           1387600200020 
 109.89     85.         45.5        2.3                           1387600200021 
 109.89     95.         48.1        2.0                           1387600200022 
 109.89     95.         49.1        2.2                           1387600200023 
 109.89    105.         46.0        3.1                           1387600200024 
 109.89    105.         42.8        2.1                           1387600200025 
 109.89    105.         45.4        1.9                           1387600200026 
 109.89    115.         40.3        1.6                           1387600200027 
 109.89    125.         33.6        1.0                           1387600200028 
 109.89    125.         42.3        1.9                           1387600200029 
 109.89    135.         36.2        1.4                           1387600200030 
 109.89    135.         45.0        1.8                           1387600200031 
 109.89    135.         43.4        2.0                           1387600200032 
 130.44     25.         37.7        3.1                           1387600200033 
 130.44     35.         28.4        2.3                           1387600200034 
 130.44     45.         30.1        2.0                           1387600200035 
 130.44     55.         32.4        3.0                           1387600200036 
 130.44     65.         22.9        1.2                           1387600200037 
 130.44     65.         25.6        1.8                           1387600200038 
 130.44     75.         23.4        1.4                           1387600200039 
 130.44     85.         21.2        1.7                           1387600200040 
 130.44     85.         12.7        1.4                           1387600200041 
 130.44     95.         23.5        1.3                           1387600200042 
 130.44     95.         17.2        1.4                           1387600200043 
 130.44    105.         18.7        2.0                           1387600200044 
 130.44    105.         19.2        1.6                           1387600200045 
 130.44    105.         22.6        1.3                           1387600200046 
 130.44    115.         22.8        1.1                           1387600200047 
 130.44    125.         20.9        0.8                           1387600200048 
 130.44    125.         31.0        1.3                           1387600200049 
 130.44    135.         25.7        1.2                           1387600200050 
 130.44    135.         28.2        1.3                           1387600200051 
 130.44    135.         26.1        1.5                           1387600200052 
 177.03     65.          2.60       0.17                          1387600200053 
 177.03     85.          1.61       0.39                          1387600200054 
 177.03     85.          1.45       0.37                          1387600200055 
 177.03     95.          2.24       0.35                          1387600200056 
