ENTRY            13878   20040426                             00001387800000001 
SUBENT        13878001   20040426                             00001387800100001 
BIB                 10         14                                 1387800100002 
INSTITUTE  (1USAANL)                                              1387800100003 
REFERENCE  (J,JP/G,30,407,2004)                                   1387800100004 
           (R,ANL-NDM-155,200308)                                 1387800100005 
AUTHOR     (A.B.Smith)                                            1387800100006 
TITLE      Fast-neutron scattering from elemental rhenium         1387800100007 
SAMPLE     High purity metallic rhenium.                          1387800100008 
METHOD     (TOF)                                                  1387800100009 
DETECTOR   (SCIN) Hydrogen recoil scintillator.                   1387800100010 
ERR-ANALYS (DATA-ERR) Statistical uncertainties combined with     1387800100011 
            estimated systematic uncertainties.                   1387800100012 
STATUS     Data received on diskette from A. Smith, Sept. 2003.   1387800100013 
           (APRVD) Approved by A. Smith, 4 November 2003.         1387800100014 
HISTORY    (20031103C)                                            1387800100015 
           (20040426A) Reference updated.                         1387800100016 
ENDBIB              14          0                                 1387800100017 
NOCOMMON             0          0                                 1387800100018 
ENDSUBENT           17          0                                 1387800199999 
SUBENT        13878002   20031103                             00001387800200001 
BIB                  4          5                                 1387800200002 
REACTION   (75-RE-0(N,EL)75-RE-0,,DA)                             1387800200003 
INC-SOURCE (P-LI7)                                                1387800200004 
MONITOR    Measured relative to carbon or zirconium.              1387800200005 
CORRECTION Inelastic scattering from low-lying levels was not     1387800200006 
            clearly resolved.                                     1387800200007 
ENDBIB               5          0                                 1387800200008 
NOCOMMON             0          0                                 1387800200009 
DATA                 4         96                                 1387800200010 
EN         ANG        DATA       DATA-ERR                         1387800200011 
MEV        ADEG       B/SR       PER-CENT                         1387800200012 
 0.352       30.00     8.2340E-01 1.0000E+01                      1387800200013 
 0.352       45.70     6.6080E-01 1.0000E+01                      1387800200014 
 0.352       61.00     5.2660E-01 1.0000E+01                      1387800200015 
 0.352       76.00     4.3530E-01 1.0000E+01                      1387800200016 
 0.352       95.00     3.4230E-01 1.0000E+01                      1387800200017 
 0.352      110.50     2.9040E-01 1.0000E+01                      1387800200018 
 0.352      125.70     2.6860E-01 1.0000E+01                      1387800200019 
 0.352      150.00     2.8810E-01 1.0000E+01                      1387800200020 
 0.446       30.00     8.7950E-01 5.0000E+00                      1387800200021 
 0.446       45.70     6.8950E-01 5.0000E+00                      1387800200022 
 0.446       61.00     5.1370E-01 5.0000E+00                      1387800200023 
 0.446       75.70     3.8640E-01 5.0000E+00                      1387800200024 
 0.446       95.00     2.9870E-01 5.0000E+00                      1387800200025 
 0.446      110.50     2.6480E-01 5.0000E+00                      1387800200026 
 0.446      125.70     2.6690E-01 5.0000E+00                      1387800200027 
 0.446      150.00     2.9910E-01 5.0000E+00                      1387800200028 
 0.544       30.00     9.6760E-01 5.0070E+00                      1387800200029 
 0.544       45.70     7.1120E-01 5.0070E+00                      1387800200030 
 0.544       61.00     4.8310E-01 5.0070E+00                      1387800200031 
 0.544       75.70     3.4060E-01 5.0070E+00                      1387800200032 
 0.544       95.00     2.5450E-01 5.0070E+00                      1387800200033 
