ENTRY            13930   20041123                             00001393000000001 
SUBENT        13930001   20041123                             00001393000100001 
BIB                 10         14                                 1393000100002 
INSTITUTE  (1USABNL,2NEDRCN,2AUSIRK)                              1393000100003 
REFERENCE  (J,PR/C,47,312,199301)                                 1393000100004 
AUTHOR     (J.Kopecky,M.Uhl,R.E.Chrien)                           1393000100005 
TITLE      Radiative Strength in the compound nucleus 157Gd       1393000100006 
FACILITY   (REAC,1USABNL) High Flux Beam Reactor                  1393000100007 
DETECTOR   Three crystal pair spectrometer at the filtered        1393000100008 
            beam facility                                         1393000100009 
SAMPLE     Enriched (93.58%) target of 156Gd of 57 g              1393000100010 
METHOD     Neutron beams of 2 and 24 keV were applied             1393000100011 
            on the target through scandium and iron filters       1393000100012 
            Detailed experimental description is in Kopecky       1393000100013 
            et al., see related reference.                        1393000100014 
REL-REF    (R,,J.Kopecky+,J,NP/A,468,285,1987)                    1393000100015 
HISTORY    (20041118C) DR                                         1393000100016 
ENDBIB              14          0                                 1393000100017 
NOCOMMON             0          0                                 1393000100018 
ENDSUBENT           17          0                                 1393000199999 
SUBENT        13930002   20041123                             00001393000200001 
BIB                  3          3                                 1393000200002 
REACTION   (64-GD-157(N,G)64-GD-158,,SPC,,REL)                    1393000200003 
ERR-ANALYS (DATA-ERR) No information given                        1393000200004 
STATUS     Data taken from table I of the journal article         1393000200005 
ENDBIB               3          0                                 1393000200006 
COMMON               1          3                                 1393000200007 
EN                                                                1393000200008 
KEV                                                               1393000200009 
2.                                                                1393000200010 
ENDCOMMON            3          0                                 1393000200011 
DATA                 4        113                                 1393000200012 
E          E-ERR      DATA       DATA-ERR                         1393000200013 
KEV        KEV        ARB-UNITS  PER-CENT                         1393000200014 
6360.47    0.07       100.0       2.9                             1393000200015 
5886.06    0.14        20.8       5.9                             1393000200016 
5677.27    0.19        31.1       7.0                             1393000200017 
5659.09    0.14        45.3       5.3                             1393000200018 
5631.45    0.10        66.9       4.1                             1393000200019 
5609.94    0.37        12.7      12.5                             1393000200020 
5598.01    0.11        57.8       4.6                             1393000200021 
5567.16    0.14        43.3       5.4                             1393000200022 
5551.60    0.09        85.4       3.6                             1393000200023 
5319.50    0.17        21.47      7.4                             1393000200024 
5268.74    0.24        11.6      11.0                             1393000200025 
5100.59    0.46         6.1      19.7                             1393000200026 
5077.52    0.41         6.0      18.2                             1393000200027 
5061.77    0.33         7.9      13.3                             1393000200028 
5044.88    0.09        39.4       4.2                             1393000200029 
5029.80    0.28         9.9      11.5                             1393000200030 
5021.26    0.28        10.1      11.2                             1393000200031 
5011.72    0.13        27.0       5.6                             1393000200032 
4973.87    0.15        22.6       5.9                             1393000200033 
4947.82    0.20        20.7       7.9                             1393000200034 
4882.82    0.29        12.2      15.3                             1393000200035 
4869.72    0.72         6.0      28.8                             1393000200036 
4839.44    0.26        15.8       9.8                             1393000200037 
4834.95    0.48         8.2      17.5                             1393000200038 
4808.70    0.59         6.9      22.4                             1393000200039 
4797.69    0.89         3.8      32.1                             1393000200040 
4791.80    0.46         7.1      18.1                             1393000200041 
4776.97    0.35         9.9      13.3                             1393000200042 
4770.88    0.23        15.9       9.4                             1393000200043 
4748.94    0.19        24.6       0.7                             1393000200044 
