ENTRY            13970   20050225                             13321397000000001 
SUBENT        13970001   20050225                             13321397000100001 
BIB                  9         16                                 1397000100002 
INSTITUTE  (3AULAML,1CANTMF,3ISLTEL,1CANSFU,1CANUWO,1USALAS,      1397000100003 
           1USAOHO)                                               1397000100004 
REFERENCE  (J,PR/C,57,3191,1998)                                  1397000100005 
AUTHOR     (S.A.Long,B.M.Spicer,K.J.Raywood,R.Abegg,W.P.Alford,   1397000100006 
            A.Celler,D.Frekers,P.E.Green,O.Hausser,R.L.Helmer,    1397000100007 
            R.S.Henderson,K.H.Hicks,K.P.Jackson,R.G.Jeppesen,     1397000100008 
            N.S.P.King,C.A.Miller,M.A.Moinester,V.C.Officer,      1397000100009 
            G.G.Shute,A.Trudel,M.C.Vetterli,A.I.Yavin,S.Yen)      1397000100010 
TITLE      Spin-isovector giant resonances induced by (n,p)       1397000100011 
            reactions on heavy nuclei                             1397000100012 
FACILITY   (ACCEL,1CANTMF)                                        1397000100013 
INC-SPECT  (P-LI7)                                                1397000100014 
SAMPLE     Many targets of120Sn, 181Ta, 238U with thickness from  1397000100015 
            90 to 900 mg/cm2                                      1397000100016 
DETECTOR   Medium Resolution spectrometer                         1397000100017 
HISTORY    (20050225C) DR                                         1397000100018 
ENDBIB              16          0                                 1397000100019 
NOCOMMON             0          0                                 1397000100020 
ENDSUBENT           19          0                                 1397000199999 
SUBENT        13970002   20050225                             13321397000200001 
BIB                  3          3                                 1397000200002 
REACTION   (50-SN-120(N,P)49-IN-120,,DA/DE)                       1397000200003 
ERR-ANALYS (DATA-ERR) No information given                        1397000200004 
STATUS     (CURVE) Data taken from Fig. 3 of the journal article  1397000200005 
ENDBIB               3          0                                 1397000200006 
COMMON               2          3                                 1397000200007 
EN         EN-RSL                                                 1397000200008 
MEV        MEV                                                    1397000200009 
300.       3.                                                     1397000200010 
ENDCOMMON            3          0                                 1397000200011 
DATA                 4        168                                 1397000200012 
ANG        E-EXC      DATA       DATA-ERR                         1397000200013 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        1397000200014 
 1.3         2.726E-02  5.638E-01  1.204E-02                      1397000200015 
 1.3         1.608E+00  4.656E-01  3.613E-02                      1397000200016 
 1.3         2.953E+00  5.362E-01  6.023E-02                      1397000200017 
 1.3         4.550E+00  8.355E-01  7.227E-02                      1397000200018 
 1.3         6.034E+00  1.327E+00  6.023E-02                      1397000200019 
 1.3         7.509E+00  1.615E+00  7.227E-02                      1397000200020 
 1.3         8.975E+00  1.661E+00  8.432E-02                      1397000200021 
 1.3         1.045E+01  1.960E+00  6.023E-02                      1397000200022 
 1.3         1.203E+01  1.862E+00  8.432E-02                      1397000200023 
 1.3         1.349E+01  1.897E+00  1.084E-01                      1397000200024 
 1.3         1.496E+01  1.943E+00  9.637E-02                      1397000200025 
 1.3         1.654E+01  1.941E+00  6.023E-02                      1397000200026 
 1.3         1.801E+01  1.939E+00  6.023E-02                      1397000200027 
 1.3         1.934E+01  1.853E+00  8.432E-02                      1397000200028 
 1.3         2.092E+01  1.611E+00  7.227E-02                      1397000200029 
 1.3         2.239E+01  1.826E+00  7.227E-02                      1397000200030 
 1.3         2.397E+01  1.728E+00  8.432E-02                      1397000200031 
 1.3         2.543E+01  1.617E+00  7.227E-02                      1397000200032 
 1.3         2.690E+01  1.640E+00  6.023E-02                      1397000200033 
 1.3         2.847E+01  1.361E+00  4.818E-02                      1397000200034 
 1.3         2.993E+01  1.359E+00  8.432E-02                      1397000200035 
 1.3         3.127E+01  1.333E+00  4.818E-02                      1397000200036 
 1.3         3.298E+01  1.331E+00  6.023E-02                      1397000200037 
 1.3         3.444E+01  1.269E+00  8.432E-02                      1397000200038 
 2.9         1.412E-01  5.662E-01  4.819E-02                      1397000200039 
 2.9         1.748E+00  6.746E-01  4.819E-02                      1397000200040 
 2.9         3.347E+00  7.469E-01  4.819E-02                      1397000200041 
 2.9         4.720E+00  9.036E-01  4.819E-02                      1397000200042 
 2.9         6.417E+00  1.445E+00  3.614E-02                      1397000200043 
 2.9         7.827E+00  1.783E+00  6.024E-02                      1397000200044 
 2.9         9.168E+00  1.783E+00  6.024E-02                      1397000200045 
