ENTRY            14004   20050519                             13351400400000001 
SUBENT        14004001   20050519                             13351400400100001 
BIB                 10         13                                 1400400100002 
INSTITUTE  (3CRORBZ)                                              1400400100003 
REFERENCE  (C,91JUELIC,,592,1991)                                 1400400100004 
AUTHOR     (B.Antolkovic)                                         1400400100005 
TITLE      Intermediate state structure on the 12C(n,n3alpha) and 1400400100006 
            16O(n,n4alpha) breakup induced by 22.5 and 25.4 MeV   1400400100007 
            neutrons.                                             1400400100008 
FACILITY   (LINAC,1USAOSU) Ohio University neutron facility       1400400100009 
INC-SOURCE (D-D) or                                               1400400100010 
           (D-T)                                                  1400400100011 
METHOD     (TOF)                                                  1400400100012 
DETECTOR   4pi detector (no details)                              1400400100013 
SAMPLE     Nuclear emulsion plates (no details)                   1400400100014 
HISTORY    (20050519C) DR                                         1400400100015 
ENDBIB              13          0                                 1400400100016 
NOCOMMON             0          0                                 1400400100017 
ENDSUBENT           16          0                                 1400400199999 
SUBENT        14004002   20050519                             13351400400200001 
BIB                  4          4                                 1400400200002 
REACTION   (6-C-12(N,INL)6-C-12,,DE)                              1400400200003 
EN-SEC     (E-EXC,6-C-12) Excitation energy for C-                1400400200004 
ERR-ANALYS (DATA-ERR) No information                              1400400200005 
STATUS     (CURVE) Data taken from Figs. 1                        1400400200006 
ENDBIB               4          0                                 1400400200007 
NOCOMMON             0          0                                 1400400200008 
DATA                 4        110                                 1400400200009 
EN         E-EXC      DATA       DATA-ERR                         1400400200010 
MEV        MEV        MB/MEV     MB/MEV                           1400400200011 
22.5          8.59E+00   6.56E+00   1.94E+00                      1400400200012 
22.5          8.84E+00   5.65E+00   1.79E+00                      1400400200013 
22.5          9.08E+00   1.29E+01   2.24E+00                      1400400200014 
22.5          9.27E+00   2.07E+01   3.44E+00                      1400400200015 
22.5          9.57E+00   3.00E+01   4.04E+00                      1400400200016 
22.5          9.81E+00   2.58E+01   3.59E+00                      1400400200017 
22.5          1.00E+01   2.01E+01   3.29E+00                      1400400200018 
22.5          1.03E+01   1.44E+01   2.69E+00                      1400400200019 
22.5          1.05E+01   1.72E+01   2.99E+00                      1400400200020 
22.5          1.08E+01   1.96E+01   2.84E+00                      1400400200021 
22.5          1.10E+01   1.68E+01   2.69E+00                      1400400200022 
22.5          1.12E+01   2.09E+01   2.99E+00                      1400400200023 
22.5          1.15E+01   1.84E+01   2.69E+00                      1400400200024 
22.5          1.17E+01   2.45E+01   3.14E+00                      1400400200025 
22.5          1.20E+01   2.81E+01   3.29E+00                      1400400200026 
22.5          1.22E+01   2.78E+01   3.29E+00                      1400400200027 
22.5          1.25E+01   3.29E+01   4.04E+00                      1400400200028 
22.5          1.27E+01   3.05E+01   3.74E+00                      1400400200029 
22.5          1.30E+01   2.87E+01   3.44E+00                      1400400200030 
