ENTRY            14016   20101008                             13671401600000001 
SUBENT        14016001   20101008                             13671401600100001 
BIB                 10         18                                 1401600100002 
TITLE       Fission cross sections in the intermediate energy     1401600100003 
            region                                                1401600100004 
AUTHOR     (P.W.Lisowski, A.Gavron, W.E.Parker, J.L.Ullmann,      1401600100005 
            S.J.Balestrini, A.D.Carlson, O.A.Wasson, N.W.Hill)    1401600100006 
INSTITUTE  (1USALAS,1USANIS,1USAORL)                              1401600100007 
REFERENCE  (S,NEANDC-305,177,1991) Not the final result.          1401600100008 
            Proc. of the NEANDC Specialists Meeting on Neutron    1401600100009 
            Cross Section Standards for the Energy Region above   1401600100010 
            20 MeV, 21-23 May, 1991, Uppsala, Sweden              1401600100011 
           (C,88MITO,,97,1988)                                    1401600100012 
FACILITY   (LINAC,1USALAS) LAMPF and LANSCE WNR facility          1401600100013 
INC-SOURCE (SPALL) White source neutrons from 800 MeV proton on W 1401600100014 
SAMPLE      200 microg/cm2 235U deposit                           1401600100015 
METHOD     (TOF) 20 m flight path                                 1401600100016 
DETECTOR   (IOCH) Fission ionization chamber for fission rate     1401600100017 
           (TELES) Proton recoil telescope for neutron flux       1401600100018 
HISTORY    (20050629C) DR                                         1401600100019 
           (20100716A) On. BIB updated                            1401600100020 
ENDBIB              18          0                                 1401600100021 
NOCOMMON             0          0                                 1401600100022 
ENDSUBENT           21          0                                 1401600199999 
SUBENT        14016002   20101008                             13671401600200001 
BIB                  7         32                                 1401600200002 
REACTION   (92-U-235(N,F),,SIG)                                   1401600200003 
MONITOR    (1-H-1(N,EL)1-H-1,,DA,P)                               1401600200004 
            The angles were 15 and 16.4 degrees in the lab system 1401600200005 
            for the 2 different detector systems used for the     1401600200006 
            fluence determination.                                1401600200007 
MONIT-REF  (,G.M.Hale,3,ENDF/B-VII.0,125,2006)                    1401600200008 
            - Renormalized from ENDF/B-VI to B-VII standard cross 1401600200009 
              section below 20.0638 MeV (including) by P.Lisowski 1401600200010 
              (e-mail from 19 October 2004).                      1401600200011 
            - Above 30 MeV the renormalization could not be done  1401600200012 
              since no data exist there for the ENDF-B.VII        1401600200013 
              evaluation for hydrogen.                            1401600200014 
ERR-ANALYS  Uncertainty in the H(n,n) standard cross section is   1401600200015 
            not included                                          1401600200016 
           (ERR-S) Statistics                                     1401600200017 
           (ERR-1) Efficiency                                     1401600200018 
           (ERR-T) Total uncertainty                              1401600200019 
COMMENT    A.Carlson (written in the data file)                   1401600200020 
            The data below are the final 235U(n,f) data from the  1401600200021 
            LANL-NIST-ORNL collaboration (P.W.Lisowski, A.Gavron, 1401600200022 
            W.E.Parker, J.L.Ullmann, S.J.Balestrini, A.D.Carlson, 1401600200023 
            O.A.Wasson, and N.W.Hill). Uncertainty in the H(n,n)  1401600200024 
            standard cross section is not included. Renormalized  1401600200025 
            from ENDF/B-VI to B-VII standard cross section below  1401600200026 
            20.0638 MeV (including). Renormalized data obtained   1401600200027 
            from P.Lisowski.                                      1401600200028 
           P.Lisowski (2010-10-08)                                1401600200029 
            Final values                                          1401600200030 
STATUS     (TABLE) Received by e-mail from A.Carlson              1401600200031 
HISTORY    (20100715R) On                                         1401600200032 
           (20100716A) On. Re-compiled                            1401600200033 
           (20101008A) On. Confirmed as the final data by Lisowski1401600200034 
ENDBIB              32          0                                 1401600200035 
NOCOMMON             0          0                                 1401600200036 
DATA                 5        141                                 1401600200037 
EN         DATA       ERR-S      ERR-1      ERR-T                 1401600200038 
MEV        B          PER-CENT   PER-CENT   PER-CENT              1401600200039 
 3.0252     1.2185     0.67       1.         1.20                 1401600200040 
 3.1174     1.2019     0.68       1.         1.21                 1401600200041 
 3.2123     1.2102     0.67       1.         1.20                 1401600200042 
 3.3101     1.1768     0.69       1.         1.21                 1401600200043 
 3.4110     1.1953     0.76       1.         1.26                 1401600200044 
 3.5148     1.1696     0.78       1.         1.27                 1401600200045 
 3.6219     1.1628     0.78       1.         1.27                 1401600200046 
 3.7322     1.1727     0.78       1.         1.27                 1401600200047 
 3.8459     1.1375     0.71       1.         1.23                 1401600200048 
 3.9630     1.1293     0.72       1.         1.23                 1401600200049 
 4.0837     1.1006     0.74       1.         1.24                 1401600200050 
 4.2081     1.1320     0.71       1.         1.23                 1401600200051 
 4.3363     1.1303     0.80       1.         1.28                 1401600200052 
 4.4683     1.1160     0.72       1.         1.23                 1401600200053 
 4.6044     1.1171     0.71       1.         1.23                 1401600200054 
 4.7447     1.0751     0.74       1.         1.25                 1401600200055 
 4.8892     1.0749     0.74       1.         1.25                 1401600200056 
 5.0381     1.0685     0.75       1.         1.25                 1401600200057 
 5.1915     1.0411     0.77       1.         1.26                 1401600200058 
 5.3496     1.0355     0.77       1.         1.26                 1401600200059 
 5.5126     1.0056     0.79       1.         1.28                 1401600200060 
 5.6805     1.0099     0.79       1.         1.27                 1401600200061 
 5.8535     1.0326     0.77       1.         1.26                 1401600200062 
 6.0318     1.0670     0.84       1.         1.31                 1401600200063 
 6.2155     1.1740     0.80       1.         1.28                 1401600200064 
 6.4048     1.2522     0.87       1.         1.33                 1401600200065 
 6.5998     1.3266     0.83       1.         1.30                 1401600200066 
 6.8008     1.4176     0.84       1.         1.31                 1401600200067 
 7.0080     1.5113     0.86       1.         1.32                 1401600200068 
 7.2214     1.5778     0.89       1.         1.34                 1401600200069 
 7.4414     1.6469     0.97       1.         1.40                 1401600200070 
 7.6680     1.6979     1.00       1.         1.42                 1401600200071 
 7.9015     1.7813     1.01       1.         1.42                 1401600200072 
 8.1422     1.7659     1.02       1.         1.43                 1401600200073 
 8.3902     1.7697     1.02       1.         1.43                 1401600200074 
 8.6457     1.7544     1.03       1.         1.43                 1401600200075 
 8.9090     1.7507     1.02       1.         1.43                 1401600200076 
 9.1804     1.7538     1.08       1.         1.47                 1401600200077 
 9.4600     1.7683     1.12       1.         1.51                 1401600200078 
 9.7481     1.7681     1.12       1.         1.51                 1401600200079 
 10.045     1.7589     1.19       1.         1.55                 1401600200080 
 10.351     1.7301     1.21       1.         1.57                 1401600200081 
 10.666     1.7520     1.25       1.         1.60                 1401600200082 
 10.991     1.7291     1.27       1.         1.61                 1401600200083 
 11.326     1.6995     1.29       1.         1.63                 1401600200084 
 11.671     1.6429     1.33       1.         1.67                 1401600200085 
 12.026     1.6921     1.35       1.         1.68                 1401600200086 
 12.392     1.7511     1.42       1.         1.74                 1401600200087 
 12.770     1.7953     1.44       1.         1.76                 1401600200088 
 13.159     1.8417     1.46       1.         1.77                 1401600200089 
 13.560     1.9611     1.53       1.         1.82                 1401600200090 
 13.973     2.0600     1.55       1.         1.85                 1401600200091 
 14.398     2.0968     1.57       1.         1.86                 1401600200092 
 14.837     2.1418     1.64       1.         1.92                 1401600200093 
 15.289     2.2048     1.68       1.         1.96                 1401600200094 
 15.754     2.2491     1.74       1.         2.01                 1401600200095 
 16.234     2.1729     1.71       1.         1.98                 1401600200096 
