ENTRY            14118   20130716                             13921411800000001 
SUBENT        14118001   20130716                             13921411800100001 
BIB                 10         18                                 1411800100002 
TITLE      Cross-section standards for neutron-induced gamma-ray  1411800100003 
           production in the MeV energy range                     1411800100004 
AUTHOR     (R.O.Nelson,N.Fotiades,M.Devlin,J.A.Becker,P.E.Garrett,1411800100005 
           W.Younes)                                              1411800100006 
REFERENCE  (C,2004SANTA,1,838,2004)                               1411800100007 
           #doi:10.1063/1.1945136                                 1411800100008 
INSTITUTE  (1USALAS,1USALRL)                                      1411800100009 
FACILITY   (ACCEL,1USALAS) WNR LANSCE accelerator.                1411800100010 
INC-SOURCE (SPALL) 800 MeV protons on tungsten target.            1411800100011 
DETECTOR   (HPGE) High purity germanium gamma detector GEANIE.    1411800100012 
METHOD     (TOF) Flight path of about 20.34 meters.               1411800100013 
MONITOR    In all measurements the gamma-ray detector efficiency  1411800100014 
           was determined in situ using calibrated gamma-ray      1411800100015 
           sources such as 152Eu and mixed radionuclide sources.  1411800100016 
HISTORY    (20061117C) DR                                         1411800100017 
           (20080710A) BIB update.                                1411800100018 
           (20090218A) Corrections in subentries 2,4,6,7.         1411800100019 
           (20130624A) BP: major corrections in subentry 2.       1411800100020 
ENDBIB              18          0                                 1411800100021 
NOCOMMON             0          0                                 1411800100022 
ENDSUBENT           21          0                                 1411800199999 
SUBENT        14118002   20130716                             13921411800200001 
BIB                  7         14                                 1411800200002 
REACTION   (26-FE-0(N,X)0-G-0,PAR,DA,,4PI)                        1411800200003 
EXP-YEAR   (1994)                                                 1411800200004 
SAMPLE     Natural Fe sample                                      1411800200005 
METHOD     Neutron flux determined using fission ionization       1411800200006 
            chamber measurements of 238U and 235U.                1411800200007 
ERR-ANALYS (ERR-S) Statistical errors of the gamma-ray peak       1411800200008 
           analysis.                                              1411800200009 
STATUS     (TABLE) Data from authors.                             1411800200010 
           (COREL,13884002) Data from an earlier experiment.      1411800200011 
HISTORY    (20080710A) Reaction, data heading corrected.          1411800200012 
           (20090218A) OS. Reaction corrected with authors        1411800200013 
           agreement.                                             1411800200014 
           (20130612R) Data received from R.Nelson, reaction code 1411800200015 
           was changed.                                           1411800200016 
ENDBIB              14          0                                 1411800200017 
COMMON               2          3                                 1411800200018 
E          ANG                                                    1411800200019 
KEV        ADEG                                                   1411800200020 
847.       125.0                                                  1411800200021 
ENDCOMMON            3          0                                 1411800200022 
DATA                 4        208                                 1411800200023 
EN         EN-ERR     DATA       ERR-S                            1411800200024 
MEV        MEV        MB         MB                               1411800200025 
      4.025       0.05   1299.087   13.27417                      1411800200026 
      4.075       0.05   1272.860   12.93231                      1411800200027 
      4.125       0.05   1243.659   13.27105                      1411800200028 
      4.175       0.05   1157.131   13.30269                      1411800200029 
      4.225       0.05   1179.175   13.03299                      1411800200030 
      4.275       0.05   1172.170   13.56586                      1411800200031 
      4.325       0.05   1065.082   12.77560                      1411800200032 
      4.375       0.05   1029.882   12.68419                      1411800200033 
      4.425       0.05   1150.692   13.39154                      1411800200034 
      4.475       0.05   1244.395   13.76681                      1411800200035 
      4.525       0.05   1236.656   13.96600                      1411800200036 
      4.575       0.05   1276.163   14.11679                      1411800200037 
      4.625       0.05   1218.850   13.29967                      1411800200038 
      4.675       0.05   1266.735   13.41507                      1411800200039 
      4.725       0.05   1335.360   13.99504                      1411800200040 
      4.775       0.05   1306.780   14.10015                      1411800200041 
      4.825       0.05   1305.844   14.13931                      1411800200042 
      4.875       0.05   1308.306   14.02907                      1411800200043 
      4.925       0.05   1334.870   14.23674                      1411800200044 
      4.975       0.05   1358.642   14.51899                      1411800200045 
      5.025       0.05   1362.016   14.77045                      1411800200046 
      5.075       0.05   1242.468   14.63001                      1411800200047 
      5.125       0.05   1277.189   14.68040                      1411800200048 
      5.175       0.05   1330.435   15.13262                      1411800200049 
      5.225       0.05   1322.627   15.17053                      1411800200050 
      5.275       0.05   1321.074   14.97685                      1411800200051 
      5.325       0.05   1236.251   14.80918                      1411800200052 
      5.375       0.05   1378.993   15.52260                      1411800200053 
      5.425       0.05   1329.303   14.99455                      1411800200054 
      5.475       0.05   1394.947   16.00183                      1411800200055 
      5.525       0.05   1328.665   15.95987                      1411800200056 
      5.575       0.05   1316.502   16.13030                      1411800200057 
      5.625       0.05   1269.681   15.99870                      1411800200058 
      5.675       0.05   1239.012   15.27238                      1411800200059 
      5.725       0.05   1333.343   16.05673                      1411800200060 
      5.775       0.05   1286.459   15.62825                      1411800200061 
      5.825       0.05   1308.694   16.06634                      1411800200062 
      5.875       0.05   1327.513   16.26887                      1411800200063 
      5.925       0.05   1369.426   16.63615                      1411800200064 
      5.975       0.05   1404.423   17.07173                      1411800200065 
      6.025       0.05   1325.474   16.76499                      1411800200066 
      6.075       0.05   1302.952   16.45600                      1411800200067 
      6.125       0.05   1320.687   16.63885                      1411800200068 
      6.175       0.05   1321.357   16.83183                      1411800200069 
      6.225       0.05   1347.829   17.76941                      1411800200070 
      6.275       0.05   1319.537   17.21765                      1411800200071 
      6.325       0.05   1352.378   17.28605                      1411800200072 
      6.375       0.05   1322.628   17.12989                      1411800200073 
      6.425       0.05   1265.388   16.52641                      1411800200074 
      6.475       0.05   1281.863   16.94075                      1411800200075 
      6.525       0.05   1326.923   17.26824                      1411800200076 
      6.575       0.05   1307.648   17.05522                      1411800200077 
      6.625       0.05   1311.231   17.06285                      1411800200078 
      6.675       0.05   1319.130   17.39656                      1411800200079 
      6.725       0.05   1331.616   17.57465                      1411800200080 
      6.775       0.05   1203.050   17.00339                      1411800200081 
      6.825       0.05   1262.098   16.89553                      1411800200082 
      6.875       0.05   1283.892   17.16498                      1411800200083 
      6.925       0.05   1307.897   17.30736                      1411800200084 
      6.975       0.05   1282.452   17.67519                      1411800200085 
      7.025       0.05   1279.374   17.63767                      1411800200086 
      7.075       0.05   1297.879   17.91443                      1411800200087 
      7.125       0.05   1309.333   18.51062                      1411800200088 
      7.175       0.05   1246.681   18.03210                      1411800200089 
      7.225       0.05   1285.720   18.86759                      1411800200090 
      7.275       0.05   1351.794   20.18830                      1411800200091 
      7.325       0.05   1334.523   20.08442                      1411800200092 
      7.375       0.05   1265.155   19.64087                      1411800200093 
      7.425       0.05   1226.658   19.24553                      1411800200094 
      7.475       0.05   1263.098   19.72455                      1411800200095 
      7.525       0.05   1262.656   19.77351                      1411800200096 
      7.575       0.05   1277.903   19.95286                      1411800200097 
      7.625       0.05   1232.902   19.73717                      1411800200098 
      7.675       0.05   1273.056   20.63487                      1411800200099 
      7.725       0.05   1248.516   20.86229                      1411800200100 
      7.775       0.05   1221.050   20.92570                      1411800200101 
      7.825       0.05   1270.856   21.10758                      1411800200102 
      7.875       0.05   1234.921   20.65624                      1411800200103 
      7.925       0.05   1237.374   20.58802                      1411800200104 
      7.975       0.05   1250.956   20.60573                      1411800200105 
      8.025       0.05   1278.109   20.83853                      1411800200106 
      8.075       0.05   1234.985   20.78175                      1411800200107 
      8.125       0.05   1254.270   21.17581                      1411800200108 
      8.175       0.05   1290.819   21.45721                      1411800200109 
      8.225       0.05   1271.801   21.40660                      1411800200110 
      8.275       0.05   1226.843   21.20779                      1411800200111 
      8.325       0.05   1246.128   21.54838                      1411800200112 
      8.375       0.05   1217.872   21.16698                      1411800200113 
      8.425       0.05   1230.889   21.52126                      1411800200114 
      8.475       0.05   1273.323   22.19412                      1411800200115 
      8.525       0.05   1258.448   21.69315                      1411800200116 
      8.575       0.05   1174.925   21.30431                      1411800200117 
      8.625       0.05   1234.177   22.16956                      1411800200118 
      8.675       0.05   1201.098   21.83737                      1411800200119 
      8.725       0.05   1144.294   21.46595                      1411800200120 
      8.775       0.05   1279.284   22.61119                      1411800200121 
      8.825       0.05   1254.228   22.78944                      1411800200122 
      8.875       0.05   1244.346   22.55443                      1411800200123 
      8.925       0.05   1260.772   22.42840                      1411800200124 
      8.975       0.05   1208.900   22.60011                      1411800200125 
      9.025       0.05   1247.365   23.28641                      1411800200126 
      9.075       0.05   1234.279   22.94191                      1411800200127 
      9.125       0.05   1188.703   22.48901                      1411800200128 
      9.175       0.05   1196.311   22.90649                      1411800200129 
      9.225       0.05   1228.610   23.26997                      1411800200130 
      9.275       0.05   1254.920   23.68474                      1411800200131 
      9.325       0.05   1244.187   23.72938                      1411800200132 
      9.375       0.05   1228.095   23.64481                      1411800200133 
      9.425       0.05   1228.430   23.71829                      1411800200134 
      9.475       0.05   1222.377   23.94535                      1411800200135 
      9.525       0.05   1261.633   24.26472                      1411800200136 
      9.575       0.05   1259.637   24.43405                      1411800200137 
      9.625       0.05   1229.083   24.59923                      1411800200138 
      9.675       0.05   1258.393   24.84797                      1411800200139 
      9.725       0.05   1227.516   24.65087                      1411800200140 
      9.775       0.05   1179.186   24.51249                      1411800200141 
      9.825       0.05   1183.103   24.19705                      1411800200142 
      9.875       0.05   1194.832   24.44926                      1411800200143 
      9.925       0.05   1189.345   24.72842                      1411800200144 
      9.975       0.05   1250.235   25.99716                      1411800200145 
      10.05        0.1   1276.083   18.80301                      1411800200146 
      10.15        0.1   1210.742   18.24431                      1411800200147 
      10.25        0.1   1165.952   17.88728                      1411800200148 
      10.35        0.1   1205.449   18.65563                      1411800200149 
      10.45        0.1   1195.808   18.68087                      1411800200150 
      10.55        0.1   1118.107   18.04180                      1411800200151 
      10.65        0.1   1193.269   19.14997                      1411800200152 
      10.75        0.1   1153.171   18.93191                      1411800200153 
      10.85        0.1   1199.011   19.58220                      1411800200154 
      10.95        0.1   1179.732   19.24737                      1411800200155 
      11.05        0.1   1124.100   18.74895                      1411800200156 
      11.15        0.1   1153.687   19.61003                      1411800200157 
      11.25        0.1   1194.622   20.48470                      1411800200158 
      11.35        0.1   1222.546   20.76479                      1411800200159 
      11.45        0.1   1178.335   20.73380                      1411800200160 
      11.55        0.1   1174.502   21.04537                      1411800200161 
      11.65        0.1   1153.651   21.00696                      1411800200162 
      11.75        0.1   1195.172   21.33934                      1411800200163 
      11.85        0.1   1139.833   20.61743                      1411800200164 
      11.95        0.1   1146.652   21.49895                      1411800200165 
      12.05        0.1   1104.362   21.44822                      1411800200166 
      12.15        0.1   1138.498   21.60325                      1411800200167 
      12.25        0.1   1072.085   21.34036                      1411800200168 
      12.35        0.1   1126.622   21.86845                      1411800200169 
      12.45        0.1   1096.584   21.95422                      1411800200170 
      12.55        0.1   1078.673   22.26520                      1411800200171 
      12.65        0.1   1090.677   22.55122                      1411800200172 
      12.75        0.1   1050.617   22.35987                      1411800200173 
      12.85        0.1   1009.655   22.10011                      1411800200174 
      12.95        0.1    964.462   21.67844                      1411800200175 
      13.05        0.1    991.396   22.25732                      1411800200176 
      13.15        0.1    965.304   22.05365                      1411800200177 
      13.25        0.1    943.887   22.00586                      1411800200178 
      13.35        0.1    916.667   21.97733                      1411800200179 
      13.45        0.1    866.481   21.42053                      1411800200180 
      13.55        0.1    847.041   21.37989                      1411800200181 
      13.65        0.1    867.387   21.88637                      1411800200182 
      13.75        0.1    846.108   21.28839                      1411800200183 
      13.85        0.1    797.600   20.82506                      1411800200184 
      13.95        0.1    759.206   20.83328                      1411800200185 
      14.05        0.1    704.656   20.56186                      1411800200186 
      14.15        0.1    681.283   20.22162                      1411800200187 
      14.25        0.1    642.836   19.90761                      1411800200188 
      14.35        0.1    649.037   20.02162                      1411800200189 
      14.45        0.1    677.436   20.02919                      1411800200190 
      14.55        0.1    662.672   20.50858                      1411800200191 
      14.65        0.1    616.499   20.21538                      1411800200192 
      14.75        0.1    561.776   19.73909                      1411800200193 
      14.85        0.1    542.509   19.12694                      1411800200194 
      14.95        0.1    523.705   18.98597                      1411800200195 
      15.05        0.1    495.155   18.68868                      1411800200196 
      15.15        0.1    492.350   18.32680                      1411800200197 
      15.25        0.1    486.518   18.33005                      1411800200198 
      15.35        0.1    477.277   18.40951                      1411800200199 
      15.45        0.1    462.525   18.08987                      1411800200200 
      15.55        0.1    434.356   18.03840                      1411800200201 
      15.65        0.1    411.654   18.18854                      1411800200202 
      15.75        0.1    393.023   18.25315                      1411800200203 
      15.85        0.1    378.120   18.34538                      1411800200204 
      15.95        0.1    357.991   18.05329                      1411800200205 
     16.075       0.15    389.982   14.93894                      1411800200206 
     16.225       0.15    374.034   14.65598                      1411800200207 
     16.375       0.15    332.500   13.88052                      1411800200208 
     16.525       0.15    326.566   13.99137                      1411800200209 
     16.675       0.15    333.531   14.25503                      1411800200210 
     16.825       0.15    309.684   13.99088                      1411800200211 
     16.975       0.15    316.655   14.35662                      1411800200212 
     17.125       0.15    302.240   13.97647                      1411800200213 
     17.275       0.15    258.246   13.35463                      1411800200214 
     17.425       0.15    257.952   13.39306                      1411800200215 
     17.575       0.15    269.982   13.70205                      1411800200216 
     17.725       0.15    257.163   13.82145                      1411800200217 
     17.875       0.15    219.977   14.05819                      1411800200218 
     18.025       0.15    257.267   14.04746                      1411800200219 
     18.175       0.15    264.695   14.04388                      1411800200220 
     18.325       0.15    250.682   13.90879                      1411800200221 
     18.475       0.15    193.744   14.00786                      1411800200222 
     18.625       0.15    200.598   14.24345                      1411800200223 
     18.775       0.15    226.871   14.24546                      1411800200224 
     18.925       0.15    249.699   14.17645                      1411800200225 
     19.075       0.15    219.704   14.03370                      1411800200226 
     19.225       0.15    202.846   13.82854                      1411800200227 
     19.375       0.15    187.956   13.76073                      1411800200228 
     19.525       0.15    190.064   13.67425                      1411800200229 
     19.675       0.15    182.634   13.86920                      1411800200230 
     19.825       0.15    176.259   13.96132                      1411800200231 
     19.975       0.15    129.207   13.49569                      1411800200232 
     20.125       0.15    138.474   13.60402                      1411800200233 
ENDDATA            210          0                                 1411800200234 
ENDSUBENT          233          0                                 1411800299999 
SUBENT        14118003   20080710                             13491411800300001 
BIB                  7          9                                 1411800300002 
REACTION   (26-FE-0(N,X)26-FE-56,PAR,SIG,G)                       1411800300003 
EXP-YEAR   (1994)                                                 1411800300004 
SAMPLE     Natural Fe sample                                      1411800300005 
METHOD     Neutron flux determined using fission ionization       1411800300006 
            chamber measurements of 238U and 235U.                1411800300007 
ERR-ANALYS (DATA-ERR) No information                              1411800300008 
STATUS     (DEP,14118002)                                         1411800300009 
           (TABLE) Data taken from Table 2                        1411800300010 
HISTORY    (20080710A) Reaction corrected                         1411800300011 
ENDBIB               9          0                                 1411800300012 
NOCOMMON             0          0                                 1411800300013 
DATA                 4          1                                 1411800300014 
EN         E          DATA       DATA-ERR                         1411800300015 
MEV        KEV        MB         MB                               1411800300016 
14.5       847.       705.       56.                              1411800300017 
ENDDATA              3          0                                 1411800300018 
ENDSUBENT           17          0                                 1411800399999 
SUBENT        14118004   20090222                             13531411800400001 
BIB                  8         11                                 1411800400002 
REACTION   (26-FE-56(N,INL)26-FE-56,PAR,SIG,G,A)                  1411800400003 
EXP-YEAR   (1994)                                                 1411800400004 
SAMPLE     Natural Fe sample                                      1411800400005 
METHOD     Neutron flux determined using fission ionization       1411800400006 
            chamber measurements of 238U and 235U.                1411800400007 
ASSUMED    (ASSUM,26-FE-57(N,2N)26-FE-56,PAR,SIG,G,A)             1411800400008 
ERR-ANALYS (DATA-ERR) No information                              1411800400009 
STATUS     (DEP,14118003)                                         1411800400010 
           (TABLE) Data taken from Table 2                        1411800400011 
HISTORY    (20080710A) Reaction corrected, assumed value added.   1411800400012 
           (20090218A) OS. ASSUMED reaction corrected             1411800400013 
ENDBIB              11          0                                 1411800400014 
NOCOMMON             0          0                                 1411800400015 
DATA                 5          1                                 1411800400016 
EN         E          DATA       DATA-ERR   ASSUM                 1411800400017 
MEV        KEV        MB         MB         MB                    1411800400018 
14.5       847.       683.        57.        22.                  1411800400019 
ENDDATA              3          0                                 1411800400020 
ENDSUBENT           19          0                                 1411800499999 
SUBENT        14118005   20080710                             13491411800500001 
BIB                  6          8                                 1411800500002 
REACTION   (26-FE-56(N,INL)26-FE-56,PAR,SIG,G)                    1411800500003 
EXP-YEAR   (1994)                                                 1411800500004 
SAMPLE     Natural Fe sample                                      1411800500005 
METHOD     Neutron flux determined using fission ionization       1411800500006 
            chamber measurements of 238U and 235U.                1411800500007 
ERR-ANALYS (DATA-ERR) No information                              1411800500008 
STATUS     (DEP,14118004)                                         1411800500009 
           (TABLE) Data taken from Table 2                        1411800500010 
ENDBIB               8          0                                 1411800500011 
NOCOMMON             0          0                                 1411800500012 
DATA                 4          1                                 1411800500013 
EN         E          DATA       DATA-ERR                         1411800500014 
MEV        KEV        MB         MB                               1411800500015 
14.5       847.       744.       62.                              1411800500016 
ENDDATA              3          0                                 1411800500017 
ENDSUBENT           16          0                                 1411800599999 
SUBENT        14118006   20090222                             13531411800600001 
BIB                  6          7                                 1411800600002 
REACTION   (26-FE-0(N,X)26-FE-56,PAR,SIG,G)                       1411800600003 
SAMPLE     Relatively thin natural iron sample, 164 mg/cm**2.     1411800600004 
MONITOR    (24-CR-0(N,X)24-CR-52,PAR,SIG,G)                       1411800600005 
ERR-ANALYS (DATA-ERR) No information                              1411800600006 
STATUS     (TABLE) Data taken from Table 2                        1411800600007 
HISTORY    (20080710A) Reaction corrected                         1411800600008 
           (20090218A) OS. MONITOR reaction corrected             1411800600009 
ENDBIB               7          0                                 1411800600010 
COMMON               3          3                                 1411800600011 
E-NRM      MONIT      MONIT-ERR                                   1411800600012 
KEV        MB         MB                                          1411800600013 
1434.      695.        35.                                        1411800600014 
ENDCOMMON            3          0                                 1411800600015 
DATA                 4          1                                 1411800600016 
EN         E          DATA       DATA-ERR                         1411800600017 
MEV        KEV        MB         MB                               1411800600018 
14.5       847.       684.        45.                             1411800600019 
ENDDATA              3          0                                 1411800600020 
ENDSUBENT           19          0                                 1411800699999 
SUBENT        14118007   20090222                             13531411800700001 
BIB                  6          8                                 1411800700002 
REACTION   (26-FE-56(N,INL)26-FE-56,PAR,SIG,G,A)                  1411800700003 
SAMPLE     Relatively thin natural iron sample, 164 mg/cm**2.     1411800700004 
ASSUMED    (ASSUM,26-FE-57(N,2N)26-FE-56,PAR,SIG,G,A)             1411800700005 
ERR-ANALYS (DATA-ERR) No information                              1411800700006 
STATUS     (DEP,14118006)                                         1411800700007 
           (TABLE) Data taken from Table 2                        1411800700008 
HISTORY    (20080710A) Reaction corrected, assumed value added.   1411800700009 
           (20090218A) OS. ASSUMED reaction corrected             1411800700010 
ENDBIB               8          0                                 1411800700011 
NOCOMMON             0          0                                 1411800700012 
DATA                 5          1                                 1411800700013 
EN         E          DATA       DATA-ERR   ASSUM                 1411800700014 
MEV        KEV        MB         MB         MB                    1411800700015 
14.5       847.       669.        46.        22.                  1411800700016 
ENDDATA              3          0                                 1411800700017 
ENDSUBENT           16          0                                 1411800799999 
SUBENT        14118008   20080710                             13491411800800001 
BIB                  4          5                                 1411800800002 
REACTION   (26-FE-56(N,INL)26-FE-56,PAR,SIG,G)                    1411800800003 
SAMPLE     Relatively thin natural iron sample, 164 mg/cm**2.     1411800800004 
ERR-ANALYS (DATA-ERR) No information                              1411800800005 
STATUS     (DEP,14118007)                                         1411800800006 
           (TABLE) Data taken from Table 2                        1411800800007 
ENDBIB               5          0                                 1411800800008 
NOCOMMON             0          0                                 1411800800009 
DATA                 4          1                                 1411800800010 
EN         E          DATA       DATA-ERR                         1411800800011 
MEV        KEV        MB         MB                               1411800800012 
14.5       847.       730.       50.                              1411800800013 
ENDDATA              3          0                                 1411800800014 
ENDSUBENT           13          0                                 1411800899999 
ENDENTRY             8          0                                 1411899999999 
