ENTRY            14345   20121002                             13861434500000001 
SUBENT        14345001   20121002                             13861434500100001 
BIB                 11         40                                 1434500100002 
TITLE      Neutron scattering from 28Si and 32S from 8.0 to 18.9  1434500100003 
           MeV, dispersive optical model analyses, and            1434500100004 
           ground-state correlations                              1434500100005 
AUTHOR     (M.A.Al-Ohali,J.P.Delaroche,C.R.Howell,M.M.Nagadi,     1434500100006 
           A.A.Naqvi,W.Tornow,R.L.Walter,G.J.Weisel)              1434500100007 
INSTITUTE  (2FR BRC,1USATNL,3SARDHA)                              1434500100008 
           (1USAUSA) Penn State Altoona, Altoona, Pennsylvania    1434500100009 
REFERENCE  (J,PR/C,86,034603,2012)                                1434500100010 
FACILITY   (VDGT,1USATNL) Experiment performed using FN Tandem    1434500100011 
           Van de Graaff accelerator at Triangle Universities     1434500100012 
           Nuclear Laboratory                                     1434500100013 
DETECTOR   (SCIN) Scattered neutrons were detected using the      1434500100014 
           TUNL TOF spectrometer, which includes four             1434500100015 
           cylindrical detectors, either NE-213 or NE-218 liquid  1434500100016 
           organic scintillators coupled to photomultiplier       1434500100017 
           tubes. Two side detectors were located in the          1434500100018 
           horizontal plane to the right and left of the          1434500100019 
           incident beam axis. The right detector has a diameter  1434500100020 
           of 8.88 cm, and a thickness of 5.08 cm and was set at  1434500100021 
           distances from the target ranging from 2.5 to 3.9 m.   1434500100022 
           The left detector has a diameter of 12.7 cm and a      1434500100023 
           thickness of 5.08 cm and was set at distances ranging  1434500100024 
           from 3.8 to 5.7 m. Two additional scintillation        1434500100025 
           detectors were used for flux monitoring purposes.      1434500100026 
METHOD     (TOF) Neutron energy was determined by time of flight  1434500100027 
INC-SOURCE (D-D) Neutrons were produced via the 2H(d,n)3He        1434500100028 
           reaction at 0deg. The gas cell was a cylindrical tube  1434500100029 
           of stainless steel 0.80 cm in diameter and 3.16 cm     1434500100030 
           long, lined with tantalum. On the beam-entrance side,  1434500100031 
           the gas was contained with a 6.35 mu-m thick Havar     1434500100032 
           foil. The gas pressures depended on the incident       1434500100033 
           neutron energy. As a typical example, for En =         1434500100034 
           15.4 MeV, pressure of 4.0 atm was used, resulting in   1434500100035 
           a beam energy spread of 160 keV.                       1434500100036 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) Elastic scattering on proton    1434500100037 
           was used as monitor. Two samples CH2 and C were used   1434500100038 
           to obtain net monitor counts by subtracting C spectra  1434500100039 
           from CH2 spectra                                       1434500100040 
ERR-ANALYS (ERR-T) Total uncertainty                              1434500100041 
HISTORY    (20121002C) Compiled by S.H.                           1434500100042 
ENDBIB              40          0                                 1434500100043 
NOCOMMON             0          0                                 1434500100044 
ENDSUBENT           43          0                                 1434500199999 
SUBENT        14345002   20121002                             13861434500200001 
BIB                  6         20                                 1434500200002 
REACTION   (14-SI-28(N,EL)14-SI-28,,DA)                           1434500200003 
STATUS     (TABLE) Data presented in fig. 1 of the reference sent 1434500200004 
                   by author (G.J.W.)                             1434500200005 
SAMPLE     The natural 28Si sample (92.55% natural abundance)     1434500200006 
           with a radius of 1.176 cm, and a height of 2.528 cm    1434500200007 
ERR-ANALYS (ERR-S,1.5,6.0) Statistical uncertainty and background 1434500200008 
                            determination                         1434500200009 
           (ERR-1) Relative uncertainty in detection efficiency   1434500200010 
           (ERR-2,0.8,1.0) Relative uncertainty in finite         1434500200011 
                            geometry  correction                  1434500200012 
           (ERR-3,0.5,1.0) Absolute uncertainty in n-p yield      1434500200013 
           (ERR-4) Uncertainty in n-p cross section               1434500200014 
           (ERR-5,0.8,1.0) Absolute uncertainty in ratio of       1434500200015 
                           number of sample to monitor nuclei     1434500200016 
           (ERR-6) Absolute uncertainty in correction factor      1434500200017 
                  accounting for detection efficiency and finite  1434500200018 
                  geometry effects                                1434500200019 
CORRECTION Data corrected for finite geometry effects and         1434500200020 
           detector efficiency                                    1434500200021 
EXP-YEAR   (1993)                                                 1434500200022 
ENDBIB              20          0                                 1434500200023 
COMMON               3          3                                 1434500200024 
ERR-1      ERR-4      ERR-6                                       1434500200025 
PER-CENT   PER-CENT   PER-CENT                                    1434500200026 
2.5        2.0        2.2                                         1434500200027 
ENDCOMMON            3          0                                 1434500200028 
DATA                 4         73                                 1434500200029 
EN         ANG-CM     DATA-CM    ERR-T                            1434500200030 
MEV        ADEG       MB/SR      MB/SR                            1434500200031 
      15.43      18.10     663.13      11.68                      1434500200032 
      15.43      20.90     552.18      16.22                      1434500200033 
      15.43      23.70     374.53       8.55                      1434500200034 
      15.43      26.40     286.98      10.51                      1434500200035 
      15.43      29.20     172.66       6.41                      1434500200036 
      15.43      31.90     106.34       4.22                      1434500200037 
      15.43      34.70      62.48       1.85                      1434500200038 
      15.43      43.30       8.61       0.56                      1434500200039 
      15.43      48.00      18.94       1.12                      1434500200040 
      15.43      51.10      31.97       1.21                      1434500200041 
      15.43      54.60      46.83       1.29                      1434500200042 
      15.43      58.20      57.76       0.66                      1434500200043 
      15.43      61.80      58.51       1.15                      1434500200044 
      15.43      66.40      54.38       0.91                      1434500200045 
      15.43      71.20      46.61       1.14                      1434500200046 
      15.43      76.10      31.19       0.96                      1434500200047 
      15.43      81.00      23.80       0.68                      1434500200048 
      15.43      86.00      15.35       0.34                      1434500200049 
      15.43      91.40       9.88       0.26                      1434500200050 
      15.43      96.90       9.30       0.22                      1434500200051 
      15.43     102.10      10.17       0.12                      1434500200052 
      15.43     107.00      11.29       0.25                      1434500200053 
      15.43     111.80      11.96       0.25                      1434500200054 
      15.43     116.60      12.10       0.18                      1434500200055 
      15.43     121.40      10.88       0.25                      1434500200056 
      15.43     126.10      10.03       0.33                      1434500200057 
      15.43     130.90       8.33       0.15                      1434500200058 
      15.43     135.80       6.22       0.20                      1434500200059 
      15.43     140.80       5.60       0.19                      1434500200060 
      15.43     145.70       4.90       0.10                      1434500200061 
      15.43     150.60       4.43       0.15                      1434500200062 
      15.43     155.60       4.30       0.10                      1434500200063 
      15.43     160.40       4.70       0.10                      1434500200064 
      18.90      17.90     891.80      22.74                      1434500200065 
      18.90      20.70     655.82      15.54                      1434500200066 
      18.90      21.60     603.17      19.21                      1434500200067 
      18.90      24.40     405.06      12.55                      1434500200068 
      18.90      28.10     231.02       9.00                      1434500200069 
      18.90      30.90     132.31       5.74                      1434500200070 
      18.90      34.20      60.83       1.89                      1434500200071 
      18.90      40.00      23.29       0.79                      1434500200072 
      18.90      45.40      38.51       1.33                      1434500200073 
      18.90      49.40      58.15       1.04                      1434500200074 
      18.90      53.10      70.23       0.86                      1434500200075 
      18.90      56.80      77.71       0.99                      1434500200076 
      18.90      60.50      75.50       1.19                      1434500200077 
      18.90      64.20      65.38       1.10                      1434500200078 
      18.90      67.00      58.30       1.14                      1434500200079 
      18.90      69.90      47.36       1.15                      1434500200080 
      18.90      73.70      31.29       0.78                      1434500200081 
      18.90      77.80      19.59       0.47                      1434500200082 
      18.90      81.90      14.07       0.28                      1434500200083 
      18.90      86.70      11.65       0.23                      1434500200084 
      18.90      90.90      11.12       0.23                      1434500200085 
      18.90      95.00      12.06       0.25                      1434500200086 
      18.90      98.90      12.99       0.24                      1434500200087 
      18.90     102.80      12.95       0.24                      1434500200088 
      18.90     106.60      12.23       0.22                      1434500200089 
      18.90     109.40      10.97       0.19                      1434500200090 
      18.90     114.20      10.24       0.31                      1434500200091 
      18.90     118.10       7.87       0.24                      1434500200092 
      18.90     121.00       6.36       0.18                      1434500200093 
      18.90     123.00       6.10       0.16                      1434500200094 
      18.90     127.10       4.98       0.10                      1434500200095 
      18.90     131.30       4.77       0.11                      1434500200096 
      18.90     135.30       4.56       0.14                      1434500200097 
      18.90     139.10       4.94       0.14                      1434500200098 
      18.90     142.80       4.77       0.14                      1434500200099 
      18.90     145.80       4.33       0.14                      1434500200100 
      18.90     148.70       4.10       0.14                      1434500200101 
      18.90     152.40       3.24       0.11                      1434500200102 
      18.90     156.50       3.29       0.10                      1434500200103 
      18.90     160.40       3.47       0.10                      1434500200104 
ENDDATA             75          0                                 1434500200105 
ENDSUBENT          104          0                                 1434500299999 
SUBENT        14345003   20121002                             13861434500300001 
BIB                  7         19                                 1434500300002 
REACTION   (14-SI-28(N,EL)14-SI-28,,POL/DA,,ANA)                  1434500300003 
STATUS     (TABLE) Data presented in fig. 3 of the reference sent 1434500300004 
                   by author (G.J.W.)                             1434500300005 
SAMPLE     The natural 28Si sample (92.55% natural abundance)     1434500300006 
