ENTRY            14483   20171201                             143814483  0    1 
SUBENT        14483001   20171201                             143814483  1    1 
BIB                 10         31                                 14483  1    2 
TITLE      A new measurement of the 6Li(n,alpha)t cross section   14483  1    3 
           at MeV energies using a 252Cf fission chamber and 6Li  14483  1    4 
           scintillators                                          14483  1    5 
AUTHOR     (L.E.Kirsch,M.Devlin,S.M.Mosby,J.A.Gomez)              14483  1    6 
INSTITUTE  (1USAUCX,1USALAS)                                      14483  1    7 
REFERENCE  (J,NIM/A,874,57,2017)                                  14483  1    8 
SAMPLE     Cs2LiYCl6:Ce scintillators (CLYC)enriched in 6-Li and  14483  1    9 
           6LiI(Eu) enriched in 6Li were used as active samples.  14483  1   10 
DETECTOR   (SCIN) Scintillation detectors with scintillators      14483  1   11 
           6-LiI(Eu) 25 mm in diameter by 3 mm in thickness       14483  1   12 
           at a distance of 125 cm from the fission chamber       14483  1   13 
           and a C6-LYC with 25.4 mm diameter and 10 mm thickness 14483  1   14 
           were used as active targets.                           14483  1   15 
METHOD     (TOF,PSD)  Cf252 fission source was located at         14483  1   16 
           the electrode of the fission chamber and was used as   14483  1   17 
           neutron source.  Fission fragments recoil through an   14483  1   18 
           electrically biased gas cell and produce a timing      14483  1   19 
           signal. Neutron energy was determined by time of       14483  1   20 
           flight.                                                14483  1   21 
INC-SOURCE (CF252) Roughly 0.345 mu-g of Cf252 with 3.76 prompt   14483  1   22 
           neutrons per fission. The fission fragments emit total 14483  1   23 
           of approximately 795,000 neutrons per second.          14483  1   24 
CORRECTION Several corrections were made. Their systematic        14483  1   25 
           uncertainties are given as fractions of the calculated 14483  1   26 
           correction:                                            14483  1   27 
           - room scattered neutrons                  0.5%        14483  1   28 
           - neutron scattering in fission chamber    25%         14483  1   29 
           - neutron downscatter into the detector    33%         14483  1   30 
           - loss of high energy alphas and tritons               14483  1   31 
             from detector faces                      25%         14483  1   32 
HISTORY    (20171201C) Compiled by S.H.                           14483  1   33 
ENDBIB              31          0                                 14483  1   34 
NOCOMMON             0          0                                 14483  1   35 
ENDSUBENT           34          0                                 14483  199999 
SUBENT        14483002   20171201                             143814483  2    1 
BIB                  3          4                                 14483  2    2 
REACTION   (3-LI-6(N,T)2-HE-4,,SIG)                               14483  2    3 
STATUS     (TABLE) Data taken from table 2 of the reference       14483  2    4 
ERR-ANALYS (ERR-1) Absolute normalization                         14483  2    5 
           (ERR-T) Total uncertainty                              14483  2    6 
ENDBIB               4          0                                 14483  2    7 
COMMON               1          3                                 14483  2    8 
ERR-1                                                             14483  2    9 
PER-CENT                                                          14483  2   10 
3.6                                                               14483  2   11 
ENDCOMMON            3          0                                 14483  2   12 
DATA                 4         47                                 14483  2   13 
EN         EN-RSL     DATA       ERR-T                            14483  2   14 
MEV        MEV        B          B                                14483  2   15 
       0.24     0.0047       3.12       0.23                      14483  2   16 
       0.28     0.0058       1.95       0.18                      14483  2   17 
       0.33     0.0070      0.961       0.12                      14483  2   18 
       0.38     0.0086      0.613      0.077                      14483  2   19 
       0.43       0.01      0.498      0.064                      14483  2   20 
       0.48      0.012      0.419      0.044                      14483  2   21 
       0.53      0.013       0.33      0.035                      14483  2   22 
       0.58      0.015      0.299      0.032                      14483  2   23 
       0.63      0.016      0.277      0.029                      14483  2   24 
       0.68      0.018      0.293       0.03                      14483  2   25 
       0.73      0.019      0.249      0.026                      14483  2   26 
       0.78      0.023      0.289      0.029                      14483  2   27 
       0.83      0.023      0.241      0.025                      14483  2   28 
       0.88      0.025      0.245      0.026                      14483  2   29 
       0.93      0.029      0.235      0.025                      14483  2   30 
     1.0025       0.03      0.225      0.022                      14483  2   31 
        1.1      0.033      0.228      0.021                      14483  2   32 
        1.2      0.037      0.216      0.019                      14483  2   33 
        1.3       0.04      0.228       0.02                      14483  2   34 
        1.4      0.046      0.233       0.02                      14483  2   35 
        1.5      0.049      0.218      0.019                      14483  2   36 
        1.6       0.05      0.225      0.019                      14483  2   37 
        1.7      0.057      0.218      0.019                      14483  2   38 
        1.8      0.057      0.213      0.018                      14483  2   39 
        1.9      0.064      0.234       0.02                      14483  2   40 
       2.05      0.068       0.21      0.016                      14483  2   41 
       2.25      0.081      0.212      0.016                      14483  2   42 
       2.45      0.084      0.183      0.014                      14483  2   43 
       2.65      0.094      0.181      0.015                      14483  2   44 
       2.85       0.11      0.151      0.013                      14483  2   45 
        3.1       0.11       0.14      0.012                      14483  2   46 
        3.4       0.12      0.129      0.011                      14483  2   47 
        3.7       0.21      0.112       0.01                      14483  2   48 
         4.       0.15     0.0988     0.0088                      14483  2   49 
        4.3       0.16     0.0964     0.0089                      14483  2   50 
        4.6       0.18     0.0981     0.0094                      14483  2   51 
        4.9       0.18     0.0781     0.0084                      14483  2   52 
        5.3       0.21     0.0662     0.0069                      14483  2   53 
        5.8       0.25     0.0533     0.0066                      14483  2   54 
        6.3       0.27     0.0434     0.0064                      14483  2   55 
        6.8       0.23     0.0445     0.0073                      14483  2   56 
        7.3       0.37     0.0369     0.0075                      14483  2   57 
        7.8       0.36     0.0495       0.01                      14483  2   58 
        8.3       0.41     0.0431      0.011                      14483  2   59 
        8.8       0.42      0.038      0.012                      14483  2   60 
        9.3       0.41     0.0143     0.0085                      14483  2   61 
        9.8       0.42     0.0265      0.013                      14483  2   62 
ENDDATA             49          0                                 14483  2   63 
ENDSUBENT           62          0                                 14483  299999 
ENDENTRY             2          0                                 1448399999999 
