ENTRY            20943   20190722                             22812094300000001 
SUBENT        20943001   20190722                             22812094300100001 
BIB                 16         51                                 2094300100002 
TITLE      The 235U and 238U neutron induced fission cross        2094300100003 
            sections relative to the H(n,p) cross section         2094300100004 
AUTHOR     (B.Leugers, S.Cierjacks, P.Brotz, D.Erbe, D.Groeschel, 2094300100005 
            G.Schmalz, F.Voss)                                    2094300100006 
INSTITUTE  (2GERKFK)                                              2094300100007 
REFERENCE  (C,76ANL,,246,1976)                                    2094300100008 
FACILITY   (ISOCY,2GERKFK)                                        2094300100009 
INC-SOURCE Pulesed neutrons by 50 MeV deuterons on Uranium        2094300100010 
SAMPLE     Uranium foils (~400 ug/cm2 thick, 7 cm diameter).      2094300100011 
           235U sample: 1.080% 234U, 93.331% 235U,                2094300100012 
                        0.202% 236U, 5.387% 238U                  2094300100013 
           238U sample: 235U/238U composition ratio=0.0001755     2094300100014 
METHOD     (TOF) 57 m flight path                                 2094300100015 
DETECTOR   (SCIN)  9 gas scintillation chambers for fission       2094300100016 
            fragment detection                                    2094300100017 
           (TELES) Proton recoil detector for neutron flux        2094300100018 
            measurements.                                         2094300100019 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG) No data given.                 2094300100020 
COMMENT    .The relative cross sections have been normalized at   2094300100021 
            14 MeV neutron energy.                                2094300100022 
REL-REF    (N,20409001,CIERJACKS+,C,76ANL,,94,197606) Same        2094300100023 
            experiment.                                           2094300100024 
STATUS     .Data taken from tables in reference.                  2094300100025 
CORRECTION .As sources for correction the following effects have  2094300100026 
            been considered , time dependent and independent      2094300100027 
            background, energy dependent detectors efficiency,    2094300100028 
            electronic threshold and dead time, sample mass and   2094300100029 
            isotopic composition and flux detector threshold.     2094300100030 
ERR-ANALYS (ERR-S) Statistical uncertainty including              2094300100031 
                   - contributions from background subtraction,   2094300100032 
                   - isotopic corrections for U-238.              2094300100033 
           (ERR-SYS) Total systematic error including             2094300100034 
                   - energy dependent time dependent background,  2094300100035 
                   - energy dependent detector efficiency.        2094300100036 
            There is also a 1% contribution from dead time and    2094300100037 
             electronic losses.                                   2094300100038 
            Sample mass and isotopic composition gives negligible 2094300100039 
             errors.                                              2094300100040 
            The largest contribution is from neutron flux         2094300100041 
             measurement including the relative efficiencies for  2094300100042 
             proton detection in the                              2094300100043 
              - fission counters,                                 2094300100044 
              - (n,p) cross section (2%),                         2094300100045 
              - flux measurement itself (1-2%)                    2094300100046 
HISTORY    (19790503C) CN.                                        2094300100047 
           (19790626E)                                            2094300100048 
           (19801119A) ERR-ANALYS changed                         2094300100049 
           (19801204E)                                            2094300100050 
           (20071218A) Date is corrected                          2094300100051 
           (20071218U) ERR-1 changed to ERR-SYS                   2094300100052 
           (20190722A) On. Major revisions in 002 and 003.        2094300100053 
ENDBIB              51          0                                 2094300100054 
NOCOMMON             0          0                                 2094300100055 
ENDSUBENT           54          0                                 2094300199999 
SUBENT        20943002   20190722                             22812094300200001 
BIB                  4          4                                 2094300200002 
REACTION   (92-U-235(N,F),,SIG)                                   2094300200003 
MONITOR    (92-U-235(N,F),,SIG)                                   2094300200004 
STATUS     (TABLE) Table I of C,76ANL,,246,1976                   2094300200005 
HISTORY    (20190722A) On. MONIT added.                           2094300200006 
ENDBIB               4          0                                 2094300200007 
COMMON               2          3                                 2094300200008 
EN-NRM     MONIT                                                  2094300200009 
MEV        B                                                      2094300200010 
 14.        2.136                                                 2094300200011 
ENDCOMMON            3          0                                 2094300200012 
DATA                 4        144                                 2094300200013 
EN         DATA       ERR-S      ERR-SYS                          2094300200014 
MEV        B          PER-CENT   PER-CENT                         2094300200015 
 20.075     1.947      1.1        8.0                             2094300200016 
 19.641     1.947      1.1        8.0                             2094300200017 
 19.221     2.026      1.0        7.5                             2094300200018 
 18.814     2.079      1.0        7.5                             2094300200019 
 18.420     2.119      1.0        7.0                             2094300200020 
 18.039     2.158      1.0        7.0                             2094300200021 
 17.670     2.167      1.0        6.5                             2094300200022 
 17.311     2.164      1.0        6.5                             2094300200023 
 16.964     2.211      1.0        6.5                             2094300200024 
 16.627     2.221      1.0        6.0                             2094300200025 
 16.301     2.220      1.0        6.0                             2094300200026 
 15.983     2.312      0.9        6.0                             2094300200027 
 15.675     2.276      1.0        5.5                             2094300200028 
 15.376     2.274      1.0        5.5                             2094300200029 
 15.086     2.242      1.0        5.5                             2094300200030 
 14.803     2.213      1.0        5.0                             2094300200031 
 14.529     2.186      1.0        5.0                             2094300200032 
 14.262     2.100      1.0        5.0                             2094300200033 
 14.003     2.136      1.0        4.0                             2094300200034 
 13.750     2.130      1.1        4.0                             2094300200035 
 13.505     2.040      1.1        4.0                             2094300200036 
 13.266     2.013      1.1        4.0                             2094300200037 
 13.033     1.954      1.2        4.0                             2094300200038 
 12.807     1.924      1.2        4.0                             2094300200039 
 12.586     1.822      1.2        4.0                             2094300200040 
 12.371     1.795      1.3        4.0                             2094300200041 
 12.161     1.763      1.3        4.0                             2094300200042 
 12.038     1.773      2.1        4.0                             2094300200043 
 11.957     1.759      1.7        4.0                             2094300200044 
 11.837     1.669      2.2        4.0                             2094300200045 
 11.758     1.719      1.8        4.0                             2094300200046 
 11.641     1.748      1.8        4.0                             2094300200047 
 11.526     1.759      2.2        4.0                             2094300200048 
 11.450     1.740      1.8        4.0                             2094300200049 
 11.337     1.723      1.8        4.0                             2094300200050 
 11.227     1.698      2.3        4.0                             2094300200051 
 11.154     1.705      1.9        4.0                             2094300200052 
 11.046     1.720      1.9        4.0                             2094300200053 
 10.939     1.723      1.9        4.0                             2094300200054 
 10.834     1.670      2.4        4.0                             2094300200055 
 10.765     1.741      1.9        4.0                             2094300200056 
 10.663     1.688      2.0        4.0                             2094300200057 
 10.562     1.675      2.0        4.0                             2094300200058 
 10.462     1.712      2.0        4.0                             2094300200059 
 10.364     1.722      2.0        4.0                             2094300200060 
 10.235     1.739      1.8        4.0                             2094300200061 
 10.140     1.746      2.1        4.0                             2094300200062 
 10.046     1.700      2.1        4.0                             2094300200063 
  9.954     1.726      2.1        4.0                             2094300200064 
  9.833     1.718      1.9        4.0                             2094300200065 
  9.743     1.717      2.2        4.0                             2094300200066 
  9.655     1.738      2.2        4.0                             2094300200067 
  9.539     1.741      1.9        4.0                             2094300200068 
  9.454     1.806      2.2        4.0                             2094300200069 
  9.342     1.735      2.0        4.0                             2094300200070 
  9.232     1.697      2.0        4.0                             2094300200071 
  9.150     1.731      2.3        4.0                             2094300200072 
  9.044     1.706      2.1        4.0                             2094300200073 
  8.939     1.741      2.1        4.0                             2094300200074 
  8.836     1.791      2.1        4.0                             2094300200075 
  8.734     1.751      2.1        4.0                             2094300200076 
  8.635     1.819      2.1        4.0                             2094300200077 
  8.537     1.724      2.2        4.0                             2094300200078 
  8.441     1.750      2.2        4.0                             2094300200079 
  8.346     1.717      2.3        4.0                             2094300200080 
  8.253     1.774      2.0        4.0                             2094300200081 
  8.139     1.745      2.3        4.0                             2094300200082 
  8.050     1.630      2.2        4.0                             2094300200083 
