ENTRY            22757   20110714                             22292275700000001 
SUBENT        22757001   20110714                             22292275700100001 
BIB                 12         21                                 2275700100002 
TITLE      High-energy gamma-rays accompanying the spontaneous    2275700100003 
            fission of 252Cf                                      2275700100004 
AUTHOR     (A.Hotzel, P.Thirolf, Ch.Ender, D.Schwalm, M.Mutterer, 2275700100005 
            P.Singer, M.Klemens, J.P.Theobald, M.Hesse,           2275700100006 
            F.Goennenwein, H.v.d.Ploeg)                           2275700100007 
INSTITUTE  (2GERMPH,2GERHEI,2GERTHD,2GERTUE,2FR PAR)              2275700100008 
REFERENCE  (J,ZP/A,356,299,1996)                                  2275700100009 
SAMPLE     Cf-252 source 5 mm in diam. and fission activity of    2275700100010 
            400/s, mounted on thin backing (30 ug/cm2 Al2O3, with 2275700100011 
            10 ug/cm2 Au evaporated onto both sides)              2275700100012 
DETECTOR   (D4PI,IOCH) 4pi-detector                               2275700100013 
           (D4PI,NAICR) 4pi-detector made of 162 NaI-scintillator 2275700100014 
            crystals, Darmstadt-Heidelberg Crystal Ball           2275700100015 
PART-DET   (FF,G)                                                 2275700100016 
METHOD     (COINC) Coincidence measurement of fission fragment    2275700100017 
            and gamma-ray                                         2275700100018 
CORRECTION - gamma-neutron and gamma-gamma summing                2275700100019 
           - NaI detector efficiency with response matrix by GEANT2275700100020 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty     2275700100021 
STATUS     (APRVD) Peter Thirolf (2011-07-15)                     2275700100022 
HISTORY    (20110714C) On                                         2275700100023 
ENDBIB              21          0                                 2275700100024 
NOCOMMON             0          0                                 2275700100025 
ENDSUBENT           24          0                                 2275700199999 
SUBENT        22757002   20110714                             22292275700200001 
BIB                  2          2                                 2275700200002 
REACTION   (98-CF-252(0,F)MASS,PRE,FY/DE,G)                       2275700200003 
STATUS     (CURVE) Fig.11 of Z.Phys.A356(1996)299                 2275700200004 
ENDBIB               2          0                                 2275700200005 
NOCOMMON             0          0                                 2275700200006 
DATA                 6        162                                 2275700200007 
MASS-MIN   MASS-MAX   E-MIN      E-MAX      DATA       DATA-ERR   2275700200008 
NO-DIM     NO-DIM     MEV        MEV        PT/FIS/MEV PT/FIS/MEV 2275700200009 
 90.        94.        1.0        1.5           2.6E+00           2275700200010 
 90.        94.        1.5        2.0           1.2E+00           2275700200011 
 90.        94.        2.0        2.5           8.2E-01           2275700200012 
 90.        94.        2.5        3.0           5.8E-01           2275700200013 
 90.        94.        3.0        3.5           3.6E-01           2275700200014 
 90.        94.        3.5        4.0           1.9E-01           2275700200015 
 90.        94.        4.0        4.5           9.6E-02           2275700200016 
 90.        94.        4.5        5.0           5.6E-02           2275700200017 
 90.        94.        5.0        5.5           3.0E-02           2275700200018 
 90.        94.        5.5        6.0           1.1E-02           2275700200019 
 90.        94.        6.0        6.5           8.8E-03           2275700200020 
 90.        94.        6.5        7.0           4.6E-03    7.4E-042275700200021 
 90.        94.        7.0        7.5           2.2E-03    5.4E-042275700200022 
 90.        94.        7.5        8.0           1.1E-03    4.0E-042275700200023 
 90.        94.        8.0        8.5           6.2E-04    3.2E-042275700200024 
 90.        94.        8.5        9.0           6.0E-04    3.0E-042275700200025 
 90.        94.        9.0        9.5           3.8E-04    3.0E-042275700200026 
 90.        94.        9.5       10.0           1.5E-04    2.0E-042275700200027 
 94.        98.        1.0        1.5           2.4E+00           2275700200028 
 94.        98.        1.5        2.0           1.2E+00           2275700200029 
 94.        98.        2.0        2.5           9.0E-01           2275700200030 
 94.        98.        2.5        3.0           6.2E-01           2275700200031 
 94.        98.        3.0        3.5           3.8E-01           2275700200032 
 94.        98.        3.5        4.0           2.0E-01           2275700200033 
 94.        98.        4.0        4.5           1.0E-01           2275700200034 
 94.        98.        4.5        5.0           5.2E-02           2275700200035 
 94.        98.        5.0        5.5           2.6E-02           2275700200036 
 94.        98.        5.5        6.0           1.4E-02           2275700200037 
 94.        98.        6.0        6.5           7.2E-03           2275700200038 
 94.        98.        6.5        7.0           4.4E-03           2275700200039 
 94.        98.        7.0        7.5           2.2E-03           2275700200040 
 94.        98.        7.5        8.0           7.2E-04    2.4E-042275700200041 
 94.        98.        8.0        8.5           6.8E-04    2.0E-042275700200042 
 94.        98.        8.5        9.0           5.0E-04    1.7E-042275700200043 
 94.        98.        9.0        9.5           2.4E-04    1.2E-042275700200044 
 94.        98.        9.5       10.0           1.2E-04    1.0E-042275700200045 
 98.       102.        1.0        1.5           1.9E+00           2275700200046 
 98.       102.        1.5        2.0           1.2E+00           2275700200047 
 98.       102.        2.0        2.5           9.0E-01           2275700200048 
 98.       102.        2.5        3.0           6.2E-01           2275700200049 
 98.       102.        3.0        3.5           3.8E-01           2275700200050 
 98.       102.        3.5        4.0           2.2E-01           2275700200051 
 98.       102.        4.0        4.5           1.1E-01           2275700200052 
 98.       102.        4.5        5.0           5.6E-02           2275700200053 
 98.       102.        5.0        5.5           2.6E-02           2275700200054 
 98.       102.        5.5        6.0           1.4E-02           2275700200055 
 98.       102.        6.0        6.5           6.8E-03           2275700200056 
 98.       102.        6.5        7.0           3.6E-03           2275700200057 
 98.       102.        7.0        7.5           1.6E-03           2275700200058 
 98.       102.        7.5        8.0           7.8E-04    1.4E-042275700200059 
 98.       102.        8.0        8.5           6.8E-04    1.2E-042275700200060 
 98.       102.        8.5        9.0           5.6E-04    9.8E-052275700200061 
 98.       102.        9.0        9.5           5.2E-05    3.6E-052275700200062 
 98.       102.        9.5       10.0           5.4E-05    3.6E-052275700200063 
102.       106.        1.0        1.5           1.7E+00           2275700200064 
102.       106.        1.5        2.0           1.1E+00           2275700200065 
102.       106.        2.0        2.5           8.2E-01           2275700200066 
102.       106.        2.5        3.0           5.4E-01           2275700200067 
102.       106.        3.0        3.5           3.4E-01           2275700200068 
102.       106.        3.5        4.0           2.0E-01           2275700200069 
102.       106.        4.0        4.5           1.1E-01           2275700200070 
102.       106.        4.5        5.0           5.4E-02           2275700200071 
102.       106.        5.0        5.5           2.6E-02           2275700200072 
102.       106.        5.5        6.0           1.4E-02           2275700200073 
102.       106.        6.0        6.5           6.6E-03           2275700200074 
102.       106.        6.5        7.0           5.0E-03           2275700200075 
102.       106.        7.0        7.5           9.8E-04           2275700200076 
102.       106.        7.5        8.0           6.8E-04           2275700200077 
102.       106.        8.0        8.5           6.4E-04           2275700200078 
102.       106.        8.5        9.0           4.4E-04    7.0E-052275700200079 
102.       106.        9.0        9.5           1.6E-04    6.0E-052275700200080 
102.       106.        9.5       10.0           1.6E-04    5.4E-052275700200081 
106.       110.        1.0        1.5           1.7E+00           2275700200082 
106.       110.        1.5        2.0           1.1E+00           2275700200083 
106.       110.        2.0        2.5           8.0E-01           2275700200084 
106.       110.        2.5        3.0           5.4E-01           2275700200085 
106.       110.        3.0        3.5           3.0E-01           2275700200086 
106.       110.        3.5        4.0           1.7E-01           2275700200087 
106.       110.        4.0        4.5           1.0E-01           2275700200088 
106.       110.        4.5        5.0           5.4E-02           2275700200089 
106.       110.        5.0        5.5           2.6E-02           2275700200090 
106.       110.        5.5        6.0           1.5E-02           2275700200091 
106.       110.        6.0        6.5           8.8E-03           2275700200092 
106.       110.        6.5        7.0           4.0E-03           2275700200093 
106.       110.        7.0        7.5           2.2E-03           2275700200094 
106.       110.        7.5        8.0           6.8E-04           2275700200095 
106.       110.        8.0        8.5           4.0E-04    7.0E-052275700200096 
106.       110.        8.5        9.0           4.0E-04    7.0E-052275700200097 
106.       110.        9.0        9.5           3.2E-04    6.2E-052275700200098 
106.       110.        9.5       10.0           1.7E-04    4.6E-052275700200099 
110.       114.        1.0        1.5           2.0E+00           2275700200100 
110.       114.        1.5        2.0           1.1E+00           2275700200101 
110.       114.        2.0        2.5           7.8E-01           2275700200102 
110.       114.        2.5        3.0           5.0E-01           2275700200103 
110.       114.        3.0        3.5           2.8E-01           2275700200104 
110.       114.        3.5        4.0           1.7E-01           2275700200105 
110.       114.        4.0        4.5           1.0E-01           2275700200106 
110.       114.        4.5        5.0           5.6E-02           2275700200107 
110.       114.        5.0        5.5           3.2E-02           2275700200108 
110.       114.        5.5        6.0           1.9E-02           2275700200109 
110.       114.        6.0        6.5           1.1E-02           2275700200110 
110.       114.        6.5        7.0           7.0E-03           2275700200111 
110.       114.        7.0        7.5           2.0E-03           2275700200112 
110.       114.        7.5        8.0           9.8E-04           2275700200113 
110.       114.        8.0        8.5           6.2E-04           2275700200114 
110.       114.        8.5        9.0           4.4E-04    7.2E-052275700200115 
110.       114.        9.0        9.5           3.2E-04    6.6E-052275700200116 
110.       114.        9.5       10.0           2.4E-04    5.8E-052275700200117 
114.       118.        1.0        1.5           2.2E+00           2275700200118 
