ENTRY            23780   20220209                             230823780  0    1 
SUBENT        23780001   20220209                             230823780  1    1 
BIB                 12         40                                 23780  1    2 
TITLE      Isotopic distributions of thermal-neutron-induced      23780  1    3 
           fission fragments of near-symmetric fission of         23780  1    4 
           239,241Pu determined using calorimetric low-temperature23780  1    5 
           detectors                                              23780  1    6 
AUTHOR     (S.Dubey, A.Echler, P.Egelhof, P.Grabitz,              23780  1    7 
            W.Lauterfeld, M.Mutterer, S.Stolte, A.Blanc,          23780  1    8 
            U.Koester, O.Serot, G.Kessedjian, S.Kraft-Bermuth,    23780  1    9 
            P.Scholz, S.Bishop, Jose M.Gomez-Guzman,              23780  1   10 
            F.Goennenwein)                                        23780  1   11 
INSTITUTE  (2GERMNZ,2GERGSI,2FR ILL,2FR CAD,2FR GRE,2GERJLU,      23780  1   12 
           2GERMUN,2GERTUE)                                       23780  1   13 
REFERENCE  (J,PR/C,104,034621,2021)                               23780  1   14 
           #doi:10.1103/PhysRevC.104.034621                       23780  1   15 
FACILITY   (REAC,2FR ILL)                                         23780  1   16 
INC-SOURCE (REAC)                                                 23780  1   17 
DETECTOR   (SPEC) The LOHENGRIN spectrometer is a parabola mass   23780  1   18 
           spectrometer for separation of the ionized fission     23780  1   19 
           fragments with respect to their mass over ionic charge 23780  1   20 
           and velocity. For the nuclear charge identification    23780  1   21 
           the passive absorber method with a novel detector      23780  1   22 
           technology of calorimetric low temperature detectors   23780  1   23 
           CLTDs measuring the residual energy after passage      23780  1   24 
           through SiN absorber foils is applied.                 23780  1   25 
METHOD     (ASEP)                                                 23780  1   26 
           (EDEG) 4 um thick SiN degrader foil stack              23780  1   27 
ANALYSIS   (UNFLD) The residual energy spectra of mass and energy 23780  1   28 
           separated fragments from the LOHENGRIN spectrometer    23780  1   29 
           are fitted with a sum of Gaussians to determine the    23780  1   30 
           relative yields for the different nuclear charges.     23780  1   31 
ERR-ANALYS (ERR-T) Total uncertainties with contributions from    23780  1   32 
           the following statistical and systematic               23780  1   33 
           uncertainties:                                         23780  1   34 
            - statistical uncertainty of the Gaussian fit.        23780  1   35 
           (ERR-1,,0.6) uncertainty of the thermal neutron flux   23780  1   36 
           instability                                            23780  1   37 
           (ERR-2,,1.3) systematic uncertainty due to the         23780  1   38 
           approximation used for fractional independent yield    23780  1   39 
           calculations                                           23780  1   40 
STATUS     (APRVD) Approved by S.Dubey 16 February 2022.          23780  1   41 
HISTORY    (20220209C) VS.                                        23780  1   42 
ENDBIB              40          0                                 23780  1   43 
COMMON               1          3                                 23780  1   44 
EN-DUMMY                                                          23780  1   45 
EV                                                                23780  1   46 
     0.0253                                                       23780  1   47 
ENDCOMMON            3          0                                 23780  1   48 
ENDSUBENT           47          0                                 23780  199999 
SUBENT        23780002   20220209                             230823780  2    1 
BIB                  3          6                                 23780  2    2 
REACTION   (94-PU-241(N,F)ELEM/MASS,IND,FY,,FRC/MXW)              23780  2    3 
SAMPLE     (94-PU-241,ENR=0.711)                                  23780  2    4 
           The 241Pu target had an effective area of 7 x 0.5 cm2, 23780  2    5 
           was 24 ug/cm2 thick, and was covered by a 0.25 um      23780  2    6 
           thick Ni foil.                                         23780  2    7 
STATUS     (TABLE) Table III of Phys.Rev.C104(034621)2021         23780  2    8 
ENDBIB               6          0                                 23780  2    9 
NOCOMMON             0          0                                 23780  2   10 
DATA                 4         90                                 23780  2   11 
ELEMENT    MASS       DATA       ERR-T                            23780  2   12 
NO-DIM     NO-DIM     NO-DIM     NO-DIM                           23780  2   13 
        34.        89.      0.029      0.006                      23780  2   14 
        35.        89.      0.487      0.024                      23780  2   15 
        35.        90.      0.076      0.038                      23780  2   16 
        35.        91.      0.029      0.006                      23780  2   17 
        36.        89.      0.440      0.022                      23780  2   18 
        36.        90.      0.759      0.082                      23780  2   19 
        36.        91.      0.542      0.027                      23780  2   20 
        36.        92.      0.253      0.019                      23780  2   21 
        36.        93.      0.070      0.014                      23780  2   22 
        36.        94.      0.025      0.005                      23780  2   23 
        36.        95.      0.003      0.001                      23780  2   24 
        37.        89.      0.043      0.007                      23780  2   25 
        37.        90.      0.157      0.073                      23780  2   26 
        37.        91.      0.401      0.020                      23780  2   27 
        37.        92.      0.561      0.043                      23780  2   28 
        37.        93.      0.586      0.029                      23780  2   29 
        37.        94.      0.285      0.014                      23780  2   30 
        37.        95.      0.135      0.007                      23780  2   31 
        37.        96.      0.039      0.006                      23780  2   32 
        37.        97.      0.015      0.003                      23780  2   33 
        38.        90.      0.008      0.015                      23780  2   34 
        38.        91.      0.028      0.005                      23780  2   35 
        38.        92.      0.185      0.020                      23780  2   36 
        38.        93.      0.336      0.017                      23780  2   37 
        38.        94.      0.654      0.033                      23780  2   38 
        38.        95.      0.741      0.038                      23780  2   39 
        38.        96.      0.555      0.028                      23780  2   40 
        38.        97.      0.384      0.019                      23780  2   41 
        38.        98.      0.207      0.041                      23780  2   42 
        38.        99.      0.034      0.007                      23780  2   43 
        38.       100.      0.001      0.000                      23780  2   44 
        39.        93.      0.007      0.001                      23780  2   45 
        39.        94.      0.035      0.006                      23780  2   46 
        39.        95.      0.121      0.021                      23780  2   47 
        39.        96.      0.351      0.031                      23780  2   48 
        39.        97.      0.527      0.027                      23780  2   49 
        39.        98.      0.535      0.026                      23780  2   50 
        39.        99.      0.527      0.026                      23780  2   51 
        39.       100.      0.154      0.008                      23780  2   52 
        39.       101.      0.077      0.015                      23780  2   53 
        39.       102.      0.007      0.001                      23780  2   54 
        40.        96.      0.055      0.012                      23780  2   55 
        40.        97.      0.073      0.012                      23780  2   56 
        40.        98.      0.238      0.012                      23780  2   57 
        40.        99.      0.402      0.021                      23780  2   58 
        40.       100.      0.748      0.038                      23780  2   59 
        40.       101.      0.624      0.031                      23780  2   60 
        40.       102.      0.445      0.022                      23780  2   61 
        40.       103.      0.141      0.022                      23780  2   62 
        40.       104.      0.042      0.013                      23780  2   63 
        40.       105.      0.004      0.003                      23780  2   64 
        41.        98.      0.020      0.003                      23780  2   65 
        41.        99.      0.037      0.006                      23780  2   66 
        41.       100.      0.097      0.016                      23780  2   67 
        41.       101.      0.272      0.014                      23780  2   68 
        41.       102.      0.488      0.025                      23780  2   69 
        41.       103.      0.565      0.040                      23780  2   70 
        41.       104.      0.357      0.036                      23780  2   71 
        41.       105.      0.221      0.025                      23780  2   72 
        41.       106.      0.055      0.013                      23780  2   73 
        42.       101.      0.027      0.005                      23780  2   74 
        42.       102.      0.060      0.010                      23780  2   75 
        42.       103.      0.294      0.029                      23780  2   76 
        42.       104.      0.555      0.048                      23780  2   77 
        42.       105.      0.650      0.039                      23780  2   78 
        42.       106.      0.669      0.048                      23780  2   79 
        42.       107.      0.296      0.030                      23780  2   80 
        42.       108.      0.233      0.066                      23780  2   81 
