ENTRY            30845   20190709                             318930845  0    1 
SUBENT        30845001   20190709                             318930845  1    1 
BIB                 12         21                                 30845  1    2 
TITLE      Neutron total cross-section measurements with the      30845  1    3 
           6Li-ZnS(Ag) scintillator (BC702) employing a neutron   30845  1    4 
           and noise separation technique                         30845  1    5 
AUTHOR     (S.G.Shin, Y.U.Kye, M.H.Cho, W.Namkung, G.N.Kim,       30845  1    6 
            M.W.Lee, Y.R.Kang)                                    30845  1    7 
INSTITUTE  (3KORPUE,3KORKNU,3KORDRM)                              30845  1    8 
REFERENCE  (J,KPS,64,1288,2014)                                   30845  1    9 
FACILITY   (LINAC,3KORPUE) Pohang Neutron Facility (PNF)          30845  1   10 
INC-SOURCE (PHOTO) Ta(g,n) photonuclear reaction                  30845  1   11 
SAMPLE     Dy metal plates                                        30845  1   12 
            - purity: >99.9%, size: 10 cm x 10 cm,                30845  1   13 
             thickness: 0.5 mm (1.5824 atoms/mbarn)               30845  1   14 
METHOD     (TOF,TRN) 12 m flight path. The Co, Ta and Cd notch    30845  1   15 
            filters were used for the background measurement and  30845  1   16 
            the energy calibration.                               30845  1   17 
DETECTOR   (SCIN) 6Li-ZnS(Ag) scintillator (BC702) with a         30845  1   18 
            diameter 127 mm and a thickness of 6.35 mm            30845  1   19 
ERR-ANALYS (ERR-S) Statistical error                              30845  1   20 
STATUS     (APRVD) Approved by M.H.Cho (2019-07-12)               30845  1   21 
HISTORY    (20190703R) Total CS data received from S.G.Shin       30845  1   22 
           (20190709C) S.C.Yang                                   30845  1   23 
ENDBIB              21          0                                 30845  1   24 
NOCOMMON             0          0                                 30845  1   25 
ENDSUBENT           24          0                                 30845  199999 
SUBENT        30845002   20190709                             318930845  2    1 
BIB                  2          2                                 30845  2    2 
REACTION   (66-DY-0(N,TOT),,SIG)                                  30845  2    3 
STATUS     (TABLE) Fig.7 of J.Korean Phys.Soc.64,1288,2014        30845  2    4 
ENDBIB               2          0                                 30845  2    5 
NOCOMMON             0          0                                 30845  2    6 
DATA                 4        633                                 30845  2    7 
EN         EN-ERR     DATA       ERR-S                            30845  2    8 
EV         EV         B          B                                30845  2    9 
    102.616    3.7934     88.6217    8.23375                      30845  2   10 
    100.16     3.65861    60.9331    8.19029                      30845  2   11 
    97.791     3.53015    67.9268    8.23552                      30845  2   12 
    95.505     3.40764    87.9771    8.33932                      30845  2   13 
    93.2983    3.29075    89.8198    8.37068                      30845  2   14 
    91.1671    3.17916    79.7013    8.36765                      30845  2   15 
    89.1082    3.07256    59.2371    8.39899                      30845  2   16 
    87.1182    2.97069    100.107    8.39137                      30845  2   17 
    85.1941    2.87329    65.2937    8.50247                      30845  2   18 
    83.3331    2.7801     90.1853    8.44829                      30845  2   19 
    81.5324    2.69091    59.7582    8.43444                      30845  2   20 
    79.7895    2.60551    79.003     8.49057                      30845  2   21 
    78.1018    2.52369    94.1673    8.51245                      30845  2   22 
    76.4671    2.44526    79.4396    8.62567                      30845  2   23 
    74.8833    2.37007    121.244    8.72499                      30845  2   24 
    73.3481    2.29793    230.289    9.27103                      30845  2   25 
    71.8596    2.22869    548.841    10.8507                      30845  2   26 
    70.416     2.16222    538.746    10.8562                      30845  2   27 
    69.0155    2.09837    267.312    9.45638                      30845  2   28 
    67.6564    2.03702    169.703    9.0901                       30845  2   29 
    66.337     1.97804    142.912    8.9264                       30845  2   30 
    65.0558    1.92132    108.998    8.87877                      30845  2   31 
    63.8114    1.86676    87.2308    8.76026                      30845  2   32 
    62.6023    1.81425    85.7522    8.86613                      30845  2   33 
    61.4273    1.76369    102.652    8.88439                      30845  2   34 
    60.2851    1.71501    150.552    9.11451                      30845  2   35 
    59.1744    1.6681     248.171    9.49182                      30845  2   36 
    58.0941    1.62289    137.481    9.17081                      30845  2   37 
    57.0432    1.5793     127.652    9.07562                      30845  2   38 
    56.0205    1.53727    181.659    9.32204                      30845  2   39 
    55.0251    1.49672    116.114    9.10664                      30845  2   40 
    54.056     1.45759    96.3213    9.03528                      30845  2   41 
    53.1122    1.41981    59.2472    8.97356                      30845  2   42 
    52.193     1.38333    123.781    9.18623                      30845  2   43 
    51.2974    1.3481     134.685    9.22721                      30845  2   44 
    50.4247    1.31405    94.3173    9.14146                      30845  2   45 
    49.574     1.28114    81.2132    9.01349                      30845  2   46 
    48.7447    1.24933    62.3675    9.02864                      30845  2   47 
    47.9361    1.21857    63.0965    9.04993                      30845  2   48 
    47.1473    1.18881    52.435     9.0257                       30845  2   49 
    46.3779    1.16001    41.4175    9.03088                      30845  2   50 
    45.6272    1.13214    119.027    9.33099                      30845  2   51 
    44.8946    1.10516    112.532    9.32587                      30845  2   52 
    44.1795    1.07903    89.8611    9.23726                      30845  2   53 
    43.4813    1.05372    119.008    9.39729                      30845  2   54 
    42.7995    1.0292     94.3935    9.32294                      30845  2   55 
    42.1337    1.00544    55.2717    9.21108                      30845  2   56 
    41.4832    0.9824     40.0719    9.15372                      30845  2   57 
    40.8477    0.96007    44.5955    9.25279                      30845  2   58 
    40.2267    0.93841    38.6069    9.18732                      30845  2   59 
    39.6198    0.9174     63.2982    9.20179                      30845  2   60 
    38.0198    1.58387    155.332    6.15896                      30845  2   61 
    36.6479    1.49924    111.17     6.06684                      30845  2   62 
    35.3489    1.42055    134.428    6.13834                      30845  2   63 
