ENTRY            31539   20080516                             31273153900000001 
SUBENT        31539001   20080516                             31273153900100001 
BIB                 13         34                                 3153900100002 
TITLE      Interplay of Quasiparticle and Phonon                  3153900100003 
           Excitations in 181Hf observed through                  3153900100004 
            (n, gamma) and (d(pol), p) Reactions                  3153900100005 
AUTHOR     (V.Bondarenko,J.Berzins,P.Prokofjevs,L.Simonova,       3153900100006 
           T.von Egidy,J.Honzatko,I.Tomandl,P.Alexa,H.-F.Wirth,   3153900100007 
           U.Koster,Y.Eisermann,A.Metz,G.Graw,R.Hertenberger,     3153900100008 
           L.Rubacek)                                             3153900100009 
INSTITUTE  (3CZRUJF,2GERMUN)                                      3153900100010 
           (3CZRCZR) Inst.of Chem.Technol., Prague                3153900100011 
           (4LATULR) Inst.of Solid State Phys., Univ.of Latvia,   3153900100012 
              Salaspils                                           3153900100013 
REFERENCE  (J,NP/A,709,3,2002)                                    3153900100014 
FACILITY   (VDGT,3CZRUJF) at the light-water reactor LWR-15       3153900100015 
SAMPLE     The sample of 300 mg obtained in the form of oxide     3153900100016 
           powder enriched in 180Hf to 96.2%.                     3153900100017 
METHOD     (COINC) gamma-gamma-coincidence measurements           3153900100018 
DETECTOR   (HPGE)A 28% HPGe detector with a resolution of 2.0 keV 3153900100019 
           at 1332 keV (60Co line) and 4.8 keV at 6530 keV and a  3153900100020 
           12% detector with about the same resolution.           3153900100021 
ERR-ANALYS (ERR-SYS) The systematic uncertainty in absolute       3153900100022 
           intensities                                            3153900100023 
           (DATA-ERR) Intensity errors for transitions which      3153900100024 
           could not be reliably determined are grater than 50%.  3153900100025 
           Recoil correction is taken into account for            3153900100026 
           primary transitions.                                   3153900100027 
ADD-RES    Results from (d(pol), p) reaction are                  3153900100028 
           included in Entry D0195                                3153900100029 
STATUS     (TABLE) Data received from Dr. V.Bondarenko            3153900100030 
           (APRVD) Etry approved by Dr. V.Bondarenko              3153900100031 
COMMENT    From author: cross section for 2200 m/s                3153900100032 
HISTORY    (20040929C) SD                                         3153900100033 
           (20060613U) ADD-RES was added.                         3153900100034 
           (20080430A) SD. Reaction code was corrected according  3153900100035 
           to author's comments.                                  3153900100036 
ENDBIB              34          0                                 3153900100037 
COMMON               2          3                                 3153900100038 
EN         ERR-SYS                                                3153900100039 
EV         PER-CENT                                               3153900100040 
  0.0253     16.                                                  3153900100041 
ENDCOMMON            3          0                                 3153900100042 
ENDSUBENT           41          0                                 3153900199999 
SUBENT        31539002   20080516                             31273153900200001 
BIB                  3          3                                 3153900200002 
REACTION   (72-HF-180(N,G)72-HF-181,,SPC)                         3153900200003 
FLAG       (1.) Doublet                                           3153900200004 
STATUS     (TABLE) Data from the table 1 of this paper            3153900200005 
ENDBIB               3          0                                 3153900200006 
NOCOMMON             0          0                                 3153900200007 
DATA                 6        406                                 3153900200008 
E          E-ERR      DATA       DATA-MAX   DATA-ERR   FLAG       3153900200009 
KEV        KEV        PC/INC     PC/INC     PER-CENT   NO-DIM     3153900200010 
   45.80        0.20      4.5                                     3153900200011 
   52.72        0.20      1.9                                     3153900200012 
   77.22        0.23      0.1                                     3153900200013 
   98.55        0.06      2.0                                     3153900200014 
   99.8         0.3       0.03                                    3153900200015 
  105.48        0.07      1.3                                     3153900200016 
  111.6         0.3       0.03                                    3153900200017 
  125.320       0.019     1.1                                     3153900200018 
  129.37        0.04      0.45                                    3153900200019 
  133.13        0.14                 0.01                         3153900200020 
  136.2         0.3                  0.01                         3153900200021 
  136.83        0.18      0.01                                    3153900200022 
  153.34        0.05      0.85                 21.                3153900200023 
  154.57        0.03      0.16                 33.                3153900200024 
  155.5         0.7       0.03                                    3153900200025 
  158.39        0.20      0.37                 29.                3153900200026 
  162.16        0.07      0.08                 32.                3153900200027 
  189.02        0.20      0.07                 33.                3153900200028 
  205.42        0.07      0.54                 31.                3153900200029 
  206.230       0.019     6.60                 23.                3153900200030 
  211.68        0.10      0.41                 29.                3153900200031 
  223.02        0.10      0.08                 20.                3153900200032 
  230.66        0.11      0.11                 36.                3153900200033 
  230.89        0.23      0.11                 27.                3153900200034 
  231.3         0.6       0.03                                    3153900200035 
  236.79        0.08      0.14                 21.                3153900200036 
  240.58        0.20      0.02                 30.                3153900200037 
  244.6         0.3       0.02                 27.                3153900200038 
  245.86        0.12      0.11                 36.                3153900200039 
  251.88        0.05      0.62                 15.                3153900200040 
  261.93        0.07      0.09                 32.                3153900200041 
  283.2         0.3       0.20                 21.                3153900200042 
  291.390       0.009     0.66                 15.                3153900200043 
  308.3         0.3       0.1                                     3153900200044 
  329.41        0.03      1.69                 10.                3153900200045 
  334.41        0.10      0.38                 29.                3153900200046 
  342.09        0.05      0.61                 25.                3153900200047 
  359.77        0.18      0.04                 32.                3153900200048 
  391.07        0.06      0.27                 19.                3153900200049 
  394.82        0.10      0.10                 30.                3153900200050 
  411.56        0.11      0.11                 27.                3153900200051 
  459.58        0.10      0.12                 25.                3153900200052 
  463.52        0.15      0.01                 42.                3153900200053 
  482.9         0.3       0.05                 46.                3153900200054 
  545.86        0.23      0.05                 50.                3153900200055 
  559.43        0.08      0.04                 50.                3153900200056 
  565.3         0.3       0.10                 20.                3153900200057 
  575.18        0.12      0.09                 30.                3153900200058 
  579.72        0.15      0.08                 31.                3153900200059 
  615.12        0.9       0.88                 10.                3153900200060 
  615.64        0.23      0.03                 21.                3153900200061 
  652.35        0.08      0.22                 27.                3153900200062 
  658.58        0.03      0.34                 15.                3153900200063 
  669.5         0.3       0.07                 31.                3153900200064 
  688.09        0.20      0.08                 25.                3153900200065 
  694.1         0.3       0.02                 30.                3153900200066 
  700.4         0.5       0.02                 30.                3153900200067 
  716.55        0.23      0.03                 33.                3153900200068 
  726.64        0.18      0.14                 29.                3153900200069 
  733.6         0.3       0.03                 29.                3153900200070 
  738.1         0.4       0.04                 29.                3153900200071 
  743.4         0.5       0.08                 25.                3153900200072 
  746.0         0.5       0.05                 50.                3153900200073 
  752.7         0.4       0.04                 29.                3153900200074 
  787.6         0.3       0.14                 21.                3153900200075 
  792.8         0.5       0.03                 50.                3153900200076 
  803.94        0.04      0.31                 19.                3153900200077 
  806.0         0.8       0.06                 30.                3153900200078 
  828.3         0.3       0.06                 18.                3153900200079 
  829.10        0.10      0.11                 18.                3153900200080 
  830.78        0.12      0.10                 19.                3153900200081 
  844.4         0.3       0.03                 50.                3153900200082 
  851.9         0.3       0.08                 31.                3153900200083 
  858.5         0.8       0.06                 50.                3153900200084 
  865.1         0.4       0.05                 50.                3153900200085 
  882.28        0.12      0.44                 9.                 3153900200086 
  901.89        0.23      0.03                 29.                3153900200087 
  930.6         0.5       0.08                 20.                3153900200088 
  946.40        0.08      0.82                 10.                3153900200089 
  956.33        0.21      0.04                 33.                3153900200090 
  957.6         0.5       0.04                 29.                3153900200091 
  972.27        0.21      0.08                 31.                3153900200092 
  978.1         0.6       0.02                 48.                3153900200093 
  987.68        0.20      0.36                 11.                3153900200094 
  992.39        0.08      0.23                 13.                3153900200095 
  999.33        0.14      0.94                 5.                 3153900200096 
 1010.1         0.3       0.12                 33.                3153900200097 
 1018.23        0.20      0.12                 30.                3153900200098 
 1025.7         0.6       0.03                                    3153900200099 
 1035.8         0.3       0.26                 12.                3153900200100 
 1040.41        0.20      0.61                 10.                3153900200101 
 1055.7         0.7       0.15                 40.                3153900200102 
 1056.68        0.09      0.28                 21.                3153900200103 
 1060.51        0.11      0.37                 22.                3153900200104 
 1067.4         0.3       0.03                 50.                3153900200105 
 1069.65        0.03      0.43                 30.                3153900200106 
 1071.43        0.07      0.76                 32.                3153900200107 
 1079.62        0.18      0.43                 35.                3153900200108 
 1086.18        0.05      0.82                 10.                3153900200109 
 1104.7         0.4       0.12                 50.                3153900200110 
 1105.1         0.4       0.05                 34.                3153900200111 
 1107.26        0.14      1.26                 10.                3153900200112 
 1111.03        0.10      0.12                 33.                3153900200113 
 1117.13        0.07      1.66                 10.                3153900200114 
 1130.87        0.20      0.21                                    3153900200115 
 1132.2         0.3       0.28                 36.                3153900200116 
 1134.58        0.18      0.25                 48.                3153900200117 
 1150.8         0.5       0.04                 49.                3153900200118 
 1155.0         0.5       0.04                 49.                3153900200119 
 1171.9         0.3       0.29                 21.                3153900200120 
 1184.11        0.21      0.46                 20.                3153900200121 
 1212.45        0.20      0.10                 50.                3153900200122 
 1213.1         0.3       0.10                 50.                3153900200123 
 1215.3         0.5       0.12                 50.                3153900200124 
 1229.73        0.12      0.49                 22.                3153900200125 
 1230.4         0.3       0.17                 29.                3153900200126 
 1247.1         0.4       0.08                 31.                3153900200127 
 1256.4         0.4       0.24                 29.                3153900200128 
 1259.0         0.7       0.10                 50.                3153900200129 
 1276.28        0.20      0.35                 20.                3153900200130 
 1282.6         0.3       0.07                 50.                3153900200131 
 1286.1         0.4       0.04                 32.                3153900200132 
 1299.7         0.3       0.05                 31.                3153900200133 
 1301.51        0.23      0.17                 35.                3153900200134 
 1311.4         0.5       0.03                 12.                3153900200135 
 1318.9         0.4       0.03                 34.                3153900200136 
 1321.86        0.05      0.62                 10.                3153900200137 
 1326.23        0.15      0.21                 19.                3153900200138 
 1329.27        0.17      0.65                 30.                3153900200139 
 1353.7         0.4       0.08                 25.                3153900200140 
 1357.10        0.11      0.39                 21.                3153900200141 
 1362.44        0.23      0.06                 50.                3153900200142 
 1363.97        0.10      0.19                 21.                3153900200143 
 1365.6         0.6       0.06                                    3153900200144 
 1369.4         0.3       0.05                 30.                3153900200145 
 1377.51        0.07      0.14                 29.                3153900200146 
 1378.48        0.10      0.16                 31.                3153900200147 
 1383.8         0.4       0.05                 48.                3153900200148 
 1384.8         0.4       0.05                 50.                3153900200149 
 1389.67        0.07      0.16                 31.                3153900200150 
 1393.1         0.3       0.08                 31.                3153900200151 
 1405.9         0.2       0.29                 35.                3153900200152 
 1407.5         0.6       0.02                 47.                3153900200153 
 1408.8         0.5       0.04                 39.                3153900200154 
 1415.6         0.3       0.03                 39.                3153900200155 
 1424.31        0.12      0.09                 22.                3153900200156 
 1442.9         0.3       0.18                 28.                3153900200157 
 1448.33        0.18      0.39                 21.                3153900200158 
 1453.6         0.6       0.05                 40.       1.0      3153900200159 
 1459.6         0.3       0.32                 38.                3153900200160 
 1460.67        0.10      0.13                 23.                3153900200161 
 1465.36        0.15      0.11                 36.                3153900200162 
 1478.9         0.5       0.07                                    3153900200163 
 1494.19        0.10      0.50                 16.                3153900200164 
 1504.9         0.3       0.09                 30.                3153900200165 
 1512.95        0.20      0.06                 33.                3153900200166 
 1542.5         0.3       0.19                 21.                3153900200167 
 1557.90        0.15      0.23                 22.                3153900200168 
 1565.3         0.5       0.05                 40.                3153900200169 
 1570.1         0.3       0.14                 29.                3153900200170 
 1574.84        0.23      0.14                 29.                3153900200171 
 1583.73        0.11      0.51                 20.                3153900200172 
 1585.0         0.5       0.12                 50.                3153900200173 
 1587.7         0.9       0.05                 50.                3153900200174 
 1614.0         0.3       0.23                 30.                3153900200175 
 1615.22        0.15      0.32                 28.                3153900200176 
 1618.40        0.10      0.41                 20.                3153900200177 
 1626.6         0.4       0.08                 50.                3153900200178 
 1629.36        0.11      0.40                 20.                3153900200179 
 1637.07        0.15      0.04                 29.                3153900200180 
 1638.48        0.17      0.18                 28.                3153900200181 
 1656.59        0.23      0.04                 39.                3153900200182 
 1659.5         0.6       0.09                 30.                3153900200183 
 1667.09        0.14      0.05                 40.                3153900200184 
 1668.3         0.3       0.22                 27.                3153900200185 
 1671.11        0.9       0.81                 12.                3153900200186 
 1682.5         0.5       0.08                 30.                3153900200187 
 1690.9         0.7       0.23                 30.                3153900200188 
 1700.8         0.5       0.06                 29.                3153900200189 
 1705.92        0.21      0.12                 25.                3153900200190 
 1710.52        0.23      0.28                 29.                3153900200191 
 1712.0         0.5       0.26                 19.                3153900200192 
 1716.93        0.10      0.62                 19.                3153900200193 
 1721.7         0.3       0.14                 29.                3153900200194 
 1723.71        0.17      0.23                 30.                3153900200195 
 1736.77        0.20      0.11                 27.                3153900200196 
 1740.5         0.3       0.08                 31.                3153900200197 
 1744.0         0.3       0.03                 32.                3153900200198 
 1746.6         0.4       0.11                 27.                3153900200199 
 1750.8         0.3       0.04                                    3153900200200 
 1760.6         0.5       0.12                 33.                3153900200201 
 1762.9         0.3       0.02                 30.                3153900200202 
 1768.27        0.23      0.10                 50.                3153900200203 
 1770.78        0.20      0.18                 28.                3153900200204 
 1780.0         0.7       0.10                 50.                3153900200205 
 1796.71        0.8       0.22                 14.                3153900200206 
 1797.20        0.20      0.27                 19.                3153900200207 
 1802.22        0.23      0.12                 25.                3153900200208 
 1805.40        0.08      0.58                 10.                3153900200209 
 1816.89        0.23      0.11                 27.                3153900200210 
 1821.4         0.7       0.01                 50.                3153900200211 
 1830.8         0.3       0.17                 29.                3153900200212 
 1839.5         0.3       0.27                 30.                3153900200213 
 1842.52        0.08      0.48                 10.                3153900200214 
 1842.63        0.20      0.21                 33.                3153900200215 
 1847.17        0.18      0.09                 44.                3153900200216 
 1849.87        0.08      0.49                 33.                3153900200217 
 1864.1         0.6       0.08                 31.                3153900200218 
 1867.06        0.18      0.27                 19.                3153900200219 
 1871.1         0.4       0.12                 25.                3153900200220 
 1873.5         0.3       0.11                 27.                3153900200221 
 1875.0         0.3       0.01                 50.                3153900200222 
 1889.0         0.3       0.16                 31.                3153900200223 
 1893.0         0.4       0.19                 32.                3153900200224 
 1894.5         0.5       0.18                 50.                3153900200225 
 1895.4         0.5       0.23                 22.                3153900200226 
 1895.57        0.15      0.42                 31.                3153900200227 
 1905.43        0.15      0.12                 33.                3153900200228 
 1917.3         0.3       0.20                 50.                3153900200229 
 1920.8         0.7       0.01                 50.                3153900200230 
 1928.3         0.4       0.11                 46.                3153900200231 
 1937.40        0.23      0.17                 53.                3153900200232 
 1940.7         0.2       0.05                 50.                3153900200233 
 1941.4         0.4       0.04                 50.                3153900200234 
 1942.31        0.17      0.33                 18.                3153900200235 
 1942.83        0.18      0.08                 30.                3153900200236 
 1951.3         0.4       0.04                 50.                3153900200237 
 1951.50        0.20      0.11                 27.                3153900200238 
 1952.20        0.20      0.13                 38.                3153900200239 
 1963.8         0.5       0.08                 38.                3153900200240 
 1972.3         0.4       0.10                 50.                3153900200241 
 1976.0         0.4       0.13                                    3153900200242 
 1979.7         0.3       0.10                 50.                3153900200243 
 1986.3         0.8       0.07                 50.                3153900200244 
 1987.12        0.18      0.21                 33.                3153900200245 
 1990.9         0.3       0.16                 38.                3153900200246 
 2011.0         0.6       0.05                 50.                3153900200247 
 2013.2         0.3       0.12                 50.                3153900200248 
 2015.6         0.6       0.13                 31.                3153900200249 
 2031.6         0.6       0.07                                    3153900200250 
 2036.6         0.4       0.05                                    3153900200251 
 2041.80        0.15      0.13                 31.                3153900200252 
 2057.4         0.6       0.08                 31.                3153900200253 
 2061.8         0.5       0.10                 50.                3153900200254 
 2063.3         0.6       0.03                 50.                3153900200255 
 2065.4         0.9       0.10                 50.                3153900200256 
 2076.8         0.4       0.07                 45.       1.0      3153900200257 
 2080.1         0.3       0.16                 50.                3153900200258 
 2094.84        0.23      0.51                 20.                3153900200259 
 2113.4         0.4       0.03                                    3153900200260 
 2116.6         0.6       0.07                                    3153900200261 
 2117.6         0.6       0.16                 31.                3153900200262 
 2119.5         0.4       0.08                 50.                3153900200263 
 2123.2         0.3       0.16                 50.                3153900200264 
 2131.6         0.4       0.12                 50.                3153900200265 
 2140.31        0.10      0.36                 14.                3153900200266 
 2148.6         0.4       0.08                 50.                3153900200267 
 2149.1         0.4       0.11                 27.                3153900200268 
 2152.5         0.5       0.01                                    3153900200269 
 2156.8         0.5       0.01                 50.                3153900200270 
 2157.8         0.4       0.04                                    3153900200271 
 2188.4         0.6       0.11                 50.                3153900200272 
 2194.7         0.3       0.16                 50.                3153900200273 
 2202.8         0.4       0.05                 50.                3153900200274 
 2211.5         0.3       0.05                                    3153900200275 
 2237.1         0.5       0.07                 50.                3153900200276 
 2239.5         0.3       0.10                 50.                3153900200277 
 2258.4         0.6       0.10                 50.                3153900200278 
 2266.6         0.3       0.10                 40.                3153900200279 
 2271.4         0.3       0.09                 44.                3153900200280 
 2272.70        0.23      0.03                 50.                3153900200281 
 2279.2         0.3       0.32                                    3153900200282 
 2280.84        0.23      0.03                 50.                3153900200283 
 2282.0         0.5       0.06                 50.                3153900200284 
 2285.7         0.5       0.02                 50.                3153900200285 
 2297.7         0.3       0.09                 30.                3153900200286 
 2307.5         0.4       0.09                 50.                3153900200287 
 2321.9         0.4       0.05                 39.        1.0     3153900200288 
 2323.3         0.4       0.23                 22.                3153900200289 
 2346.1         0.4       0.02                 50.                3153900200290 
 2350.2         0.4       0.14                 43.                3153900200291 
 2350.6         0.6       0.04                                    3153900200292 
 2352.35        0.3       0.26                 30.                3153900200293 
 2353.5         0.6       0.35                 20.        1.0     3153900200294 
 2358.0         0.5       0.06                 47.                3153900200295 
 2361.6         0.5       0.04                 50.                3153900200296 
 2368.5         0.5       0.06                 43.        1.0     3153900200297 
 2374.48        0.15      0.08                 31.                3153900200298 
  2389.2        0.5       0.03                                    3153900200299 
 2396.1         0.5       0.16                 38.                3153900200300 
 2403.7         0.4       0.04                 45.                3153900200301 
 2409.6         0.9       0.03                                    3153900200302 
 2434.92        0.25      0.07                 30.                3153900200303 
 2435.42        0.15      0.19                 40.                3153900200304 
 2447.6         0.5       0.08                 50.                3153900200305 
 2462.6         0.9       0.06                 50.                3153900200306 
 2467.35        0.23      0.07                 50.                3153900200307 
 2503.57        0.25      0.16                 31.                3153900200308 
 2503.9         0.6       0.02                 50.                3153900200309 
 2512.2         0.5       0.04                                    3153900200310 
 2520.8         0.7       0.04                                    3153900200311 
 2521.4         0.4       0.05                                    3153900200312 
 2528.3         0.4       0.06                 50.                3153900200313 
 2550.4         0.8       0.02                                    3153900200314 
 2557.3         0.5       0.05                 50.                3153900200315 
 2567.1         0.8       0.12                                    3153900200316 
 2568.0         0.3       0.09                 44.                3153900200317 
 2574.5         0.5       0.11                                    3153900200318 
 2581.2         0.5       0.08                 30.                3153900200319 
 2596.68        0.10      0.17                 29.                3153900200320 
 2597.61        0.11      0.64                 28.                3153900200321 
 2597.7         0.7       0.09                 50.                3153900200322 
 2598.59        0.15      0.15                 33.                3153900200323 
 2602.2         0.7       0.04                 40.                3153900200324 
 2613.7         0.4       0.27                 37.                3153900200325 
 2626.30        0.23      0.16                 25.                3153900200326 
