ENTRY            31589   20080516                             31273158900000001 
SUBENT        31589001   20080516                             31273158900100001 
BIB                 13         21                                 3158900100002 
TITLE      Complete (n, alpha) level scheme of 124Te              3158900100003 
AUTHOR     (T.Von Egidy,H.-F.Wirth,I.Tomandl,J.Honzatko)          3158900100004 
INSTITUTE  (3CZRUJV,2GERMUN)                                      3158900100005 
REFERENCE  (J,PR/C,74,034319,2006)                                3158900100006 
FACILITY   (REAC,3CZRUJV) the light-water reactor LWR-15 at Rez   3158900100007 
INC-SPECT  external neutron guide  (flux about 10**6 n/cm2/s)     3158900100008 
SAMPLE     The target consisted of about 150 mg metallic Te       3158900100009 
           enriched in 123Te to  70.1%.                           3158900100010 
DETECTOR   (HPGE) two HPGe detectors. The detector efficiencies   3158900100011 
           were 25% and 28%, respectively, and the resolutions of 3158900100012 
           both amounted to 1.95 keV at 1332 and 4.8 keV at 6 MeV.3158900100013 
MONITOR    (17-CL-35(N,G)17-CL-36,,SIG)                           3158900100014 
MONIT-REF  (31566001,G.L.Molnar,J,NIM/B,213,32,2004)              3158900100015 
           (,R.B.Firestone,B,FIRESTONE,,1999) Table of            3158900100016 
           Isotopes (John Wiley and Sons, New York, 1999).        3158900100017 
COMMENT    From author: cross section for 2200 m/s                3158900100018 
STATUS     (TABLE) Tabl.2 from ref. with uncertainties taken from 3158900100019 
           table 1.                                               3158900100020 
HISTORY    (20061213C) SD                                         3158900100021 
           (20080430A) SD. Reaction code was corrected according  3158900100022 
           to author's comments.                                  3158900100023 
ENDBIB              21          0                                 3158900100024 
COMMON               1          3                                 3158900100025 
EN                                                                3158900100026 
EV                                                                3158900100027 
  0.0253                                                          3158900100028 
ENDCOMMON            3          0                                 3158900100029 
ENDSUBENT           28          0                                 3158900199999 
SUBENT        31589002   20080516                             31273158900200001 
BIB                  3          5                                 3158900200002 
REACTION   (52-TE-123(N,G)52-TE-124,,SPC)                         3158900200003 
EN-SEC     (E-LVL-INI,52-TE-124)                                  3158900200004 
ERR-ANALYS (E-ERR) Uncertainty include statistical and            3158900200005 
           systematical errors of 0.1keV.                         3158900200006 
           (ERR-S) Statistical error is given.                    3158900200007 
ENDBIB               5          0                                 3158900200008 
NOCOMMON             0          0                                 3158900200009 
DATA                 6        700                                 3158900200010 
E          E-ERR      E-LVL-INI  E-LVL-ERR  DATA       ERR-S      3158900200011 
KEV        KEV        KEV        KEV        PC/INC     PER-CENT   3158900200012 
 112.4      0.10        3100.92     0.05       0.11      33.      3158900200013 
 162.9      0.32        3443.02     0.06       0.01      50.      3158900200014 
 242.6      0.81        3348.70     0.26       0.01      50.      3158900200015 
 307.4      0.14        3001.09     0.07       0.02       8.      3158900200016 
 353.8      0.10        3100.92     0.05       3.36       1.      3158900200017 
 368.2      0.51        2594.01     0.25       0.01      67.      3158900200018 
 377.0      0.16        2335.10     0.12       0.02      11.      3158900200019 
 380.3      0.27        3543.12     0.07       0.02      17.      3158900200020 
 382.0      0.16        2039.425    0.004      0.03       7.      3158900200021 
 392.9      0.14        3167.93     0.10       0.06       3.      3158900200022 
 399.5      0.16        3100.92     0.05       0.03       8.      3158900200023 
 401.3      0.22        3095.07     0.06       0.08       3.      3158900200024 
 407.9      0.61        3109.37     0.17       0.02      10.      3158900200025 
 444.0      0.10        2483.28     0.09       0.22       6.      3158900200026 
 444.0      0.10        2483.28     0.09       0.03      73.      3158900200027 
 449.4      0.22        3450.79     0.09       0.06       3.      3158900200028 
 454.5      0.16        3429.93     0.19       0.02      12.      3158900200029 
 465.2      0.13        3212.25     0.07       0.04       7.      3158900200030 
 491.6      0.11        2945.63     0.07       0.06       3.      3158900200031 
 498.3      0.11        1746.92     0.10       0.11       4.      3158900200032 
 499.9      0.13        3100.92     0.05       0.08       4.      3158900200033 
 518.0      0.13        3001.09     0.07       0.04      11.      3158900200034 
 525.5      0.11        2483.28     0.09       0.18       2.      3158900200035 
 527.7      0.51        2618.62     0.08       0.03       8.      3158900200036 
 530.3      0.11        2865.31     0.11       0.08       3.      3158900200037 
 541.3      0.10        2834.97     0.07       0.05       3.      3158900200038 
 547.0      0.14        3001.09     0.07       0.02      10.      3158900200039 
 549.9      0.22        2886.12     0.16       0.01      15.      3158900200040 
 557.5      0.10        1882.86     0.07       1.14       1.      3158900200041 
 564.3      0.51        2747.10     0.05       0.03       6.      3158900200042 
 567.2      0.10        3088.53     0.08       0.06       2.      3158900200043 
 571.0      0.10        2454.06     0.05       0.02      50.      3158900200044 
 571.4      0.22        2865.31     0.11       0.04      27.      3158900200045 
 585.7      0.18        2920.69     0.10       0.02      11.      3158900200046 
 592.7      0.11        2886.12     0.16       0.10      57.      3158900200047 
 598.1      0.10        2933.11     0.22       0.11      52.      3158900200048 
 602.7      0.10        602.731     0.003     74.43       1.      3158900200049 
 619.1      0.14        2710.62     0.08       0.02       7.      3158900200050 
 622.3      0.16        2957.53     0.10       0.02      11.      3158900200051 
 626.9      0.12        2920.69     0.10       0.04       6.      3158900200052 
 629.7      0.22        2783.20     0.07       0.03      50.      3158900200053 
 632.4      0.12        1957.91     0.06       0.05       4.      3158900200054 
 634.4      0.20        3088.53     0.08       0.02       8.      3158900200055 
